TimeStamp,X,Y,Event
15:33:12.1064,590.0,490.2,saccade
15:33:12.1069,590.6,490.3,saccade
15:33:12.1074,590.6,490.3,saccade
15:33:12.1079,590.4,490.6,saccade
15:33:12.1084,590.0,490.9,saccade
15:33:12.1089,589.1,488.7,saccade
15:33:12.1094,588.4,486.1,saccade
15:33:12.1099,587.6,482.2,saccade
15:33:12.1104,587.1,480.9,saccade
15:33:12.1109,586.4,479.9,saccade
15:33:12.1114,585.7,482.1,saccade
15:33:12.1119,586.4,484.3,saccade
15:33:12.1124,587.3,486.1,saccade
15:33:12.1129,585.3,485.5,saccade
15:33:12.1134,582.2,482.7,saccade
15:33:12.1139,576.2,479.6,saccade
15:33:12.1144,573.0,477.1,saccade
15:33:12.1149,569.2,476.8,saccade
15:33:12.1154,568.3,476.9,saccade
15:33:12.1159,565.5,474.0,saccade
15:33:12.1164,562.1,468.4,saccade
15:33:12.1169,556.7,457.4,saccade
15:33:12.1174,552.5,446.6,saccade
15:33:12.1179,546.9,438.1,saccade
15:33:12.1184,540.8,430.1,saccade
15:33:12.1189,532.8,422.6,saccade
15:33:12.1194,527.5,415.3,saccade
15:33:12.1199,521.4,408.7,saccade
15:33:12.1204,518.6,398.6,saccade
15:33:12.1209,514.1,388.0,saccade
15:33:12.1214,512.9,381.4,saccade
15:33:12.1219,510.1,378.6,saccade
15:33:12.1224,509.1,373.3,saccade
15:33:12.1229,508.3,362.4,saccade
15:33:12.1234,507.3,353.5,saccade
15:33:12.1239,506.1,345.3,saccade
15:33:12.1244,504.2,338.2,saccade
15:33:12.1249,503.7,325.6,saccade
15:33:12.1254,501.5,309.5,saccade
15:33:12.1259,499.6,298.3,saccade
15:33:12.1264,495.7,289.9,saccade
15:33:12.1269,493.4,287.0,saccade
15:33:12.1274,491.5,284.2,saccade
15:33:12.1279,491.4,282.5,saccade
15:33:12.1284,489.6,280.7,saccade
15:33:12.1289,487.4,278.2,saccade
15:33:12.1294,485.0,276.6,saccade
15:33:12.1299,484.1,274.7,saccade
15:33:12.1304,483.7,273.2,saccade
15:33:12.1309,483.6,270.4,saccade
15:33:12.1314,484.0,265.9,saccade
15:33:12.1319,484.3,261.7,saccade
15:33:12.1324,484.4,258.7,saccade
15:33:12.1329,482.5,257.7,saccade
15:33:12.1334,480.9,255.6,saccade
15:33:12.1339,479.4,254.3,saccade
15:33:12.1344,477.7,252.4,saccade
15:33:12.1349,475.6,251.7,saccade
15:33:12.1354,473.1,254.9,saccade
15:33:12.1359,472.2,258.7,saccade
15:33:12.1364,471.3,262.8,saccade
15:33:12.1369,469.7,262.8,saccade
15:33:12.1374,468.5,262.1,saccade
15:33:12.1379,467.5,260.3,saccade
15:33:12.1384,466.3,258.5,saccade
15:33:12.1389,463.9,261.8,fixation
15:33:12.1394,464.3,264.8,fixation
15:33:12.1399,463.3,265.2,fixation
15:33:12.1404,461.7,265.1,fixation
15:33:12.1409,460.7,262.5,fixation
15:33:12.1414,461.7,260.5,fixation
15:33:12.1419,462.5,260.6,fixation
15:33:12.1424,462.8,264.7,fixation
15:33:12.1429,462.6,269.2,fixation
15:33:12.1434,462.5,272.2,fixation
15:33:12.1439,462.1,274.1,fixation
15:33:12.1444,461.7,275.8,fixation
15:33:12.1449,461.9,277.0,fixation
15:33:12.1454,462.2,276.8,fixation
15:33:12.1459,462.1,276.9,fixation
15:33:12.1464,461.5,277.3,fixation
15:33:12.1469,461.8,277.3,fixation
15:33:12.1474,462.9,276.4,fixation
15:33:12.1479,463.9,275.6,fixation
15:33:12.1484,464.0,275.2,fixation
15:33:12.1489,463.3,277.8,fixation
15:33:12.1494,462.8,280.2,fixation
15:33:12.1499,462.5,283.3,fixation
15:33:12.1504,462.7,283.8,fixation
15:33:12.1509,463.6,281.0,fixation
15:33:12.1514,464.9,277.6,fixation
15:33:12.1519,466.0,274.7,fixation
15:33:12.1524,466.1,275.3,fixation
15:33:12.1529,464.7,274.2,fixation
15:33:12.1534,463.5,272.7,fixation
15:33:12.1539,463.6,273.1,fixation
15:33:12.1544,465.3,275.2,fixation
15:33:12.1549,467.3,277.2,fixation
15:33:12.1554,468.1,277.3,fixation
15:33:12.1559,466.3,277.1,fixation
15:33:12.1564,464.3,276.8,fixation
15:33:12.1569,462.3,276.3,fixation
15:33:12.1574,462.9,273.2,fixation
15:33:12.1579,463.7,270.2,fixation
15:33:12.1584,464.4,268.3,fixation
15:33:12.1589,464.5,269.2,fixation
15:33:12.1594,464.3,270.0,fixation
15:33:12.1599,463.6,269.5,fixation
15:33:12.1604,462.9,269.0,fixation
15:33:12.1609,462.2,270.5,fixation
15:33:12.1614,462.6,272.6,fixation
15:33:12.1619,463.1,273.7,fixation
15:33:12.1624,463.5,272.8,fixation
15:33:12.1629,464.2,274.7,fixation
15:33:12.1634,464.2,277.5,fixation
15:33:12.1639,463.6,280.1,fixation
15:33:12.1644,462.6,278.3,fixation
15:33:12.1649,462.8,275.6,fixation
15:33:12.1654,463.7,273.3,fixation
15:33:12.1659,464.1,275.7,fixation
15:33:12.1664,464.5,279.1,fixation
15:33:12.1669,464.9,281.6,fixation
15:33:12.1674,463.9,279.4,fixation
15:33:12.1679,462.2,278.6,fixation
15:33:12.1684,460.4,278.8,fixation
15:33:12.1689,460.4,277.2,fixation
15:33:12.1694,460.5,274.0,fixation
15:33:12.1699,460.4,270.7,fixation
15:33:12.1704,460.1,270.4,fixation
15:33:12.1709,461.7,274.6,fixation
15:33:12.1714,463.6,279.0,fixation
15:33:12.1719,465.1,283.3,fixation
15:33:12.1724,462.4,282.9,fixation
15:33:12.1729,459.6,282.6,fixation
15:33:12.1734,457.3,282.3,fixation
15:33:12.1739,457.2,282.3,fixation
15:33:12.1744,457.2,280.7,fixation
15:33:12.1749,457.3,279.2,fixation
15:33:12.1754,457.7,277.6,fixation
15:33:12.1759,458.0,277.6,fixation
15:33:12.1764,458.1,277.6,fixation
15:33:12.1769,457.9,277.6,fixation
15:33:12.1774,457.6,277.5,fixation
15:33:12.1779,457.3,276.4,fixation
15:33:12.1784,457.1,274.1,fixation
15:33:12.1789,457.1,271.9,fixation
15:33:12.1794,457.1,273.7,fixation
15:33:12.1799,457.4,276.6,fixation
15:33:12.1804,458.0,279.4,fixation
15:33:12.1809,458.9,279.3,fixation
15:33:12.1814,459.5,280.2,fixation
15:33:12.1819,459.9,281.2,fixation
15:33:12.1824,460.0,282.3,fixation
15:33:12.1829,460.1,282.5,fixation
15:33:12.1834,460.5,280.3,fixation
15:33:12.1839,460.9,278.0,fixation
15:33:12.1844,461.2,275.8,fixation
15:33:12.1849,461.0,275.9,fixation
15:33:12.1854,460.9,276.0,fixation
15:33:12.1859,461.2,273.0,fixation
15:33:12.1864,461.5,270.1,fixation
15:33:12.1869,461.6,268.6,fixation
15:33:12.1874,460.8,272.9,fixation
15:33:12.1879,460.1,277.7,fixation
15:33:12.1884,459.7,281.0,fixation
15:33:12.1889,460.0,277.8,fixation
15:33:12.1894,460.0,274.3,fixation
15:33:12.1899,459.9,271.6,fixation
15:33:12.1904,460.0,272.7,fixation
15:33:12.1909,460.5,272.7,fixation
15:33:12.1914,461.1,271.8,fixation
