TimeStamp,X,Y,Event
13:15:49.2992,680.6,516.1,saccade
13:15:49.2997,680.9,516.8,saccade
13:15:49.3002,681.3,517.5,saccade
13:15:49.3007,680.6,518.2,saccade
13:15:49.3012,679.8,519.3,saccade
13:15:49.3017,679.0,519.5,saccade
13:15:49.3022,679.0,518.3,saccade
13:15:49.3027,679.1,516.8,saccade
13:15:49.3032,679.1,516.7,saccade
13:15:49.3037,679.1,516.9,saccade
13:15:49.3042,678.6,515.4,saccade
13:15:49.3047,678.4,513.5,saccade
13:15:49.3052,678.1,511.7,saccade
13:15:49.3057,677.6,511.1,saccade
13:15:49.3062,675.6,509.8,saccade
13:15:49.3067,670.9,506.7,saccade
13:15:49.3072,667.0,504.4,saccade
13:15:49.3077,664.5,501.7,saccade
13:15:49.3082,663.2,499.7,saccade
13:15:49.3087,659.5,496.2,saccade
13:15:49.3092,653.5,490.0,saccade
13:15:49.3097,648.0,482.6,saccade
13:15:49.3102,643.7,475.8,saccade
13:15:49.3107,640.1,471.6,saccade
13:15:49.3112,637.1,466.3,saccade
13:15:49.3117,635.5,461.0,saccade
13:15:49.3122,632.1,453.1,saccade
13:15:49.3127,627.7,446.8,saccade
13:15:49.3132,623.3,441.4,saccade
13:15:49.3137,619.4,432.6,saccade
13:15:49.3142,616.9,425.2,saccade
13:15:49.3147,614.5,416.1,saccade
13:15:49.3152,612.6,409.5,saccade
13:15:49.3157,607.9,403.2,saccade
13:15:49.3162,602.5,395.0,saccade
13:15:49.3167,599.5,389.1,saccade
13:15:49.3172,596.8,380.7,saccade
13:15:49.3177,593.9,375.6,saccade
13:15:49.3182,589.4,369.5,saccade
13:15:49.3187,586.5,366.1,saccade
13:15:49.3192,583.3,360.9,saccade
13:15:49.3197,580.7,357.6,saccade
13:15:49.3202,578.8,353.3,saccade
13:15:49.3207,577.2,348.4,saccade
13:15:49.3212,575.5,342.2,saccade
13:15:49.3217,571.7,335.2,saccade
13:15:49.3222,567.6,329.9,saccade
13:15:49.3227,564.7,324.4,saccade
13:15:49.3232,562.3,317.9,saccade
13:15:49.3237,558.6,310.3,saccade
13:15:49.3242,552.6,301.7,saccade
13:15:49.3247,548.2,294.4,saccade
13:15:49.3252,544.9,287.5,saccade
13:15:49.3257,543.9,280.3,saccade
13:15:49.3262,543.1,275.1,saccade
13:15:49.3267,542.3,271.4,saccade
13:15:49.3272,541.5,269.1,saccade
13:15:49.3277,540.0,266.0,saccade
13:15:49.3282,539.6,262.6,saccade
13:15:49.3287,538.4,259.0,saccade
13:15:49.3292,537.7,255.9,saccade
13:15:49.3297,537.3,249.9,saccade
13:15:49.3302,535.4,245.0,saccade
13:15:49.3307,533.4,240.6,saccade
13:15:49.3312,530.7,239.6,saccade
13:15:49.3317,530.1,236.2,saccade
13:15:49.3322,528.8,232.1,saccade
13:15:49.3327,527.6,228.1,saccade
13:15:49.3332,525.9,227.8,saccade
13:15:49.3337,524.5,230.4,saccade
13:15:49.3342,523.2,232.9,saccade
13:15:49.3347,522.7,233.8,saccade
13:15:49.3352,520.8,232.4,saccade
13:15:49.3357,518.8,231.6,saccade
13:15:49.3362,516.7,233.8,saccade
13:15:49.3367,515.1,237.3,saccade
13:15:49.3372,513.1,242.6,saccade
13:15:49.3377,511.2,246.7,saccade
13:15:49.3382,510.8,249.2,saccade
13:15:49.3387,511.1,249.2,saccade
13:15:49.3392,511.2,250.8,saccade
13:15:49.3397,511.2,255.6,saccade
13:15:49.3402,510.9,260.5,saccade
13:15:49.3407,511.1,264.0,saccade
13:15:49.3412,511.2,267.1,saccade
13:15:49.3417,511.5,270.0,saccade
13:15:49.3422,511.9,272.7,saccade
13:15:49.3427,512.4,273.5,saccade
13:15:49.3432,513.0,274.0,saccade
13:15:49.3437,513.4,274.0,saccade
13:15:49.3442,514.0,273.1,saccade
13:15:49.3447,514.3,272.5,saccade
13:15:49.3452,514.5,273.5,saccade
13:15:49.3457,513.9,274.5,saccade
13:15:49.3462,513.4,274.5,saccade
13:15:49.3467,513.0,272.5,saccade
13:15:49.3472,513.7,269.4,saccade
13:15:49.3477,516.2,266.4,fixation
13:15:49.3482,517.0,266.3,fixation
13:15:49.3487,517.3,265.2,fixation
13:15:49.3492,518.7,264.8,fixation
13:15:49.3497,520.9,264.9,fixation
13:15:49.3502,523.0,265.9,fixation
13:15:49.3507,523.3,266.2,fixation
13:15:49.3512,523.0,263.0,fixation
13:15:49.3517,522.8,259.9,fixation
13:15:49.3522,522.8,258.7,fixation
13:15:49.3527,522.3,260.4,fixation
13:15:49.3532,521.3,261.7,fixation
13:15:49.3537,519.3,261.1,fixation
13:15:49.3542,517.6,260.6,fixation
13:15:49.3547,516.4,258.9,fixation
13:15:49.3552,516.4,257.3,fixation
13:15:49.3557,516.4,255.8,fixation
13:15:49.3562,516.4,257.5,fixation
13:15:49.3567,516.4,259.2,fixation
13:15:49.3572,515.3,256.8,fixation
13:15:49.3577,514.2,252.7,fixation
13:15:49.3582,513.5,249.3,fixation
13:15:49.3587,513.9,250.8,fixation
13:15:49.3592,514.4,252.5,fixation
13:15:49.3597,514.6,253.6,fixation
13:15:49.3602,514.7,253.7,fixation
13:15:49.3607,514.8,253.7,fixation
13:15:49.3612,515.7,253.8,fixation
13:15:49.3617,516.6,253.9,fixation
13:15:49.3622,517.1,254.1,fixation
13:15:49.3627,516.8,254.4,fixation
13:15:49.3632,516.2,254.6,fixation
13:15:49.3637,516.1,253.6,fixation
13:15:49.3642,516.0,252.4,fixation
13:15:49.3647,516.4,252.3,fixation
13:15:49.3652,516.7,253.4,fixation
13:15:49.3657,516.4,254.5,fixation
13:15:49.3662,515.0,254.6,fixation
13:15:49.3667,513.6,254.8,fixation
13:15:49.3672,514.3,254.1,fixation
13:15:49.3677,515.9,252.7,fixation
13:15:49.3682,517.0,250.9,fixation
13:15:49.3687,516.0,249.9,fixation
13:15:49.3692,515.0,249.3,fixation
13:15:49.3697,514.5,249.2,fixation
13:15:49.3702,514.4,250.5,fixation
13:15:49.3707,514.3,252.4,fixation
13:15:49.3712,514.1,254.2,fixation
13:15:49.3717,514.9,254.9,fixation
13:15:49.3722,515.8,255.2,fixation
13:15:49.3727,516.7,254.4,fixation
13:15:49.3732,516.9,252.5,fixation
13:15:49.3737,516.0,250.2,fixation
13:15:49.3742,515.0,248.6,fixation
13:15:49.3747,514.2,247.9,fixation
13:15:49.3752,514.8,247.4,fixation
13:15:49.3757,516.0,247.2,fixation
13:15:49.3762,516.9,247.5,fixation
13:15:49.3767,517.3,247.6,fixation
13:15:49.3772,517.1,247.7,fixation
13:15:49.3777,517.1,247.7,fixation
13:15:49.3782,517.4,247.4,fixation
13:15:49.3787,517.3,247.0,fixation
13:15:49.3792,516.9,247.8,fixation
13:15:49.3797,516.8,249.5,fixation
13:15:49.3802,516.8,251.2,fixation
13:15:49.3807,517.0,251.2,fixation
13:15:49.3812,516.6,251.2,fixation
13:15:49.3817,517.3,251.4,fixation
13:15:49.3822,518.1,251.6,fixation
13:15:49.3827,518.9,251.8,fixation
13:15:49.3832,518.9,251.9,fixation
13:15:49.3837,517.1,251.8,fixation
13:15:49.3842,515.5,250.8,fixation
13:15:49.3847,513.9,248.8,fixation
13:15:49.3852,515.0,247.1,fixation
13:15:49.3857,516.8,247.9,fixation
13:15:49.3862,518.5,249.5,fixation
13:15:49.3867,518.5,250.9,fixation
13:15:49.3872,517.8,250.9,fixation
13:15:49.3877,517.7,248.1,fixation
13:15:49.3882,518.4,245.5,fixation
13:15:49.3887,518.2,244.8,fixation
13:15:49.3892,516.7,246.7,fixation
13:15:49.3897,514.1,248.5,fixation
13:15:49.3902,512.4,248.5,fixation
13:15:49.3907,511.5,248.7,fixation
13:15:49.3912,511.9,249.2,fixation
13:15:49.3917,512.2,250.1,fixation
13:15:49.3922,512.6,249.3,fixation
13:15:49.3927,513.1,248.5,fixation
13:15:49.3932,513.4,248.8,fixation
13:15:49.3937,513.0,250.6,fixation
13:15:49.3942,512.4,252.1,fixation
13:15:49.3947,512.2,251.8,fixation
13:15:49.3952,512.7,252.2,fixation
13:15:49.3957,513.1,252.9,fixation
13:15:49.3962,513.0,253.5,fixation
13:15:49.3967,512.3,253.6,fixation
13:15:49.3972,511.6,253.9,fixation
13:15:49.3977,511.5,254.3,fixation
13:15:49.3982,512.0,252.4,fixation
13:15:49.3987,513.6,250.5,fixation
13:15:49.3992,514.9,248.5,fixation
13:15:49.3997,514.8,247.9,fixation
13:15:49.4002,513.8,246.9,fixation
13:15:49.4007,513.1,245.9,fixation
13:15:49.4012,513.6,246.4,fixation
13:15:49.4017,514.1,246.9,fixation
13:15:49.4022,514.2,247.2,fixation
13:15:49.4027,513.9,248.4,fixation
13:15:49.4032,513.7,250.0,fixation
13:15:49.4037,513.7,251.6,fixation
13:15:49.4042,515.0,250.9,fixation
13:15:49.4047,516.3,250.1,fixation
13:15:49.4052,517.5,249.0,fixation
13:15:49.4057,516.7,248.3,fixation
13:15:49.4062,515.9,247.6,fixation
13:15:49.4067,515.6,247.6,fixation
13:15:49.4072,516.0,248.4,fixation
13:15:49.4077,516.6,249.1,fixation
13:15:49.4082,516.2,249.4,fixation
13:15:49.4087,515.6,249.3,fixation
13:15:49.4092,514.8,250.3,fixation
13:15:49.4097,513.8,251.2,fixation
13:15:49.4102,513.1,252.4,fixation
13:15:49.4107,512.1,252.5,fixation
13:15:49.4112,511.6,252.9,fixation
13:15:49.4117,512.2,253.1,fixation
13:15:49.4122,513.3,253.7,fixation
13:15:49.4127,514.4,254.0,fixation
13:15:49.4132,514.0,253.3,fixation
13:15:49.4137,513.4,252.0,fixation
13:15:49.4142,514.2,250.8,fixation
13:15:49.4147,515.4,250.8,fixation
13:15:49.4152,515.6,251.0,fixation
13:15:49.4157,515.0,250.5,fixation
13:15:49.4162,514.9,248.1,fixation
13:15:49.4167,515.8,245.8,fixation
13:15:49.4172,516.0,243.6,fixation
13:15:49.4177,515.3,243.1,fixation
13:15:49.4182,514.5,244.5,fixation
13:15:49.4187,514.2,246.4,fixation
13:15:49.4192,514.5,247.4,fixation
13:15:49.4197,515.4,246.5,fixation
13:15:49.4202,516.2,244.9,fixation
13:15:49.4207,516.8,244.2,fixation
13:15:49.4212,516.7,245.4,fixation
13:15:49.4217,515.8,247.1,fixation
13:15:49.4222,514.9,249.5,fixation
13:15:49.4227,514.4,250.7,fixation
13:15:49.4232,514.9,252.0,fixation
13:15:49.4237,515.5,251.4,fixation
13:15:49.4242,515.9,250.0,fixation
13:15:49.4247,516.0,248.8,fixation
13:15:49.4252,516.1,248.9,fixation
13:15:49.4257,516.0,249.5,fixation
13:15:49.4262,516.1,252.0,fixation
13:15:49.4267,516.1,254.4,fixation
13:15:49.4272,516.1,255.3,fixation
13:15:49.4277,514.8,253.7,fixation
13:15:49.4282,513.6,252.0,fixation
13:15:49.4287,512.8,251.4,fixation
13:15:49.4292,513.3,251.4,fixation
13:15:49.4297,513.7,251.4,fixation
13:15:49.4302,513.6,251.4,fixation
13:15:49.4307,513.3,251.4,fixation
13:15:49.4312,512.8,251.8,fixation
13:15:49.4317,512.3,252.2,fixation
13:15:49.4322,512.0,252.9,fixation
13:15:49.4327,512.0,253.1,fixation
13:15:49.4332,512.1,251.7,fixation
13:15:49.4337,513.0,250.2,fixation
13:15:49.4342,514.1,247.0,fixation
13:15:49.4347,515.0,246.1,fixation
13:15:49.4352,515.1,245.6,fixation
13:15:49.4357,514.6,246.8,fixation
13:15:49.4362,514.0,248.3,fixation
13:15:49.4367,513.5,249.2,fixation
13:15:49.4372,513.3,250.1,fixation
13:15:49.4377,513.2,250.3,fixation
13:15:49.4382,513.2,249.9,fixation
13:15:49.4387,513.5,248.8,fixation
13:15:49.4392,513.8,246.4,fixation
13:15:49.4397,514.2,244.6,fixation
13:15:49.4402,514.5,244.1,fixation
13:15:49.4407,514.6,245.7,fixation
13:15:49.4412,515.2,247.4,fixation
13:15:49.4417,515.9,248.2,fixation
13:15:49.4422,515.9,248.3,fixation
13:15:49.4427,515.2,248.3,fixation
13:15:49.4432,514.3,248.8,fixation
13:15:49.4437,513.9,249.3,fixation
13:15:49.4442,513.5,249.3,fixation
13:15:49.4447,514.9,249.1,fixation
13:15:49.4452,516.6,249.8,fixation
13:15:49.4457,516.6,250.6,fixation
13:15:49.4462,514.4,248.1,fixation
13:15:49.4467,512.3,244.9,fixation
13:15:49.4472,512.2,244.0,fixation
13:15:49.4477,513.1,246.3,fixation
13:15:49.4482,514.3,246.1,fixation
13:15:49.4487,515.2,244.2,fixation
13:15:49.4492,515.8,242.7,fixation
13:15:49.4497,516.1,243.6,fixation
13:15:49.4502,516.3,244.4,fixation
13:15:49.4507,516.3,244.6,fixation
13:15:49.4512,516.5,244.8,fixation
13:15:49.4517,516.7,245.8,fixation
13:15:49.4522,517.1,248.3,saccade
13:15:49.4527,517.2,248.0,saccade
13:15:49.4532,517.3,246.6,saccade
13:15:49.4537,517.2,245.3,saccade
13:15:49.4542,517.2,244.6,saccade
13:15:49.4547,517.5,244.7,saccade
13:15:49.4552,518.4,243.6,saccade
13:15:49.4557,519.5,242.6,saccade
13:15:49.4562,520.2,241.8,saccade
13:15:49.4567,520.3,242.3,saccade
13:15:49.4572,520.6,245.1,saccade
13:15:49.4577,521.0,247.6,saccade
13:15:49.4582,521.4,249.6,saccade
13:15:49.4587,519.8,249.0,saccade
13:15:49.4592,517.2,248.2,saccade
13:15:49.4597,513.6,246.6,saccade
13:15:49.4602,510.9,245.3,saccade
13:15:49.4607,508.6,244.3,saccade
13:15:49.4612,504.9,244.1,saccade
13:15:49.4617,500.8,243.8,saccade
13:15:49.4622,497.5,243.4,saccade
13:15:49.4627,494.0,243.5,saccade
13:15:49.4632,491.5,243.8,saccade
13:15:49.4637,488.6,244.2,saccade
13:15:49.4642,485.8,244.0,saccade
13:15:49.4647,480.8,241.1,saccade
13:15:49.4652,473.1,237.2,saccade
13:15:49.4657,466.4,233.4,saccade
13:15:49.4662,461.3,232.2,saccade
13:15:49.4667,456.2,229.5,saccade
13:15:49.4672,449.7,226.5,saccade
13:15:49.4677,442.8,224.1,saccade
13:15:49.4682,438.2,224.1,saccade
13:15:49.4687,434.3,222.4,saccade
13:15:49.4692,430.3,220.2,saccade
13:15:49.4697,424.8,218.8,saccade
13:15:49.4702,421.6,219.4,saccade
13:15:49.4707,417.9,221.0,saccade
13:15:49.4712,413.8,221.5,saccade
13:15:49.4717,406.5,221.6,saccade
13:15:49.4722,400.9,220.8,saccade
