TimeStamp,X,Y,Event
11:19:04.1945,605.6,468.4,saccade
11:19:4.19499,605.4,468.2,saccade
11:19:4.19548,604.8,467.9,saccade
11:19:4.19598,603.9,468.2,saccade
11:19:4.19647,603.5,468.4,saccade
11:19:4.19696,603.1,468.6,saccade
11:19:4.19745,603.1,468.1,saccade
11:19:4.19795,602.4,467.6,saccade
11:19:4.19844,601.7,466.3,saccade
11:19:4.19893,601.0,465.3,saccade
11:19:4.19942,600.2,464.6,saccade
11:19:4.19992,599.3,463.6,saccade
11:19:4.20041,598.4,462.7,saccade
11:19:4.20090,598.4,461.0,saccade
11:19:4.2014,598.2,459.2,saccade
11:19:4.20189,596.8,456.1,saccade
11:19:4.20238,595.5,451.6,saccade
11:19:4.20287,594.4,447.9,saccade
11:19:4.20337,592.7,443.3,saccade
11:19:4.20386,590.4,440.3,saccade
11:19:4.20435,588.1,435.6,saccade
11:19:4.20484,587.2,432.3,saccade
11:19:4.20534,585.9,427.2,saccade
11:19:4.20583,584.9,422.3,saccade
11:19:4.20632,584.3,417.9,saccade
11:19:4.20682,583.3,413.8,saccade
11:19:4.20731,582.4,409.4,saccade
11:19:4.20780,580.4,403.2,saccade
11:19:4.20829,579.6,399.4,saccade
11:19:4.20879,577.5,393.0,saccade
11:19:4.20928,576.0,388.4,saccade
11:19:4.20977,574.4,382.6,saccade
11:19:4.21026,572.8,380.2,saccade
11:19:4.21076,570.9,376.6,saccade
11:19:4.21125,568.8,371.1,saccade
11:19:4.21174,567.3,365.6,saccade
11:19:4.21223,565.9,361.3,saccade
11:19:4.21273,563.9,356.2,saccade
11:19:4.21322,561.2,351.7,saccade
11:19:4.21371,558.7,344.0,saccade
11:19:4.21421,557.3,338.0,saccade
11:19:4.21470,556.6,332.4,saccade
11:19:4.21519,555.7,329.1,saccade
11:19:4.21568,554.8,325.2,saccade
11:19:4.21618,554.0,320.6,saccade
11:19:4.21667,553.6,315.8,saccade
11:19:4.21716,552.7,312.1,saccade
11:19:4.21765,551.5,307.6,saccade
11:19:4.21815,550.3,302.5,saccade
11:19:4.21864,548.4,298.6,saccade
11:19:4.21913,546.3,294.4,saccade
11:19:4.21962,543.3,289.8,saccade
11:19:4.22012,540.3,284.2,saccade
11:19:4.22061,537.9,279.9,saccade
11:19:4.22110,535.2,276.5,saccade
11:19:4.2216,533.6,272.4,saccade
11:19:4.22209,531.5,265.8,saccade
11:19:4.22258,530.5,260.7,saccade
11:19:4.22307,528.0,257.2,saccade
11:19:4.22357,525.8,254.2,saccade
11:19:4.22406,523.7,250.7,saccade
11:19:4.22455,522.1,247.2,saccade
11:19:4.22504,521.0,243.1,saccade
11:19:4.22554,519.6,239.6,saccade
11:19:4.22603,518.4,235.9,saccade
11:19:4.22652,516.5,234.0,saccade
11:19:4.22701,514.3,230.6,saccade
11:19:4.22751,512.7,227.6,saccade
11:19:4.22800,510.8,225.1,saccade
11:19:4.22849,509.0,222.5,saccade
11:19:4.22899,507.2,219.8,saccade
11:19:4.22948,505.5,217.5,saccade
11:19:4.22997,504.4,216.8,saccade
11:19:4.23046,503.4,215.1,saccade
11:19:4.23096,502.1,213.6,saccade
11:19:4.23145,501.2,212.5,saccade
11:19:4.23194,500.3,211.3,saccade
11:19:4.23243,499.0,209.6,saccade
11:19:4.23293,497.5,207.9,saccade
11:19:4.23342,496.0,207.3,saccade
11:19:4.23391,495.9,207.3,saccade
11:19:4.23441,495.4,207.1,saccade
11:19:4.23490,493.8,205.0,saccade
11:19:4.23539,490.1,201.0,fixation
11:19:4.23588,489.2,200.8,fixation
11:19:4.23638,488.1,201.7,fixation
11:19:4.23687,487.8,202.8,fixation
11:19:4.23736,487.1,203.8,fixation
11:19:4.23785,486.8,204.2,fixation
11:19:4.23835,486.8,204.4,fixation
11:19:4.23884,487.3,203.5,fixation
11:19:4.23933,487.2,202.7,fixation
11:19:4.23982,487.0,202.3,fixation
11:19:4.24032,486.8,203.0,fixation
11:19:4.24081,486.1,203.4,fixation
11:19:4.24130,485.4,203.7,fixation
11:19:4.2418,484.8,204.1,fixation
11:19:4.24229,485.1,204.7,fixation
11:19:4.24278,485.7,206.1,fixation
11:19:4.24327,486.2,206.8,fixation
11:19:4.24377,486.5,207.3,fixation
11:19:4.24426,486.5,207.5,fixation
11:19:4.24475,486.3,207.9,fixation
11:19:4.24524,486.0,208.4,fixation
11:19:4.24574,485.9,207.7,fixation
11:19:4.24623,485.6,207.0,fixation
11:19:4.24672,485.5,207.6,fixation
11:19:4.24721,486.3,209.0,fixation
11:19:4.24771,487.4,209.8,fixation
11:19:4.24820,488.7,209.4,fixation
11:19:4.24869,487.9,208.8,fixation
11:19:4.24919,486.8,208.8,fixation
11:19:4.24968,486.1,208.8,fixation
11:19:4.25017,486.6,208.7,fixation
11:19:4.25066,487.3,208.7,fixation
11:19:4.25116,487.6,208.9,fixation
11:19:4.25165,487.5,209.3,fixation
11:19:4.25214,487.2,209.7,fixation
11:19:4.25263,486.9,210.5,fixation
11:19:4.25313,487.5,211.1,fixation
11:19:4.25362,488.2,210.9,fixation
11:19:4.25411,488.9,210.2,fixation
11:19:4.25461,488.5,209.4,fixation
11:19:4.25510,488.2,209.4,fixation
11:19:4.25559,487.8,209.6,fixation
11:19:4.25608,487.7,209.7,fixation
11:19:4.25658,487.6,209.3,fixation
11:19:4.25707,487.4,208.8,fixation
11:19:4.25756,486.9,208.3,fixation
11:19:4.25805,486.3,208.2,fixation
11:19:4.25855,485.8,208.1,fixation
11:19:4.25904,485.7,208.0,fixation
11:19:4.25953,485.7,208.1,fixation
11:19:4.26002,485.8,208.2,fixation
11:19:4.26052,485.9,208.1,fixation
11:19:4.26101,486.1,206.8,fixation
11:19:4.26150,486.4,205.5,fixation
11:19:4.262,486.6,204.8,fixation
11:19:4.26249,486.6,205.6,fixation
11:19:4.26298,486.3,206.4,fixation
11:19:4.26347,485.6,206.8,fixation
11:19:4.26397,485.0,207.0,fixation
11:19:4.26446,484.7,207.2,fixation
11:19:4.26495,484.9,208.0,fixation
11:19:4.26544,485.2,208.8,fixation
11:19:4.26594,485.6,208.8,fixation
11:19:4.26643,485.9,208.1,fixation
11:19:4.26692,486.2,207.2,fixation
11:19:4.26741,486.2,206.9,fixation
11:19:4.26791,485.7,206.6,fixation
11:19:4.26840,485.3,206.5,fixation
11:19:4.26889,484.9,205.8,fixation
11:19:4.26939,484.8,205.4,fixation
11:19:4.26988,485.4,205.0,fixation
11:19:4.27037,486.0,205.3,fixation
11:19:4.27086,486.6,206.2,fixation
11:19:4.27136,486.5,207.0,fixation
11:19:4.27185,486.3,207.9,fixation
11:19:4.27234,486.1,208.0,fixation
11:19:4.27283,486.6,207.8,fixation
11:19:4.27333,487.1,207.1,fixation
11:19:4.27382,487.5,206.3,fixation
11:19:4.27431,486.8,205.7,fixation
11:19:4.27480,486.1,205.4,fixation
11:19:4.2753,485.6,205.0,fixation
11:19:4.27579,485.7,204.6,fixation
11:19:4.27628,486.0,204.4,fixation
11:19:4.27678,486.3,204.6,fixation
11:19:4.27727,485.8,205.5,fixation
11:19:4.27776,485.1,206.3,fixation
