TimeStamp,X,Y,Event
13:33:02.4464,217.7,272.4,fixation
13:33:2.44690,218.2,271.4,fixation
13:33:2.4474,218.7,270.4,fixation
13:33:2.4479,219.1,270.5,fixation
13:33:2.44840,219.9,270.7,fixation
13:33:2.4489,221.0,270.8,fixation
13:33:2.44940,221.9,271.9,fixation
13:33:2.4499,221.8,273.0,fixation
13:33:2.4504,221.0,273.8,fixation
13:33:2.45090,220.4,273.1,fixation
13:33:2.4514,219.6,272.3,fixation
13:33:2.4519,219.3,271.8,fixation
13:33:2.45240,218.9,271.6,fixation
13:33:2.4529,218.7,271.5,fixation
13:33:2.45340,218.6,271.9,fixation
13:33:2.4539,218.5,272.2,fixation
13:33:2.4544,218.2,272.3,fixation
13:33:2.45490,217.6,273.2,fixation
13:33:2.4554,217.0,274.1,fixation
13:33:2.4559,215.4,274.3,fixation
13:33:2.45640,214.3,273.6,fixation
13:33:2.4569,213.5,273.0,fixation
13:33:2.45740,213.7,273.6,fixation
13:33:2.4579,213.4,274.2,fixation
13:33:2.4584,213.1,274.5,fixation
13:33:2.45890,212.8,274.2,fixation
13:33:2.4594,213.7,273.9,fixation
13:33:2.4599,214.5,274.6,fixation
13:33:2.46040,215.4,275.5,fixation
13:33:2.4609,215.3,275.2,fixation
13:33:2.46140,215.4,274.2,fixation
13:33:2.4619,215.4,273.3,fixation
13:33:2.4624,215.1,273.6,fixation
13:33:2.46290,214.7,274.8,fixation
13:33:2.4634,214.3,275.8,fixation
13:33:2.4639,214.1,276.7,fixation
13:33:2.46440,214.2,276.6,fixation
13:33:2.4649,214.4,276.4,fixation
13:33:2.46540,214.7,276.6,fixation
13:33:2.4659,215.1,276.9,fixation
13:33:2.4664,215.5,277.4,fixation
13:33:2.46690,214.4,277.6,fixation
13:33:2.4674,213.3,277.5,fixation
13:33:2.4679,213.1,277.3,fixation
13:33:2.46840,214.0,278.3,fixation
13:33:2.4689,214.8,279.7,fixation
13:33:2.46940,214.5,281.2,fixation
13:33:2.4699,214.3,281.4,fixation
13:33:2.4704,213.8,280.7,fixation
13:33:2.47090,213.4,279.7,fixation
13:33:2.4714,212.8,279.2,fixation
13:33:2.4719,212.5,279.6,fixation
13:33:2.47240,213.1,280.1,fixation
13:33:2.4729,214.0,280.3,fixation
13:33:2.47340,214.8,280.4,fixation
13:33:2.4739,214.8,279.6,fixation
13:33:2.4744,215.6,278.8,fixation
13:33:2.47490,216.4,278.0,fixation
13:33:2.4754,216.2,278.0,fixation
13:33:2.4759,215.4,277.2,fixation
13:33:2.47640,214.6,276.4,fixation
13:33:2.4769,214.8,276.5,fixation
13:33:2.47740,214.6,277.3,fixation
13:33:2.4779,214.3,278.4,fixation
13:33:2.4784,214.2,278.9,fixation
13:33:2.47890,214.5,279.3,fixation
13:33:2.4794,215.0,279.5,fixation
13:33:2.4799,215.3,279.6,fixation
13:33:2.48040,216.2,280.0,fixation
13:33:2.4809,216.9,281.5,fixation
13:33:2.48140,217.6,282.9,fixation
13:33:2.4819,216.9,283.2,fixation
13:33:2.4824,216.4,282.4,fixation
13:33:2.48290,216.0,280.8,fixation
13:33:2.4834,216.1,280.0,fixation
13:33:2.4839,216.6,279.3,fixation
13:33:2.48440,216.9,279.4,fixation
13:33:2.4849,217.3,279.3,fixation
13:33:2.48540,217.2,279.0,fixation
13:33:2.4859,217.3,278.2,fixation
13:33:2.4864,217.0,277.5,fixation
13:33:2.48690,216.6,277.1,fixation
13:33:2.4874,216.1,277.8,fixation
13:33:2.48790,216.1,278.4,fixation
13:33:2.4884,216.1,278.7,fixation
13:33:2.4889,216.2,278.7,fixation
13:33:2.48940,216.1,278.6,fixation
13:33:2.4899,216.0,278.5,fixation
13:33:2.4904,215.9,278.6,fixation
13:33:2.49090,215.9,278.8,fixation
13:33:2.4914,215.9,278.7,fixation
13:33:2.49190,216.0,278.4,fixation
13:33:2.4924,216.3,278.1,fixation
13:33:2.4929,216.2,278.6,fixation
13:33:2.49340,216.0,279.1,fixation
13:33:2.4939,216.6,277.9,fixation
13:33:2.4944,217.6,276.2,fixation
13:33:2.49490,218.5,275.2,fixation
13:33:2.4954,218.9,275.9,fixation
13:33:2.49590,219.5,276.3,fixation
13:33:2.4964,220.2,275.9,fixation
13:33:2.4969,220.4,275.2,fixation
13:33:2.49740,219.2,274.8,fixation
13:33:2.4979,217.8,276.1,fixation
13:33:2.4984,216.4,277.7,fixation
13:33:2.49890,216.3,279.3,fixation
13:33:2.4994,216.4,279.3,fixation
13:33:2.49990,216.4,279.3,fixation
13:33:2.5004,216.3,278.9,fixation
13:33:2.5009,216.0,278.6,fixation
13:33:2.50140,215.9,278.2,fixation
13:33:2.5019,216.4,278.2,fixation
13:33:2.5024,217.0,278.1,fixation
13:33:2.50290,216.7,278.0,fixation
13:33:2.5034,216.2,276.6,fixation
13:33:2.50390,215.7,275.3,fixation
13:33:2.5044,216.8,275.0,fixation
13:33:2.5049,217.7,276.0,fixation
13:33:2.50540,218.0,276.4,fixation
13:33:2.5059,217.0,276.1,fixation
13:33:2.5064,216.0,275.9,fixation
13:33:2.50690,215.9,277.2,fixation
13:33:2.5074,216.4,279.1,fixation
13:33:2.50790,217.0,280.8,fixation
13:33:2.5084,217.2,281.6,fixation
13:33:2.5089,217.3,281.7,fixation
13:33:2.50940,217.5,280.2,fixation
13:33:2.5099,217.4,278.7,fixation
13:33:2.5104,217.4,277.3,fixation
13:33:2.51090,217.4,277.4,fixation
13:33:2.5114,217.6,278.3,fixation
13:33:2.51190,217.6,279.0,fixation
13:33:2.5124,217.6,278.2,fixation
13:33:2.5129,216.9,276.7,fixation
13:33:2.51340,215.8,276.3,fixation
13:33:2.5139,214.5,277.5,fixation
13:33:2.5144,215.1,279.2,fixation
13:33:2.51490,216.2,279.7,fixation
13:33:2.5154,216.3,278.9,fixation
13:33:2.51590,215.3,278.2,fixation
13:33:2.5164,214.2,277.5,fixation
13:33:2.5169,214.1,278.1,fixation
13:33:2.51740,213.9,278.6,fixation
13:33:2.5179,213.3,279.0,fixation
13:33:2.5184,212.8,279.3,fixation
13:33:2.51890,212.5,279.1,fixation
13:33:2.5194,212.5,279.7,fixation
13:33:2.51990,213.0,280.1,fixation
13:33:2.5204,213.3,280.5,fixation
13:33:2.5209,213.7,280.2,fixation
13:33:2.52140,213.4,280.6,fixation
13:33:2.5219,213.3,281.1,fixation
13:33:2.5224,213.1,281.5,fixation
13:33:2.52290,213.2,280.3,fixation
13:33:2.5234,213.3,279.1,fixation
13:33:2.52390,212.9,277.8,fixation
13:33:2.5244,212.4,278.3,fixation
13:33:2.5249,211.9,278.7,fixation
