TimeStamp,X,Y,Event
14:26:01.4326,489.4,317.6,fixation
14:26:1.4331,489.6,320.7,fixation
14:26:1.4336,489.8,324.3,fixation
14:26:1.4341,489.9,327.2,fixation
14:26:1.43459,489.4,327.1,fixation
14:26:1.43509,489.1,326.2,fixation
14:26:1.43559,489.4,325.8,fixation
14:26:1.43608,489.8,325.7,fixation
14:26:1.43658,490.7,325.8,fixation
14:26:1.43708,491.0,326.6,fixation
14:26:1.43757,491.0,327.9,fixation
14:26:1.43807,490.4,328.6,fixation
14:26:1.43857,490.0,328.6,fixation
14:26:1.43906,490.0,326.3,fixation
14:26:1.43956,489.8,324.6,fixation
14:26:1.44006,489.2,325.3,fixation
14:26:1.44055,488.8,327.8,fixation
14:26:1.44105,488.6,330.8,fixation
14:26:1.44154,488.6,332.0,fixation
14:26:1.44204,488.2,333.2,fixation
14:26:1.44254,487.9,334.0,fixation
14:26:1.44303,487.9,334.3,fixation
14:26:1.44353,487.8,335.0,fixation
14:26:1.44403,487.5,335.6,fixation
14:26:1.44452,487.0,336.1,fixation
14:26:1.44502,486.6,335.9,fixation
14:26:1.44552,486.7,335.8,fixation
14:26:1.44601,487.6,332.0,fixation
14:26:1.44651,488.1,328.1,fixation
14:26:1.44701,487.9,324.6,fixation
14:26:1.44750,487.1,325.4,fixation
14:26:1.448,486.6,327.1,fixation
14:26:1.4485,486.1,330.6,fixation
14:26:1.44899,485.5,333.6,fixation
14:26:1.44949,485.6,332.5,fixation
14:26:1.44999,486.0,329.2,fixation
14:26:1.45048,486.3,326.0,fixation
14:26:1.45098,486.1,326.7,fixation
14:26:1.45147,484.0,328.1,fixation
14:26:1.45197,481.9,329.5,fixation
14:26:1.45247,482.9,325.8,fixation
14:26:1.45296,485.9,321.7,fixation
14:26:1.45346,488.5,322.5,fixation
14:26:1.45396,487.9,327.8,fixation
14:26:1.45445,487.2,333.0,fixation
14:26:1.45495,487.4,328.6,fixation
14:26:1.45545,486.9,323.7,fixation
14:26:1.45594,485.6,323.5,fixation
14:26:1.45644,483.7,328.0,fixation
14:26:1.45694,482.3,332.0,fixation
14:26:1.45743,482.5,331.7,fixation
14:26:1.45793,482.6,331.7,fixation
14:26:1.45843,482.9,332.0,fixation
14:26:1.45892,484.0,331.6,fixation
14:26:1.45942,485.5,331.0,fixation
14:26:1.45991,487.0,330.8,fixation
14:26:1.46041,487.3,329.8,fixation
14:26:1.46091,487.6,328.8,fixation
14:26:1.46140,485.5,330.8,fixation
14:26:1.4619,483.3,333.2,fixation
14:26:1.4624,482.4,335.1,fixation
14:26:1.46289,484.3,330.7,fixation
14:26:1.46339,486.1,326.9,fixation
14:26:1.46389,486.7,324.7,fixation
14:26:1.46438,487.3,325.8,fixation
14:26:1.46488,487.9,326.9,fixation
14:26:1.46538,487.6,327.4,fixation
14:26:1.46587,486.6,327.8,fixation
14:26:1.46637,485.9,326.4,fixation
14:26:1.46687,488.0,324.8,fixation
14:26:1.46736,490.1,326.6,fixation
14:26:1.46786,490.8,330.2,fixation
14:26:1.46835,489.1,333.4,fixation
14:26:1.46885,487.5,333.1,fixation
14:26:1.46935,486.8,335.0,fixation
14:26:1.46984,486.2,336.9,fixation
14:26:1.47034,486.1,338.7,fixation
14:26:1.47084,486.4,338.4,fixation
14:26:1.47133,486.7,337.8,fixation
14:26:1.47183,487.0,337.3,fixation
14:26:1.47233,487.1,337.4,fixation
14:26:1.47282,486.3,337.4,fixation
14:26:1.47332,485.6,337.4,fixation
14:26:1.47382,485.4,335.2,fixation
14:26:1.47431,485.7,333.3,fixation
14:26:1.47481,485.4,333.3,fixation
14:26:1.47531,484.7,335.0,fixation
