TimeStamp,X,Y,Event
13:29:09.6345,617.5,297.9,fixation
13:29:9.635,617.8,300.0,fixation
13:29:9.6355,617.9,299.3,fixation
13:29:9.63600,618.7,298.2,fixation
13:29:9.6365,619.4,297.3,fixation
13:29:9.637,619.9,296.8,fixation
13:29:9.63750,619.6,299.0,fixation
13:29:9.638,619.4,301.2,fixation
13:29:9.6385,619.4,303.4,fixation
13:29:9.63900,619.6,303.4,fixation
13:29:9.6395,619.3,302.7,fixation
13:29:9.64,618.4,301.8,fixation
13:29:9.64050,617.8,300.8,fixation
13:29:9.641,617.6,299.4,fixation
13:29:9.6415,618.1,298.2,fixation
13:29:9.64200,618.3,296.9,fixation
13:29:9.6425,617.5,296.3,fixation
13:29:9.643,616.6,295.8,fixation
13:29:9.64350,614.9,295.5,fixation
13:29:9.644,613.6,293.0,fixation
13:29:9.6445,612.4,290.5,fixation
13:29:9.64500,614.5,288.7,fixation
13:29:9.6455,617.2,289.7,fixation
13:29:9.646,619.8,292.5,fixation
13:29:9.64650,620.0,294.6,fixation
13:29:9.647,620.3,296.4,fixation
13:29:9.6475,618.2,296.2,fixation
13:29:9.64800,616.0,295.9,fixation
13:29:9.6485,613.0,295.3,fixation
13:29:9.64900,611.5,294.9,fixation
13:29:9.6495,609.9,296.0,fixation
13:29:9.65,609.3,298.4,fixation
13:29:9.65050,610.0,301.0,fixation
13:29:9.651,612.3,303.0,fixation
13:29:9.6515,614.2,303.8,fixation
13:29:9.65200,614.8,302.4,fixation
13:29:9.6525,614.0,300.1,fixation
13:29:9.653,615.7,297.8,fixation
13:29:9.65350,619.1,297.7,fixation
13:29:9.654,622.6,297.8,fixation
13:29:9.6545,622.2,299.4,fixation
13:29:9.65500,621.0,300.7,fixation
13:29:9.6555,619.5,301.9,fixation
13:29:9.656,619.5,301.5,fixation
13:29:9.65650,619.5,302.4,fixation
13:29:9.657,620.3,303.1,fixation
13:29:9.6575,620.8,303.4,fixation
13:29:9.65800,620.1,302.6,fixation
13:29:9.6585,618.9,302.0,fixation
13:29:9.659,617.6,299.8,fixation
13:29:9.65950,617.5,298.0,fixation
13:29:9.66,616.2,296.3,fixation
13:29:9.6605,614.9,297.4,fixation
13:29:9.66100,614.0,299.4,fixation
13:29:9.6615,614.7,301.3,fixation
13:29:9.662,615.5,302.3,fixation
13:29:9.66250,616.5,302.1,fixation
13:29:9.663,617.1,300.9,fixation
13:29:9.6635,617.5,300.2,fixation
13:29:9.66400,617.2,299.7,fixation
13:29:9.6645,616.8,299.0,fixation
13:29:9.66500,616.6,298.0,fixation
13:29:9.6655,616.6,296.8,fixation
13:29:9.666,616.5,296.4,fixation
13:29:9.66650,616.5,296.0,fixation
13:29:9.667,616.4,296.2,fixation
13:29:9.6675,617.3,296.8,fixation
13:29:9.66800,619.0,297.4,fixation
13:29:9.6685,620.7,298.4,fixation
13:29:9.669,621.0,299.2,fixation
13:29:9.66950,619.9,300.2,fixation
13:29:9.67,616.5,300.1,fixation
13:29:9.6705,614.2,298.3,fixation
13:29:9.67100,612.5,296.2,fixation
13:29:9.6715,612.1,294.5,fixation
13:29:9.672,611.0,294.9,fixation
13:29:9.67250,610.2,294.7,fixation
13:29:9.673,610.8,294.5,fixation
13:29:9.6735,612.1,294.3,fixation
13:29:9.67400,612.7,294.6,fixation
13:29:9.6745,613.2,294.8,fixation
13:29:9.675,613.0,295.9,fixation
13:29:9.67550,613.3,297.1,fixation
13:29:9.676,613.6,298.6,fixation
13:29:9.6765,613.4,299.2,fixation
13:29:9.67700,612.9,299.9,fixation
13:29:9.6775,612.4,300.3,fixation
13:29:9.678,612.3,300.5,fixation
13:29:9.67850,612.4,299.2,fixation
13:29:9.679,612.2,297.7,fixation
13:29:9.6795,612.1,296.1,fixation
13:29:9.68000,613.2,297.8,fixation
13:29:9.6805,614.5,299.6,fixation
13:29:9.68100,615.9,300.8,fixation
13:29:9.6815,615.7,299.9,fixation
13:29:9.682,615.4,298.6,fixation
13:29:9.68250,615.1,298.1,fixation
13:29:9.683,615.0,298.0,fixation
13:29:9.6835,615.0,298.3,fixation
13:29:9.68400,615.1,298.6,fixation
13:29:9.6845,614.8,298.7,fixation
13:29:9.685,614.9,298.9,fixation
13:29:9.68550,615.5,298.9,fixation
13:29:9.686,616.5,298.4,fixation
13:29:9.6865,616.8,297.9,fixation
13:29:9.68700,616.5,297.5,fixation
13:29:9.6875,616.2,297.2,fixation
13:29:9.688,615.4,296.6,fixation
13:29:9.68850,614.6,296.5,fixation
13:29:9.689,614.0,296.7,fixation
13:29:9.6895,614.1,297.3,fixation
13:29:9.69000,614.2,297.2,fixation
13:29:9.6905,614.1,297.0,fixation
13:29:9.691,613.9,298.9,fixation
13:29:9.69150,614.0,300.9,fixation
13:29:9.692,614.3,303.0,fixation
13:29:9.6925,614.5,303.0,fixation
13:29:9.69300,614.4,303.0,fixation
13:29:9.6935,615.2,301.1,fixation
13:29:9.694,616.3,299.3,fixation
13:29:9.69450,616.4,297.9,fixation
13:29:9.695,614.6,298.2,fixation
13:29:9.69550,612.8,297.9,fixation
13:29:9.696,612.7,296.7,fixation
13:29:9.6965,614.3,295.7,fixation
13:29:9.69700,615.9,295.4,fixation
13:29:9.6975,616.5,295.8,fixation
13:29:9.698,616.0,297.2,fixation
13:29:9.69850,615.4,298.5,fixation
13:29:9.699,615.2,298.9,fixation
13:29:9.6995,615.3,298.1,fixation
13:29:9.70000,615.5,296.6,fixation
13:29:9.7005,615.7,295.8,fixation
13:29:9.701,615.6,296.2,fixation
13:29:9.70150,615.4,298.2,fixation
13:29:9.702,615.1,300.1,fixation
13:29:9.7025,615.8,301.5,fixation
13:29:9.70300,617.4,302.1,fixation
13:29:9.7035,619.0,301.9,fixation
13:29:9.704,618.3,299.8,fixation
13:29:9.70450,616.9,297.7,fixation
13:29:9.705,615.3,297.4,fixation
13:29:9.7055,614.8,298.4,fixation
13:29:9.70600,614.4,299.2,fixation
13:29:9.7065,614.0,298.9,fixation
13:29:9.707,614.1,297.9,fixation
13:29:9.70750,613.6,297.2,fixation
13:29:9.708,613.0,296.7,fixation
13:29:9.7085,612.5,296.6,fixation
13:29:9.70900,612.9,296.4,fixation
13:29:9.7095,614.4,297.2,fixation
13:29:9.71,615.6,298.4,fixation
13:29:9.71050,617.2,298.0,fixation
13:29:9.711,617.8,296.3,fixation
13:29:9.71150,618.4,294.9,fixation
13:29:9.712,617.7,294.9,fixation
13:29:9.7125,616.6,294.8,fixation
13:29:9.71300,615.2,295.8,fixation
13:29:9.7135,614.6,297.1,fixation
13:29:9.714,614.6,298.7,fixation
13:29:9.71450,615.0,299.1,fixation
13:29:9.715,615.3,299.8,fixation
13:29:9.7155,613.9,300.0,fixation
13:29:9.71600,612.3,299.3,fixation
13:29:9.7165,611.5,298.5,fixation
13:29:9.717,612.4,298.0,fixation
13:29:9.71750,612.2,298.0,fixation
13:29:9.718,611.1,298.1,fixation
13:29:9.7185,609.4,297.9,fixation
13:29:9.71900,608.9,297.9,fixation
13:29:9.7195,608.2,297.9,fixation
13:29:9.72,608.3,297.2,fixation
13:29:9.72050,611.2,296.7,fixation
13:29:9.721,614.1,296.0,fixation
13:29:9.7215,617.0,296.0,fixation
13:29:9.72200,616.4,297.7,fixation
13:29:9.7225,615.2,299.5,fixation
13:29:9.723,614.3,299.3,fixation
13:29:9.72350,613.9,297.2,fixation
13:29:9.724,613.9,295.5,fixation
13:29:9.7245,613.7,295.8,fixation
13:29:9.72500,613.9,296.3,fixation
13:29:9.7255,614.3,296.4,fixation
13:29:9.726,615.2,296.6,fixation
13:29:9.72650,616.2,298.0,fixation
13:29:9.727,617.3,299.6,fixation
13:29:9.72750,617.6,301.1,fixation
13:29:9.728,618.2,299.4,fixation
13:29:9.7285,618.7,297.5,fixation
13:29:9.72900,617.1,296.7,fixation
13:29:9.7295,614.9,297.7,fixation
13:29:9.73,612.4,298.6,fixation
13:29:9.73050,612.1,299.3,fixation
13:29:9.731,611.7,299.9,fixation
13:29:9.7315,611.7,301.0,fixation
13:29:9.73200,611.6,301.6,fixation
13:29:9.7325,611.1,302.3,fixation
13:29:9.733,610.8,299.3,fixation
13:29:9.73350,610.7,296.1,fixation
13:29:9.734,610.9,293.5,fixation
13:29:9.7345,612.5,294.7,fixation
13:29:9.73500,614.0,297.4,fixation
13:29:9.7355,615.4,300.4,fixation
13:29:9.736,615.2,302.6,fixation
13:29:9.73650,614.1,302.2,fixation
13:29:9.737,613.3,299.7,fixation
13:29:9.7375,613.1,297.1,fixation
13:29:9.73800,614.0,295.7,fixation
13:29:9.7385,614.8,295.6,fixation
13:29:9.739,615.3,296.1,fixation
13:29:9.73950,615.6,296.5,fixation
13:29:9.74,615.1,295.5,fixation
13:29:9.7405,614.3,294.3,fixation
13:29:9.74100,613.2,296.2,fixation
13:29:9.7415,612.1,299.4,fixation
13:29:9.742,611.4,298.8,fixation
13:29:9.74250,611.2,295.0,fixation
13:29:9.743,611.2,292.1,fixation
13:29:9.74350,610.8,292.9,fixation
13:29:9.744,610.6,295.6,fixation
13:29:9.7445,611.4,297.5,fixation
13:29:9.74500,612.3,300.1,fixation
13:29:9.7455,613.0,300.6,fixation
13:29:9.746,613.2,301.0,fixation
13:29:9.74650,613.2,300.7,fixation
