TimeStamp,X,Y,Event
13:01:41.2617,926.7,280.8,fixation
13:1:41.2622,928.0,280.9,fixation
13:1:41.2627,929.2,281.1,fixation
13:1:41.26320,930.0,280.3,fixation
13:1:41.2637,929.6,278.3,fixation
13:1:41.2642,929.2,276.4,fixation
13:1:41.26470,929.0,276.4,fixation
13:1:41.2652,928.4,277.9,fixation
13:1:41.2657,927.8,279.4,fixation
13:1:41.26620,927.2,280.0,fixation
13:1:41.2667,927.2,278.5,fixation
13:1:41.2672,927.0,277.0,fixation
13:1:41.26770,926.8,276.0,fixation
13:1:41.2682,926.2,277.0,fixation
13:1:41.2687,925.4,277.9,fixation
13:1:41.26920,924.7,279.4,fixation
13:1:41.2697,925.9,280.1,fixation
13:1:41.2702,927.6,280.8,fixation
13:1:41.27070,929.4,280.3,fixation
13:1:41.2712,930.2,280.1,fixation
13:1:41.2717,931.1,279.9,fixation
13:1:41.27220,930.1,279.9,fixation
13:1:41.2727,928.4,278.8,fixation
13:1:41.2732,926.7,278.1,fixation
13:1:41.27370,926.9,277.7,fixation
13:1:41.2742,927.0,278.1,fixation
13:1:41.2747,927.1,277.8,fixation
13:1:41.27520,926.5,275.9,fixation
13:1:41.2757,925.6,274.2,fixation
13:1:41.2762,924.7,272.1,fixation
13:1:41.27670,924.2,271.4,fixation
13:1:41.2772,924.2,270.6,fixation
13:1:41.2777,926.1,271.1,fixation
13:1:41.27820,928.2,271.6,fixation
13:1:41.2787,930.0,272.1,fixation
13:1:41.2792,929.8,272.1,fixation
13:1:41.27970,929.5,272.0,fixation
13:1:41.2802,929.7,271.7,fixation
13:1:41.2807,930.3,271.5,fixation
13:1:41.28120,930.8,271.2,fixation
13:1:41.2817,931.1,271.3,fixation
13:1:41.2822,931.3,272.0,fixation
13:1:41.28270,931.7,272.5,fixation
13:1:41.2832,931.3,272.6,fixation
13:1:41.2837,930.4,272.0,fixation
13:1:41.28420,929.5,271.4,fixation
13:1:41.2847,929.4,271.2,fixation
13:1:41.2852,928.5,273.4,fixation
13:1:41.28570,927.5,275.8,fixation
13:1:41.2862,926.5,278.3,fixation
13:1:41.2867,926.8,278.3,fixation
13:1:41.28720,926.9,280.1,fixation
13:1:41.2877,926.9,283.3,fixation
13:1:41.2882,926.5,286.5,fixation
13:1:41.28870,926.3,287.3,fixation
13:1:41.2892,927.3,286.0,fixation
13:1:41.2897,928.7,283.8,fixation
13:1:41.29020,930.0,282.3,fixation
13:1:41.2907,930.4,279.2,fixation
13:1:41.2912,930.9,275.6,fixation
13:1:41.29170,931.9,272.0,fixation
13:1:41.2922,932.3,272.8,fixation
13:1:41.2927,931.2,275.1,fixation
13:1:41.29320,929.5,276.9,fixation
13:1:41.2937,929.5,276.5,fixation
13:1:41.29420,931.1,275.2,fixation
13:1:41.2947,932.7,274.5,fixation
13:1:41.2952,932.6,275.6,fixation
13:1:41.29570,932.6,277.0,fixation
13:1:41.2962,932.9,278.4,fixation
13:1:41.2967,933.3,278.0,fixation
13:1:41.29720,933.4,278.2,fixation
13:1:41.2977,932.8,278.1,fixation
13:1:41.2982,932.3,277.7,fixation
13:1:41.29870,932.4,277.3,fixation
13:1:41.2992,933.1,277.1,fixation
13:1:41.2997,933.3,278.4,fixation
13:1:41.30020,933.1,279.9,fixation
13:1:41.3007,932.2,281.7,fixation
13:1:41.3012,931.9,282.1,fixation
13:1:41.30170,932.5,282.5,fixation
13:1:41.3022,933.4,282.5,fixation
13:1:41.3027,934.3,282.5,fixation
13:1:41.30320,934.3,282.4,fixation
13:1:41.3037,934.2,279.0,fixation
13:1:41.3042,933.8,275.5,fixation
13:1:41.30470,933.4,273.6,fixation
13:1:41.3052,934.0,275.3,fixation
13:1:41.3057,934.8,277.4,fixation
13:1:41.30620,934.5,278.0,fixation
13:1:41.3067,933.3,278.8,fixation
13:1:41.3072,932.9,279.7,fixation
13:1:41.30770,933.6,280.7,fixation
13:1:41.3082,934.5,281.2,fixation
13:1:41.3087,934.6,282.4,fixation
13:1:41.30920,934.3,283.5,fixation
13:1:41.3097,934.0,283.1,fixation
13:1:41.3102,934.7,281.5,fixation
13:1:41.31070,935.6,280.3,fixation
13:1:41.3112,936.4,280.8,fixation
13:1:41.3117,936.4,281.3,fixation
13:1:41.31220,936.4,280.5,fixation
13:1:41.3127,934.3,279.4,fixation
13:1:41.3132,932.1,277.9,fixation
13:1:41.31370,930.0,277.1,fixation
13:1:41.3142,930.5,276.9,fixation
13:1:41.3147,931.1,277.0,fixation
13:1:41.31520,931.6,278.5,fixation
13:1:41.3157,933.8,279.9,fixation
13:1:41.3162,936.6,281.0,fixation
13:1:41.31670,939.5,281.1,fixation
13:1:41.3172,939.9,281.2,fixation
13:1:41.3177,939.7,281.5,fixation
13:1:41.31820,939.7,281.6,fixation
13:1:41.3187,940.0,281.6,fixation
13:1:41.3192,940.1,281.7,fixation
13:1:41.31970,939.9,281.0,fixation
13:1:41.3202,937.8,278.7,fixation
13:1:41.3207,935.9,276.5,fixation
13:1:41.32120,933.7,276.9,fixation
13:1:41.3217,933.4,279.0,fixation
13:1:41.3222,933.1,281.1,fixation
13:1:41.32270,933.9,280.6,fixation
13:1:41.3232,934.8,280.0,fixation
13:1:41.3237,936.3,279.6,fixation
13:1:41.32420,936.8,280.2,fixation
13:1:41.3247,937.0,280.8,fixation
13:1:41.3252,936.4,280.7,fixation
13:1:41.32570,935.7,280.4,fixation
13:1:41.3262,935.2,280.4,fixation
13:1:41.3267,934.9,280.8,fixation
13:1:41.32720,934.7,281.2,fixation
13:1:41.3277,934.7,278.9,fixation
13:1:41.3282,934.8,276.3,fixation
13:1:41.32870,935.0,273.7,fixation
13:1:41.3292,934.9,275.5,fixation
13:1:41.3297,934.9,277.8,fixation
13:1:41.33020,935.2,280.3,fixation
13:1:41.3307,935.7,280.3,fixation
13:1:41.3312,936.2,279.7,fixation
13:1:41.33170,937.7,279.7,fixation
13:1:41.3322,939.2,280.1,fixation
13:1:41.3327,939.1,280.7,fixation
13:1:41.33320,937.7,281.6,fixation
13:1:41.3337,936.2,282.5,fixation
13:1:41.3342,935.8,283.1,fixation
13:1:41.33470,935.5,282.8,fixation
13:1:41.3352,935.8,282.4,fixation
13:1:41.3357,935.6,282.5,fixation
13:1:41.33620,935.6,282.5,fixation
13:1:41.3367,935.2,282.6,fixation
13:1:41.3372,935.7,282.3,fixation
13:1:41.33770,936.4,282.0,fixation
13:1:41.3382,936.9,281.6,fixation
13:1:41.3387,937.1,281.5,fixation
13:1:41.33920,937.4,283.5,fixation
13:1:41.3397,937.6,285.6,fixation
13:1:41.3402,937.0,287.6,fixation
13:1:41.34070,936.1,287.4,fixation
13:1:41.3412,934.7,287.1,fixation
13:1:41.3417,934.2,286.7,fixation
13:1:41.34220,933.7,286.6,fixation
13:1:41.3427,932.2,283.9,fixation
13:1:41.3432,930.7,281.1,fixation
13:1:41.34370,931.9,279.0,fixation
13:1:41.3442,934.4,279.6,fixation
13:1:41.3447,936.1,280.1,fixation
13:1:41.34520,934.7,280.1,fixation
13:1:41.3457,933.2,281.7,fixation
13:1:41.3462,933.3,283.0,fixation
13:1:41.34670,934.0,284.2,fixation
13:1:41.3472,934.6,283.7,fixation
13:1:41.3477,934.5,282.5,fixation
13:1:41.34820,934.5,280.4,fixation
13:1:41.3487,935.3,278.3,fixation
13:1:41.3492,935.8,280.6,fixation
13:1:41.34970,935.2,283.7,fixation
13:1:41.3502,933.7,287.4,fixation
13:1:41.3507,932.4,288.0,fixation
13:1:41.35120,932.4,287.2,fixation
13:1:41.3517,932.5,286.0,fixation
13:1:41.3522,932.7,284.7,fixation
13:1:41.35270,932.9,282.8,fixation
13:1:41.3532,931.7,280.8,fixation
13:1:41.3537,930.8,280.9,fixation
13:1:41.35420,929.7,282.9,fixation
13:1:41.3547,928.8,283.9,fixation
13:1:41.3552,927.6,282.8,fixation
13:1:41.35570,926.6,280.8,fixation
13:1:41.3562,926.7,279.9,fixation
13:1:41.35670,927.8,281.2,fixation
13:1:41.3572,928.8,283.3,fixation
13:1:41.3577,929.8,284.5,fixation
13:1:41.35820,930.3,283.6,fixation
13:1:41.3587,930.9,281.8,fixation
13:1:41.3592,930.5,280.9,fixation
13:1:41.35970,929.6,281.1,fixation
13:1:41.3602,927.4,282.1,fixation
13:1:41.3607,926.1,283.3,fixation
13:1:41.36120,925.2,283.6,fixation
13:1:41.3617,925.6,283.9,fixation
13:1:41.3622,926.3,283.8,fixation
13:1:41.36270,926.6,283.3,fixation
13:1:41.3632,926.8,283.6,fixation
13:1:41.3637,926.6,284.8,fixation
13:1:41.36420,926.1,286.2,fixation
13:1:41.3647,925.8,285.5,fixation
13:1:41.3652,925.8,284.5,fixation
13:1:41.36570,926.4,283.9,fixation
13:1:41.3662,927.9,284.5,fixation
13:1:41.3667,929.1,284.6,fixation
13:1:41.36720,929.6,284.3,fixation
13:1:41.3677,928.8,285.0,fixation
13:1:41.3682,928.0,285.9,fixation
13:1:41.36870,927.5,286.8,fixation
13:1:41.3692,927.5,286.9,fixation
13:1:41.3697,927.4,286.9,fixation
13:1:41.37020,927.4,286.9,fixation
13:1:41.3707,926.1,286.8,fixation
13:1:41.3712,924.7,286.8,fixation
13:1:41.37170,923.3,288.1,fixation
13:1:41.3722,923.2,289.5,fixation
13:1:41.3727,923.2,290.9,fixation
13:1:41.37320,924.3,290.9,fixation
13:1:41.3737,925.4,290.9,fixation
13:1:41.3742,927.1,290.9,fixation
13:1:41.37470,927.6,290.6,fixation
13:1:41.3752,928.8,290.1,fixation
13:1:41.3757,929.6,287.2,fixation
13:1:41.37620,928.2,284.6,fixation
13:1:41.3767,926.6,282.2,fixation
13:1:41.3772,925.1,282.1,fixation
13:1:41.37770,926.3,282.2,fixation
13:1:41.3782,926.8,282.3,fixation
13:1:41.3787,926.9,284.4,fixation
13:1:41.37920,925.9,286.8,fixation
13:1:41.3797,925.3,289.7,fixation
13:1:41.3802,924.9,290.5,fixation
13:1:41.38070,925.2,289.3,fixation
13:1:41.3812,926.7,287.6,fixation
13:1:41.3817,928.2,285.9,fixation
13:1:41.38220,926.7,286.3,fixation
13:1:41.3827,923.9,286.6,fixation
13:1:41.3832,921.1,286.9,fixation
13:1:41.38370,921.2,286.3,fixation
13:1:41.3842,922.9,285.4,fixation
13:1:41.3847,925.7,284.6,fixation
13:1:41.38520,928.4,284.7,fixation
13:1:41.3857,929.4,285.1,fixation
13:1:41.3862,929.2,285.5,fixation
13:1:41.38670,928.4,285.3,fixation
13:1:41.3872,926.3,287.0,fixation
13:1:41.3877,924.4,288.8,fixation
13:1:41.38820,923.5,286.2,fixation
13:1:41.3887,924.1,281.9,fixation
13:1:41.3892,925.2,282.7,fixation
13:1:41.38970,925.8,288.2,fixation
13:1:41.3902,926.4,293.7,fixation
13:1:41.3907,926.4,293.2,fixation
13:1:41.39120,926.4,292.2,fixation
13:1:41.3917,926.5,291.1,fixation
13:1:41.3922,926.7,290.4,fixation
13:1:41.39270,925.9,289.7,fixation
13:1:41.3932,925.1,289.2,fixation
13:1:41.3937,925.3,287.2,fixation
13:1:41.39420,926.6,283.8,fixation
13:1:41.3947,928.0,280.5,fixation
13:1:41.3952,928.3,279.0,fixation
13:1:41.39570,928.8,278.9,fixation
13:1:41.3962,929.1,278.6,fixation
13:1:41.3967,927.8,278.2,fixation
13:1:41.39720,925.4,281.0,fixation
13:1:41.3977,922.3,283.7,fixation
13:1:41.3982,920.9,286.4,fixation
13:1:41.39870,920.3,286.0,fixation
13:1:41.3992,923.4,285.8,fixation
13:1:41.3997,926.4,285.5,fixation
13:1:41.40020,928.0,285.3,fixation
13:1:41.4007,926.5,285.2,fixation
13:1:41.4012,925.0,287.5,fixation
13:1:41.40170,922.3,289.7,fixation
13:1:41.4022,919.7,291.5,fixation
13:1:41.4027,917.9,291.2,fixation
13:1:41.40320,918.7,291.2,fixation
13:1:41.4037,919.2,291.6,fixation
13:1:41.4042,919.0,290.1,fixation
13:1:41.40470,918.8,288.5,fixation
13:1:41.4052,918.8,286.8,fixation
13:1:41.4057,919.9,286.7,fixation
13:1:41.40620,921.1,286.7,fixation
13:1:41.4067,922.1,287.9,fixation
13:1:41.4072,922.0,288.7,fixation
13:1:41.40770,922.4,289.1,fixation
13:1:41.4082,923.0,288.2,fixation
13:1:41.4087,923.6,287.8,fixation
13:1:41.40920,922.5,287.9,fixation
13:1:41.4097,921.3,288.0,fixation
13:1:41.4102,920.0,288.2,fixation
13:1:41.41070,919.8,288.2,fixation
13:1:41.4112,920.3,288.1,fixation
13:1:41.4117,921.1,287.9,fixation
13:1:41.41220,921.7,287.7,fixation
13:1:41.4127,921.5,287.7,fixation
13:1:41.4132,921.1,288.0,fixation
13:1:41.41370,920.8,288.3,fixation
13:1:41.4142,920.6,287.8,fixation
13:1:41.4147,920.6,286.3,fixation
13:1:41.41520,920.7,284.7,fixation
13:1:41.4157,920.8,284.1,fixation
13:1:41.4162,920.9,285.1,fixation
13:1:41.41670,920.3,286.5,fixation
13:1:41.4172,919.5,287.6,fixation
13:1:41.4177,919.3,287.9,fixation
13:1:41.41820,919.7,287.6,fixation
13:1:41.4187,920.1,288.4,fixation
13:1:41.41920,920.4,289.4,fixation
13:1:41.4197,920.8,288.8,fixation
13:1:41.4202,921.2,287.2,fixation
13:1:41.42070,921.3,287.3,fixation
13:1:41.4212,921.3,288.9,fixation
13:1:41.4217,921.3,290.1,fixation
13:1:41.42220,921.7,289.4,fixation
