TimeStamp,X,Y,Event
09:19:55.0195,468.1,177.7,fixation
9:19:55.02,468.1,178.3,fixation
9:19:55.02050,468.2,178.6,fixation
9:19:55.021,468.3,178.9,fixation
9:19:55.0215,468.4,179.2,fixation
9:19:55.02200,468.5,179.6,fixation
9:19:55.0225,468.6,179.6,fixation
9:19:55.023,468.1,178.8,fixation
9:19:55.02350,467.7,177.9,fixation
9:19:55.024,467.5,177.2,fixation
9:19:55.0245,467.9,177.1,fixation
9:19:55.02500,468.5,177.2,fixation
9:19:55.0255,468.7,177.4,fixation
9:19:55.026,468.9,177.5,fixation
9:19:55.02650,468.9,177.5,fixation
9:19:55.027,468.8,177.9,fixation
9:19:55.0275,468.6,178.6,fixation
9:19:55.02800,469.1,179.5,fixation
9:19:55.0285,469.8,179.2,fixation
9:19:55.029,470.0,178.5,fixation
9:19:55.02950,469.7,177.6,fixation
9:19:55.03,469.5,177.3,fixation
9:19:55.0305,469.7,177.4,fixation
9:19:55.03100,469.6,177.4,fixation
9:19:55.0315,469.5,177.3,fixation
9:19:55.03200,469.4,177.1,fixation
9:19:55.0325,469.4,177.1,fixation
9:19:55.033,469.3,177.4,fixation
9:19:55.03350,468.5,177.3,fixation
9:19:55.034,467.8,177.2,fixation
9:19:55.0345,467.6,177.1,fixation
9:19:55.03500,468.2,177.3,fixation
9:19:55.0355,468.8,177.3,fixation
9:19:55.036,468.7,177.3,fixation
9:19:55.03650,468.5,177.3,fixation
9:19:55.037,468.5,176.7,fixation
9:19:55.0375,468.6,176.1,fixation
9:19:55.03800,468.8,175.4,fixation
9:19:55.0385,468.7,175.2,fixation
9:19:55.039,468.6,175.0,fixation
9:19:55.03950,468.5,174.7,fixation
9:19:55.04,468.4,175.1,fixation
9:19:55.0405,468.4,175.7,fixation
9:19:55.04100,468.5,176.1,fixation
9:19:55.0415,468.6,176.0,fixation
9:19:55.042,468.6,175.8,fixation
9:19:55.04250,468.6,175.7,fixation
9:19:55.043,468.5,176.5,fixation
9:19:55.0435,468.4,177.5,fixation
9:19:55.04400,468.2,178.7,fixation
9:19:55.0445,468.0,179.3,fixation
9:19:55.045,468.2,179.7,fixation
9:19:55.04550,468.4,179.7,fixation
9:19:55.046,468.8,178.8,fixation
9:19:55.0465,469.0,177.8,fixation
9:19:55.04700,469.1,177.1,fixation
9:19:55.0475,469.1,177.7,fixation
9:19:55.048,469.2,178.2,fixation
9:19:55.04850,469.1,178.8,fixation
9:19:55.049,468.6,178.8,fixation
9:19:55.0495,468.1,178.9,fixation
9:19:55.05000,468.0,178.8,fixation
9:19:55.0505,468.4,179.0,fixation
9:19:55.051,468.7,179.2,fixation
9:19:55.05150,468.7,178.8,fixation
9:19:55.052,468.8,178.1,fixation
9:19:55.0525,469.1,178.3,fixation
9:19:55.05300,469.2,179.3,fixation
9:19:55.0535,469.1,180.3,fixation
9:19:55.054,468.9,180.3,fixation
9:19:55.05450,468.7,180.2,fixation
9:19:55.055,468.7,179.9,fixation
9:19:55.0555,468.8,179.7,fixation
9:19:55.05600,469.3,179.5,fixation
