TimeStamp,X,Y,Event
12:16:55.4929,288.7,216.4,fixation
12:16:55.4934,289.1,215.8,fixation
12:16:55.4939,289.3,216.1,fixation
12:16:55.4944,289.5,216.0,fixation
12:16:55.4949,289.8,215.7,fixation
12:16:55.4954,290.2,216.1,fixation
12:16:55.4959,291.5,216.9,fixation
12:16:55.4964,292.4,217.6,fixation
12:16:55.4969,293.7,217.6,fixation
12:16:55.4974,294.0,217.5,fixation
12:16:55.4979,294.2,217.6,fixation
12:16:55.4984,294.1,217.6,fixation
12:16:55.4989,294.0,217.6,fixation
12:16:55.4994,293.9,218.0,fixation
12:16:55.4999,294.1,218.6,fixation
12:16:55.5004,294.4,218.2,fixation
12:16:55.5009,294.7,217.4,fixation
12:16:55.5014,294.8,216.5,fixation
12:16:55.5019,294.7,216.6,fixation
12:16:55.5024,295.1,216.8,fixation
12:16:55.5029,295.6,216.9,fixation
12:16:55.5034,296.1,217.1,fixation
12:16:55.5039,296.1,217.3,fixation
12:16:55.5044,296.3,218.1,fixation
12:16:55.5049,296.4,218.9,fixation
12:16:55.5054,296.0,217.0,fixation
12:16:55.5059,295.0,214.4,fixation
12:16:55.5064,294.0,212.2,fixation
12:16:55.5069,293.5,212.0,fixation
12:16:55.5074,293.6,211.9,fixation
12:16:55.5079,293.5,212.8,fixation
12:16:55.5084,293.3,213.7,fixation
12:16:55.5089,293.0,214.6,fixation
12:16:55.5094,292.7,216.0,fixation
12:16:55.5099,292.4,218.1,fixation
12:16:55.5104,292.4,217.7,fixation
12:16:55.5109,292.7,215.3,fixation
12:16:55.5114,293.0,213.5,fixation
12:16:55.5119,292.7,214.0,fixation
12:16:55.5124,292.1,214.5,fixation
12:16:55.5129,291.6,214.6,fixation
12:16:55.5134,291.4,215.7,fixation
12:16:55.5139,290.9,216.7,fixation
12:16:55.5144,290.6,217.6,fixation
12:16:55.5149,290.2,217.2,fixation
12:16:55.5154,290.4,217.0,fixation
12:16:55.5159,290.2,216.7,fixation
12:16:55.5164,290.3,216.9,fixation
12:16:55.5169,290.6,216.3,fixation
12:16:55.5174,291.1,215.7,fixation
12:16:55.5179,292.4,217.5,fixation
12:16:55.5184,293.6,219.3,fixation
12:16:55.5189,295.0,220.6,fixation
12:16:55.5194,295.3,219.6,fixation
12:16:55.5199,295.2,219.1,fixation
12:16:55.5204,294.7,219.1,fixation
12:16:55.5209,293.7,218.7,fixation
12:16:55.5214,293.1,218.0,fixation
12:16:55.5219,293.3,217.4,fixation
