TimeStamp,X,Y,Event
10:18:24.3976,514.4,66.8,fixation
10:18:24.3981,515.1,67.1,fixation
10:18:24.3986,515.4,67.5,fixation
10:18:24.3990,515.5,68.0,fixation
10:18:24.3995,515.8,68.9,fixation
10:18:24.4,516.3,69.6,fixation
10:18:24.4004,516.4,69.3,fixation
10:18:24.4009,516.2,68.5,fixation
10:18:24.4014,516.1,68.0,fixation
10:18:24.4018,515.0,67.0,fixation
10:18:24.4023,514.7,66.5,fixation
10:18:24.4028,515.3,67.8,fixation
10:18:24.4032,517.0,68.7,fixation
10:18:24.4036,517.2,68.9,fixation
10:18:24.4041,517.3,69.1,fixation
10:18:24.4046,518.3,69.3,fixation
10:18:24.4050,518.1,68.7,fixation
10:18:24.4055,516.5,67.8,fixation
10:18:24.406,515.5,67.7,fixation
10:18:24.4064,515.3,66.9,fixation
10:18:24.4069,515.2,66.4,fixation
10:18:24.4074,515.4,67.8,fixation
10:18:24.4078,516.0,68.2,fixation
10:18:24.4083,517.2,69.7,fixation
10:18:24.4088,518.2,71.0,fixation
10:18:24.4092,518.1,71.4,fixation
10:18:24.4096,518.7,71.4,fixation
10:18:24.4101,517.7,70.4,fixation
10:18:24.4106,517.8,70.1,fixation
10:18:24.4110,517.8,70.1,fixation
10:18:24.4115,516.8,70.2,fixation
10:18:24.412,515.5,69.7,fixation
10:18:24.4124,515.6,69.4,fixation
10:18:24.4129,516.4,69.6,fixation
10:18:24.4134,517.4,69.5,fixation
10:18:24.4138,517.6,69.1,fixation
10:18:24.4142,517.6,69.5,fixation
10:18:24.4147,518.4,70.3,fixation
10:18:24.4152,518.8,70.8,fixation
10:18:24.4156,518.5,70.6,fixation
10:18:24.4161,518.6,70.5,fixation
10:18:24.4166,518.5,70.3,fixation
10:18:24.4170,517.8,69.9,fixation
10:18:24.4175,517.0,68.7,fixation
10:18:24.418,517.2,67.4,fixation
10:18:24.4184,516.9,66.9,fixation
10:18:24.4188,516.6,66.9,fixation
10:18:24.4193,516.0,67.2,fixation
10:18:24.4198,516.0,67.2,fixation
10:18:24.4202,516.4,67.4,fixation
10:18:24.4207,516.6,67.3,fixation
10:18:24.4212,516.6,66.6,fixation
10:18:24.4216,516.7,67.6,fixation
10:18:24.4221,517.6,68.6,fixation
10:18:24.4226,517.3,69.0,fixation
10:18:24.4230,518.2,70.4,fixation
10:18:24.4234,519.2,71.0,fixation
10:18:24.4239,519.0,70.5,fixation
10:18:24.4244,518.8,69.9,fixation
10:18:24.4248,518.9,70.1,fixation
10:18:24.4253,519.0,71.1,fixation
10:18:24.4258,519.2,71.2,fixation
10:18:24.4262,519.1,70.5,fixation
10:18:24.4267,518.0,69.3,fixation
