TimeStamp,X,Y,Event
14:30:31.6671,311.3,316.7,fixation
14:30:31.6676,311.5,314.9,fixation
14:30:31.6681,311.5,315.0,fixation
14:30:31.6685,311.6,315.2,fixation
14:30:31.669,311.9,315.3,fixation
14:30:31.6695,312.3,315.2,fixation
14:30:31.6699,313.1,315.7,fixation
14:30:31.6703,313.7,316.5,fixation
14:30:31.6708,314.5,317.3,fixation
14:30:31.6713,314.9,316.9,fixation
14:30:31.6717,313.8,316.3,fixation
14:30:31.6722,312.4,315.6,fixation
14:30:31.6727,311.6,315.6,fixation
14:30:31.6731,312.1,315.9,fixation
14:30:31.6736,312.3,316.4,fixation
14:30:31.6741,311.9,316.6,fixation
14:30:31.6745,311.4,316.6,fixation
14:30:31.6749,311.2,317.0,fixation
14:30:31.6754,311.0,317.4,fixation
14:30:31.6759,310.7,318.1,fixation
14:30:31.6763,310.5,318.5,fixation
14:30:31.6768,310.2,318.8,fixation
14:30:31.6773,310.0,319.1,fixation
14:30:31.6777,310.0,319.3,fixation
14:30:31.6782,309.9,319.4,fixation
14:30:31.6787,309.8,319.4,fixation
14:30:31.6791,310.0,319.1,fixation
14:30:31.6795,310.3,318.8,fixation
14:30:31.68,310.4,318.4,fixation
14:30:31.6805,310.2,318.4,fixation
14:30:31.6809,310.4,318.9,fixation
14:30:31.6814,310.9,319.6,fixation
14:30:31.6819,311.4,319.3,fixation
14:30:31.6823,311.6,318.5,fixation
14:30:31.6828,311.7,317.7,fixation
14:30:31.6833,311.7,316.8,fixation
14:30:31.6837,311.7,315.9,fixation
14:30:31.6842,311.5,316.1,fixation
14:30:31.6847,312.1,317.1,fixation
14:30:31.6852,312.8,318.2,fixation
14:30:31.6856,313.5,318.1,fixation
14:30:31.6861,313.3,318.0,fixation
14:30:31.6866,313.0,317.8,fixation
14:30:31.6870,312.8,317.4,fixation
14:30:31.6875,312.6,317.2,fixation
14:30:31.688,312.5,317.1,fixation
14:30:31.6884,312.7,316.9,fixation
14:30:31.6889,313.0,316.8,fixation
14:30:31.6894,313.2,316.9,fixation
14:30:31.6898,312.9,317.1,fixation
14:30:31.6903,312.3,317.6,fixation
14:30:31.6908,311.8,318.2,fixation
14:30:31.6913,311.9,319.0,fixation
14:30:31.6917,312.5,317.6,fixation
14:30:31.6922,312.5,315.6,fixation
14:30:31.6927,312.1,313.2,fixation
14:30:31.6931,311.4,312.6,fixation
14:30:31.6936,310.9,312.7,fixation
14:30:31.6941,310.6,313.2,fixation
14:30:31.6945,311.0,314.7,fixation
14:30:31.695,311.4,315.6,fixation
14:30:31.6955,312.0,315.9,fixation
14:30:31.6959,312.3,315.3,fixation
14:30:31.6964,313.5,315.0,fixation
14:30:31.6969,314.7,315.6,fixation
14:30:31.6974,315.4,316.2,fixation
14:30:31.6978,315.7,316.6,fixation
14:30:31.6983,315.9,316.8,fixation
14:30:31.6988,316.2,316.6,fixation
14:30:31.6992,315.7,316.1,fixation
14:30:31.6997,315.0,315.6,fixation
