TimeStamp,X,Y,Event
13:43:24.3201,392.4,287.0,fixation
13:43:24.3206,391.9,288.1,fixation
13:43:24.3210,392.1,287.3,fixation
13:43:24.3215,392.7,285.4,fixation
13:43:24.322,393.9,283.7,fixation
13:43:24.3224,394.2,287.0,fixation
13:43:24.3228,394.6,290.1,fixation
13:43:24.3233,394.6,291.9,fixation
13:43:24.3238,391.8,289.2,fixation
13:43:24.3242,388.3,286.5,fixation
13:43:24.3247,384.6,285.2,fixation
13:43:24.3252,385.7,285.8,fixation
13:43:24.3256,387.6,286.8,fixation
13:43:24.3261,388.1,287.4,fixation
13:43:24.3266,386.9,287.7,fixation
13:43:24.3270,385.8,287.7,fixation
13:43:24.3275,386.0,287.8,fixation
13:43:24.328,386.8,287.8,fixation
13:43:24.3285,388.0,287.5,fixation
13:43:24.3289,389.9,287.3,fixation
13:43:24.3294,391.4,286.6,fixation
13:43:24.3299,390.9,285.9,fixation
13:43:24.3303,389.6,285.1,fixation
13:43:24.3308,388.7,283.9,fixation
13:43:24.3313,389.5,282.4,fixation
13:43:24.3317,389.9,280.9,fixation
13:43:24.3322,389.6,283.3,fixation
13:43:24.3327,389.0,286.6,fixation
13:43:24.3331,389.0,289.8,fixation
13:43:24.3336,389.5,288.9,fixation
13:43:24.3341,390.6,288.0,fixation
13:43:24.3346,393.9,287.3,fixation
13:43:24.3350,396.6,290.9,fixation
13:43:24.3355,392.7,294.1,fixation
13:43:24.336,386.3,296.6,fixation
13:43:24.3364,380.2,295.2,fixation
13:43:24.3369,385.0,290.6,fixation
13:43:24.3374,389.9,286.4,fixation
13:43:24.3378,394.5,285.1,fixation
13:43:24.3383,394.4,287.6,fixation
13:43:24.3388,394.4,289.3,fixation
13:43:24.3392,392.3,290.9,fixation
13:43:24.3397,390.1,292.4,fixation
13:43:24.3402,387.9,295.4,fixation
13:43:24.3407,387.5,296.0,fixation
13:43:24.3411,387.2,295.0,fixation
13:43:24.3416,388.1,293.3,fixation
13:43:24.3421,387.6,290.0,fixation
13:43:24.3425,387.3,289.2,fixation
13:43:24.343,386.1,289.1,fixation
13:43:24.3435,389.9,291.0,fixation
13:43:24.3439,393.9,286.4,fixation
13:43:24.3444,395.8,280.9,fixation
13:43:24.3449,394.5,278.9,fixation
13:43:24.3453,392.7,282.6,fixation
13:43:24.3458,391.0,287.9,fixation
13:43:24.3463,389.3,290.5,fixation
13:43:24.3467,387.0,293.0,fixation
13:43:24.3471,386.5,290.7,fixation
13:43:24.3476,386.0,286.9,fixation
13:43:24.3481,386.1,283.6,fixation
13:43:24.3485,385.2,284.0,fixation
13:43:24.349,384.3,284.7,fixation
13:43:24.3495,383.0,284.9,fixation
13:43:24.3499,381.8,286.2,fixation
