TimeStamp,X,Y,Event
14:23:07.4212,481.0,229.9,fixation
14:23:7.42169,481.2,230.9,fixation
14:23:7.42219,482.7,232.4,fixation
14:23:7.42268,483.9,233.8,fixation
14:23:7.42317,483.4,234.5,fixation
14:23:7.42366,483.0,234.8,fixation
14:23:7.42416,482.9,234.6,fixation
14:23:7.42465,482.9,234.1,fixation
14:23:7.42514,483.2,232.8,fixation
14:23:7.42564,483.6,232.2,fixation
14:23:7.42613,483.9,231.5,fixation
14:23:7.42662,483.8,231.5,fixation
14:23:7.42711,483.2,231.4,fixation
14:23:7.42761,482.4,231.0,fixation
14:23:7.42810,481.6,230.7,fixation
14:23:7.42859,482.7,230.5,fixation
14:23:7.42908,484.0,231.4,fixation
14:23:7.42958,484.4,232.9,fixation
14:23:7.43007,483.9,234.4,fixation
14:23:7.43056,483.7,235.3,fixation
14:23:7.43105,484.5,235.7,fixation
14:23:7.43155,484.9,236.0,fixation
14:23:7.43204,484.9,235.2,fixation
14:23:7.43253,484.0,233.7,fixation
14:23:7.43303,483.2,232.8,fixation
14:23:7.43352,483.3,233.3,fixation
14:23:7.43401,484.2,234.2,fixation
14:23:7.43450,485.2,233.4,fixation
14:23:7.435,485.6,232.2,fixation
14:23:7.43549,486.1,230.9,fixation
14:23:7.43598,486.4,230.1,fixation
14:23:7.43647,487.4,229.4,fixation
14:23:7.43697,488.3,229.7,fixation
14:23:7.43746,487.8,230.6,fixation
14:23:7.43795,486.5,231.2,fixation
14:23:7.43845,485.4,230.6,fixation
14:23:7.43894,485.5,230.1,fixation
14:23:7.43943,484.5,229.6,fixation
14:23:7.43992,483.7,229.4,fixation
14:23:7.44042,482.9,230.1,fixation
14:23:7.44091,482.9,232.5,fixation
14:23:7.44140,482.7,234.8,fixation
14:23:7.44189,482.9,235.4,fixation
14:23:7.44239,484.5,234.9,fixation
14:23:7.44288,485.7,234.4,fixation
14:23:7.44337,486.6,234.4,fixation
14:23:7.44386,486.1,233.5,fixation
14:23:7.44436,485.9,233.0,fixation
14:23:7.44485,486.1,233.2,fixation
14:23:7.44534,486.7,235.4,fixation
14:23:7.44584,487.3,237.4,fixation
14:23:7.44633,487.3,238.9,fixation
14:23:7.44682,487.1,237.2,fixation
14:23:7.44731,486.2,235.3,fixation
14:23:7.44781,485.6,233.3,fixation
14:23:7.44830,485.0,233.0,fixation
14:23:7.44879,485.5,231.6,fixation
14:23:7.44928,486.0,230.5,fixation
14:23:7.44978,485.8,229.2,fixation
14:23:7.45027,485.2,229.1,fixation
14:23:7.45076,484.0,228.6,fixation
14:23:7.45125,483.4,228.3,fixation
14:23:7.45175,484.3,230.4,fixation
14:23:7.45224,485.6,233.4,fixation
14:23:7.45273,486.9,236.4,fixation
14:23:7.45323,487.3,236.3,fixation
14:23:7.45372,488.1,235.5,fixation
14:23:7.45421,488.9,234.4,fixation
14:23:7.45470,489.5,234.2,fixation
14:23:7.4552,490.0,233.6,fixation
14:23:7.45569,490.6,232.8,fixation
14:23:7.45618,489.1,231.8,fixation
14:23:7.45667,487.2,232.0,fixation
14:23:7.45717,485.3,232.5,fixation
14:23:7.45766,485.4,232.9,fixation
14:23:7.45815,485.7,231.9,fixation
14:23:7.45865,485.8,230.9,fixation
14:23:7.45914,485.7,231.1,fixation
14:23:7.45963,485.6,233.5,fixation
14:23:7.46012,485.6,235.8,fixation
14:23:7.46062,486.1,237.4,fixation
14:23:7.46111,486.5,237.3,fixation
14:23:7.46160,487.3,236.9,fixation
14:23:7.46209,487.8,236.5,fixation
14:23:7.46259,487.6,235.6,fixation
14:23:7.46308,486.7,234.6,fixation
14:23:7.46357,485.8,233.9,fixation
14:23:7.46406,485.0,233.9,fixation
14:23:7.46456,484.6,234.4,fixation
14:23:7.46505,484.2,235.0,fixation
14:23:7.46554,484.5,235.4,fixation
14:23:7.46604,484.9,233.4,fixation
14:23:7.46653,485.1,230.9,fixation
14:23:7.46702,485.2,230.5,fixation
14:23:7.46751,485.1,232.9,fixation
14:23:7.46801,485.0,235.9,fixation
14:23:7.46850,485.8,236.7,fixation
14:23:7.46899,486.7,236.9,fixation
14:23:7.46948,486.3,236.5,fixation
14:23:7.46998,484.8,236.9,fixation
14:23:7.47047,483.7,237.8,fixation
14:23:7.47096,484.0,238.8,fixation
14:23:7.47145,484.4,237.8,fixation
14:23:7.47195,484.6,236.7,fixation
14:23:7.47244,485.1,236.1,fixation
14:23:7.47293,485.4,236.2,fixation
14:23:7.47343,485.5,236.0,fixation
14:23:7.47392,484.8,235.2,fixation
14:23:7.47441,484.2,234.8,fixation
14:23:7.47490,484.2,234.8,fixation
14:23:7.4754,484.6,234.7,fixation
14:23:7.47589,485.4,234.2,fixation
14:23:7.47638,485.8,233.8,fixation
14:23:7.47687,486.1,234.9,fixation
14:23:7.47737,485.9,236.3,fixation
14:23:7.47786,485.9,237.6,fixation
14:23:7.47835,486.2,237.5,fixation
14:23:7.47884,486.5,239.1,fixation
14:23:7.47934,486.9,240.7,fixation
14:23:7.47983,487.5,242.4,fixation
14:23:7.48032,487.3,242.4,fixation
14:23:7.48082,486.7,242.5,fixation
14:23:7.48131,486.9,242.4,fixation
14:23:7.48180,488.3,240.0,fixation
14:23:7.48229,489.2,237.5,fixation
14:23:7.48279,488.3,235.0,fixation
14:23:7.48328,486.8,235.9,fixation
14:23:7.48377,485.9,236.9,fixation
14:23:7.48426,486.5,237.1,fixation
14:23:7.48476,487.6,236.2,fixation
14:23:7.48525,488.4,235.3,fixation
14:23:7.48574,488.1,234.8,fixation
14:23:7.48624,487.8,234.3,fixation
14:23:7.48673,487.7,233.8,fixation
14:23:7.48722,487.0,233.0,fixation
14:23:7.48771,486.5,232.3,fixation
14:23:7.48821,486.1,231.2,fixation
14:23:7.48870,485.2,230.8,fixation
14:23:7.48919,484.4,232.0,fixation
14:23:7.48968,483.7,235.3,fixation
14:23:7.49018,484.4,238.7,fixation
14:23:7.49067,485.1,238.7,fixation
14:23:7.49116,485.1,236.8,fixation
14:23:7.49165,484.9,234.8,fixation
14:23:7.49215,484.8,234.5,fixation
14:23:7.49264,485.4,234.4,fixation
