TimeStamp,X,Y,Event
09:43:51.9631,368.5,244.3,saccade
9:43:51.9636,368.8,242.8,saccade
9:43:51.9641,368.9,240.9,saccade
9:43:51.96460,368.6,240.2,saccade
9:43:51.9651,367.4,238.7,saccade
9:43:51.9656,364.3,237.4,saccade
9:43:51.96610,361.3,236.7,saccade
9:43:51.9666,361.6,237.7,saccade
9:43:51.9671,364.1,237.6,saccade
9:43:51.96760,366.8,236.4,saccade
9:43:51.9681,367.5,234.2,saccade
9:43:51.9686,368.4,233.6,saccade
9:43:51.96910,369.3,234.2,saccade
9:43:51.9696,369.6,234.7,saccade
9:43:51.9701,370.1,230.8,saccade
9:43:51.97060,372.7,227.0,saccade
9:43:51.9711,375.4,223.0,saccade
9:43:51.9716,377.3,223.1,saccade
9:43:51.97210,377.4,220.3,saccade
9:43:51.9726,377.6,216.1,saccade
9:43:51.9731,378.0,211.0,saccade
9:43:51.97360,378.5,205.0,saccade
9:43:51.9741,380.4,200.8,saccade
9:43:51.9746,383.0,191.8,saccade
9:43:51.97510,384.7,186.1,saccade
9:43:51.9756,383.1,180.1,saccade
9:43:51.9761,380.5,179.8,saccade
9:43:51.97660,379.1,174.7,saccade
9:43:51.9771,380.3,168.5,saccade
9:43:51.9776,382.1,162.4,saccade
9:43:51.97810,383.3,160.1,saccade
9:43:51.9786,384.1,159.3,saccade
9:43:51.9791,384.8,155.3,saccade
9:43:51.97960,385.4,152.0,saccade
9:43:51.9801,386.1,148.4,saccade
9:43:51.9806,386.4,147.9,saccade
9:43:51.98110,386.8,145.0,saccade
9:43:51.9816,385.7,142.2,saccade
9:43:51.9821,382.9,139.2,saccade
9:43:51.98260,380.8,139.2,saccade
9:43:51.9831,379.4,139.3,saccade
9:43:51.9836,380.0,137.8,saccade
9:43:51.98410,379.5,135.9,saccade
9:43:51.9846,379.0,136.7,saccade
9:43:51.9851,378.3,138.7,saccade
9:43:51.98560,376.2,140.5,saccade
9:43:51.9861,374.5,139.8,saccade
9:43:51.9866,373.0,139.8,saccade
9:43:51.98710,373.4,139.8,saccade
9:43:51.9876,371.4,138.7,fixation
9:43:51.9881,369.1,137.7,fixation
9:43:51.98860,367.6,139.5,fixation
9:43:51.9891,366.1,141.8,fixation
9:43:51.9896,365.8,144.2,fixation
9:43:51.99010,365.8,145.4,fixation
9:43:51.9906,365.7,146.8,fixation
9:43:51.9911,366.1,148.2,fixation
9:43:51.99160,367.1,148.2,fixation
9:43:51.9921,369.3,148.4,fixation
9:43:51.9926,370.8,150.1,fixation
9:43:51.99310,371.5,151.8,fixation
9:43:51.9936,371.0,153.8,fixation
9:43:51.9941,370.6,154.3,fixation
9:43:51.99460,370.3,154.9,fixation
9:43:51.9951,369.9,155.0,fixation
9:43:51.9956,369.5,155.0,fixation
9:43:51.99610,369.4,156.0,fixation
9:43:51.9966,369.7,157.2,fixation
9:43:51.9971,372.1,157.3,fixation
9:43:51.99760,374.4,156.8,fixation
9:43:51.9981,375.6,156.0,fixation
9:43:51.9986,374.6,156.0,fixation
9:43:51.99910,373.1,153.6,fixation
9:43:51.9996,372.2,151.6,fixation
9:43:52.0001,371.2,149.9,fixation
9:43:52.00060,370.7,149.1,fixation
9:43:52.0011,370.5,148.3,fixation
9:43:52.0016,370.5,149.3,fixation
9:43:52.00210,370.7,152.6,fixation
9:43:52.0026,370.8,157.2,fixation
9:43:52.0031,370.9,160.0,fixation
9:43:52.00360,371.5,159.2,fixation
9:43:52.0041,372.5,157.1,fixation
9:43:52.0046,373.4,154.5,fixation
9:43:52.00510,373.7,153.7,fixation
9:43:52.0056,372.7,152.9,fixation
9:43:52.0061,371.7,152.5,fixation
9:43:52.00660,371.0,152.6,fixation
9:43:52.0071,371.7,152.7,fixation
9:43:52.00760,372.5,153.9,fixation
9:43:52.0081,373.5,156.2,fixation
9:43:52.0086,374.2,157.5,fixation
9:43:52.00910,376.0,157.8,fixation
9:43:52.0096,376.8,157.5,fixation
9:43:52.0101,377.0,158.5,fixation
9:43:52.01060,375.9,159.4,fixation
9:43:52.0111,375.3,159.5,fixation
9:43:52.0116,375.5,159.1,fixation
9:43:52.01210,375.7,158.4,fixation
9:43:52.0126,375.1,157.8,fixation
9:43:52.0131,374.2,157.1,fixation
9:43:52.01360,371.8,156.6,fixation
9:43:52.0141,370.1,156.9,fixation
9:43:52.0146,371.8,159.1,fixation
9:43:52.01510,375.3,161.5,fixation
9:43:52.0156,378.5,162.8,fixation
9:43:52.0161,378.0,162.4,fixation
9:43:52.01660,378.0,164.3,fixation
9:43:52.0171,378.3,166.5,fixation
9:43:52.0176,378.3,163.5,fixation
9:43:52.01810,377.7,158.3,fixation
9:43:52.0186,377.0,153.1,fixation
9:43:52.0191,377.2,153.3,fixation
9:43:52.01960,377.4,153.5,fixation
9:43:52.0201,375.9,153.7,fixation
9:43:52.0206,374.1,154.7,fixation
9:43:52.02110,373.6,156.6,fixation
9:43:52.0216,374.6,160.9,fixation
9:43:52.0221,375.7,164.3,fixation
9:43:52.02260,375.4,166.2,fixation
9:43:52.0231,375.5,165.7,fixation
9:43:52.0236,375.8,165.0,fixation
9:43:52.02410,376.1,164.6,fixation
9:43:52.0246,373.2,163.7,fixation
9:43:52.0251,370.6,163.0,fixation
9:43:52.02560,368.4,163.5,fixation
9:43:52.0261,369.4,164.5,fixation
9:43:52.0266,371.2,165.8,fixation
9:43:52.02710,372.8,165.1,fixation
9:43:52.0276,374.1,164.4,fixation
9:43:52.0281,374.1,163.6,fixation
9:43:52.02860,373.9,164.9,fixation
9:43:52.0291,373.2,165.9,fixation
9:43:52.0296,372.4,167.0,fixation
9:43:52.03010,371.8,165.6,fixation
9:43:52.0306,372.0,164.5,fixation
9:43:52.0311,372.3,163.5,fixation
9:43:52.03160,371.7,164.1,fixation
9:43:52.0321,369.2,164.3,fixation
9:43:52.0326,366.7,165.1,fixation
9:43:52.03310,366.4,165.8,fixation
9:43:52.0336,368.0,165.3,fixation
9:43:52.0341,369.0,161.6,fixation
9:43:52.03460,368.6,157.5,fixation
9:43:52.0351,368.9,154.8,fixation
9:43:52.0356,371.0,155.3,fixation
9:43:52.03610,375.3,157.1,fixation
9:43:52.0366,378.8,157.8,fixation
9:43:52.0371,379.1,157.9,fixation
9:43:52.03760,377.3,157.3,fixation
9:43:52.0381,375.4,157.6,fixation
9:43:52.0386,376.4,159.6,fixation
9:43:52.03910,377.4,161.4,fixation
9:43:52.0396,378.0,162.9,fixation
9:43:52.0401,377.0,162.6,fixation
9:43:52.04060,375.5,161.4,fixation
9:43:52.0411,374.2,160.5,fixation
9:43:52.0416,373.7,159.8,fixation
9:43:52.04210,373.7,159.9,fixation
9:43:52.0426,373.6,160.2,fixation
9:43:52.0431,372.9,161.9,fixation
9:43:52.04360,371.2,163.4,fixation
9:43:52.0441,369.5,164.5,fixation
9:43:52.0446,368.2,161.4,fixation
9:43:52.04510,367.8,159.6,fixation
9:43:52.0456,367.1,158.8,fixation
9:43:52.0461,366.8,160.7,fixation
9:43:52.04660,368.1,159.2,fixation
9:43:52.0471,371.6,156.9,fixation
9:43:52.0476,375.0,156.0,fixation
9:43:52.04810,374.4,157.4,fixation
9:43:52.0486,371.8,158.2,fixation
9:43:52.0491,369.7,157.7,fixation
9:43:52.04960,370.2,159.5,fixation
9:43:52.0501,371.4,161.7,fixation
9:43:52.0506,372.8,165.2,fixation
9:43:52.05110,375.4,167.6,fixation
9:43:52.0516,377.4,169.8,fixation
9:43:52.0521,377.0,167.8,fixation
9:43:52.05260,375.2,165.0,fixation
9:43:52.0531,374.1,162.2,fixation
9:43:52.0536,374.9,162.3,fixation
9:43:52.05410,374.5,161.8,fixation
9:43:52.0546,372.2,159.8,fixation
9:43:52.0551,369.9,157.7,fixation
9:43:52.05560,372.0,155.4,fixation
9:43:52.0561,373.1,154.3,fixation
9:43:52.0566,375.1,154.6,fixation
9:43:52.05710,375.0,154.9,fixation
9:43:52.0576,377.3,155.5,fixation
9:43:52.0581,378.3,158.0,fixation
9:43:52.05860,378.2,161.3,fixation
9:43:52.0591,374.6,163.7,fixation
9:43:52.0596,371.5,162.9,fixation
9:43:52.06010,371.0,163.6,fixation
9:43:52.0606,373.6,165.2,fixation
9:43:52.0611,375.8,165.9,fixation
9:43:52.06160,375.5,165.5,fixation
9:43:52.0621,375.2,165.1,fixation
9:43:52.0626,375.3,165.6,fixation
9:43:52.06310,375.5,166.9,fixation
9:43:52.0636,375.5,168.2,fixation
9:43:52.0641,375.5,168.9,fixation
9:43:52.06460,375.5,167.6,fixation
