TimeStamp,X,Y,Event
13:39:08.3707,442.3,481.1,saccade
13:39:8.3712,444.0,482.6,saccade
13:39:8.3717,444.9,488.9,saccade
13:39:8.37220,445.7,495.2,saccade
13:39:8.3727,445.0,495.5,saccade
13:39:8.3732,444.2,489.5,saccade
13:39:8.37370,443.7,487.9,saccade
13:39:8.3742,444.0,492.7,saccade
13:39:8.3747,444.0,497.5,saccade
13:39:8.37520,443.7,497.0,saccade
13:39:8.3757,443.6,493.1,saccade
13:39:8.3762,443.8,489.1,saccade
13:39:8.37670,443.0,486.0,saccade
13:39:8.3772,442.0,485.8,saccade
13:39:8.3777,440.0,485.6,saccade
13:39:8.37820,438.7,480.9,saccade
13:39:8.3787,437.6,476.3,saccade
13:39:8.3792,437.3,472.4,saccade
13:39:8.37970,436.4,473.1,saccade
13:39:8.3802,435.4,473.9,saccade
13:39:8.38070,433.7,474.4,saccade
13:39:8.3812,432.3,474.8,saccade
13:39:8.3817,428.3,474.8,saccade
13:39:8.38220,425.5,469.3,saccade
13:39:8.3827,421.3,463.8,saccade
13:39:8.3832,418.8,458.6,saccade
13:39:8.38370,413.1,451.9,saccade
13:39:8.3842,409.2,442.6,saccade
13:39:8.3847,405.8,433.0,saccade
13:39:8.38520,403.1,429.3,saccade
13:39:8.3857,395.7,418.2,saccade
13:39:8.3862,388.4,407.4,saccade
13:39:8.38670,382.7,395.3,saccade
13:39:8.3872,377.3,393.4,saccade
13:39:8.3877,371.9,391.4,saccade
13:39:8.38820,367.0,389.8,saccade
13:39:8.3887,366.9,387.3,saccade
13:39:8.3892,366.8,383.6,saccade
13:39:8.38970,363.8,374.3,saccade
13:39:8.3902,359.9,365.4,saccade
13:39:8.3907,356.1,357.1,saccade
13:39:8.39120,355.6,355.8,saccade
13:39:8.3917,351.5,354.5,saccade
13:39:8.3922,347.1,355.1,saccade
13:39:8.39270,342.6,355.7,saccade
13:39:8.3932,342.8,353.6,saccade
13:39:8.3937,338.9,340.9,saccade
13:39:8.39420,335.0,328.2,saccade
13:39:8.3947,333.0,319.2,saccade
13:39:8.3952,335.4,319.7,saccade
13:39:8.39570,334.3,318.9,saccade
13:39:8.3962,331.2,315.3,saccade
13:39:8.39670,323.5,309.7,saccade
13:39:8.3972,319.2,304.3,saccade
13:39:8.3977,314.8,301.2,saccade
13:39:8.39820,315.6,294.8,saccade
13:39:8.3987,318.0,289.6,saccade
13:39:8.3992,323.3,286.0,saccade
13:39:8.39970,327.5,295.1,saccade
13:39:8.4002,329.9,304.0,saccade
13:39:8.4007,328.3,309.1,saccade
13:39:8.40120,326.3,302.8,saccade
13:39:8.4017,322.0,296.3,saccade
13:39:8.4022,319.8,292.1,saccade
13:39:8.40270,318.3,294.3,saccade
13:39:8.4032,316.6,297.6,saccade
13:39:8.4037,313.7,300.8,saccade
13:39:8.40420,311.1,301.5,saccade
13:39:8.4047,309.7,301.3,saccade
13:39:8.4052,308.4,299.5,saccade
13:39:8.40570,306.8,297.7,saccade
13:39:8.4062,306.1,300.8,saccade
13:39:8.4067,304.6,305.9,saccade
13:39:8.40720,302.8,311.0,saccade
