TimeStamp,X,Y,Event
14:29:04.2662,601.9,446.1,saccade
14:29:4.2667,602.0,447.6,saccade
14:29:4.2672,601.3,448.6,saccade
14:29:4.2677,597.8,448.6,saccade
14:29:4.26819,589.8,449.2,saccade
14:29:4.26868,575.4,450.4,saccade
14:29:4.26917,558.6,452.1,saccade
14:29:4.26967,544.6,452.7,saccade
14:29:4.27016,534.2,452.4,saccade
14:29:4.27065,530.6,452.2,saccade
14:29:4.27115,532.7,452.2,saccade
14:29:4.27164,539.5,452.0,saccade
14:29:4.27213,547.0,451.8,saccade
14:29:4.27262,552.8,451.6,fixation
14:29:4.27312,556.3,450.7,fixation
14:29:4.27361,556.8,450.5,fixation
14:29:4.27410,556.8,450.3,fixation
14:29:4.27459,556.1,450.2,fixation
14:29:4.27509,556.3,451.5,fixation
14:29:4.27558,558.0,453.6,fixation
14:29:4.27607,557.9,453.5,fixation
14:29:4.27656,556.2,454.0,fixation
14:29:4.27706,555.6,453.9,fixation
14:29:4.27755,555.4,454.0,fixation
14:29:4.27804,554.1,454.7,fixation
14:29:4.27854,552.1,454.8,fixation
14:29:4.27903,551.3,454.6,fixation
14:29:4.27952,550.2,453.9,fixation
14:29:4.28001,549.4,452.6,fixation
14:29:4.28051,550.2,452.8,fixation
14:29:4.28100,550.2,452.3,fixation
14:29:4.28149,550.3,451.5,fixation
14:29:4.28198,550.2,453.3,fixation
14:29:4.28248,550.0,453.9,fixation
14:29:4.28297,549.8,454.7,fixation
14:29:4.28346,549.1,454.9,fixation
14:29:4.28395,549.8,455.2,fixation
14:29:4.28445,550.6,455.9,fixation
14:29:4.28494,550.4,455.4,fixation
14:29:4.28543,549.4,454.3,fixation
14:29:4.28593,549.8,454.3,fixation
14:29:4.28642,551.1,454.9,fixation
14:29:4.28691,551.7,454.6,fixation
14:29:4.28740,550.5,454.9,fixation
14:29:4.2879,550.0,455.4,fixation
14:29:4.28839,549.9,455.9,fixation
14:29:4.28888,550.4,455.8,fixation
14:29:4.28937,550.9,455.5,fixation
14:29:4.28987,550.6,455.5,fixation
14:29:4.29036,550.2,454.7,fixation
14:29:4.29085,550.0,454.8,fixation
14:29:4.29134,548.8,455.6,fixation
14:29:4.29184,548.0,455.2,fixation
14:29:4.29233,548.6,455.0,fixation
14:29:4.29282,548.9,454.8,fixation
14:29:4.29332,548.7,454.1,fixation
14:29:4.29381,548.7,454.5,fixation
14:29:4.29430,549.0,455.6,fixation
14:29:4.29479,548.0,456.6,saccade
14:29:4.29529,546.8,456.6,saccade
14:29:4.29578,547.0,457.1,saccade
14:29:4.29627,546.3,457.8,saccade
14:29:4.29676,543.2,448.5,saccade
14:29:4.29726,535.2,426.4,saccade
14:29:4.29775,527.2,392.1,saccade
14:29:4.29824,517.5,349.4,saccade
14:29:4.29874,507.5,303.8,saccade
14:29:4.29923,502.5,260.4,saccade
14:29:4.29972,496.7,219.9,saccade
14:29:4.30021,489.4,185.7,saccade
14:29:4.30071,479.5,161.7,saccade
14:29:4.30120,466.1,150.0,saccade
14:29:4.30169,452.3,148.0,saccade
14:29:4.30218,439.0,157.3,saccade
14:29:4.30268,424.4,174.2,saccade
14:29:4.30317,414.1,191.5,saccade
14:29:4.30366,411.8,210.1,saccade
14:29:4.30415,413.6,223.8,saccade
14:29:4.30465,419.8,233.5,saccade
14:29:4.30514,427.6,237.5,saccade
14:29:4.30563,435.2,236.1,saccade
14:29:4.30613,439.6,229.5,saccade
14:29:4.30662,441.7,221.0,saccade
14:29:4.30711,440.7,210.1,fixation
14:29:4.30760,437.9,200.8,fixation
14:29:4.3081,435.3,194.1,fixation
14:29:4.30859,431.7,186.7,fixation
14:29:4.30908,429.8,184.7,fixation
14:29:4.30957,427.3,185.2,fixation
14:29:4.31007,425.9,185.2,fixation
14:29:4.31056,424.6,184.9,fixation
14:29:4.31105,422.8,184.2,fixation
14:29:4.31154,421.6,184.4,fixation
14:29:4.31204,421.1,185.5,fixation
14:29:4.31253,420.4,184.4,fixation
14:29:4.31302,419.9,186.7,fixation
14:29:4.31352,420.1,190.0,fixation
14:29:4.31401,420.0,191.0,fixation
14:29:4.31450,419.7,191.0,fixation
14:29:4.31499,420.0,192.0,fixation
14:29:4.31549,420.3,192.3,fixation
14:29:4.31598,420.6,193.7,fixation
14:29:4.31647,420.7,194.9,fixation
14:29:4.31696,420.6,196.1,fixation
14:29:4.31746,420.2,196.5,fixation
14:29:4.31795,420.0,196.5,fixation
14:29:4.31844,419.2,198.6,fixation
14:29:4.31894,418.2,198.2,fixation
14:29:4.31943,418.1,197.6,fixation
14:29:4.31992,417.6,197.5,fixation
14:29:4.32041,416.9,197.3,fixation
14:29:4.32091,417.9,197.2,fixation
14:29:4.32140,418.2,198.2,fixation
14:29:4.32189,418.2,196.8,fixation
14:29:4.32238,418.0,195.0,fixation
14:29:4.32288,416.8,195.3,fixation
14:29:4.32337,416.4,195.7,fixation
14:29:4.32386,417.2,195.6,fixation
14:29:4.32435,417.0,196.6,fixation
14:29:4.32485,416.9,198.1,fixation
14:29:4.32534,416.7,197.6,fixation
14:29:4.32583,416.6,196.7,fixation
14:29:4.32633,416.9,198.0,fixation
14:29:4.32682,417.2,199.1,fixation
14:29:4.32731,417.2,198.4,fixation
14:29:4.32780,417.1,198.6,fixation
14:29:4.3283,417.7,198.8,fixation
14:29:4.32879,418.2,199.4,fixation
14:29:4.32928,418.8,200.1,fixation
14:29:4.32977,420.3,200.1,fixation
14:29:4.33027,421.5,200.4,fixation
14:29:4.33076,421.6,200.8,fixation
14:29:4.33125,421.5,201.1,fixation
14:29:4.33174,421.3,199.5,fixation
14:29:4.33224,421.4,200.0,fixation
14:29:4.33273,421.1,201.3,fixation
14:29:4.33322,421.2,197.9,fixation
14:29:4.33372,420.7,194.8,fixation
14:29:4.33421,420.2,195.3,fixation
14:29:4.33470,420.5,196.6,fixation
14:29:4.33519,419.0,198.3,fixation
14:29:4.33569,417.2,197.6,fixation
14:29:4.33618,417.0,196.7,fixation
14:29:4.33667,416.6,196.8,fixation
14:29:4.33716,416.0,198.1,fixation
14:29:4.33766,414.9,197.5,fixation
14:29:4.33815,414.5,196.4,fixation
14:29:4.33864,415.3,197.2,fixation
14:29:4.33913,416.5,198.8,fixation
14:29:4.33963,417.4,198.6,fixation
14:29:4.34012,419.3,198.0,saccade
14:29:4.34061,419.7,197.8,saccade
14:29:4.34111,419.1,197.9,saccade
14:29:4.34160,413.5,198.9,saccade
14:29:4.34209,402.6,197.1,saccade
14:29:4.34258,387.2,193.9,saccade
14:29:4.34308,367.5,189.6,saccade
14:29:4.34357,341.3,182.1,saccade
14:29:4.34406,318.2,174.0,saccade
14:29:4.34455,301.4,169.6,saccade
14:29:4.34505,291.7,164.6,saccade
14:29:4.34554,291.0,161.2,saccade
14:29:4.34603,297.2,164.3,saccade
14:29:4.34653,304.8,169.0,saccade
14:29:4.34702,313.0,173.5,fixation
14:29:4.34751,317.6,174.5,fixation
14:29:4.34800,321.0,175.3,fixation
14:29:4.3485,323.3,178.8,fixation
14:29:4.34899,325.3,180.0,fixation
14:29:4.34948,326.7,181.9,fixation
14:29:4.34997,328.7,182.1,fixation
14:29:4.35047,329.2,181.9,fixation
14:29:4.35096,329.4,181.3,fixation
14:29:4.35145,328.6,178.8,fixation
14:29:4.35194,326.8,178.0,fixation
14:29:4.35244,323.6,175.8,fixation
14:29:4.35293,319.3,173.7,fixation
14:29:4.35342,316.9,172.4,fixation
14:29:4.35392,314.0,171.3,fixation
14:29:4.35441,312.4,170.3,fixation
14:29:4.35490,311.4,172.2,fixation
14:29:4.35539,310.3,174.8,fixation
14:29:4.35589,309.2,174.6,fixation
14:29:4.35638,309.0,174.1,fixation
14:29:4.35687,308.8,175.8,fixation
14:29:4.35736,308.9,177.4,fixation
14:29:4.35786,309.0,178.3,fixation
14:29:4.35835,309.0,179.5,fixation
14:29:4.35884,308.8,181.0,fixation
14:29:4.35933,309.4,179.5,fixation
14:29:4.35983,310.3,178.5,fixation
14:29:4.36032,310.6,178.6,fixation
14:29:4.36081,311.0,177.0,fixation
14:29:4.36131,312.2,175.6,fixation
14:29:4.36180,313.0,177.7,fixation
14:29:4.36229,312.8,179.9,fixation
14:29:4.36278,312.7,177.7,fixation
14:29:4.36328,312.7,175.7,fixation
14:29:4.36377,310.5,174.2,fixation
14:29:4.36426,308.7,174.8,fixation
14:29:4.36475,308.4,176.1,fixation
14:29:4.36525,308.4,176.4,fixation
14:29:4.36574,308.5,176.9,fixation
14:29:4.36623,308.7,176.9,fixation
14:29:4.36673,308.6,176.4,fixation
14:29:4.36722,307.6,175.3,fixation
14:29:4.36771,306.6,173.9,fixation
14:29:4.36820,306.4,169.7,fixation
14:29:4.3687,306.9,166.4,fixation
14:29:4.36919,306.8,167.0,fixation
14:29:4.36968,306.7,167.2,fixation
14:29:4.37017,306.9,166.9,fixation
14:29:4.37067,307.8,166.5,fixation
14:29:4.37116,308.4,167.6,fixation
14:29:4.37165,310.3,169.8,fixation
14:29:4.37214,310.8,170.8,fixation
14:29:4.37264,311.8,172.2,fixation
14:29:4.37313,312.9,172.9,fixation
14:29:4.37362,312.7,171.3,fixation
14:29:4.37412,312.2,170.2,fixation
14:29:4.37461,312.0,169.7,fixation
14:29:4.37510,312.1,168.0,fixation
14:29:4.37559,310.9,166.5,fixation
14:29:4.37609,310.1,167.2,fixation
14:29:4.37658,310.5,168.8,fixation
14:29:4.37707,310.6,169.9,fixation
14:29:4.37756,310.8,171.0,fixation
14:29:4.37806,310.9,171.9,fixation
14:29:4.37855,311.1,172.1,fixation
14:29:4.37904,311.3,171.6,fixation
14:29:4.37953,311.5,171.7,fixation
14:29:4.38003,311.3,171.5,fixation
14:29:4.38052,311.8,171.6,fixation
14:29:4.38101,313.2,173.9,fixation
14:29:4.38151,314.2,174.8,fixation
14:29:4.38200,315.2,175.2,fixation
14:29:4.38249,316.4,175.3,fixation
14:29:4.38298,317.8,175.3,fixation
14:29:4.38348,318.2,175.9,fixation
14:29:4.38397,319.0,177.2,fixation
14:29:4.38446,321.8,178.2,fixation
14:29:4.38495,323.1,181.3,fixation
14:29:4.38545,323.5,183.5,fixation
14:29:4.38594,324.3,182.7,fixation
14:29:4.38643,324.9,182.5,fixation
14:29:4.38692,325.1,179.1,fixation
14:29:4.38742,325.9,179.4,fixation
14:29:4.38791,327.0,184.6,fixation
14:29:4.38840,326.9,186.9,fixation
14:29:4.3889,327.4,187.5,fixation
14:29:4.38939,328.5,190.0,fixation
14:29:4.38988,329.4,192.5,fixation
14:29:4.39037,328.9,192.4,fixation
14:29:4.39087,328.5,192.3,fixation
14:29:4.39136,329.6,194.2,fixation
14:29:4.39185,331.4,194.8,fixation
14:29:4.39234,332.0,193.6,fixation
14:29:4.39284,332.8,193.5,fixation
14:29:4.39333,335.2,194.3,fixation
14:29:4.39382,337.0,197.0,fixation
14:29:4.39432,336.8,199.2,fixation
14:29:4.39481,337.1,200.9,fixation
14:29:4.39530,337.7,200.2,fixation
14:29:4.39579,337.7,198.3,fixation
14:29:4.39629,337.4,198.7,fixation
14:29:4.39678,336.9,199.7,fixation
14:29:4.39727,336.4,200.6,fixation
14:29:4.39776,335.9,201.7,fixation
14:29:4.39826,335.5,199.7,fixation
14:29:4.39875,334.6,199.4,fixation
14:29:4.39924,332.6,199.8,fixation
14:29:4.39973,331.4,197.1,fixation
14:29:4.40023,329.9,195.0,fixation
14:29:4.40072,331.1,195.6,fixation
14:29:4.40121,331.4,195.5,fixation
14:29:4.40171,330.0,195.4,fixation
14:29:4.40220,329.8,195.1,fixation
14:29:4.40269,330.8,195.4,fixation
14:29:4.40318,331.4,195.9,fixation
14:29:4.40368,331.1,196.6,fixation
14:29:4.40417,330.5,196.8,fixation
14:29:4.40466,330.3,196.5,fixation
14:29:4.40515,331.0,196.0,fixation
14:29:4.40565,331.7,195.7,fixation
14:29:4.40614,331.7,195.8,fixation
14:29:4.40663,331.0,194.9,fixation
14:29:4.40712,330.4,193.3,fixation
14:29:4.40762,329.7,192.5,fixation
