TimeStamp,X,Y,Event
13:20:26.5551,609.5,503.6,saccade
13:20:26.5556,610.2,504.5,saccade
13:20:26.5560,610.9,505.4,saccade
13:20:26.5565,611.1,506.4,saccade
13:20:26.557,610.7,506.5,saccade
13:20:26.5574,610.3,506.5,saccade
13:20:26.5579,610.0,506.2,saccade
13:20:26.5584,609.2,502.3,saccade
13:20:26.5588,608.3,498.3,saccade
13:20:26.5593,607.3,494.3,saccade
13:20:26.5598,606.8,493.4,saccade
13:20:26.5602,606.4,492.0,saccade
13:20:26.5606,606.0,490.7,saccade
13:20:26.5611,605.7,489.7,saccade
13:20:26.5616,604.6,488.6,saccade
13:20:26.5620,603.7,486.5,saccade
13:20:26.5625,601.7,480.7,saccade
13:20:26.563,600.4,475.9,saccade
13:20:26.5634,599.3,471.9,saccade
13:20:26.5639,599.5,470.2,saccade
13:20:26.5644,598.6,462.1,saccade
13:20:26.5648,597.7,452.7,saccade
13:20:26.5653,596.2,442.7,saccade
13:20:26.5658,594.4,436.1,saccade
13:20:26.5663,592.5,429.0,saccade
13:20:26.5667,590.1,423.8,saccade
13:20:26.5672,588.3,417.9,saccade
13:20:26.5677,586.8,410.3,saccade
13:20:26.5681,585.4,400.9,saccade
13:20:26.5686,585.0,392.4,saccade
13:20:26.5691,583.4,386.4,saccade
13:20:26.5695,582.8,378.5,saccade
13:20:26.57,580.9,371.4,saccade
13:20:26.5705,578.0,362.1,saccade
13:20:26.5709,574.6,354.1,saccade
13:20:26.5714,571.6,345.2,saccade
13:20:26.5719,570.4,336.9,saccade
13:20:26.5724,567.2,325.8,saccade
13:20:26.5728,564.8,317.7,saccade
13:20:26.5733,561.7,309.8,saccade
13:20:26.5738,560.8,307.1,saccade
13:20:26.5742,558.8,299.7,saccade
13:20:26.5747,557.6,295.2,saccade
13:20:26.5752,556.5,290.8,saccade
13:20:26.5756,556.2,285.6,saccade
13:20:26.5761,553.6,279.2,saccade
13:20:26.5766,549.2,269.5,saccade
13:20:26.5770,544.5,263.2,saccade
13:20:26.5775,541.6,255.4,saccade
13:20:26.578,540.4,250.1,saccade
13:20:26.5785,539.9,244.0,saccade
13:20:26.5789,538.1,240.4,saccade
13:20:26.5794,535.2,235.1,saccade
13:20:26.5799,532.3,231.4,saccade
13:20:26.5803,531.2,226.0,saccade
13:20:26.5808,530.9,219.5,saccade
13:20:26.5813,530.4,214.1,saccade
13:20:26.5817,530.5,209.2,saccade
13:20:26.5822,531.5,205.3,saccade
13:20:26.5827,529.8,199.8,saccade
13:20:26.5831,527.4,195.4,saccade
13:20:26.5836,523.5,192.9,saccade
13:20:26.5841,522.4,191.3,saccade
13:20:26.5846,521.1,188.7,saccade
13:20:26.5850,520.9,184.9,saccade
13:20:26.5855,520.6,181.8,saccade
13:20:26.586,520.5,181.4,saccade
13:20:26.5864,520.8,182.8,saccade
13:20:26.5869,521.2,184.2,saccade
13:20:26.5874,521.5,184.1,saccade
13:20:26.5878,521.4,185.8,saccade
13:20:26.5883,521.3,187.6,saccade
13:20:26.5888,522.4,191.3,saccade
13:20:26.5892,523.7,193.1,saccade
13:20:26.5897,525.0,194.9,saccade
13:20:26.5902,524.4,197.2,saccade
13:20:26.5907,523.9,201.9,saccade
13:20:26.5911,523.4,207.0,saccade
13:20:26.5916,523.3,209.7,saccade
13:20:26.5921,523.0,210.1,saccade
13:20:26.5925,522.6,211.9,saccade
13:20:26.593,522.4,214.9,saccade
13:20:26.5935,522.2,217.9,saccade
13:20:26.5939,522.4,219.4,saccade
13:20:26.5944,522.6,219.7,saccade
13:20:26.5949,522.0,219.9,saccade
13:20:26.5953,521.2,220.3,saccade
13:20:26.5958,520.4,220.7,saccade
13:20:26.5963,520.4,221.8,saccade
13:20:26.5967,520.5,222.2,fixation
13:20:26.5971,520.6,222.0,fixation
13:20:26.5976,520.8,222.1,fixation
13:20:26.5981,521.2,221.8,fixation
13:20:26.5985,521.6,221.5,fixation
13:20:26.599,522.3,221.2,fixation
13:20:26.5995,523.0,218.8,fixation
13:20:26.5999,523.5,216.4,fixation
13:20:26.6004,524.2,214.6,fixation
13:20:26.6009,524.9,215.3,fixation
13:20:26.6013,525.9,216.1,fixation
13:20:26.6017,525.7,216.0,fixation
13:20:26.6022,525.4,214.0,fixation
13:20:26.6027,525.6,212.1,fixation
13:20:26.6031,526.4,210.7,fixation
13:20:26.6036,526.9,211.3,fixation
13:20:26.6041,526.6,211.7,fixation
13:20:26.6045,525.9,211.7,fixation
13:20:26.605,525.0,211.6,fixation
13:20:26.6055,524.1,211.6,fixation
13:20:26.6059,524.0,211.6,fixation
13:20:26.6063,524.0,211.4,fixation
13:20:26.6068,523.5,210.7,fixation
13:20:26.6073,522.9,210.7,fixation
13:20:26.6077,522.6,210.9,fixation
13:20:26.6082,521.6,211.3,fixation
13:20:26.6087,520.3,211.0,fixation
13:20:26.6091,519.3,211.0,fixation
13:20:26.6096,519.8,211.4,fixation
13:20:26.6101,520.1,210.0,fixation
13:20:26.6105,519.7,208.2,fixation
13:20:26.6109,519.7,205.7,fixation
13:20:26.6114,519.9,204.4,fixation
13:20:26.6119,519.9,203.0,fixation
13:20:26.6123,518.7,202.7,fixation
13:20:26.6128,517.4,203.4,fixation
13:20:26.6133,517.0,204.2,fixation
13:20:26.6137,518.2,204.0,fixation
13:20:26.6142,519.4,203.1,fixation
13:20:26.6147,519.4,201.2,fixation
13:20:26.6151,518.3,199.9,fixation
13:20:26.6156,517.1,200.4,fixation
13:20:26.6161,516.9,201.9,fixation
13:20:26.6166,516.5,202.7,fixation
13:20:26.6170,516.1,202.1,fixation
13:20:26.6175,516.6,202.2,fixation
13:20:26.618,518.3,203.3,fixation
13:20:26.6184,519.3,204.3,fixation
13:20:26.6189,519.2,204.3,fixation
13:20:26.6194,518.3,203.6,fixation
13:20:26.6198,516.3,202.7,fixation
13:20:26.6203,514.7,202.0,fixation
13:20:26.6208,514.8,202.3,fixation
13:20:26.6212,516.7,203.7,fixation
13:20:26.6217,519.1,205.0,fixation
13:20:26.6222,519.6,205.6,fixation
13:20:26.6227,520.7,205.2,fixation
13:20:26.6231,521.1,205.7,fixation
13:20:26.6236,521.1,205.4,fixation
13:20:26.6241,520.7,205.1,fixation
13:20:26.6245,520.3,203.0,fixation
13:20:26.625,520.2,202.1,fixation
13:20:26.6255,519.9,203.7,fixation
13:20:26.6259,519.6,206.3,fixation
13:20:26.6264,519.5,208.7,fixation
13:20:26.6269,519.6,208.2,fixation
13:20:26.6273,519.6,207.6,fixation
13:20:26.6278,519.4,207.6,fixation
13:20:26.6283,519.3,207.7,fixation
13:20:26.6288,519.3,207.9,fixation
13:20:26.6292,519.4,207.9,fixation
13:20:26.6297,519.4,208.1,fixation
13:20:26.6302,519.4,207.8,fixation
13:20:26.6306,519.7,207.3,fixation
13:20:26.6311,520.4,206.4,fixation
13:20:26.6316,521.0,206.2,fixation
13:20:26.6320,520.9,206.3,fixation
13:20:26.6325,520.6,206.1,fixation
13:20:26.633,519.8,206.2,fixation
13:20:26.6334,518.9,206.0,fixation
