TimeStamp,X,Y,Event
09:47:04.3071,575.3,465.6,fixation
9:47:4.3076,575.0,463.3,fixation
9:47:4.3081,575.6,462.1,fixation
9:47:4.308599,576.0,462.6,fixation
9:47:4.309099,575.8,461.7,fixation
9:47:4.309598,576.4,460.4,fixation
9:47:4.310098,577.3,460.9,fixation
9:47:4.310598,578.6,465.2,fixation
9:47:4.311097,579.6,468.7,fixation
9:47:4.311597,579.8,469.5,fixation
9:47:4.312097,578.8,467.4,fixation
9:47:4.312596,578.0,466.2,fixation
9:47:4.313096,578.2,464.6,fixation
9:47:4.313595,579.0,463.6,fixation
9:47:4.314095,578.8,462.5,fixation
9:47:4.314595,577.4,462.5,fixation
9:47:4.315094,575.8,463.9,fixation
9:47:4.315594,574.7,465.4,fixation
9:47:4.316094,573.9,466.9,fixation
9:47:4.316593,571.3,466.7,fixation
9:47:4.317093,569.0,466.5,fixation
9:47:4.317593,570.6,468.8,fixation
9:47:4.318092,574.4,471.4,fixation
9:47:4.318592,578.5,471.1,fixation
9:47:4.319091,579.8,469.5,fixation
9:47:4.319591,580.8,468.8,fixation
9:47:4.320091,581.6,470.9,fixation
9:47:4.320590,582.1,467.5,fixation
9:47:4.32109,582.5,463.3,fixation
9:47:4.32159,582.6,459.8,fixation
9:47:4.322089,582.0,461.0,fixation
9:47:4.322589,581.5,462.5,fixation
9:47:4.323088,581.2,463.3,fixation
9:47:4.323588,581.9,463.7,fixation
9:47:4.324088,583.8,463.1,fixation
9:47:4.324587,585.7,462.4,fixation
9:47:4.325087,584.4,462.4,fixation
9:47:4.325587,581.8,465.1,fixation
9:47:4.326086,579.3,467.8,fixation
9:47:4.326586,579.2,469.0,fixation
9:47:4.327085,579.5,467.2,fixation
9:47:4.327585,577.2,465.2,fixation
9:47:4.328085,574.6,464.1,fixation
9:47:4.328584,571.9,464.0,fixation
9:47:4.329084,571.8,464.1,fixation
9:47:4.329584,571.8,463.9,fixation
9:47:4.330083,571.8,463.5,fixation
9:47:4.330583,575.8,463.5,fixation
9:47:4.331083,579.7,463.7,fixation
9:47:4.331582,582.6,463.9,fixation
9:47:4.332082,580.2,464.5,fixation
9:47:4.332581,577.6,466.2,fixation
9:47:4.333081,576.1,467.9,fixation
9:47:4.333581,574.8,467.9,fixation
9:47:4.334080,573.6,467.0,fixation
9:47:4.33458,572.2,466.1,fixation
9:47:4.33508,572.3,462.7,fixation
9:47:4.335579,575.5,459.6,fixation
9:47:4.336079,578.2,462.0,fixation
9:47:4.336578,580.5,467.8,fixation
9:47:4.337078,580.1,470.9,fixation
9:47:4.337578,580.4,468.5,fixation
9:47:4.338077,580.6,466.1,fixation
9:47:4.338577,580.5,466.8,fixation
9:47:4.339077,579.2,467.3,fixation
9:47:4.339576,578.2,467.8,fixation
9:47:4.340076,577.4,467.4,fixation
9:47:4.340575,577.9,466.1,fixation
9:47:4.341075,577.0,464.8,fixation
9:47:4.341575,576.2,463.6,fixation
9:47:4.342074,576.7,460.9,fixation
9:47:4.342574,578.2,458.3,fixation
9:47:4.343074,579.8,456.7,fixation
9:47:4.343573,579.8,458.6,fixation
9:47:4.344073,578.9,460.7,fixation
9:47:4.344573,576.2,461.7,fixation
9:47:4.345072,573.6,462.0,fixation
9:47:4.345572,571.8,461.6,fixation
9:47:4.346071,571.6,461.2,fixation
9:47:4.346571,574.8,461.2,fixation
9:47:4.347071,577.9,462.0,fixation
9:47:4.347570,580.7,464.5,fixation
9:47:4.34807,579.4,467.3,fixation
9:47:4.34857,578.1,470.0,fixation
9:47:4.349069,577.2,471.0,fixation
9:47:4.349569,577.1,470.8,fixation
9:47:4.350068,575.6,467.9,fixation
9:47:4.350568,573.9,464.9,fixation
9:47:4.351068,572.2,462.6,fixation
9:47:4.351567,571.3,462.7,fixation
9:47:4.352067,570.4,463.0,fixation
9:47:4.352567,570.5,463.6,fixation
9:47:4.353066,572.5,464.4,fixation
9:47:4.353566,574.7,464.9,fixation
9:47:4.354065,576.6,465.2,fixation
9:47:4.354565,577.5,465.3,fixation
9:47:4.355065,576.5,465.3,fixation
9:47:4.355564,574.6,463.9,fixation
9:47:4.356064,572.5,462.5,fixation
9:47:4.356564,572.0,461.3,fixation
9:47:4.357063,571.7,461.4,fixation
9:47:4.357563,572.3,462.5,fixation
9:47:4.358063,574.2,463.8,fixation
9:47:4.358562,575.6,467.1,fixation
9:47:4.359062,576.2,469.4,fixation
9:47:4.359561,575.7,471.6,fixation
9:47:4.360061,574.1,469.0,fixation
9:47:4.360561,572.6,466.2,fixation
9:47:4.361060,571.4,461.3,fixation
9:47:4.36156,570.7,459.1,fixation
9:47:4.36206,570.3,457.1,fixation
9:47:4.362559,569.7,459.6,fixation
9:47:4.363059,570.1,461.4,fixation
9:47:4.363558,570.2,462.2,fixation
9:47:4.364058,570.2,460.8,fixation
9:47:4.364558,571.0,460.5,fixation
9:47:4.365057,572.0,461.0,fixation
9:47:4.365557,571.4,460.6,fixation
9:47:4.366057,570.0,459.9,fixation
9:47:4.366556,567.0,459.9,fixation
9:47:4.367056,565.5,460.6,fixation
9:47:4.367555,565.4,461.4,fixation
9:47:4.368055,566.7,462.6,fixation
9:47:4.368555,567.7,463.6,fixation
9:47:4.369054,567.2,465.8,fixation
9:47:4.369554,568.2,467.2,fixation
9:47:4.370054,569.4,469.5,fixation
9:47:4.370553,570.4,470.5,fixation
9:47:4.371053,569.9,467.8,fixation
9:47:4.371553,570.4,462.1,fixation
9:47:4.372052,571.8,456.5,fixation
9:47:4.372552,573.0,453.8,fixation
9:47:4.373051,573.2,452.6,fixation
9:47:4.373551,573.5,451.4,fixation
9:47:4.374051,574.2,452.3,fixation
9:47:4.374550,574.4,459.7,fixation
9:47:4.37505,573.0,466.9,fixation
9:47:4.37555,571.6,470.1,fixation
9:47:4.376049,571.1,467.0,fixation
9:47:4.376549,571.8,461.6,fixation
9:47:4.377048,572.0,458.8,fixation
9:47:4.377548,572.3,456.5,fixation
9:47:4.378048,572.3,457.3,fixation
9:47:4.378547,571.6,458.8,fixation
9:47:4.379047,570.8,461.6,fixation
9:47:4.379547,571.8,464.8,fixation
9:47:4.380046,573.6,465.9,fixation
9:47:4.380546,575.5,466.2,fixation
9:47:4.381045,575.4,465.1,fixation
9:47:4.381545,575.2,465.1,fixation
9:47:4.382045,575.0,464.7,fixation
9:47:4.382544,574.5,465.7,fixation
9:47:4.383044,574.0,466.9,fixation
9:47:4.383544,574.0,464.5,fixation
9:47:4.384043,574.4,461.9,fixation
9:47:4.384543,574.8,460.1,fixation
9:47:4.385043,575.3,459.6,fixation
9:47:4.385542,575.5,458.2,fixation
9:47:4.386042,573.4,456.4,fixation
9:47:4.386541,570.8,457.9,fixation
9:47:4.387041,570.0,464.0,fixation
9:47:4.387541,571.6,469.5,fixation
9:47:4.388040,573.3,474.4,fixation
9:47:4.38854,573.6,474.8,fixation
9:47:4.38904,574.1,475.8,fixation
9:47:4.389539,573.8,476.4,fixation
9:47:4.390039,573.3,476.4,fixation
9:47:4.390538,572.6,475.3,fixation
9:47:4.391038,572.9,473.6,fixation
9:47:4.391538,573.3,470.6,fixation
9:47:4.392037,572.8,468.0,fixation
9:47:4.392537,572.4,466.2,fixation
