TimeStamp,X,Y,Event
12:18:00.6282,685.0,893.6,fixation
12:18:0.62869,685.0,893.5,fixation
12:18:0.62918,685.0,893.5,fixation
12:18:0.62967,684.7,893.9,fixation
12:18:0.63016,684.1,894.0,fixation
12:18:0.63066,682.5,893.0,fixation
12:18:0.63115,681.2,891.0,fixation
12:18:0.63164,680.0,888.9,fixation
12:18:0.63213,679.7,888.0,fixation
12:18:0.63262,679.6,888.8,fixation
12:18:0.63311,679.8,890.8,fixation
12:18:0.63360,680.5,892.9,fixation
12:18:0.6341,681.2,894.2,fixation
12:18:0.63459,681.6,894.0,fixation
12:18:0.63508,681.3,893.6,fixation
12:18:0.63557,681.0,893.3,fixation
12:18:0.63606,681.0,892.8,fixation
12:18:0.63655,680.9,892.3,fixation
12:18:0.63704,680.8,891.8,fixation
12:18:0.63754,680.7,891.6,fixation
12:18:0.63803,680.8,891.7,fixation
12:18:0.63852,680.7,891.1,fixation
12:18:0.63901,680.7,890.9,fixation
12:18:0.63950,680.8,891.2,fixation
12:18:0.63999,680.8,893.2,fixation
12:18:0.64048,680.8,894.7,fixation
12:18:0.64098,680.9,893.3,fixation
12:18:0.64147,681.8,891.0,fixation
12:18:0.64196,682.8,889.5,fixation
12:18:0.64245,683.7,890.4,fixation
12:18:0.64294,683.7,891.2,fixation
12:18:0.64343,683.9,890.1,fixation
12:18:0.64392,684.0,888.7,fixation
12:18:0.64442,684.1,887.9,fixation
12:18:0.64491,683.7,888.2,fixation
12:18:0.64540,683.2,887.0,fixation
12:18:0.64589,682.6,885.4,fixation
12:18:0.64638,682.3,883.8,fixation
12:18:0.64687,682.6,885.5,fixation
12:18:0.64736,683.0,887.2,fixation
12:18:0.64786,683.3,888.5,fixation
12:18:0.64835,683.2,888.1,fixation
12:18:0.64884,683.2,888.1,fixation
12:18:0.64933,683.2,889.0,fixation
12:18:0.64982,683.2,889.8,fixation
12:18:0.65031,682.9,890.4,fixation
12:18:0.65081,682.6,890.6,fixation
12:18:0.65131,682.1,890.4,fixation
12:18:0.65180,681.9,890.0,fixation
12:18:0.6523,681.6,889.5,fixation
12:18:0.65279,681.6,888.3,fixation
12:18:0.65328,681.7,887.2,fixation
12:18:0.65377,681.6,886.8,fixation
12:18:0.65426,681.5,887.4,fixation
12:18:0.65475,681.4,887.9,fixation
12:18:0.65525,680.6,887.7,fixation
12:18:0.65574,679.3,887.9,fixation
12:18:0.65623,678.1,888.1,fixation
12:18:0.65672,677.7,888.4,fixation
12:18:0.65721,677.9,888.0,fixation
