TimeStamp,X,Y,Event
10:35:00.3610,473.9,250.3,saccade
10:35:0.3615,473.2,250.4,saccade
10:35:0.362,472.5,253.3,saccade
10:35:0.3625,471.5,257.2,saccade
10:35:0.363,470.7,261.3,saccade
10:35:0.3635,470.1,262.8,saccade
10:35:0.364,470.2,262.4,saccade
10:35:0.3645,470.3,261.3,saccade
10:35:0.365,468.7,261.0,saccade
10:35:0.3655,467.0,262.6,saccade
10:35:0.366,464.4,265.4,saccade
10:35:0.3665,462.6,268.8,saccade
10:35:0.367,460.7,271.7,saccade
10:35:0.3675,457.8,273.8,saccade
10:35:0.368,454.5,274.3,saccade
10:35:0.3685,451.2,274.3,saccade
10:35:0.369,449.6,273.6,saccade
10:35:0.3695,447.6,272.8,saccade
10:35:0.37,445.0,269.7,saccade
10:35:0.3705,442.5,267.1,saccade
10:35:0.371,441.2,265.0,saccade
10:35:0.3715,439.0,265.9,saccade
10:35:0.372,435.7,266.7,saccade
10:35:0.3725,433.2,266.0,saccade
10:35:0.373,432.1,264.8,saccade
10:35:0.3735,431.4,263.1,saccade
10:35:0.374,431.1,262.6,saccade
10:35:0.3745,431.0,261.9,saccade
10:35:0.375,429.7,261.6,saccade
10:35:0.3755,427.9,261.3,saccade
10:35:0.376,426.4,261.2,saccade
10:35:0.3765,426.9,260.7,saccade
10:35:0.377,426.5,259.5,saccade
10:35:0.3775,425.8,258.3,saccade
10:35:0.378,425.1,257.5,saccade
10:35:0.3785,425.7,255.6,saccade
10:35:0.379,427.2,252.2,saccade
10:35:0.3795,428.3,248.8,saccade
10:35:0.38,429.0,247.3,saccade
10:35:0.3805,431.5,249.9,fixation
10:35:0.381,433.5,252.5,fixation
10:35:0.3815,434.8,255.1,fixation
10:35:0.382,436.1,255.2,fixation
10:35:0.3825,437.8,254.9,fixation
10:35:0.383,440.1,254.6,fixation
10:35:0.3835,441.2,254.2,fixation
10:35:0.384,443.0,254.3,fixation
10:35:0.3845,444.2,254.3,fixation
10:35:0.385,445.3,255.6,fixation
10:35:0.3855,445.3,256.8,fixation
10:35:0.386,445.4,257.8,fixation
10:35:0.3865,447.3,257.8,fixation
10:35:0.387,449.5,257.8,fixation
10:35:0.3875,451.6,257.7,fixation
10:35:0.388,452.2,257.5,fixation
10:35:0.3885,452.2,258.0,fixation
10:35:0.389,452.2,258.7,fixation
10:35:0.3895,452.5,259.3,fixation
10:35:0.39,453.0,259.2,fixation
10:35:0.3905,454.7,259.2,fixation
10:35:0.391,456.2,259.8,fixation
10:35:0.3915,457.4,260.8,fixation
10:35:0.392,457.3,261.8,fixation
10:35:0.3925,456.5,262.3,fixation
10:35:0.393,455.7,262.2,fixation
10:35:0.3935,455.0,262.2,fixation
10:35:0.394,456.2,260.9,fixation
10:35:0.3945,457.4,259.6,fixation
10:35:0.395,457.5,259.1,fixation
10:35:0.3955,456.3,259.8,fixation
10:35:0.396,455.1,260.5,fixation
10:35:0.3965,455.0,260.5,fixation
10:35:0.397,455.0,260.7,fixation
10:35:0.3975,454.5,261.1,fixation
10:35:0.398,454.0,261.9,fixation
10:35:0.3985,454.4,262.6,fixation
10:35:0.399,455.4,262.4,fixation
10:35:0.3995,455.9,261.7,fixation
10:35:0.4,455.1,261.0,fixation
10:35:0.4005,454.2,261.2,fixation
10:35:0.401,453.9,261.4,fixation
10:35:0.4015,454.5,261.8,fixation
10:35:0.402,455.0,262.2,fixation
10:35:0.4025,455.4,262.7,fixation
10:35:0.403,455.2,263.4,fixation
10:35:0.4035,454.9,264.9,fixation
10:35:0.404,454.2,266.0,fixation
10:35:0.4045,453.2,265.0,fixation
10:35:0.405,452.5,262.9,fixation
10:35:0.4055,452.3,260.7,fixation
10:35:0.406,452.6,259.8,fixation
10:35:0.40650,452.7,259.1,fixation
10:35:0.407,452.4,259.3,fixation
10:35:0.4075,452.2,259.6,fixation
10:35:0.408,452.5,260.0,fixation
10:35:0.4085,453.2,259.9,fixation
10:35:0.409,453.2,259.7,fixation
10:35:0.4095,452.6,259.4,fixation
10:35:0.41,452.0,259.1,fixation
10:35:0.4105,452.1,259.1,fixation
10:35:0.411,452.3,258.8,fixation
10:35:0.4115,452.0,258.1,fixation
10:35:0.412,451.6,257.4,fixation
10:35:0.4125,450.7,256.8,fixation
10:35:0.413,449.8,256.6,fixation
10:35:0.4135,448.9,256.6,fixation
10:35:0.414,448.4,257.1,fixation
10:35:0.4145,448.3,258.4,fixation
10:35:0.415,448.3,259.2,fixation
10:35:0.4155,448.5,259.4,fixation
10:35:0.416,448.8,258.2,fixation
10:35:0.4165,449.0,257.4,fixation
10:35:0.417,449.1,256.8,fixation
10:35:0.4175,449.0,256.6,fixation
10:35:0.418,448.8,257.6,fixation
10:35:0.4185,448.7,258.6,fixation
10:35:0.419,448.4,259.5,fixation
10:35:0.4195,448.1,259.3,fixation
10:35:0.42,447.7,259.8,fixation
10:35:0.4205,448.5,260.5,fixation
10:35:0.421,449.4,261.2,fixation
10:35:0.4215,449.3,261.1,fixation
10:35:0.422,448.3,260.8,fixation
10:35:0.4225,447.3,260.7,fixation
10:35:0.423,447.2,260.7,fixation
10:35:0.4235,446.9,260.3,fixation
10:35:0.424,446.6,259.7,fixation
10:35:0.4245,446.4,259.2,fixation
10:35:0.425,446.4,259.2,fixation
10:35:0.4255,446.5,259.0,fixation
10:35:0.426,446.8,258.9,fixation
10:35:0.4265,447.0,259.1,fixation
10:35:0.427,446.3,259.3,fixation
10:35:0.4275,445.3,259.4,fixation
10:35:0.428,444.0,259.1,fixation
10:35:0.4285,443.6,258.9,fixation
10:35:0.429,443.9,257.1,fixation
10:35:0.4295,445.7,255.5,fixation
10:35:0.43,447.5,254.9,fixation
10:35:0.4305,448.7,256.4,fixation
10:35:0.431,448.7,258.1,fixation
10:35:0.4315,448.8,259.8,fixation
10:35:0.432,448.8,261.2,fixation
10:35:0.4325,447.0,262.2,fixation
10:35:0.433,445.3,260.7,fixation
10:35:0.4335,443.7,259.0,fixation
10:35:0.434,443.9,257.3,fixation
10:35:0.4345,443.8,257.5,fixation
10:35:0.435,443.7,258.0,fixation
10:35:0.4355,443.8,258.4,fixation
10:35:0.436,444.0,258.8,fixation
10:35:0.4365,444.9,259.2,fixation
10:35:0.437,446.0,258.2,fixation
10:35:0.4375,446.9,256.8,fixation
10:35:0.438,447.1,255.6,fixation
10:35:0.4385,446.9,256.8,fixation
10:35:0.439,446.5,258.1,fixation
10:35:0.4395,446.0,259.3,fixation
10:35:0.44,445.7,259.7,fixation
10:35:0.4405,445.6,260.0,fixation
10:35:0.441,446.2,260.4,fixation
10:35:0.4415,447.4,260.5,fixation
10:35:0.442,448.5,260.6,fixation
10:35:0.4425,449.1,260.9,fixation
10:35:0.443,449.0,261.2,fixation
10:35:0.4435,448.2,260.9,fixation
10:35:0.444,447.4,260.5,fixation
10:35:0.4445,446.7,260.1,fixation
10:35:0.445,447.0,260.0,fixation
10:35:0.4455,447.4,259.6,fixation
10:35:0.446,447.4,258.4,fixation
10:35:0.4465,446.2,257.4,fixation
10:35:0.447,445.0,256.3,fixation
10:35:0.4475,444.3,255.9,fixation
10:35:0.448,444.3,257.3,fixation
10:35:0.4485,444.3,258.6,fixation
10:35:0.449,443.8,260.0,fixation
10:35:0.4495,443.5,259.8,fixation
10:35:0.45,444.5,260.3,fixation
10:35:0.4505,445.9,261.0,fixation
10:35:0.451,446.3,262.0,fixation
10:35:0.4515,445.3,262.7,fixation
10:35:0.452,444.3,261.9,fixation
10:35:0.4525,444.3,259.0,fixation
10:35:0.453,445.1,256.5,fixation
10:35:0.4535,446.1,255.2,fixation
10:35:0.454,446.4,255.2,fixation
10:35:0.4545,445.9,254.8,fixation
10:35:0.455,445.3,254.5,fixation
10:35:0.4555,445.9,254.5,fixation
10:35:0.456,446.5,255.6,fixation
10:35:0.4565,446.9,256.9,fixation
