TimeStamp,X,Y,Event
12:31:19.9724,347.3,285.6,fixation
12:31:19.9729,346.9,286.5,fixation
12:31:19.9733,346.5,286.2,fixation
12:31:19.9737,346.0,286.0,fixation
12:31:19.9742,346.2,286.3,fixation
12:31:19.9747,346.1,287.0,fixation
12:31:19.9751,345.8,287.7,fixation
12:31:19.9756,345.5,288.0,fixation
12:31:19.9761,345.8,287.5,fixation
12:31:19.9765,346.3,287.2,fixation
12:31:19.977,345.8,287.0,fixation
12:31:19.9775,345.1,287.5,fixation
12:31:19.9779,344.7,287.8,fixation
12:31:19.9784,345.1,287.8,fixation
12:31:19.9789,345.4,287.9,fixation
12:31:19.9794,345.7,287.6,fixation
12:31:19.9798,346.2,287.4,fixation
12:31:19.9803,347.5,287.3,fixation
12:31:19.9808,348.6,287.7,fixation
12:31:19.9812,349.1,288.0,fixation
12:31:19.9817,348.8,285.9,fixation
12:31:19.9822,347.8,283.6,fixation
12:31:19.9826,347.0,281.7,fixation
12:31:19.9831,346.1,282.1,fixation
12:31:19.9836,346.0,282.5,fixation
12:31:19.9840,345.9,282.5,fixation
12:31:19.9845,346.0,282.5,fixation
12:31:19.985,346.8,282.8,fixation
12:31:19.9855,347.5,283.2,fixation
12:31:19.9859,348.0,286.5,fixation
12:31:19.9864,347.6,289.5,fixation
12:31:19.9869,347.3,292.5,fixation
12:31:19.9873,348.3,292.6,fixation
12:31:19.9878,349.6,290.0,fixation
12:31:19.9883,349.8,287.3,fixation
12:31:19.9887,348.9,284.7,fixation
12:31:19.9892,347.6,285.0,fixation
12:31:19.9897,347.7,285.3,fixation
12:31:19.9901,347.7,285.4,fixation
12:31:19.9906,347.5,285.1,fixation
12:31:19.9911,347.1,284.8,fixation
12:31:19.9916,346.5,287.0,fixation
12:31:19.9920,346.2,289.3,fixation
12:31:19.9925,345.8,291.2,fixation
12:31:19.993,346.1,290.8,fixation
12:31:19.9934,346.9,290.4,fixation
12:31:19.9939,347.7,291.0,fixation
12:31:19.9944,348.2,291.9,fixation
12:31:19.9948,348.2,292.6,fixation
12:31:19.9953,348.1,292.8,fixation
12:31:19.9958,348.0,292.3,fixation
12:31:19.9962,347.9,291.9,fixation
12:31:19.9967,347.7,292.0,fixation
12:31:19.9972,347.4,292.1,fixation
12:31:19.9977,347.0,292.1,fixation
12:31:19.9981,347.1,290.2,fixation
12:31:19.9986,347.3,288.5,fixation
12:31:19.9991,347.4,287.3,fixation
12:31:19.9995,347.0,288.2,fixation
12:31:20.,346.4,288.9,fixation
12:31:20.0005,345.9,289.6,fixation
12:31:20.0009,345.6,289.9,fixation
12:31:20.0014,345.7,289.1,fixation
12:31:20.0019,345.8,288.0,fixation
12:31:20.0023,345.9,287.0,fixation
12:31:20.0028,346.0,286.7,fixation
12:31:20.0033,346.2,286.5,fixation
12:31:20.0038,346.4,286.3,fixation
12:31:20.0042,346.5,286.3,fixation
12:31:20.0047,346.5,285.7,fixation
12:31:20.0052,346.4,285.5,fixation
12:31:20.0056,346.0,285.8,fixation
12:31:20.0061,345.7,286.7,fixation
12:31:20.0066,345.6,287.1,fixation
12:31:20.0070,345.7,288.1,fixation
12:31:20.0075,345.9,289.0,fixation
12:31:20.008,346.0,289.8,fixation
12:31:20.0084,346.2,289.6,fixation
12:31:20.0089,346.4,289.2,fixation
12:31:20.0094,346.8,288.6,fixation
12:31:20.0099,347.3,286.8,fixation
12:31:20.0103,347.5,285.3,fixation
12:31:20.0108,347.4,286.0,fixation
12:31:20.0113,347.3,287.9,fixation
12:31:20.0117,347.1,289.8,fixation
12:31:20.0122,347.1,290.0,fixation
12:31:20.0127,347.2,290.3,fixation
12:31:20.0131,347.3,290.5,fixation
12:31:20.0136,347.4,290.6,fixation
12:31:20.0141,347.3,290.6,fixation
12:31:20.0145,347.0,291.3,fixation
12:31:20.015,347.4,292.0,fixation
12:31:20.0155,348.3,292.2,fixation
12:31:20.016,349.5,291.9,fixation
12:31:20.0164,350.0,291.5,fixation
12:31:20.0169,349.7,291.4,fixation
12:31:20.0174,349.2,291.2,fixation
12:31:20.0178,346.9,290.6,fixation
12:31:20.0183,345.3,289.7,fixation
12:31:20.0188,344.9,289.5,fixation
12:31:20.0192,346.2,290.1,fixation
12:31:20.0197,347.2,290.9,fixation
12:31:20.0202,346.9,291.1,fixation
12:31:20.0206,346.9,290.8,fixation
12:31:20.0211,347.1,290.7,fixation
12:31:20.0216,347.5,290.2,fixation
12:31:20.0221,347.8,289.6,fixation
12:31:20.0225,348.1,288.8,fixation
12:31:20.023,348.3,288.5,fixation
12:31:20.0235,348.4,288.5,fixation
12:31:20.0239,349.2,291.1,fixation
12:31:20.0244,349.9,293.7,fixation
