TimeStamp,X,Y,Event
12:09:18.2239,610.1,217.9,fixation
12:9:18.2244,609.4,215.2,fixation
12:9:18.22489,609.4,214.9,fixation
12:9:18.22538,610.7,216.7,fixation
12:9:18.22588,609.4,218.1,fixation
12:9:18.22638,609.2,216.3,fixation
12:9:18.22687,609.8,215.0,fixation
12:9:18.22737,610.5,215.5,fixation
12:9:18.22787,610.5,216.2,fixation
12:9:18.22836,610.4,216.0,fixation
12:9:18.22885,610.8,214.1,fixation
12:9:18.22935,611.2,213.7,fixation
12:9:18.22985,611.2,213.7,fixation
12:9:18.23034,610.5,213.9,fixation
12:9:18.23084,611.0,214.2,fixation
12:9:18.23134,610.4,214.5,fixation
12:9:18.23184,610.4,216.3,fixation
12:9:18.23233,610.3,216.8,fixation
12:9:18.23283,610.5,217.2,fixation
12:9:18.23333,612.0,218.2,fixation
12:9:18.23382,612.7,219.9,fixation
12:9:18.23432,611.9,220.8,fixation
12:9:18.23482,612.0,221.8,fixation
12:9:18.23531,612.9,222.9,fixation
12:9:18.23580,614.4,223.1,fixation
12:9:18.2363,614.7,220.1,fixation
12:9:18.2368,614.3,215.8,fixation
12:9:18.23729,613.0,214.2,fixation
12:9:18.23779,612.5,213.7,fixation
12:9:18.23829,612.7,210.2,fixation
12:9:18.23878,612.6,204.7,fixation
12:9:18.23927,611.9,204.2,fixation
12:9:18.23977,611.9,207.3,fixation
12:9:18.24027,611.0,207.8,fixation
12:9:18.24076,610.1,206.7,fixation
12:9:18.24126,609.2,206.5,fixation
12:9:18.24176,608.3,206.8,fixation
12:9:18.24225,607.3,206.8,fixation
12:9:18.24274,606.4,207.0,fixation
12:9:18.24324,607.4,211.2,fixation
12:9:18.24374,609.4,214.6,fixation
12:9:18.24423,611.6,214.9,fixation
12:9:18.24473,612.3,216.4,fixation
12:9:18.24523,611.8,217.4,fixation
12:9:18.24573,611.9,216.4,fixation
12:9:18.24622,611.9,218.2,fixation
12:9:18.24672,612.3,220.3,fixation
12:9:18.24722,613.0,220.6,fixation
12:9:18.24771,612.8,220.0,fixation
12:9:18.24821,611.6,219.9,fixation
12:9:18.24871,610.4,220.1,fixation
12:9:18.24920,610.0,220.4,fixation
12:9:18.24969,609.3,218.9,fixation
12:9:18.25019,608.6,217.8,fixation
12:9:18.25069,609.4,217.8,fixation
12:9:18.25118,610.8,217.4,saccade
12:9:18.25168,612.1,217.0,saccade
12:9:18.25218,610.9,217.0,saccade
12:9:18.25267,605.6,217.6,saccade
12:9:18.25316,595.4,215.7,saccade
12:9:18.25366,576.9,209.2,saccade
12:9:18.25416,552.5,202.3,saccade
12:9:18.25465,529.6,199.7,saccade
12:9:18.25515,508.8,195.8,saccade
12:9:18.25565,494.1,194.3,saccade
12:9:18.25614,487.1,193.5,saccade
12:9:18.25663,489.2,193.7,saccade
12:9:18.25713,496.8,196.8,saccade
12:9:18.25763,507.0,200.3,saccade
12:9:18.25812,515.2,200.5,saccade
12:9:18.25862,519.5,197.0,saccade
12:9:18.25912,520.2,194.4,fixation
12:9:18.25961,520.9,194.3,fixation
12:9:18.26010,522.0,195.9,fixation
12:9:18.2606,521.6,196.0,fixation
12:9:18.2611,522.4,196.2,fixation
12:9:18.26159,523.6,199.4,fixation
12:9:18.26209,522.9,202.5,fixation
12:9:18.26259,522.4,202.3,fixation
12:9:18.26309,520.9,200.1,fixation
12:9:18.26358,519.7,198.8,fixation
12:9:18.26408,518.7,199.2,fixation
12:9:18.26458,518.0,200.2,fixation
12:9:18.26507,518.2,199.9,fixation
12:9:18.26557,518.1,200.3,fixation
12:9:18.26607,518.5,203.7,fixation
12:9:18.26656,518.5,204.2,fixation
12:9:18.26705,518.5,203.4,fixation
12:9:18.26755,519.4,203.1,fixation
12:9:18.26805,518.8,201.3,fixation
12:9:18.26854,518.6,200.2,fixation
12:9:18.26904,518.4,200.9,fixation
12:9:18.26954,516.9,201.3,fixation
12:9:18.27003,515.8,199.4,fixation
12:9:18.27052,515.7,198.4,fixation
12:9:18.27102,515.6,197.8,fixation
12:9:18.27152,515.5,197.3,fixation
12:9:18.27201,515.9,197.5,fixation
12:9:18.27251,515.7,197.5,fixation
12:9:18.27301,515.5,198.9,fixation
12:9:18.27350,515.5,199.8,fixation
12:9:18.27399,515.4,200.0,fixation
12:9:18.27449,515.1,200.0,fixation
12:9:18.27499,514.9,199.5,fixation
12:9:18.27548,515.5,201.1,fixation
12:9:18.27598,516.2,204.0,fixation
12:9:18.27648,516.3,205.7,fixation
12:9:18.27698,516.2,204.4,fixation
12:9:18.27747,515.7,201.7,fixation
12:9:18.27797,515.3,201.7,fixation
12:9:18.27847,514.6,202.6,fixation
12:9:18.27896,514.3,202.4,fixation
12:9:18.27946,514.4,201.6,fixation
12:9:18.27996,514.5,199.2,fixation
12:9:18.28045,515.0,198.4,fixation
12:9:18.28094,515.0,198.3,fixation
12:9:18.28144,514.5,197.5,fixation
12:9:18.28194,514.1,197.2,fixation
12:9:18.28243,514.1,197.1,fixation
12:9:18.28293,514.3,197.1,fixation
12:9:18.28343,514.7,197.1,fixation
12:9:18.28392,513.6,197.0,fixation
12:9:18.28441,513.2,197.8,fixation
12:9:18.28491,513.9,200.2,fixation
12:9:18.28541,514.3,201.8,fixation
12:9:18.28590,514.2,202.3,fixation
12:9:18.2864,514.1,201.0,fixation
12:9:18.2869,513.6,202.0,fixation
12:9:18.28739,514.2,204.3,fixation
12:9:18.28788,514.6,202.1,fixation
12:9:18.28838,514.6,201.6,fixation
12:9:18.28888,513.6,202.1,fixation
12:9:18.28937,511.9,199.6,fixation
12:9:18.28987,512.5,196.5,fixation
12:9:18.29037,513.1,195.9,fixation
12:9:18.29086,513.0,195.5,fixation
12:9:18.29135,512.3,194.4,fixation
12:9:18.29185,511.9,194.0,fixation
12:9:18.29235,513.1,194.1,fixation
12:9:18.29284,513.0,193.5,fixation
12:9:18.29334,512.5,194.3,fixation
12:9:18.29384,512.6,195.9,fixation
12:9:18.29434,512.4,197.2,fixation
12:9:18.29483,512.6,198.8,fixation
12:9:18.29533,513.4,198.7,fixation
12:9:18.29583,514.0,199.3,fixation
12:9:18.29632,514.7,202.6,fixation
12:9:18.29682,515.1,203.8,fixation
12:9:18.29732,515.5,203.6,fixation
12:9:18.29781,514.5,203.0,fixation
12:9:18.29830,513.6,201.9,fixation
12:9:18.2988,514.3,201.9,fixation
12:9:18.2993,514.3,202.5,fixation
12:9:18.29979,514.3,202.8,fixation
12:9:18.30029,514.3,202.8,fixation
12:9:18.30079,514.3,202.6,fixation
12:9:18.30128,514.1,202.7,fixation
12:9:18.30177,513.6,201.9,fixation
12:9:18.30227,513.4,201.4,fixation
12:9:18.30277,513.8,204.4,fixation
12:9:18.30326,514.4,206.6,fixation
12:9:18.30376,514.8,207.0,fixation
12:9:18.30426,515.5,207.1,fixation
12:9:18.30475,515.6,206.2,fixation
12:9:18.30524,515.7,205.6,fixation
12:9:18.30574,515.6,205.7,fixation
12:9:18.30624,515.3,205.2,fixation
12:9:18.30673,515.0,204.6,fixation
12:9:18.30723,513.9,204.4,fixation
12:9:18.30773,513.5,204.1,fixation
12:9:18.30823,513.9,204.0,fixation
12:9:18.30872,514.9,204.7,fixation
12:9:18.30922,514.9,205.5,fixation
12:9:18.30972,513.9,203.3,fixation
12:9:18.31021,513.7,200.5,fixation
12:9:18.31071,514.6,199.0,fixation
12:9:18.31121,514.6,196.3,fixation
12:9:18.31170,513.2,196.6,fixation
12:9:18.31219,512.5,198.4,fixation
12:9:18.31269,512.7,197.3,fixation
12:9:18.31319,513.2,197.5,fixation
12:9:18.31368,513.7,197.7,fixation
12:9:18.31418,514.5,198.9,fixation
12:9:18.31468,514.5,200.1,fixation
12:9:18.31517,514.8,200.8,fixation
12:9:18.31566,514.6,199.5,fixation
12:9:18.31616,513.3,199.4,fixation
12:9:18.31666,513.1,199.3,fixation
12:9:18.31715,513.9,198.9,fixation
12:9:18.31765,514.8,200.1,fixation
12:9:18.31815,515.3,201.3,fixation
12:9:18.31864,514.9,200.7,fixation
12:9:18.31913,514.2,201.5,fixation
12:9:18.31963,514.3,202.7,fixation
12:9:18.32013,514.9,202.2,fixation
12:9:18.32062,515.0,201.5,fixation
12:9:18.32112,514.9,202.9,fixation
12:9:18.32162,514.9,204.5,fixation
