TimeStamp,X,Y,Event
10:22:03.5538,624.9,562.2,fixation
10:22:3.5543,624.2,561.9,fixation
10:22:3.5548,623.8,561.6,fixation
10:22:3.55530,623.8,561.4,fixation
10:22:3.5558,624.2,561.3,fixation
10:22:3.55630,624.3,561.2,fixation
10:22:3.5568,624.7,561.2,fixation
10:22:3.5573,625.2,561.2,fixation
10:22:3.55780,625.7,561.3,fixation
10:22:3.5583,624.3,561.3,fixation
10:22:3.5588,623.0,561.0,fixation
10:22:3.55930,621.6,560.5,fixation
10:22:3.5598,621.7,559.9,fixation
10:22:3.56030,622.4,559.4,fixation
10:22:3.5608,623.2,559.1,fixation
10:22:3.5613,623.4,558.8,fixation
10:22:3.56180,622.9,558.8,fixation
10:22:3.5623,622.4,558.9,fixation
10:22:3.5628,622.2,559.5,fixation
10:22:3.56330,622.1,560.2,fixation
10:22:3.5638,623.3,560.7,fixation
10:22:3.56430,624.7,560.7,fixation
10:22:3.5648,624.6,561.6,fixation
10:22:3.5653,623.1,562.3,fixation
10:22:3.56580,621.7,563.0,fixation
10:22:3.5663,621.8,562.8,fixation
10:22:3.5668,621.9,562.8,fixation
10:22:3.56730,622.5,563.2,fixation
10:22:3.5678,623.1,563.7,fixation
10:22:3.56830,623.7,562.4,fixation
10:22:3.5688,623.6,560.9,fixation
10:22:3.5693,623.4,558.5,fixation
10:22:3.56980,623.9,557.6,fixation
10:22:3.5703,624.5,557.6,fixation
10:22:3.5708,624.9,558.9,fixation
10:22:3.57130,624.2,560.1,fixation
10:22:3.5718,623.1,560.6,fixation
10:22:3.57230,622.2,561.0,fixation
10:22:3.5728,621.1,560.9,fixation
10:22:3.5733,620.5,560.7,fixation
10:22:3.57380,620.8,560.5,fixation
10:22:3.5743,621.8,560.8,fixation
10:22:3.5748,622.8,561.2,fixation
10:22:3.57530,622.9,561.5,fixation
10:22:3.5758,622.9,561.7,fixation
10:22:3.57630,622.0,561.7,fixation
10:22:3.5768,621.2,562.0,fixation
10:22:3.5773,621.8,562.5,fixation
10:22:3.57780,623.1,563.1,fixation
10:22:3.5783,623.7,563.6,fixation
10:22:3.5788,623.1,562.3,fixation
10:22:3.57930,622.9,560.6,fixation
10:22:3.5798,624.3,558.9,fixation
10:22:3.58030,625.6,558.6,fixation
10:22:3.5808,625.2,558.4,fixation
10:22:3.5813,624.2,557.8,fixation
10:22:3.58180,623.3,557.3,fixation
10:22:3.5823,624.0,558.4,fixation
10:22:3.5828,624.7,559.7,fixation
10:22:3.58330,625.2,560.9,fixation
10:22:3.5838,625.3,560.7,fixation
10:22:3.58430,625.4,560.6,fixation
10:22:3.5848,625.3,560.7,fixation
10:22:3.5853,624.3,560.5,fixation
10:22:3.58580,622.1,560.3,fixation
10:22:3.5863,620.2,560.1,fixation
10:22:3.5868,620.2,559.8,fixation
10:22:3.58730,621.4,559.5,fixation
10:22:3.5878,622.5,560.0,fixation
10:22:3.58830,622.7,560.7,fixation
10:22:3.5888,622.5,561.3,fixation
10:22:3.5893,622.3,561.1,fixation
10:22:3.58980,621.9,561.1,fixation
10:22:3.5903,622.1,561.1,fixation
10:22:3.5908,622.3,561.2,fixation
10:22:3.59130,622.3,561.2,fixation
10:22:3.5918,623.3,561.3,fixation
10:22:3.59230,624.2,561.3,fixation
10:22:3.5928,624.9,561.8,fixation
10:22:3.5933,623.6,562.3,fixation
10:22:3.59380,622.5,562.8,fixation
10:22:3.5943,621.6,562.8,fixation
10:22:3.5948,622.2,562.8,fixation
10:22:3.59530,622.8,562.6,fixation
10:22:3.5958,623.4,562.4,fixation
10:22:3.59630,623.7,561.7,fixation
10:22:3.5968,622.5,561.3,fixation
10:22:3.5973,621.4,560.8,fixation
10:22:3.59780,620.5,560.8,fixation
10:22:3.5983,620.7,560.3,fixation
