TimeStamp,X,Y,Event
10:24:02.2175,432.7,297.2,saccade
10:24:2.218,432.4,297.9,saccade
10:24:2.2185,432.3,297.4,saccade
10:24:2.21900,433.7,296.3,saccade
10:24:2.2195,435.8,294.9,saccade
10:24:2.22,438.0,294.1,saccade
10:24:2.22050,438.8,293.1,saccade
10:24:2.221,441.4,292.7,saccade
10:24:2.22150,444.5,292.8,saccade
10:24:2.222,447.3,294.1,saccade
10:24:2.2225,449.7,295.5,saccade
10:24:2.22300,451.8,294.3,saccade
10:24:2.2235,454.4,291.9,saccade
10:24:2.224,456.2,289.3,saccade
10:24:2.22450,459.5,289.5,saccade
10:24:2.225,464.0,289.4,saccade
10:24:2.22550,468.7,289.4,saccade
10:24:2.226,473.2,289.5,saccade
10:24:2.2265,477.3,289.7,saccade
10:24:2.22700,482.5,287.4,saccade
10:24:2.2275,488.3,285.1,saccade
10:24:2.228,494.3,283.1,saccade
10:24:2.22850,500.0,283.6,saccade
10:24:2.229,505.9,284.2,saccade
10:24:2.22950,512.2,283.1,saccade
10:24:2.23,519.0,281.9,saccade
10:24:2.2305,523.9,277.7,saccade
10:24:2.23100,529.5,275.3,saccade
10:24:2.2315,533.8,272.6,saccade
10:24:2.232,538.1,272.7,saccade
10:24:2.23250,540.6,272.7,saccade
10:24:2.233,542.1,272.5,saccade
10:24:2.23350,544.8,272.3,saccade
10:24:2.234,547.0,272.0,saccade
10:24:2.2345,550.4,272.0,saccade
10:24:2.23500,552.0,271.9,saccade
10:24:2.2355,552.4,273.5,saccade
10:24:2.236,551.6,275.1,saccade
10:24:2.23650,550.9,275.3,saccade
10:24:2.237,551.2,273.8,saccade
10:24:2.23750,551.5,272.6,saccade
10:24:2.238,549.2,273.2,saccade
10:24:2.2385,546.9,273.9,saccade
10:24:2.23900,544.6,274.0,saccade
10:24:2.2395,542.4,273.7,saccade
10:24:2.24,539.8,275.5,saccade
10:24:2.24050,536.8,277.6,saccade
10:24:2.241,534.6,279.8,saccade
10:24:2.24150,532.6,280.5,saccade
10:24:2.242,530.9,281.6,saccade
10:24:2.2425,530.6,282.8,saccade
10:24:2.24300,528.2,283.2,saccade
10:24:2.2435,525.8,284.0,saccade
10:24:2.244,523.5,284.9,saccade
10:24:2.24450,521.5,285.8,saccade
10:24:2.245,519.5,285.3,saccade
10:24:2.24550,516.9,284.8,saccade
10:24:2.246,515.7,284.4,saccade
10:24:2.2465,514.4,284.2,saccade
10:24:2.24700,513.5,283.3,saccade
10:24:2.2475,513.1,282.4,saccade
10:24:2.248,512.9,284.1,saccade
10:24:2.24850,513.6,286.7,saccade
10:24:2.249,514.3,289.1,saccade
10:24:2.24950,515.0,288.8,saccade
10:24:2.25,514.8,287.3,fixation
10:24:2.2505,514.2,285.2,fixation
10:24:2.25100,513.6,283.4,fixation
10:24:2.2515,513.8,282.5,fixation
10:24:2.25200,514.2,285.0,fixation
10:24:2.2525,514.6,287.3,fixation
10:24:2.253,514.9,288.6,fixation
10:24:2.25350,515.2,287.9,fixation
10:24:2.254,515.8,287.2,fixation
10:24:2.2545,516.6,285.6,fixation
10:24:2.25500,517.1,284.0,fixation
10:24:2.2555,517.3,282.5,fixation
10:24:2.25600,517.2,282.7,fixation
10:24:2.2565,517.2,283.0,fixation
10:24:2.257,517.1,283.3,fixation
10:24:2.25750,517.2,281.9,fixation
10:24:2.258,517.2,280.4,fixation
10:24:2.2585,517.3,278.9,fixation
10:24:2.25900,517.2,278.4,fixation
10:24:2.2595,517.2,277.9,fixation
10:24:2.26000,517.3,278.6,fixation
10:24:2.2605,517.5,279.9,fixation
10:24:2.261,518.2,281.7,fixation
10:24:2.26150,518.9,282.7,fixation
10:24:2.262,519.2,283.8,fixation
10:24:2.2625,518.7,284.3,fixation
10:24:2.26300,518.2,282.9,fixation
10:24:2.2635,517.7,280.5,fixation
10:24:2.26400,517.5,278.0,fixation
10:24:2.2645,517.5,277.1,fixation
10:24:2.265,518.0,277.9,fixation
10:24:2.26550,518.5,279.3,fixation
10:24:2.266,518.5,280.6,fixation
10:24:2.2665,518.4,280.9,fixation
10:24:2.26700,518.6,280.7,fixation
10:24:2.2675,519.7,279.9,fixation
10:24:2.26800,520.7,278.5,fixation
10:24:2.2685,521.5,277.2,fixation
10:24:2.269,521.4,277.6,fixation
10:24:2.26950,521.1,280.6,fixation
10:24:2.27,520.9,283.5,fixation
10:24:2.2705,521.8,283.8,fixation
10:24:2.27100,522.9,282.3,fixation
10:24:2.2715,524.3,280.8,fixation
10:24:2.27200,524.6,280.9,fixation
10:24:2.2725,524.8,281.2,fixation
10:24:2.273,524.3,281.5,fixation
10:24:2.27350,523.8,281.7,fixation
10:24:2.274,523.3,281.4,fixation
10:24:2.2745,523.3,281.0,fixation
10:24:2.27500,523.4,280.6,fixation
10:24:2.2755,523.7,280.7,fixation
10:24:2.27600,524.1,281.0,fixation
10:24:2.2765,524.7,281.7,fixation
10:24:2.277,524.9,282.1,fixation
10:24:2.27750,524.8,281.6,fixation
10:24:2.278,524.4,280.4,fixation
10:24:2.2785,524.0,279.3,fixation
10:24:2.27900,523.9,279.2,fixation
10:24:2.2795,523.9,278.2,fixation
10:24:2.28000,523.3,277.2,fixation
10:24:2.2805,522.6,277.5,fixation
10:24:2.281,522.6,279.3,fixation
10:24:2.28150,523.3,282.4,fixation
10:24:2.282,524.1,284.2,fixation
10:24:2.2825,524.2,284.2,fixation
10:24:2.28300,524.0,282.6,fixation
10:24:2.2835,523.0,281.1,fixation
10:24:2.28400,522.1,281.0,fixation
10:24:2.2845,520.8,281.6,fixation
10:24:2.285,520.4,282.2,fixation
10:24:2.28550,520.0,282.8,fixation
10:24:2.286,520.1,281.7,fixation
10:24:2.2865,520.3,280.4,fixation
10:24:2.28700,520.6,279.1,fixation
10:24:2.2875,519.3,278.8,fixation
10:24:2.28800,517.9,278.5,fixation
10:24:2.2885,516.3,278.6,fixation
10:24:2.289,516.1,279.1,fixation
10:24:2.28950,516.1,279.9,fixation
10:24:2.29,516.2,280.6,fixation
10:24:2.2905,516.4,280.9,fixation
10:24:2.29100,516.0,281.2,fixation
10:24:2.2915,515.6,281.4,fixation
10:24:2.29200,516.2,281.7,fixation
10:24:2.2925,517.2,281.9,fixation
10:24:2.293,518.7,281.1,fixation
10:24:2.29350,519.1,280.3,fixation
10:24:2.294,519.4,278.8,fixation
10:24:2.2945,519.4,277.7,fixation
10:24:2.29500,519.5,276.6,fixation
10:24:2.2955,519.8,276.3,fixation
10:24:2.29600,520.0,276.8,fixation
10:24:2.2965,520.4,277.4,fixation
10:24:2.297,520.7,277.2,fixation
10:24:2.29750,521.4,277.2,fixation
10:24:2.298,522.1,277.8,fixation
10:24:2.2985,523.5,279.2,fixation
10:24:2.29900,524.5,280.4,fixation
10:24:2.2995,524.1,281.0,fixation
10:24:2.30000,522.8,281.3,fixation
10:24:2.3005,521.6,281.0,fixation
10:24:2.301,521.9,279.7,fixation
10:24:2.30150,522.1,278.4,fixation
10:24:2.302,522.3,278.9,fixation
10:24:2.3025,522.7,280.5,fixation
10:24:2.30300,523.5,281.8,fixation
10:24:2.3035,524.2,281.0,fixation
10:24:2.30400,524.6,280.3,fixation
10:24:2.3045,524.4,279.8,fixation
10:24:2.305,524.2,280.2,fixation
10:24:2.30550,523.9,280.5,fixation
10:24:2.306,524.1,280.3,fixation
10:24:2.3065,524.3,279.7,fixation
10:24:2.30700,524.6,278.9,fixation
10:24:2.3075,524.7,278.0,fixation
10:24:2.30800,525.0,277.3,fixation
10:24:2.3085,525.1,277.0,fixation
10:24:2.309,524.6,277.1,fixation
10:24:2.30950,523.8,277.2,fixation
10:24:2.31,523.0,277.3,fixation
10:24:2.3105,524.0,278.3,fixation
10:24:2.31100,525.1,279.2,fixation
10:24:2.3115,526.2,279.7,fixation
10:24:2.31200,526.0,279.8,fixation
10:24:2.3125,525.8,280.5,fixation
10:24:2.313,526.1,281.2,fixation
10:24:2.31350,526.7,281.0,fixation
10:24:2.314,526.4,280.2,fixation
10:24:2.31450,525.3,281.0,fixation
10:24:2.315,524.0,281.3,fixation
10:24:2.3155,523.7,281.9,fixation
10:24:2.31600,523.6,280.8,fixation
10:24:2.3165,522.6,280.9,fixation
10:24:2.317,521.7,280.3,fixation
10:24:2.31750,521.1,279.1,fixation
10:24:2.318,521.5,278.0,fixation
10:24:2.31850,521.8,279.2,fixation
10:24:2.319,521.4,280.9,fixation
10:24:2.3195,521.0,282.4,fixation
10:24:2.32000,520.8,281.9,fixation
10:24:2.3205,520.1,280.4,fixation
10:24:2.321,519.1,279.2,fixation
10:24:2.32150,518.1,278.4,fixation
10:24:2.322,518.8,278.7,fixation
10:24:2.32250,519.5,280.4,fixation
10:24:2.323,520.4,281.9,fixation
10:24:2.3235,520.4,283.3,fixation
10:24:2.32400,520.5,283.1,fixation
10:24:2.3245,520.6,283.0,fixation
10:24:2.325,519.8,282.6,fixation
10:24:2.32550,518.9,282.5,fixation
10:24:2.326,518.2,282.7,fixation
10:24:2.32650,518.2,283.3,fixation
10:24:2.327,518.2,282.4,fixation
10:24:2.3275,518.2,281.3,fixation
10:24:2.32800,518.9,280.4,fixation
10:24:2.3285,519.7,280.4,fixation
10:24:2.329,520.5,280.5,fixation
10:24:2.32950,520.7,280.5,fixation
10:24:2.33,520.9,281.1,fixation
10:24:2.33050,520.2,281.7,fixation
10:24:2.331,519.4,282.0,fixation
10:24:2.3315,518.6,281.6,fixation
10:24:2.33200,518.7,280.0,fixation
10:24:2.3325,518.8,278.5,fixation
10:24:2.333,518.8,279.8,fixation
10:24:2.33350,519.5,282.5,fixation
10:24:2.334,521.1,282.8,fixation
10:24:2.33450,522.8,280.6,fixation
10:24:2.335,523.5,279.3,fixation
10:24:2.3355,523.0,281.9,fixation
10:24:2.33600,522.2,284.3,fixation
10:24:2.3365,521.7,285.6,fixation
10:24:2.337,521.1,284.6,fixation
10:24:2.33750,521.0,283.7,fixation
10:24:2.338,521.9,282.7,fixation
10:24:2.33850,523.0,281.9,fixation
10:24:2.339,524.1,281.1,fixation
10:24:2.3395,524.2,280.4,fixation
10:24:2.34000,524.2,280.2,fixation
10:24:2.3405,524.1,280.5,fixation
10:24:2.341,524.0,280.9,fixation
10:24:2.34150,523.8,281.3,fixation
10:24:2.342,524.1,281.5,fixation
10:24:2.34250,524.5,280.6,fixation
10:24:2.343,525.3,279.7,fixation
10:24:2.3435,525.9,280.5,fixation
10:24:2.34400,526.5,282.3,fixation
10:24:2.3445,526.8,283.0,fixation
10:24:2.345,526.9,282.0,fixation
10:24:2.34550,527.0,281.1,fixation
10:24:2.346,527.0,281.6,fixation
10:24:2.34650,527.0,282.1,fixation
10:24:2.347,527.0,282.4,fixation
10:24:2.3475,527.0,282.4,fixation
10:24:2.34800,526.2,281.3,fixation
10:24:2.3485,525.8,280.3,fixation
10:24:2.349,525.3,279.2,fixation
10:24:2.34950,526.0,280.8,fixation
10:24:2.35,526.3,282.0,fixation
10:24:2.35050,526.5,283.2,fixation
10:24:2.351,526.2,282.8,fixation
10:24:2.3515,525.4,282.6,fixation
10:24:2.35200,524.8,282.3,fixation
10:24:2.3525,524.5,282.0,fixation
10:24:2.353,524.6,281.8,fixation
10:24:2.35350,524.5,281.8,fixation
10:24:2.354,524.3,281.4,fixation
10:24:2.35450,523.9,280.6,fixation
10:24:2.355,523.6,279.8,fixation
10:24:2.3555,523.4,279.6,fixation
10:24:2.35600,523.6,279.9,fixation
10:24:2.3565,524.7,280.3,fixation
10:24:2.357,526.1,280.6,fixation
10:24:2.35750,527.5,280.4,fixation
10:24:2.358,527.5,280.1,fixation
10:24:2.35850,527.1,280.2,fixation
10:24:2.359,526.5,280.6,fixation
10:24:2.3595,526.4,280.7,fixation
10:24:2.36000,526.3,279.8,fixation
10:24:2.3605,527.3,279.1,fixation
10:24:2.361,528.2,280.0,fixation
10:24:2.36150,528.9,281.1,fixation
10:24:2.362,528.6,282.0,fixation
10:24:2.36250,528.4,281.7,fixation
10:24:2.363,528.4,281.7,fixation
10:24:2.3635,528.3,281.1,fixation
10:24:2.36400,528.2,280.1,fixation
10:24:2.3645,528.0,279.1,fixation
10:24:2.365,528.3,278.6,fixation
10:24:2.36550,528.6,278.5,fixation
10:24:2.366,528.3,278.1,fixation
10:24:2.36650,526.4,277.6,fixation
10:24:2.367,524.4,277.1,fixation
10:24:2.3675,523.4,276.8,fixation
10:24:2.36800,524.2,276.7,fixation
10:24:2.3685,526.4,277.4,fixation
10:24:2.369,528.3,278.2,fixation
10:24:2.36950,528.9,278.7,fixation
10:24:2.37,528.0,278.1,fixation
10:24:2.37050,527.2,277.9,fixation
10:24:2.371,527.2,278.3,fixation
10:24:2.3715,527.2,278.9,fixation
10:24:2.37200,527.2,279.3,fixation
10:24:2.3725,526.6,277.9,fixation
10:24:2.373,526.2,275.8,fixation
10:24:2.37350,526.0,273.8,fixation
10:24:2.374,527.0,275.1,fixation
10:24:2.37450,528.0,277.0,fixation
10:24:2.375,528.2,278.6,fixation
10:24:2.3755,527.7,277.3,fixation
10:24:2.37600,527.1,276.1,fixation
10:24:2.3765,526.8,277.5,fixation
10:24:2.37700,526.5,280.0,fixation
10:24:2.3775,526.0,282.5,fixation
10:24:2.378,525.6,282.6,fixation
10:24:2.37850,525.4,281.1,fixation
10:24:2.379,525.3,279.8,fixation
10:24:2.3795,525.4,278.5,fixation
10:24:2.38000,525.8,278.8,fixation
10:24:2.3805,526.6,278.9,fixation
10:24:2.38100,527.5,278.8,fixation
10:24:2.3815,527.5,278.6,fixation
10:24:2.382,527.4,278.3,fixation
10:24:2.38250,527.2,277.7,fixation
10:24:2.383,527.3,277.1,fixation
10:24:2.3835,527.1,278.3,fixation
10:24:2.38400,526.9,279.8,fixation
10:24:2.3845,526.8,280.9,fixation
10:24:2.38500,527.0,280.2,fixation
10:24:2.3855,527.2,279.9,fixation
10:24:2.386,527.8,277.4,fixation
10:24:2.38650,528.3,274.9,fixation
10:24:2.387,528.7,275.1,fixation
10:24:2.3875,528.7,277.2,fixation
10:24:2.38800,527.7,279.2,fixation
10:24:2.3885,526.8,278.7,fixation
10:24:2.38900,526.3,277.9,fixation
10:24:2.3895,526.7,277.5,fixation
10:24:2.39,527.1,277.4,fixation
10:24:2.39050,527.0,278.2,fixation
10:24:2.391,526.8,278.7,fixation
10:24:2.3915,526.8,278.9,fixation
10:24:2.39200,526.6,279.6,fixation
10:24:2.3925,526.4,280.1,fixation
10:24:2.39300,526.6,279.8,fixation
10:24:2.3935,526.9,279.0,fixation
10:24:2.394,527.4,277.9,fixation
10:24:2.39450,527.5,277.3,fixation
10:24:2.395,527.6,276.7,fixation
10:24:2.3955,527.6,276.9,fixation
10:24:2.39600,527.4,277.3,fixation
10:24:2.3965,527.2,277.7,fixation
10:24:2.39700,528.0,277.6,fixation
10:24:2.3975,528.9,277.3,fixation
10:24:2.398,529.9,276.7,fixation
10:24:2.39850,530.0,276.0,fixation
10:24:2.399,530.1,275.6,fixation
10:24:2.3995,529.7,275.4,fixation
10:24:2.40000,528.0,275.7,fixation
10:24:2.4005,526.2,276.1,fixation
10:24:2.40100,524.7,276.4,fixation
10:24:2.4015,524.7,276.2,fixation
10:24:2.402,525.3,276.1,fixation
10:24:2.40250,526.0,276.1,fixation
10:24:2.403,526.6,276.3,fixation
10:24:2.4035,526.5,276.4,fixation
10:24:2.40400,525.8,276.9,fixation
10:24:2.4045,524.9,277.5,fixation
10:24:2.40500,524.2,278.1,fixation
10:24:2.4055,524.3,277.2,fixation
10:24:2.406,525.9,276.4,fixation
10:24:2.40650,527.5,276.7,fixation
10:24:2.407,529.0,277.8,fixation
10:24:2.4075,528.6,278.6,fixation
10:24:2.40800,528.0,278.4,fixation
10:24:2.4085,527.4,278.2,fixation
10:24:2.40900,526.7,276.6,fixation
10:24:2.4095,526.0,275.0,fixation
10:24:2.41,524.4,275.3,fixation
10:24:2.41050,523.5,278.0,fixation
10:24:2.411,523.1,280.7,fixation
10:24:2.4115,523.7,281.0,fixation
10:24:2.41200,523.9,279.9,fixation
10:24:2.4125,523.1,278.5,fixation
10:24:2.41300,522.3,277.7,fixation
10:24:2.4135,521.8,277.8,fixation
10:24:2.414,521.8,278.1,fixation
10:24:2.41450,521.7,277.0,fixation
10:24:2.415,521.6,275.6,fixation
10:24:2.4155,521.5,274.2,fixation
10:24:2.41600,521.5,275.3,fixation
10:24:2.4165,521.5,277.5,fixation
10:24:2.41700,522.2,279.8,fixation
10:24:2.4175,523.0,279.3,fixation
10:24:2.418,523.6,277.7,fixation
10:24:2.41850,523.6,276.9,fixation
10:24:2.419,523.5,277.8,fixation
10:24:2.4195,523.5,279.2,fixation
10:24:2.42000,523.5,280.3,fixation
10:24:2.4205,524.1,281.4,fixation
10:24:2.42100,524.9,280.7,fixation
10:24:2.4215,525.6,279.4,fixation
10:24:2.422,525.8,278.1,fixation
10:24:2.42250,525.9,278.2,fixation
10:24:2.423,525.5,278.5,fixation
10:24:2.4235,525.1,278.8,fixation
10:24:2.42400,524.8,278.5,fixation
10:24:2.4245,524.6,278.2,fixation
10:24:2.42500,524.3,278.7,fixation
10:24:2.4255,523.9,279.6,fixation
10:24:2.426,523.9,280.4,fixation
10:24:2.42650,524.0,280.4,fixation
10:24:2.427,524.2,280.8,fixation
10:24:2.4275,524.2,280.9,fixation
10:24:2.42800,523.9,280.4,fixation
10:24:2.4285,523.5,279.4,fixation
10:24:2.42900,524.3,278.8,fixation
10:24:2.4295,525.6,279.0,fixation
10:24:2.43,526.9,279.8,fixation
10:24:2.43050,526.9,280.5,fixation
10:24:2.431,527.0,281.0,fixation
10:24:2.4315,527.0,281.2,fixation
10:24:2.43200,525.8,280.6,fixation
10:24:2.4325,524.8,279.8,fixation
10:24:2.43300,523.8,279.1,fixation
10:24:2.4335,524.0,279.2,fixation
10:24:2.434,523.2,280.0,fixation
10:24:2.43450,522.3,280.1,fixation
10:24:2.435,521.4,280.5,fixation
10:24:2.4355,521.3,280.1,fixation
10:24:2.43600,521.2,280.4,fixation
10:24:2.4365,520.9,280.4,fixation
10:24:2.43700,520.6,280.1,fixation
10:24:2.4375,520.3,279.3,fixation
10:24:2.438,520.8,278.3,fixation
10:24:2.43850,521.4,277.9,fixation
10:24:2.439,522.0,277.8,fixation
10:24:2.43950,522.2,278.0,fixation
10:24:2.44,522.5,278.2,fixation
10:24:2.4405,522.8,278.5,fixation
10:24:2.44100,522.1,278.7,fixation
10:24:2.4415,521.3,278.9,fixation
10:24:2.442,520.6,279.0,fixation
10:24:2.44250,520.5,279.2,fixation
10:24:2.443,520.4,279.2,fixation
10:24:2.44350,521.4,277.8,fixation
10:24:2.444,522.4,276.6,fixation
10:24:2.4445,523.3,275.4,fixation
10:24:2.44500,522.8,275.1,fixation
10:24:2.4455,522.4,274.7,fixation
10:24:2.446,521.7,276.2,fixation
10:24:2.44650,521.4,278.2,fixation
10:24:2.447,521.0,280.2,fixation
10:24:2.44750,521.0,280.5,fixation
10:24:2.448,521.1,280.8,fixation
10:24:2.4485,520.8,281.4,fixation
10:24:2.44900,520.4,281.8,fixation
10:24:2.4495,520.3,280.8,fixation
10:24:2.45,520.6,279.4,fixation
10:24:2.45050,521.1,278.0,fixation
10:24:2.451,521.8,276.0,fixation
10:24:2.45150,522.6,274.0,fixation
10:24:2.452,523.1,276.0,fixation
10:24:2.4525,522.7,280.1,fixation
10:24:2.45300,521.9,282.7,fixation
10:24:2.4535,521.7,280.9,fixation
10:24:2.454,521.8,279.1,fixation
10:24:2.45450,522.2,278.8,fixation
10:24:2.455,522.4,279.0,fixation
10:24:2.45550,520.4,280.0,fixation
10:24:2.456,518.2,281.0,fixation
10:24:2.4565,516.8,281.1,fixation
10:24:2.45700,517.5,279.9,fixation
10:24:2.4575,518.4,278.8,fixation
10:24:2.458,518.5,278.5,fixation
10:24:2.45850,518.4,278.8,fixation
10:24:2.459,518.4,278.6,fixation
10:24:2.45950,518.7,278.2,fixation
10:24:2.46,519.1,277.5,fixation
10:24:2.4605,519.5,277.2,fixation
10:24:2.46100,519.8,275.9,fixation
10:24:2.4615,520.2,275.3,fixation
10:24:2.462,520.7,275.2,fixation
10:24:2.46250,520.8,276.4,fixation
10:24:2.463,520.6,277.4,fixation
10:24:2.46350,519.9,278.0,fixation
10:24:2.464,519.2,278.0,fixation
10:24:2.4645,519.0,277.8,fixation
10:24:2.46500,519.3,278.5,fixation
10:24:2.4655,519.8,279.5,fixation
10:24:2.466,520.1,279.2,fixation
10:24:2.46650,520.4,278.0,fixation
10:24:2.467,520.6,277.0,fixation
10:24:2.46750,520.5,278.2,fixation
10:24:2.468,519.4,279.2,fixation
10:24:2.4685,518.3,279.4,fixation
10:24:2.46900,518.5,278.8,fixation
10:24:2.4695,519.7,278.1,fixation
10:24:2.47,521.0,278.1,fixation
10:24:2.47050,520.9,278.7,fixation
10:24:2.471,520.1,279.7,fixation
10:24:2.47150,519.2,280.7,fixation
10:24:2.472,519.3,281.2,fixation
10:24:2.4725,519.8,281.5,fixation
10:24:2.47300,520.4,281.9,fixation
10:24:2.4735,520.3,281.2,fixation
10:24:2.474,520.5,278.5,fixation
10:24:2.47450,520.6,275.8,fixation
10:24:2.475,520.2,274.6,fixation
10:24:2.47550,519.8,275.1,fixation
10:24:2.476,519.2,277.0,fixation
10:24:2.4765,519.0,278.7,fixation
10:24:2.47700,518.8,280.4,fixation
10:24:2.4775,518.9,278.9,fixation
10:24:2.478,519.7,276.9,fixation
10:24:2.47850,520.5,274.9,fixation
10:24:2.479,521.2,275.1,fixation
10:24:2.47950,520.0,275.6,fixation
10:24:2.48,518.8,276.2,fixation
10:24:2.4805,518.0,277.6,fixation
10:24:2.48100,518.8,278.4,fixation
10:24:2.4815,519.6,278.7,fixation
10:24:2.482,519.5,277.8,fixation
10:24:2.48250,519.0,276.4,fixation
10:24:2.483,518.8,275.0,fixation
10:24:2.48350,519.7,273.5,fixation
10:24:2.484,520.4,272.9,fixation
10:24:2.4845,520.6,274.6,fixation
10:24:2.48500,520.4,276.2,fixation
10:24:2.4855,520.2,277.9,fixation
10:24:2.486,520.3,277.3,fixation
10:24:2.48650,520.1,276.6,fixation
10:24:2.487,519.6,276.1,fixation
10:24:2.48750,519.1,276.1,fixation
10:24:2.488,518.8,276.9,fixation
10:24:2.4885,518.8,277.6,fixation
10:24:2.48900,519.8,278.5,fixation
10:24:2.4895,520.6,278.6,fixation
10:24:2.49,521.3,278.8,fixation
10:24:2.49050,521.0,278.8,fixation
10:24:2.491,519.7,278.7,fixation
10:24:2.49150,518.7,278.7,fixation
10:24:2.492,517.8,278.8,fixation
10:24:2.4925,519.4,278.8,fixation
10:24:2.49300,520.6,278.7,fixation
10:24:2.4935,521.7,278.5,fixation
10:24:2.494,521.5,278.8,fixation
10:24:2.49450,521.2,279.5,fixation
10:24:2.495,520.8,280.2,fixation
10:24:2.49550,520.7,280.5,fixation
10:24:2.496,521.4,280.6,fixation
10:24:2.4965,522.4,279.1,fixation
10:24:2.49700,523.1,277.6,fixation
10:24:2.4975,523.3,276.3,fixation
10:24:2.498,522.3,276.7,fixation
10:24:2.49850,521.2,277.1,fixation
10:24:2.499,520.1,277.4,fixation
10:24:2.49950,520.4,277.4,fixation
10:24:2.5,520.6,277.5,fixation
10:24:2.5005,520.9,277.6,fixation
10:24:2.50100,520.9,277.6,fixation
10:24:2.5015,520.4,278.0,fixation
10:24:2.50200,519.8,278.4,fixation
10:24:2.5025,519.2,278.9,fixation
10:24:2.503,519.1,279.1,fixation
10:24:2.50350,519.2,278.9,fixation
10:24:2.504,519.4,278.5,fixation
10:24:2.5045,519.6,278.1,fixation
10:24:2.50500,519.8,277.9,fixation
10:24:2.5055,519.9,277.7,fixation
10:24:2.50600,519.9,277.4,fixation
10:24:2.5065,519.8,277.2,fixation
10:24:2.507,519.7,277.1,fixation
10:24:2.50750,519.8,277.3,fixation
10:24:2.508,520.0,277.4,fixation
10:24:2.5085,519.9,278.2,fixation
10:24:2.50900,519.8,278.8,fixation
10:24:2.5095,519.6,279.1,fixation
10:24:2.51000,519.8,278.2,fixation
10:24:2.5105,520.2,277.4,fixation
10:24:2.511,520.7,276.9,fixation
10:24:2.51150,521.1,277.7,fixation
10:24:2.512,520.7,278.7,fixation
10:24:2.5125,520.1,277.5,fixation
10:24:2.51300,519.5,275.4,fixation
10:24:2.5135,520.0,275.7,fixation
10:24:2.51400,520.6,278.6,fixation
10:24:2.5145,521.1,281.5,fixation
10:24:2.515,521.2,280.9,fixation
