TimeStamp,X,Y,Event
11:34:04.3200,611.0,570.8,fixation
11:34:4.3205,611.3,571.0,fixation
11:34:4.321,611.6,570.8,fixation
11:34:4.32149,611.6,570.6,fixation
11:34:4.32198,611.3,568.6,fixation
11:34:4.32248,611.1,566.6,fixation
11:34:4.32297,611.1,565.3,fixation
11:34:4.32346,611.2,566.8,fixation
11:34:4.32396,611.3,568.5,fixation
11:34:4.32445,611.3,569.5,fixation
11:34:4.32494,611.3,569.6,fixation
11:34:4.32543,611.3,569.5,fixation
11:34:4.32593,611.2,569.5,fixation
11:34:4.32642,611.0,569.2,fixation
11:34:4.32691,610.8,569.0,fixation
11:34:4.32740,610.8,568.9,fixation
11:34:4.3279,610.4,569.6,fixation
11:34:4.32839,610.0,570.3,fixation
11:34:4.32888,609.6,571.1,fixation
11:34:4.32938,609.6,571.5,fixation
11:34:4.32987,610.2,572.1,fixation
11:34:4.33036,610.9,572.4,fixation
11:34:4.33085,611.6,571.7,fixation
11:34:4.33135,611.1,570.8,fixation
11:34:4.33184,610.6,569.4,fixation
11:34:4.33233,610.4,569.0,fixation
11:34:4.33282,611.0,569.2,fixation
11:34:4.33332,611.5,570.0,fixation
11:34:4.33381,611.9,571.1,fixation
11:34:4.33430,612.1,571.9,fixation
11:34:4.33479,612.2,572.6,fixation
11:34:4.33529,612.0,573.0,fixation
11:34:4.33578,611.9,573.0,fixation
11:34:4.33627,611.8,571.5,fixation
11:34:4.33677,611.2,569.9,fixation
11:34:4.33726,610.5,570.3,fixation
11:34:4.33775,609.7,572.3,fixation
11:34:4.33824,609.5,574.1,fixation
11:34:4.33874,609.5,573.6,fixation
11:34:4.33923,609.4,572.1,fixation
11:34:4.33972,609.6,570.8,fixation
11:34:4.34021,609.9,570.0,fixation
11:34:4.34071,610.4,570.4,fixation
11:34:4.34120,610.5,570.9,fixation
11:34:4.34169,610.1,571.3,fixation
11:34:4.34218,609.3,571.4,fixation
11:34:4.34268,608.9,571.5,fixation
11:34:4.34317,609.1,571.5,fixation
11:34:4.34366,609.8,571.7,fixation
11:34:4.34416,610.9,572.0,fixation
11:34:4.34465,611.5,571.6,fixation
11:34:4.34514,612.0,571.0,fixation
11:34:4.34563,612.1,570.3,fixation
11:34:4.34613,611.0,569.1,fixation
11:34:4.34662,609.9,567.9,fixation
11:34:4.34711,609.1,567.7,fixation
11:34:4.34760,609.2,568.8,fixation
11:34:4.3481,609.4,570.7,fixation
11:34:4.34859,609.5,571.3,fixation
11:34:4.34908,609.6,571.6,fixation
11:34:4.34958,609.7,571.1,fixation
11:34:4.35007,609.8,570.5,fixation
11:34:4.35056,609.9,570.3,fixation
11:34:4.35105,609.9,570.7,fixation
11:34:4.35155,609.9,571.4,fixation
11:34:4.35204,609.8,572.0,fixation
11:34:4.35253,609.7,572.1,fixation
11:34:4.35302,609.6,572.3,fixation
11:34:4.35352,609.7,572.6,fixation
11:34:4.35401,609.4,572.9,fixation
11:34:4.35450,608.9,573.0,fixation
11:34:4.35499,608.5,570.8,fixation
11:34:4.35549,608.2,568.6,fixation
11:34:4.35598,608.2,566.6,fixation
11:34:4.35647,608.1,567.1,fixation
11:34:4.35697,608.1,568.6,fixation
11:34:4.35746,608.4,570.9,fixation
11:34:4.35795,608.6,573.7,fixation
11:34:4.35844,609.0,575.5,fixation
11:34:4.35894,609.0,575.1,fixation
11:34:4.35943,609.0,573.9,fixation
11:34:4.35992,609.0,573.0,fixation
11:34:4.36041,609.1,573.2,fixation
11:34:4.36091,609.2,573.4,fixation
11:34:4.36140,609.3,573.4,fixation
11:34:4.36189,609.1,573.8,fixation
11:34:4.36238,608.9,574.2,fixation
11:34:4.36288,608.7,574.0,fixation
11:34:4.36337,608.6,573.5,fixation
11:34:4.36386,608.6,573.1,fixation
11:34:4.36436,608.5,573.4,fixation
11:34:4.36485,608.6,573.6,fixation
11:34:4.36534,609.1,573.1,fixation
11:34:4.36583,609.6,572.5,fixation
11:34:4.36633,609.4,571.7,fixation
11:34:4.36682,608.8,571.3,fixation
11:34:4.36731,608.5,571.0,fixation
11:34:4.36780,608.8,570.9,fixation
11:34:4.3683,609.2,571.2,fixation
11:34:4.36879,609.1,571.7,fixation
11:34:4.36928,609.1,572.3,fixation
11:34:4.36977,609.1,572.4,fixation
11:34:4.37027,609.1,572.3,fixation
11:34:4.37076,609.2,572.6,fixation
11:34:4.37125,609.3,573.0,fixation
11:34:4.37175,609.4,572.4,fixation
11:34:4.37224,609.4,571.3,fixation
11:34:4.37273,608.9,570.6,fixation
11:34:4.37322,608.6,571.3,fixation
11:34:4.37372,608.5,572.0,fixation
11:34:4.37421,608.9,572.8,fixation
11:34:4.37470,609.1,573.2,fixation
