TimeStamp,X,Y,Event
11:22:24.5553,616.9,475.5,saccade
11:22:24.5557,617.0,474.9,saccade
11:22:24.5562,617.1,474.5,saccade
11:22:24.5567,617.0,474.6,saccade
11:22:24.5571,616.7,474.8,saccade
11:22:24.5575,616.5,475.0,saccade
11:22:24.558,616.4,475.6,saccade
11:22:24.5585,616.4,476.8,saccade
11:22:24.5589,615.7,478.0,saccade
11:22:24.5594,615.1,477.0,saccade
11:22:24.5599,614.7,475.1,saccade
11:22:24.5603,614.6,470.5,saccade
11:22:24.5608,614.1,467.5,saccade
11:22:24.5613,613.5,464.8,saccade
11:22:24.5617,614.2,464.7,saccade
11:22:24.5621,615.2,463.9,saccade
11:22:24.5626,616.6,462.9,saccade
11:22:24.5631,617.5,459.4,saccade
11:22:24.5635,618.4,455.6,saccade
11:22:24.564,619.4,449.5,saccade
11:22:24.5645,620.7,440.7,saccade
11:22:24.5649,622.4,432.5,saccade
11:22:24.5654,623.5,426.1,saccade
11:22:24.5659,623.8,424.0,saccade
11:22:24.5663,623.8,420.3,saccade
11:22:24.5667,624.0,414.8,saccade
11:22:24.5672,625.6,408.1,saccade
11:22:24.5677,628.0,402.9,saccade
11:22:24.5681,630.6,399.8,saccade
11:22:24.5686,632.3,396.6,saccade
11:22:24.5691,633.5,391.2,saccade
11:22:24.5695,634.2,386.2,saccade
11:22:24.57,635.6,376.5,saccade
11:22:24.5705,636.7,369.4,saccade
11:22:24.5709,638.1,359.7,saccade
11:22:24.5714,638.7,356.0,saccade
11:22:24.5719,639.5,350.4,saccade
11:22:24.5724,640.6,344.3,saccade
11:22:24.5728,642.0,336.5,saccade
11:22:24.5733,642.1,330.1,saccade
11:22:24.5738,641.7,325.4,saccade
11:22:24.5742,641.1,321.0,saccade
11:22:24.5747,641.9,314.5,saccade
11:22:24.5752,642.5,309.6,saccade
11:22:24.5756,643.5,304.3,saccade
11:22:24.5761,644.0,302.0,saccade
11:22:24.5766,644.2,295.7,saccade
11:22:24.5770,644.0,291.2,saccade
11:22:24.5775,644.3,284.7,saccade
11:22:24.578,645.0,281.3,saccade
11:22:24.5785,645.8,275.7,saccade
11:22:24.5789,646.5,269.4,saccade
11:22:24.5794,647.1,263.7,saccade
11:22:24.5799,648.2,259.4,saccade
11:22:24.5803,649.0,257.3,saccade
11:22:24.5808,649.7,253.0,saccade
11:22:24.5813,650.1,250.0,saccade
11:22:24.5817,650.7,247.5,saccade
11:22:24.5822,652.1,245.3,saccade
11:22:24.5827,653.8,241.3,saccade
11:22:24.5831,655.5,237.5,saccade
11:22:24.5836,656.8,235.8,saccade
11:22:24.5841,657.8,234.7,saccade
11:22:24.5846,658.9,231.9,saccade
11:22:24.5850,660.2,229.0,saccade
11:22:24.5855,661.7,226.1,saccade
11:22:24.586,663.0,224.9,saccade
11:22:24.5864,663.9,221.0,saccade
11:22:24.5869,664.8,215.8,saccade
11:22:24.5874,665.6,209.7,saccade
11:22:24.5878,666.4,204.7,saccade
11:22:24.5883,667.0,201.8,saccade
11:22:24.5888,667.5,199.4,saccade
11:22:24.5892,667.9,198.0,saccade
11:22:24.5897,668.2,197.2,saccade
11:22:24.5902,668.4,196.9,saccade
11:22:24.5907,668.7,196.2,saccade
11:22:24.5911,668.9,195.6,saccade
11:22:24.5916,668.8,194.9,saccade
11:22:24.5921,668.0,195.1,saccade
11:22:24.5925,667.2,195.3,saccade
11:22:24.593,667.1,195.1,saccade
11:22:24.5935,667.6,194.7,saccade
11:22:24.5939,668.0,195.8,fixation
11:22:24.5944,667.5,197.4,fixation
11:22:24.5949,667.4,198.8,fixation
11:22:24.5953,667.5,199.4,fixation
11:22:24.5958,666.5,199.3,fixation
11:22:24.5963,665.2,200.5,fixation
11:22:24.5967,663.8,201.8,fixation
11:22:24.5971,663.7,203.1,fixation
11:22:24.5976,663.3,203.6,fixation
11:22:24.5981,662.7,204.1,fixation
11:22:24.5985,662.1,205.6,fixation
11:22:24.599,661.9,206.5,fixation
11:22:24.5995,661.8,207.2,fixation
11:22:24.5999,662.5,207.0,fixation
11:22:24.6004,663.2,206.6,fixation
11:22:24.6009,663.4,206.4,fixation
11:22:24.6013,663.0,206.8,fixation
11:22:24.6017,662.6,207.3,fixation
11:22:24.6022,662.5,207.9,fixation
11:22:24.6027,662.5,208.0,fixation
11:22:24.6031,662.3,208.7,fixation
11:22:24.6036,662.3,208.9,fixation
11:22:24.6041,662.3,208.8,fixation
11:22:24.6045,662.1,207.8,fixation
11:22:24.605,661.7,207.3,fixation
11:22:24.6055,662.6,207.2,fixation
11:22:24.6059,663.8,207.3,fixation
11:22:24.6063,665.0,207.5,fixation
11:22:24.6068,665.0,207.6,fixation
11:22:24.6073,665.0,207.4,fixation
11:22:24.6077,665.0,206.8,fixation
11:22:24.6082,665.1,205.8,fixation
11:22:24.6087,665.3,204.4,fixation
11:22:24.6091,665.5,203.3,fixation
11:22:24.6096,665.3,203.7,fixation
11:22:24.6101,664.9,204.6,fixation
11:22:24.6105,664.4,205.6,fixation
11:22:24.6109,664.3,205.7,fixation
11:22:24.6114,664.4,205.7,fixation
11:22:24.6119,665.2,205.6,fixation
11:22:24.6123,666.0,205.3,fixation
11:22:24.6128,665.9,205.0,fixation
11:22:24.6133,665.3,204.6,fixation
11:22:24.6137,664.7,204.3,fixation
11:22:24.6142,664.9,203.6,fixation
11:22:24.6147,665.0,203.4,fixation
11:22:24.6151,665.0,203.1,fixation
11:22:24.6156,664.1,203.3,fixation
11:22:24.6161,663.3,203.0,fixation
11:22:24.6166,662.6,202.9,fixation
11:22:24.6170,662.8,203.0,fixation
11:22:24.6175,662.9,203.1,fixation
11:22:24.618,663.0,203.4,fixation
11:22:24.6184,663.1,203.7,fixation
11:22:24.6189,663.4,204.0,fixation
11:22:24.6194,663.6,203.5,fixation
11:22:24.6198,663.7,203.2,fixation
11:22:24.6203,663.5,203.2,fixation
11:22:24.6208,663.3,203.6,fixation
11:22:24.6212,663.3,203.7,fixation
11:22:24.6217,663.4,203.5,fixation
11:22:24.6222,662.6,203.4,fixation
11:22:24.6227,661.7,203.4,fixation
11:22:24.6231,660.9,203.5,fixation
11:22:24.6236,661.2,203.6,fixation
11:22:24.6241,661.8,203.6,fixation
11:22:24.6245,662.6,203.6,fixation
11:22:24.625,663.1,203.5,fixation
11:22:24.6255,663.4,203.5,fixation
11:22:24.6259,663.3,203.8,fixation
11:22:24.6264,663.0,204.0,fixation
11:22:24.6269,662.7,204.5,fixation
11:22:24.6273,663.1,204.9,fixation
11:22:24.6278,663.6,205.5,fixation
11:22:24.6283,664.0,206.0,fixation
11:22:24.6288,663.9,206.3,fixation
11:22:24.6292,664.0,206.6,fixation
11:22:24.6297,664.7,206.8,fixation
11:22:24.6302,665.2,207.0,fixation
11:22:24.6306,665.8,207.2,fixation
11:22:24.6311,665.7,207.8,fixation
11:22:24.6316,665.7,208.4,fixation
11:22:24.6320,665.0,209.1,fixation
11:22:24.6325,664.4,209.1,fixation
11:22:24.633,664.5,208.8,fixation
11:22:24.6334,665.3,207.9,fixation
11:22:24.6339,666.1,207.0,fixation
11:22:24.6344,665.8,206.3,fixation
11:22:24.6349,665.3,206.3,fixation
11:22:24.6353,664.8,206.3,fixation
11:22:24.6358,664.5,206.2,fixation
11:22:24.6363,664.4,206.8,fixation
11:22:24.6367,664.3,207.3,fixation
11:22:24.6372,664.4,208.3,fixation
11:22:24.6377,664.5,208.7,fixation
11:22:24.6381,664.6,208.9,fixation
11:22:24.6386,664.6,208.5,fixation
11:22:24.6391,664.4,207.4,fixation
11:22:24.6395,663.8,206.5,fixation
11:22:24.64,663.1,205.9,fixation
11:22:24.6405,662.5,206.0,fixation
11:22:24.641,662.9,205.9,fixation
11:22:24.6414,663.6,205.7,fixation
11:22:24.6419,663.7,205.2,fixation
11:22:24.6424,663.0,204.7,fixation
11:22:24.6428,662.3,204.7,fixation
11:22:24.6433,662.3,204.8,fixation
11:22:24.6438,662.2,205.0,fixation
11:22:24.6442,662.3,204.9,fixation
11:22:24.6447,662.3,204.6,fixation
11:22:24.6452,662.0,204.4,fixation
11:22:24.6456,661.7,204.5,fixation
11:22:24.6461,661.9,205.0,fixation
11:22:24.6466,662.3,205.3,fixation
11:22:24.6471,662.7,204.7,fixation
11:22:24.6475,661.8,203.8,fixation
11:22:24.648,660.6,204.6,fixation
11:22:24.6485,659.6,206.1,fixation
11:22:24.6489,659.3,207.5,fixation
11:22:24.6494,659.2,207.1,fixation
11:22:24.6499,659.5,206.5,fixation
11:22:24.6503,660.4,206.2,fixation
11:22:24.6508,661.2,205.7,fixation
11:22:24.6513,661.7,205.0,fixation
11:22:24.6517,661.8,204.4,fixation
11:22:24.6522,661.5,204.1,fixation
11:22:24.6527,661.0,204.1,fixation
11:22:24.6532,660.7,204.1,fixation
11:22:24.6536,660.8,204.0,fixation
11:22:24.6541,661.1,203.7,fixation
11:22:24.6546,662.2,203.4,fixation
11:22:24.6550,663.3,203.2,fixation
11:22:24.6555,664.5,202.9,fixation
11:22:24.656,664.6,202.7,fixation
11:22:24.6564,664.5,202.6,fixation
