TimeStamp,X,Y,Event
10:25:17.1578,655.2,504.8,fixation
10:25:17.1583,655.4,504.8,fixation
10:25:17.1588,655.6,505.0,fixation
10:25:17.1592,655.8,505.2,fixation
10:25:17.1596,656.3,506.2,fixation
10:25:17.1601,656.6,506.1,fixation
10:25:17.1606,656.0,505.4,fixation
10:25:17.1610,656.2,506.3,fixation
10:25:17.1615,656.7,507.6,fixation
10:25:17.162,655.9,506.3,fixation
10:25:17.1624,655.9,506.7,fixation
10:25:17.1629,656.5,507.5,fixation
10:25:17.1634,655.9,507.1,fixation
10:25:17.1638,656.0,507.0,fixation
10:25:17.1642,656.0,508.0,fixation
10:25:17.1647,654.2,508.7,fixation
10:25:17.1652,653.7,508.6,fixation
10:25:17.1656,654.0,508.3,fixation
10:25:17.1661,655.3,508.2,fixation
10:25:17.1666,655.4,507.7,fixation
10:25:17.1670,654.1,507.1,fixation
10:25:17.1675,652.8,505.8,fixation
10:25:17.168,652.3,505.8,fixation
10:25:17.1684,652.3,505.8,fixation
10:25:17.1688,652.4,505.7,fixation
10:25:17.1693,652.5,505.9,fixation
10:25:17.1698,652.4,505.7,fixation
10:25:17.1702,652.8,505.9,fixation
10:25:17.1707,653.0,505.9,fixation
10:25:17.1712,654.0,505.3,fixation
10:25:17.1716,655.0,504.9,fixation
10:25:17.1721,654.7,506.0,fixation
10:25:17.1726,654.6,506.2,fixation
10:25:17.1730,654.6,506.0,fixation
10:25:17.1734,654.6,506.1,fixation
10:25:17.1739,655.2,505.8,fixation
10:25:17.1744,656.4,506.1,fixation
10:25:17.1748,656.4,506.8,fixation
10:25:17.1753,655.4,506.7,fixation
10:25:17.1758,655.4,506.7,fixation
10:25:17.1762,655.8,506.8,fixation
10:25:17.1767,656.6,507.7,fixation
10:25:17.1772,657.0,507.7,fixation
10:25:17.1776,656.7,507.7,fixation
10:25:17.1781,656.5,507.6,fixation
10:25:17.1786,656.3,507.1,fixation
10:25:17.1791,656.3,507.0,fixation
10:25:17.1795,656.3,507.3,fixation
10:25:17.18,656.3,507.6,fixation
10:25:17.1805,655.8,507.8,fixation
10:25:17.1809,655.2,507.7,fixation
10:25:17.1814,654.8,507.9,fixation
10:25:17.1819,654.8,508.4,fixation
10:25:17.1823,655.0,508.8,fixation
10:25:17.1828,655.0,508.4,fixation
10:25:17.1833,655.0,507.6,fixation
10:25:17.1837,655.7,507.6,fixation
10:25:17.1842,656.4,507.7,fixation
10:25:17.1847,656.0,507.9,fixation
10:25:17.1852,656.3,508.0,fixation
10:25:17.1856,656.7,507.4,fixation
10:25:17.1861,656.4,506.6,fixation
10:25:17.1866,656.2,507.4,fixation
10:25:17.1870,655.9,508.3,fixation
10:25:17.1875,656.6,508.3,fixation
10:25:17.188,656.9,507.9,fixation
10:25:17.1884,656.4,506.3,fixation
10:25:17.1889,656.3,505.9,fixation
10:25:17.1894,656.1,506.3,fixation
10:25:17.1898,655.6,506.1,fixation
10:25:17.1903,654.4,507.1,fixation
10:25:17.1908,653.8,507.2,fixation
10:25:17.1913,652.6,506.8,fixation
10:25:17.1917,652.3,506.4,fixation
10:25:17.1922,652.2,505.7,fixation
10:25:17.1927,652.8,505.9,fixation
10:25:17.1931,653.7,507.2,fixation
10:25:17.1936,653.4,507.7,fixation
10:25:17.1941,652.7,507.5,fixation
10:25:17.1945,652.7,507.4,fixation
10:25:17.195,652.6,508.0,fixation
10:25:17.1955,652.6,507.8,fixation
10:25:17.1959,652.7,507.2,fixation
10:25:17.1964,652.5,507.4,fixation
10:25:17.1969,651.9,507.2,fixation
10:25:17.1974,651.3,505.3,fixation
10:25:17.1978,651.2,505.8,fixation
10:25:17.1983,651.0,507.5,fixation
10:25:17.1988,651.3,508.1,fixation
10:25:17.1992,651.7,507.8,fixation
10:25:17.1997,652.3,507.3,fixation
10:25:17.2002,652.8,507.5,fixation
10:25:17.2006,653.0,507.1,fixation
10:25:17.2011,652.8,508.1,fixation
10:25:17.2016,653.6,508.9,fixation
10:25:17.2020,654.2,508.6,fixation
10:25:17.2025,654.6,508.1,fixation
10:25:17.203,655.0,507.4,fixation
10:25:17.2035,654.8,507.2,fixation
10:25:17.2039,656.1,506.9,fixation
10:25:17.2044,656.1,506.3,fixation
10:25:17.2049,656.3,506.9,saccade
10:25:17.2053,657.9,509.0,saccade
10:25:17.2058,658.2,510.5,saccade
10:25:17.2063,656.8,515.1,saccade
10:25:17.2067,650.6,525.3,saccade
10:25:17.2072,639.8,543.0,saccade
10:25:17.2077,626.8,567.8,saccade
10:25:17.2081,610.7,594.0,saccade
10:25:17.2086,591.7,618.9,saccade
10:25:17.2091,580.2,648.3,saccade
10:25:17.2096,577.8,674.1,saccade
10:25:17.2100,579.5,690.9,saccade
10:25:17.2105,584.6,704.0,saccade
10:25:17.211,587.9,714.0,saccade
10:25:17.2114,590.3,718.7,saccade
10:25:17.2119,593.9,718.5,saccade
10:25:17.2124,598.1,713.2,saccade
10:25:17.2128,600.5,706.4,saccade
10:25:17.2133,602.9,697.8,saccade
10:25:17.2138,605.1,692.6,saccade
10:25:17.2142,606.4,691.1,saccade
10:25:17.2147,605.7,691.8,fixation
10:25:17.2152,604.0,693.4,fixation
10:25:17.2157,602.4,696.7,fixation
10:25:17.2161,601.0,699.7,fixation
10:25:17.2166,599.6,701.1,fixation
10:25:17.2171,599.4,701.7,fixation
10:25:17.2175,599.9,702.4,fixation
10:25:17.218,600.5,701.9,fixation
10:25:17.2185,600.4,699.6,fixation
10:25:17.2189,598.8,697.9,fixation
10:25:17.2194,598.1,697.5,fixation
10:25:17.2199,598.1,697.6,fixation
10:25:17.2203,596.5,698.4,fixation
10:25:17.2208,595.0,699.2,fixation
10:25:17.2213,594.5,699.4,fixation
10:25:17.2217,594.6,699.8,fixation
10:25:17.2221,595.2,700.8,fixation
10:25:17.2226,593.9,701.6,fixation
10:25:17.2231,593.5,702.3,fixation
10:25:17.2235,593.3,702.9,fixation
10:25:17.224,593.3,703.3,fixation
10:25:17.2245,593.2,704.5,fixation
10:25:17.2249,594.5,705.4,fixation
10:25:17.2254,595.2,705.1,fixation
10:25:17.2259,596.6,705.9,fixation
10:25:17.2263,597.9,705.9,fixation
10:25:17.2267,599.0,705.8,fixation
10:25:17.2272,600.0,706.4,fixation
10:25:17.2277,597.9,706.1,fixation
10:25:17.2281,597.3,705.9,fixation
10:25:17.2286,596.7,705.8,fixation
10:25:17.2291,595.8,705.2,fixation
10:25:17.2295,596.5,705.5,fixation
10:25:17.23,596.9,706.8,fixation
10:25:17.2305,596.9,707.2,fixation
10:25:17.2309,597.0,707.3,fixation
10:25:17.2313,597.1,707.5,fixation
10:25:17.2318,597.1,707.6,fixation
10:25:17.2323,597.0,707.7,fixation
10:25:17.2327,596.7,707.7,fixation
10:25:17.2332,596.7,707.6,fixation
10:25:17.2337,597.5,708.3,fixation
10:25:17.2341,597.8,709.1,fixation
10:25:17.2346,597.8,709.3,fixation
10:25:17.2351,598.0,708.8,fixation
10:25:17.2355,598.0,708.8,fixation
10:25:17.2359,597.5,709.2,fixation
10:25:17.2364,596.8,709.2,fixation
10:25:17.2369,596.3,708.9,fixation
10:25:17.2373,596.0,708.8,fixation
10:25:17.2378,596.6,709.1,fixation
10:25:17.2383,597.6,708.9,fixation
10:25:17.2387,598.4,709.6,fixation
10:25:17.2392,598.5,710.3,fixation
10:25:17.2397,597.4,710.5,fixation
10:25:17.2401,596.3,710.7,fixation
10:25:17.2406,596.6,711.2,fixation
10:25:17.2411,596.6,711.4,fixation
10:25:17.2416,595.2,711.3,fixation
10:25:17.2420,594.0,711.5,fixation
10:25:17.2425,593.5,712.4,fixation
10:25:17.243,593.6,712.9,fixation
10:25:17.2434,593.0,712.6,fixation
10:25:17.2439,592.6,712.3,fixation
10:25:17.2444,593.4,712.4,fixation
10:25:17.2448,593.8,712.4,fixation
10:25:17.2453,592.8,713.0,fixation
10:25:17.2458,591.4,713.8,fixation
10:25:17.2462,590.2,714.4,fixation
10:25:17.2467,591.6,715.4,fixation
10:25:17.2472,590.1,714.8,fixation
10:25:17.2477,590.4,713.9,fixation
