TimeStamp,X,Y,Event
09:22:21.3228,594.8,234.5,saccade
9:22:21.3233,587.7,235.1,saccade
9:22:21.3238,582.4,236.4,saccade
9:22:21.32429,576.0,237.4,saccade
9:22:21.32479,570.0,237.9,saccade
9:22:21.32529,563.2,238.6,saccade
9:22:21.32578,557.5,240.0,saccade
9:22:21.32628,550.9,241.3,saccade
9:22:21.32678,544.5,241.7,saccade
9:22:21.32728,538.4,241.9,saccade
9:22:21.32777,533.3,242.5,saccade
9:22:21.32827,528.9,242.9,saccade
9:22:21.32877,523.7,242.7,saccade
9:22:21.32926,517.1,242.6,saccade
9:22:21.32976,510.1,242.9,saccade
9:22:21.33026,503.4,243.2,saccade
9:22:21.33075,497.7,243.4,saccade
9:22:21.33124,491.0,243.6,saccade
9:22:21.33174,484.2,243.9,saccade
9:22:21.33224,478.2,243.7,saccade
9:22:21.33273,472.9,243.6,saccade
9:22:21.33323,467.8,243.5,saccade
9:22:21.33373,462.6,243.5,saccade
9:22:21.33422,458.7,242.8,saccade
9:22:21.33471,455.3,242.0,saccade
9:22:21.33521,452.6,241.9,saccade
9:22:21.33571,450.0,242.5,saccade
9:22:21.33620,448.6,242.8,saccade
9:22:21.3367,448.1,242.4,saccade
9:22:21.3372,448.2,242.1,saccade
9:22:21.33769,448.4,242.2,saccade
9:22:21.33818,448.4,241.5,saccade
9:22:21.33868,448.5,240.8,saccade
9:22:21.33918,450.2,240.9,saccade
9:22:21.33967,451.8,241.8,saccade
9:22:21.34017,454.9,242.7,saccade
9:22:21.34067,456.4,242.7,saccade
9:22:21.34116,458.2,241.9,saccade
9:22:21.34165,459.2,241.0,saccade
9:22:21.34215,460.0,240.0,saccade
9:22:21.34265,460.3,240.0,saccade
9:22:21.34314,460.0,239.9,saccade
9:22:21.34363,461.1,240.0,saccade
9:22:21.34413,462.3,240.4,saccade
9:22:21.34463,463.3,240.9,saccade
9:22:21.34512,462.7,241.9,fixation
9:22:21.34562,462.6,242.6,fixation
9:22:21.34612,461.9,243.2,fixation
9:22:21.34661,461.2,243.8,fixation
9:22:21.34710,460.5,243.5,fixation
9:22:21.3476,460.4,243.3,fixation
9:22:21.3481,460.3,242.7,fixation
9:22:21.34859,460.1,242.4,fixation
9:22:21.34909,459.8,242.8,fixation
9:22:21.34959,458.3,243.5,fixation
9:22:21.35008,455.9,243.9,fixation
9:22:21.35057,453.5,243.5,fixation
9:22:21.35107,452.4,243.9,fixation
9:22:21.35157,452.1,244.4,fixation
9:22:21.35206,452.1,244.8,fixation
9:22:21.35256,452.1,244.9,fixation
9:22:21.35306,451.9,245.7,fixation
9:22:21.35355,451.7,246.7,fixation
9:22:21.35404,451.6,247.1,fixation
9:22:21.35454,451.2,246.7,fixation
9:22:21.35504,450.9,245.5,fixation
9:22:21.35553,450.7,244.0,fixation
9:22:21.35603,450.7,242.7,fixation
9:22:21.35653,450.6,242.2,fixation
9:22:21.35702,449.8,242.2,fixation
9:22:21.35751,449.1,242.1,fixation
9:22:21.35801,448.2,242.0,fixation
9:22:21.35851,448.1,241.9,fixation
9:22:21.35900,448.2,241.8,fixation
9:22:21.3595,448.3,241.7,fixation
9:22:21.36,448.6,240.6,fixation
9:22:21.3605,448.7,239.5,fixation
9:22:21.36099,448.6,238.4,fixation
9:22:21.36149,448.2,239.0,fixation
9:22:21.36199,447.8,239.5,fixation
9:22:21.36248,447.6,240.3,fixation
9:22:21.36298,447.6,240.5,fixation
9:22:21.36348,447.4,240.8,fixation
9:22:21.36397,447.2,240.9,fixation
9:22:21.36446,446.7,240.9,fixation
9:22:21.36496,446.3,241.7,fixation
9:22:21.36546,446.0,242.4,fixation
9:22:21.36595,445.9,243.0,fixation
9:22:21.36645,446.5,241.9,fixation
9:22:21.36695,447.1,240.9,fixation
9:22:21.36744,447.6,239.6,fixation
9:22:21.36793,447.2,239.5,fixation
9:22:21.36843,446.6,239.5,fixation
9:22:21.36893,446.1,239.8,fixation
9:22:21.36942,445.5,239.7,fixation
9:22:21.36992,445.3,239.3,fixation
9:22:21.37042,445.0,238.9,fixation
9:22:21.37091,445.2,238.8,fixation
9:22:21.37140,445.4,238.8,fixation
9:22:21.3719,445.6,238.8,fixation
9:22:21.3724,445.9,238.7,fixation
9:22:21.37289,446.2,238.6,fixation
9:22:21.37339,446.5,239.1,fixation
9:22:21.37389,446.3,239.8,fixation
9:22:21.37439,446.0,240.3,fixation
9:22:21.37488,445.8,240.0,fixation
9:22:21.37538,445.8,239.7,fixation
9:22:21.37588,445.7,239.6,fixation
9:22:21.37637,445.5,239.5,fixation
9:22:21.37687,445.2,239.5,fixation
9:22:21.37737,445.0,239.6,fixation
9:22:21.37786,444.9,239.8,fixation
9:22:21.37835,444.8,240.0,fixation
9:22:21.37885,444.6,240.3,fixation
9:22:21.37935,444.3,240.4,fixation
9:22:21.37984,444.2,240.1,fixation
9:22:21.38034,443.9,239.7,fixation
9:22:21.38084,443.8,240.1,fixation
9:22:21.38133,443.9,240.6,fixation
9:22:21.38182,444.2,240.5,fixation
9:22:21.38232,444.7,239.9,fixation
9:22:21.38282,445.5,239.4,fixation
9:22:21.38331,446.2,239.5,fixation
9:22:21.38381,446.8,239.7,fixation
9:22:21.38431,446.6,241.2,fixation
9:22:21.38480,446.5,242.7,fixation
9:22:21.38529,446.5,243.5,fixation
9:22:21.38579,446.7,242.9,fixation
9:22:21.38629,447.3,241.6,fixation
9:22:21.38678,448.0,241.0,fixation
9:22:21.38728,448.7,240.3,fixation
9:22:21.38778,449.2,240.4,fixation
9:22:21.38827,449.2,240.4,fixation
9:22:21.38876,449.1,241.0,fixation
9:22:21.38926,449.1,241.7,fixation
9:22:21.38976,448.1,242.9,fixation
9:22:21.39025,447.3,243.3,fixation
9:22:21.39075,446.4,243.8,fixation
9:22:21.39125,446.5,243.7,fixation
9:22:21.39175,446.1,243.2,fixation
9:22:21.39224,445.7,242.6,fixation
9:22:21.39274,445.3,242.1,fixation
9:22:21.39324,444.7,242.1,fixation
9:22:21.39373,444.1,241.9,fixation
9:22:21.39423,443.6,241.1,fixation
9:22:21.39473,443.8,240.0,fixation
9:22:21.39522,444.1,239.1,fixation
9:22:21.39571,444.5,239.6,fixation
9:22:21.39621,444.9,240.3,fixation
9:22:21.39671,445.3,241.0,fixation
9:22:21.39720,445.6,240.8,fixation
9:22:21.3977,445.7,241.6,fixation
9:22:21.3982,446.3,242.4,fixation
9:22:21.39869,446.8,243.0,fixation
9:22:21.39918,446.8,242.8,fixation
9:22:21.39968,446.4,242.5,fixation
9:22:21.40018,445.7,242.2,fixation
9:22:21.40067,445.3,242.0,fixation
9:22:21.40117,445.0,241.9,fixation
9:22:21.40167,445.1,242.0,fixation
9:22:21.40216,445.3,242.0,fixation
9:22:21.40265,445.5,242.0,fixation
9:22:21.40315,445.5,241.9,fixation
9:22:21.40365,445.0,241.5,fixation
9:22:21.40414,444.5,241.2,fixation
9:22:21.40464,443.9,241.1,fixation
9:22:21.40514,443.8,241.4,fixation
9:22:21.40564,444.5,242.0,fixation
9:22:21.40613,445.2,242.3,fixation
9:22:21.40663,445.8,242.6,fixation
9:22:21.40713,445.8,242.5,fixation
9:22:21.40762,446.2,241.9,fixation
9:22:21.40812,446.5,241.1,fixation
9:22:21.40862,446.7,240.3,fixation
9:22:21.40911,446.6,241.0,fixation
9:22:21.40960,446.5,241.8,fixation
9:22:21.4101,446.5,242.1,fixation
9:22:21.4106,446.7,241.6,fixation
9:22:21.41109,447.0,240.9,fixation
9:22:21.41159,447.3,240.8,fixation
9:22:21.41209,447.4,240.9,fixation
9:22:21.41258,447.4,241.9,fixation
9:22:21.41307,447.3,242.9,fixation
9:22:21.41357,447.2,242.9,fixation
9:22:21.41407,447.3,242.1,fixation
9:22:21.41456,447.4,241.9,fixation
9:22:21.41506,447.3,242.4,fixation
9:22:21.41556,447.3,243.2,fixation
9:22:21.41605,447.2,243.4,fixation
9:22:21.41654,447.2,242.7,fixation
9:22:21.41704,447.2,241.8,fixation
9:22:21.41754,447.3,240.8,fixation
9:22:21.41803,447.9,240.6,fixation
9:22:21.41853,448.5,240.7,fixation
9:22:21.41903,449.1,241.0,fixation
9:22:21.41952,449.0,241.7,fixation
9:22:21.42001,448.9,242.3,fixation
9:22:21.42051,448.9,242.8,fixation
9:22:21.42101,448.9,242.9,fixation
9:22:21.42150,448.8,243.3,fixation
9:22:21.422,448.8,243.7,fixation
9:22:21.4225,448.7,244.1,fixation
9:22:21.423,448.8,244.1,fixation
9:22:21.42349,449.0,243.3,fixation
9:22:21.42399,449.1,242.4,fixation
9:22:21.42449,449.5,242.0,fixation
9:22:21.42498,449.8,242.4,fixation
9:22:21.42548,449.3,242.5,fixation
