TimeStamp,X,Y,Event
12:30:34.4578,448.9,638.9,saccade
12:30:34.4583,450.5,645.7,saccade
12:30:34.4588,452.0,652.3,saccade
12:30:34.4593,456.4,653.7,saccade
12:30:34.4598,459.0,655.6,saccade
12:30:34.4603,461.1,661.0,saccade
12:30:34.4608,461.2,666.6,saccade
12:30:34.4613,461.2,670.6,saccade
12:30:34.4618,461.1,674.7,saccade
12:30:34.4623,461.6,678.4,saccade
12:30:34.4628,461.9,683.7,saccade
12:30:34.4633,462.7,685.5,saccade
12:30:34.4638,463.8,686.3,saccade
12:30:34.4643,464.6,685.4,saccade
12:30:34.4648,465.4,684.6,saccade
12:30:34.4653,463.3,684.6,saccade
12:30:34.4658,461.4,683.5,saccade
12:30:34.4663,460.1,681.7,saccade
12:30:34.4668,461.3,678.1,saccade
12:30:34.4673,461.4,675.3,saccade
12:30:34.4678,460.8,672.8,saccade
12:30:34.4683,459.5,670.0,saccade
12:30:34.4688,458.7,667.1,saccade
12:30:34.4693,458.1,662.5,saccade
12:30:34.4698,457.2,657.1,saccade
12:30:34.4703,456.6,651.7,saccade
12:30:34.4708,456.0,647.5,saccade
12:30:34.4713,455.9,645.9,saccade
12:30:34.4718,455.7,644.0,saccade
12:30:34.4723,455.7,642.7,saccade
12:30:34.4728,456.4,640.5,saccade
12:30:34.4733,456.2,636.9,saccade
12:30:34.4738,455.6,633.6,saccade
12:30:34.4743,456.1,631.8,saccade
12:30:34.4748,457.3,631.7,saccade
12:30:34.4753,458.2,632.9,saccade
12:30:34.4758,457.9,634.2,saccade
12:30:34.4763,457.9,635.7,saccade
12:30:34.4768,458.2,638.1,saccade
12:30:34.4773,458.8,640.3,saccade
12:30:34.4778,459.1,642.6,saccade
12:30:34.4783,459.4,643.2,fixation
12:30:34.4788,460.3,645.5,fixation
12:30:34.4793,461.3,647.9,fixation
12:30:34.4798,461.3,650.3,fixation
12:30:34.4803,460.1,650.7,fixation
12:30:34.4808,458.9,651.0,fixation
12:30:34.4813,459.0,651.1,fixation
12:30:34.4818,459.8,651.2,fixation
12:30:34.4823,461.1,651.7,fixation
12:30:34.4828,462.3,652.4,fixation
12:30:34.4833,462.9,654.2,fixation
12:30:34.4838,463.3,655.9,fixation
12:30:34.4843,463.4,657.7,fixation
12:30:34.4848,463.7,658.3,fixation
12:30:34.4853,463.6,658.8,fixation
12:30:34.4858,463.5,658.9,fixation
12:30:34.4863,463.1,658.6,fixation
12:30:34.4868,462.7,658.4,fixation
12:30:34.4873,462.7,658.3,fixation
12:30:34.4878,463.4,658.8,fixation
12:30:34.4883,464.1,659.6,fixation
12:30:34.4888,464.0,660.2,fixation
12:30:34.4893,463.6,660.6,fixation
12:30:34.4898,463.1,659.8,fixation
12:30:34.4903,463.1,659.0,fixation
12:30:34.4908,463.5,661.6,fixation
12:30:34.4913,464.0,665.1,fixation
12:30:34.4918,464.6,668.6,fixation
12:30:34.4923,464.7,668.7,fixation
12:30:34.4928,464.9,668.4,fixation
12:30:34.4933,465.4,668.3,fixation
12:30:34.4938,465.9,668.1,fixation
12:30:34.4943,465.8,670.1,fixation
12:30:34.4948,464.9,672.0,fixation
12:30:34.4953,464.0,673.6,fixation
12:30:34.4958,463.7,673.1,fixation
12:30:34.4963,463.9,672.6,fixation
12:30:34.4968,464.2,672.2,fixation
12:30:34.4973,464.5,671.4,fixation
12:30:34.4978,464.8,670.1,fixation
12:30:34.4983,465.0,669.0,fixation
12:30:34.4988,466.1,668.9,fixation
12:30:34.4993,467.2,669.3,fixation
12:30:34.4998,467.4,669.9,fixation
12:30:34.5003,466.5,670.3,fixation
12:30:34.5008,465.7,669.8,fixation
12:30:34.5013,465.1,669.0,fixation
12:30:34.5018,464.5,668.1,fixation
12:30:34.5023,463.8,667.6,fixation
12:30:34.5028,463.5,667.0,fixation
12:30:34.5033,463.1,667.6,fixation
12:30:34.5038,463.9,668.7,fixation
12:30:34.5043,464.7,670.2,fixation
12:30:34.5048,465.8,671.0,fixation
12:30:34.5053,465.9,671.6,fixation
12:30:34.5058,466.4,670.6,fixation
12:30:34.5063,465.9,668.5,fixation
12:30:34.5068,465.2,666.5,fixation
12:30:34.5073,464.0,666.0,fixation
12:30:34.5078,463.6,666.0,fixation
12:30:34.5083,464.2,666.6,fixation
12:30:34.5088,465.1,667.2,fixation
12:30:34.5093,466.0,667.8,fixation
12:30:34.5098,466.1,666.8,fixation
12:30:34.5103,466.2,665.8,fixation
12:30:34.5108,465.1,665.0,fixation
12:30:34.5113,463.8,665.5,fixation
12:30:34.5118,462.8,666.1,fixation
12:30:34.5123,463.3,665.4,fixation
12:30:34.5128,463.8,664.3,fixation
12:30:34.5133,464.9,663.3,fixation
12:30:34.5138,465.7,663.9,fixation
