TimeStamp,X,Y,Event
13:21:23.7752,441.3,364.2,fixation
13:21:23.7757,441.6,364.2,fixation
13:21:23.7762,441.2,364.1,fixation
13:21:23.7766,440.5,364.2,fixation
13:21:23.7770,439.8,364.2,fixation
13:21:23.7775,439.8,364.3,fixation
13:21:23.778,440.1,364.6,fixation
13:21:23.7784,440.6,365.0,fixation
13:21:23.7789,441.1,365.3,fixation
13:21:23.7794,441.4,365.5,fixation
13:21:23.7798,441.4,365.7,fixation
13:21:23.7803,441.5,366.0,fixation
13:21:23.7808,441.5,366.3,fixation
13:21:23.7812,441.1,366.2,fixation
13:21:23.7816,440.4,365.8,fixation
13:21:23.7821,440.1,365.3,fixation
13:21:23.7826,440.3,365.0,fixation
13:21:23.7830,440.7,363.9,fixation
13:21:23.7835,440.6,362.8,fixation
13:21:23.784,440.4,362.3,fixation
13:21:23.7844,440.4,362.8,fixation
13:21:23.7849,440.1,363.3,fixation
13:21:23.7854,439.5,363.3,fixation
13:21:23.7858,439.0,364.1,fixation
13:21:23.7862,438.2,365.0,fixation
13:21:23.7867,437.7,366.5,fixation
13:21:23.7872,437.2,366.9,fixation
13:21:23.7876,437.3,367.1,fixation
13:21:23.7881,437.9,367.0,fixation
13:21:23.7886,438.5,367.1,fixation
13:21:23.7890,438.8,367.4,fixation
13:21:23.7895,438.2,367.3,fixation
13:21:23.79,437.7,367.2,fixation
13:21:23.7904,437.5,367.0,fixation
13:21:23.7909,437.8,366.8,fixation
13:21:23.7914,438.1,366.9,fixation
13:21:23.7919,438.4,367.0,fixation
13:21:23.7923,438.3,367.0,fixation
13:21:23.7928,437.6,366.4,fixation
13:21:23.7933,436.9,365.1,fixation
13:21:23.7937,436.6,364.5,fixation
13:21:23.7942,436.7,365.2,fixation
13:21:23.7947,436.3,366.4,fixation
13:21:23.7951,435.8,366.2,fixation
13:21:23.7956,436.7,365.6,fixation
13:21:23.7961,438.0,364.9,fixation
13:21:23.7965,439.1,365.3,fixation
13:21:23.797,438.7,365.7,fixation
13:21:23.7975,438.3,366.0,fixation
13:21:23.798,438.0,365.9,fixation
13:21:23.7984,437.8,364.4,fixation
13:21:23.7989,437.7,362.9,fixation
13:21:23.7994,437.5,362.7,fixation
13:21:23.7998,437.3,363.8,fixation
13:21:23.8003,438.5,365.3,fixation
13:21:23.8008,440.2,365.9,fixation
13:21:23.8012,441.9,366.4,fixation
13:21:23.8017,440.6,366.5,fixation
13:21:23.8022,439.1,366.2,fixation
13:21:23.8026,438.7,367.2,fixation
13:21:23.8031,440.0,368.4,fixation
13:21:23.8036,440.6,369.1,fixation
13:21:23.8041,440.0,368.6,fixation
13:21:23.8045,439.5,368.2,fixation
13:21:23.805,439.5,368.3,fixation
13:21:23.8055,439.4,368.4,fixation
13:21:23.8059,439.8,368.1,fixation
13:21:23.8064,439.9,367.7,fixation
13:21:23.8069,439.5,367.7,fixation
13:21:23.8073,438.6,368.0,fixation
13:21:23.8078,438.1,368.2,fixation
13:21:23.8083,438.2,368.0,fixation
13:21:23.8087,437.1,367.8,fixation
13:21:23.8092,435.4,368.3,saccade
13:21:23.8097,435.8,368.5,saccade
13:21:23.8102,436.3,368.2,saccade
13:21:23.8106,436.3,367.6,saccade
13:21:23.8111,436.5,366.7,saccade
13:21:23.8116,436.7,365.9,saccade
13:21:23.8120,437.1,365.8,saccade
13:21:23.8125,437.8,366.3,saccade
13:21:23.813,438.2,368.8,saccade
13:21:23.8134,438.3,371.0,saccade
13:21:23.8139,438.2,373.0,saccade
13:21:23.8144,437.9,372.9,saccade
13:21:23.8148,437.5,372.8,saccade
13:21:23.8153,438.3,375.5,saccade
13:21:23.8158,439.5,378.4,saccade
13:21:23.8163,440.6,382.3,saccade
13:21:23.8167,440.3,384.2,saccade
13:21:23.8172,439.8,389.9,saccade
13:21:23.8177,439.3,396.6,saccade
13:21:23.8181,439.2,403.9,saccade
13:21:23.8186,439.2,409.6,saccade
13:21:23.8191,439.2,414.2,saccade
13:21:23.8195,438.9,421.3,saccade
13:21:23.82,438.6,426.3,saccade
13:21:23.8205,438.3,433.1,saccade
13:21:23.8209,437.9,441.2,saccade
13:21:23.8214,437.8,449.1,saccade
13:21:23.8219,437.5,457.9,saccade
13:21:23.8224,437.2,463.5,saccade
13:21:23.8228,435.9,471.5,saccade
13:21:23.8233,434.8,479.2,saccade
13:21:23.8238,433.6,489.8,saccade
13:21:23.8242,433.4,497.9,saccade
13:21:23.8247,433.2,502.6,saccade
13:21:23.8252,431.6,505.7,saccade
13:21:23.8256,429.6,513.0,saccade
13:21:23.8261,427.4,522.2,saccade
13:21:23.8266,426.9,530.8,saccade
13:21:23.8270,426.6,536.0,saccade
13:21:23.8275,426.6,540.2,saccade
13:21:23.828,425.4,542.5,saccade
13:21:23.8285,423.7,545.6,saccade
13:21:23.8289,422.0,548.4,saccade
13:21:23.8294,421.6,551.2,saccade
13:21:23.8299,421.6,555.9,saccade
13:21:23.8303,420.8,560.0,saccade
13:21:23.8308,419.8,563.4,saccade
13:21:23.8313,419.7,563.3,saccade
13:21:23.8317,420.4,563.2,saccade
13:21:23.8322,421.1,562.3,saccade
13:21:23.8327,422.1,561.5,saccade
13:21:23.8331,423.2,559.8,saccade
13:21:23.8336,424.6,559.0,saccade
13:21:23.8341,425.4,558.2,saccade
13:21:23.8346,426.2,557.0,saccade
13:21:23.8350,426.0,555.6,saccade
13:21:23.8355,425.3,554.7,saccade
13:21:23.836,426.0,554.9,saccade
13:21:23.8364,427.5,555.2,saccade
13:21:23.8369,430.1,556.7,saccade
13:21:23.8374,431.3,558.3,saccade
13:21:23.8378,432.5,559.9,saccade
13:21:23.8383,432.5,560.0,saccade
13:21:23.8388,432.5,560.8,saccade
13:21:23.8392,433.3,561.2,saccade
13:21:23.8397,434.2,560.7,saccade
13:21:23.8402,435.1,559.6,saccade
13:21:23.8407,436.4,559.7,saccade
13:21:23.8411,437.7,560.5,saccade
13:21:23.8416,439.5,559.1,saccade
13:21:23.8421,440.1,556.6,saccade
13:21:23.8425,440.7,553.7,saccade
13:21:23.843,441.2,553.6,saccade
13:21:23.8435,441.6,553.9,saccade
13:21:23.8439,442.2,551.8,saccade
13:21:23.8444,442.6,549.2,saccade
13:21:23.8449,442.9,546.8,saccade
13:21:23.8453,443.0,547.0,saccade
13:21:23.8458,443.0,546.6,saccade
13:21:23.8463,443.5,544.1,saccade
13:21:23.8467,443.9,541.6,saccade
13:21:23.8471,444.4,540.0,saccade
13:21:23.8476,444.4,540.5,saccade
13:21:23.8481,442.9,540.7,saccade
13:21:23.8485,441.1,540.9,saccade
13:21:23.849,439.1,541.5,fixation
13:21:23.8495,439.0,541.6,fixation
13:21:23.8499,438.7,542.7,fixation
13:21:23.8504,436.9,543.7,fixation
13:21:23.8509,435.1,544.7,fixation
13:21:23.8513,433.4,546.1,fixation
13:21:23.8517,433.3,547.6,fixation
13:21:23.8522,433.7,549.6,fixation
13:21:23.8527,434.3,550.1,fixation
13:21:23.8531,433.8,550.5,fixation
13:21:23.8536,432.7,551.3,fixation
13:21:23.8541,432.2,552.4,fixation
13:21:23.8545,432.8,555.1,fixation
13:21:23.855,433.4,556.8,fixation
13:21:23.8555,433.2,558.3,fixation
13:21:23.8559,433.1,559.7,fixation
13:21:23.8563,432.8,561.0,fixation
13:21:23.8568,432.6,561.3,fixation
13:21:23.8573,432.5,560.3,fixation
13:21:23.8577,432.5,559.3,fixation
13:21:23.8582,433.5,561.4,fixation
13:21:23.8587,433.9,563.5,fixation
13:21:23.8591,433.7,565.5,fixation
13:21:23.8596,432.1,565.0,fixation
13:21:23.8601,431.5,564.5,fixation
13:21:23.8605,431.4,565.1,fixation
