TimeStamp,X,Y,Event
09:18:06.1887,788.5,184.4,fixation
9:18:6.1892,787.9,184.7,fixation
9:18:6.189699,787.4,185.2,fixation
9:18:6.190199,787.3,185.4,fixation
9:18:6.190698,787.5,185.6,fixation
9:18:6.191198,787.7,185.5,fixation
9:18:6.191698,787.3,185.4,fixation
9:18:6.192197,787.0,185.3,fixation
9:18:6.192697,787.2,185.3,fixation
9:18:6.193197,787.6,184.7,fixation
9:18:6.193696,788.4,184.1,fixation
9:18:6.194196,788.9,183.5,fixation
9:18:6.194695,788.8,183.8,fixation
9:18:6.195195,788.1,184.2,fixation
9:18:6.195695,787.5,184.6,fixation
9:18:6.196194,787.7,184.4,fixation
9:18:6.196694,787.8,184.4,fixation
9:18:6.197194,787.4,184.3,fixation
9:18:6.197693,786.7,184.5,fixation
9:18:6.198193,785.9,184.6,fixation
9:18:6.198693,785.8,184.4,fixation
9:18:6.199192,785.8,184.0,fixation
9:18:6.199692,785.8,183.5,fixation
9:18:6.200191,786.6,183.1,fixation
9:18:6.200691,787.5,183.0,fixation
9:18:6.201191,788.3,182.9,fixation
9:18:6.201690,788.4,183.0,fixation
9:18:6.20219,788.6,182.7,fixation
9:18:6.20269,788.7,182.4,fixation
9:18:6.203189,788.7,182.9,fixation
9:18:6.203689,788.7,183.7,fixation
9:18:6.204188,788.7,184.8,fixation
9:18:6.204688,788.8,185.0,fixation
9:18:6.205188,788.8,185.2,fixation
9:18:6.205687,788.9,184.9,fixation
9:18:6.206187,789.1,184.4,fixation
9:18:6.206687,789.2,184.0,fixation
9:18:6.207186,789.1,183.9,fixation
9:18:6.207686,788.9,184.1,fixation
9:18:6.208185,789.2,183.8,fixation
9:18:6.208685,789.7,183.4,fixation
9:18:6.209185,790.3,183.1,fixation
9:18:6.209684,790.5,183.1,fixation
9:18:6.210184,790.4,183.2,fixation
9:18:6.210684,789.8,183.2,fixation
9:18:6.211183,789.3,183.2,fixation
9:18:6.211683,789.4,183.0,fixation
9:18:6.212183,790.1,182.8,fixation
9:18:6.212682,790.7,182.7,fixation
9:18:6.213182,791.1,182.8,fixation
9:18:6.213681,791.2,183.0,fixation
9:18:6.214181,790.6,183.0,fixation
9:18:6.214681,789.8,182.9,fixation
9:18:6.215180,789.2,182.9,fixation
9:18:6.21568,789.4,183.0,fixation
9:18:6.21618,789.7,182.5,fixation
9:18:6.216679,789.8,182.1,fixation
9:18:6.217179,789.8,181.7,fixation
9:18:6.217678,789.6,181.9,fixation
9:18:6.218178,789.2,182.1,fixation
9:18:6.218678,788.8,182.2,fixation
9:18:6.219177,788.7,182.3,fixation
9:18:6.219677,788.8,182.4,fixation
9:18:6.220177,789.1,182.1,fixation
9:18:6.220676,789.3,181.6,fixation
9:18:6.221176,789.3,181.2,fixation
9:18:6.221675,789.0,181.9,fixation
9:18:6.222175,788.8,182.6,fixation
9:18:6.222675,788.7,183.3,fixation
9:18:6.223174,788.7,183.3,fixation
9:18:6.223674,788.9,183.3,fixation
9:18:6.224174,789.0,183.3,fixation
9:18:6.224673,788.7,184.3,fixation
9:18:6.225173,788.3,185.3,fixation
9:18:6.225673,787.8,186.0,fixation
9:18:6.226172,787.2,185.7,fixation
9:18:6.226672,786.5,185.4,fixation
9:18:6.227171,786.2,185.1,fixation
9:18:6.227671,786.5,184.8,fixation
9:18:6.228171,786.9,184.5,fixation
9:18:6.228670,786.9,184.5,fixation
9:18:6.22917,786.9,184.4,fixation
9:18:6.22967,786.9,183.7,fixation
9:18:6.230169,787.0,182.9,fixation
9:18:6.230669,787.2,182.2,fixation
9:18:6.231168,787.4,182.1,fixation
9:18:6.231668,787.3,182.9,fixation
9:18:6.232168,787.1,183.8,fixation
9:18:6.232667,786.8,184.3,fixation
9:18:6.233167,786.9,184.0,fixation
9:18:6.233667,786.5,183.8,fixation
9:18:6.234166,786.1,183.9,fixation
9:18:6.234666,785.6,184.0,fixation
9:18:6.235165,785.6,183.9,fixation
9:18:6.235665,785.7,183.7,fixation
9:18:6.236165,785.8,183.5,fixation
9:18:6.236664,785.9,183.8,fixation
9:18:6.237164,785.9,184.3,fixation
9:18:6.237664,786.1,184.8,fixation
9:18:6.238163,786.4,184.4,fixation
9:18:6.238663,786.8,183.9,fixation
9:18:6.239163,787.4,183.6,fixation
9:18:6.239662,787.7,184.7,fixation
9:18:6.240162,787.8,185.7,fixation
9:18:6.240661,787.6,186.1,fixation
9:18:6.241161,787.5,185.1,fixation
9:18:6.241661,787.6,183.8,fixation
9:18:6.242160,788.0,182.8,fixation
9:18:6.24266,788.3,182.9,fixation
9:18:6.24316,788.4,183.4,fixation
9:18:6.243659,788.2,183.7,fixation
9:18:6.244159,788.0,183.6,fixation
9:18:6.244658,788.1,183.3,fixation
9:18:6.245158,788.3,182.9,fixation
9:18:6.245658,788.4,182.8,fixation
9:18:6.246157,788.2,183.0,fixation
9:18:6.246657,787.9,183.4,fixation
9:18:6.247157,787.6,183.5,fixation
9:18:6.247656,788.2,183.3,fixation
9:18:6.248156,789.0,183.2,fixation
9:18:6.248655,789.7,183.3,fixation
9:18:6.249155,789.6,183.4,fixation
9:18:6.249655,789.1,183.5,fixation
9:18:6.250154,788.8,183.6,fixation
9:18:6.250654,788.6,183.7,fixation
9:18:6.251154,788.7,183.8,fixation
9:18:6.251653,788.7,184.0,fixation
9:18:6.252153,788.6,184.1,fixation
9:18:6.252653,788.5,184.5,fixation
9:18:6.253152,788.6,184.9,fixation
9:18:6.253652,788.5,185.3,fixation
9:18:6.254151,788.5,185.2,fixation
9:18:6.254651,788.6,185.2,fixation
9:18:6.255151,788.9,185.2,fixation
9:18:6.255650,789.3,185.1,fixation
9:18:6.25615,789.1,185.3,fixation
9:18:6.25665,788.9,185.5,fixation
9:18:6.257149,788.9,185.2,fixation
