TimeStamp,X,Y,Event
13:21:23.0262,546.0,284.9,saccade
13:21:23.0266,547.0,285.9,saccade
13:21:23.0270,548.1,285.0,saccade
13:21:23.0275,548.0,286.5,saccade
13:21:23.028,547.9,289.1,saccade
13:21:23.0284,547.4,294.6,saccade
13:21:23.0289,546.7,298.5,saccade
13:21:23.0294,546.0,302.9,saccade
13:21:23.0298,547.7,307.0,saccade
13:21:23.0303,550.7,311.7,saccade
13:21:23.0308,553.6,317.2,saccade
13:21:23.0312,554.3,321.8,saccade
13:21:23.0316,555.2,328.3,saccade
13:21:23.0321,556.3,335.3,saccade
13:21:23.0326,558.1,340.5,saccade
13:21:23.0330,559.5,345.3,saccade
13:21:23.0335,562.1,350.0,saccade
13:21:23.034,565.5,357.4,saccade
13:21:23.0344,568.3,364.7,saccade
13:21:23.0349,572.7,370.7,saccade
13:21:23.0354,576.5,377.4,saccade
13:21:23.0358,579.9,383.9,saccade
13:21:23.0362,582.3,394.3,saccade
13:21:23.0367,584.4,402.4,saccade
13:21:23.0372,588.8,412.6,saccade
13:21:23.0376,593.7,419.0,saccade
13:21:23.0381,598.1,428.5,saccade
13:21:23.0386,602.8,435.5,saccade
13:21:23.0390,604.9,444.7,saccade
13:21:23.0395,608.9,450.7,saccade
13:21:23.04,610.4,456.9,saccade
13:21:23.0404,613.4,464.1,saccade
13:21:23.0409,614.6,472.8,saccade
13:21:23.0414,615.5,479.7,saccade
13:21:23.0419,615.7,483.1,saccade
13:21:23.0423,616.2,489.8,saccade
13:21:23.0428,617.0,497.2,saccade
13:21:23.0433,616.5,506.2,saccade
13:21:23.0437,615.8,512.6,saccade
13:21:23.0442,615.2,518.3,saccade
13:21:23.0447,616.5,525.5,saccade
13:21:23.0451,617.6,532.5,saccade
13:21:23.0456,618.7,538.6,saccade
13:21:23.0461,618.4,546.8,saccade
13:21:23.0465,618.3,553.3,saccade
13:21:23.047,618.6,559.8,saccade
13:21:23.0475,618.9,564.5,saccade
13:21:23.048,619.1,568.0,saccade
13:21:23.0484,620.5,574.1,saccade
13:21:23.0489,622.1,577.0,saccade
13:21:23.0494,622.6,579.9,saccade
13:21:23.0498,621.5,580.2,saccade
13:21:23.0503,620.2,582.6,saccade
13:21:23.0508,620.6,585.2,saccade
13:21:23.0512,621.7,593.0,saccade
13:21:23.0517,622.8,598.2,saccade
13:21:23.0522,623.3,604.0,saccade
13:21:23.0526,623.5,605.3,saccade
13:21:23.0531,623.9,607.3,saccade
13:21:23.0536,624.3,611.6,saccade
13:21:23.0541,624.8,616.2,saccade
13:21:23.0545,625.8,621.1,saccade
13:21:23.055,628.0,623.2,saccade
13:21:23.0555,629.9,625.2,saccade
13:21:23.0559,627.8,627.0,saccade
13:21:23.0564,624.4,630.3,saccade
13:21:23.0569,621.7,633.4,saccade
13:21:23.0573,623.0,636.4,saccade
13:21:23.0578,624.9,638.1,saccade
13:21:23.0583,626.3,639.2,saccade
13:21:23.0587,627.0,639.9,saccade
13:21:23.0592,628.0,640.1,saccade
13:21:23.0597,628.9,640.4,saccade
13:21:23.0602,629.6,640.6,saccade
13:21:23.0606,629.4,637.6,saccade
13:21:23.0611,629.3,634.6,saccade
13:21:23.0616,631.0,632.1,saccade
13:21:23.0620,632.7,632.6,saccade
13:21:23.0625,633.2,631.0,saccade
13:21:23.063,632.0,626.9,saccade
13:21:23.0634,631.0,622.9,saccade
13:21:23.0639,631.5,621.1,saccade
13:21:23.0644,632.3,621.0,saccade
13:21:23.0648,634.2,616.7,saccade
13:21:23.0653,635.9,612.5,saccade
13:21:23.0658,636.3,607.0,saccade
13:21:23.0663,635.5,605.3,saccade
13:21:23.0667,634.6,602.2,saccade
13:21:23.0672,635.4,600.4,saccade
13:21:23.0677,637.2,599.0,saccade
13:21:23.0681,638.9,599.4,saccade
13:21:23.0686,638.6,599.7,saccade
13:21:23.0691,637.4,599.6,saccade
13:21:23.0695,636.0,599.7,saccade
13:21:23.07,635.9,599.7,saccade
13:21:23.0705,635.9,600.2,saccade
13:21:23.0709,636.0,601.5,saccade
13:21:23.0714,636.6,604.4,fixation
13:21:23.0719,636.9,604.4,fixation
13:21:23.0724,637.3,605.5,fixation
13:21:23.0728,637.6,607.8,fixation
13:21:23.0733,637.8,609.6,fixation
13:21:23.0738,637.8,610.2,fixation
13:21:23.0742,637.7,612.4,fixation
13:21:23.0747,637.6,615.2,fixation
13:21:23.0752,637.2,617.9,fixation
13:21:23.0756,636.8,620.5,fixation
13:21:23.0761,636.9,623.2,fixation
13:21:23.0766,637.2,624.8,fixation
13:21:23.0770,638.0,624.8,fixation
13:21:23.0775,638.5,624.4,fixation
13:21:23.078,639.0,625.2,fixation
13:21:23.0785,638.5,624.8,fixation
13:21:23.0789,637.2,624.6,fixation
13:21:23.0794,635.8,624.8,fixation
13:21:23.0799,635.4,625.0,fixation
13:21:23.0803,635.8,625.3,fixation
13:21:23.0808,636.5,625.6,fixation
13:21:23.0813,636.8,626.2,fixation
13:21:23.0817,637.5,626.9,fixation
13:21:23.0822,638.0,627.5,fixation
13:21:23.0827,637.2,627.9,fixation
13:21:23.0831,635.8,628.1,fixation
13:21:23.0836,635.3,628.4,fixation
13:21:23.0841,636.1,628.4,fixation
13:21:23.0846,636.4,628.8,fixation
13:21:23.0850,635.9,629.2,fixation
13:21:23.0855,635.9,629.5,fixation
13:21:23.086,636.4,629.6,fixation
13:21:23.0864,637.1,629.3,fixation
13:21:23.0869,637.4,628.9,fixation
13:21:23.0874,637.8,628.5,fixation
13:21:23.0878,638.1,628.5,fixation
13:21:23.0883,638.2,627.2,fixation
