TimeStamp,X,Y,Event
11:09:49.9458,515.6,207.0,fixation
11:9:49.9463,515.8,208.8,fixation
11:9:49.9468,516.0,209.7,fixation
11:9:49.94730,516.0,210.7,fixation
11:9:49.9478,515.9,210.8,fixation
11:9:49.9483,515.5,210.1,fixation
11:9:49.94880,515.4,209.2,fixation
11:9:49.9493,515.2,208.6,fixation
11:9:49.9498,515.2,208.9,fixation
11:9:49.95030,515.2,209.3,fixation
11:9:49.9508,515.1,209.4,fixation
11:9:49.9513,515.2,208.5,fixation
11:9:49.95180,515.3,207.4,fixation
11:9:49.9523,515.3,207.0,fixation
11:9:49.9528,515.3,207.7,fixation
11:9:49.95330,515.3,208.1,fixation
11:9:49.9538,515.2,207.5,fixation
11:9:49.9543,515.0,207.0,fixation
11:9:49.95480,514.6,207.5,fixation
11:9:49.9553,514.4,208.3,fixation
11:9:49.9558,514.4,208.8,fixation
11:9:49.95630,514.7,208.5,fixation
11:9:49.9568,514.7,208.2,fixation
11:9:49.95730,514.6,208.2,fixation
11:9:49.9578,514.6,208.3,fixation
11:9:49.9583,514.6,208.4,fixation
11:9:49.95880,514.5,208.6,fixation
11:9:49.9593,514.5,208.6,fixation
11:9:49.9598,514.7,208.9,fixation
11:9:49.96030,514.9,209.1,fixation
11:9:49.9608,515.2,208.3,fixation
11:9:49.9613,515.3,207.3,fixation
11:9:49.96180,515.2,206.5,fixation
11:9:49.9623,515.1,206.8,fixation
11:9:49.9628,515.1,207.2,fixation
11:9:49.96330,514.7,208.2,fixation
11:9:49.9638,514.3,209.1,fixation
11:9:49.9643,514.0,209.4,fixation
11:9:49.96480,514.8,208.8,fixation
11:9:49.9653,515.5,208.1,fixation
11:9:49.9658,516.2,208.1,fixation
11:9:49.96630,516.1,208.2,fixation
11:9:49.9668,515.8,208.6,fixation
11:9:49.9673,515.3,209.4,fixation
11:9:49.96780,514.8,210.2,fixation
11:9:49.9683,514.7,210.6,fixation
11:9:49.9688,514.8,210.6,fixation
11:9:49.96930,514.8,209.9,fixation
11:9:49.9698,514.8,209.3,fixation
11:9:49.9703,514.9,208.6,fixation
11:9:49.97080,515.1,208.5,fixation
11:9:49.9713,515.1,208.7,fixation
11:9:49.9718,514.8,208.8,fixation
11:9:49.97230,514.4,208.9,fixation
11:9:49.9728,514.1,208.9,fixation
11:9:49.9733,513.8,208.9,fixation
11:9:49.97380,513.7,208.9,fixation
11:9:49.9743,513.8,208.9,fixation
11:9:49.9748,513.9,208.7,fixation
11:9:49.97530,513.9,208.5,fixation
11:9:49.9758,513.8,208.1,fixation
11:9:49.9763,513.8,208.1,fixation
11:9:49.97680,514.2,208.0,fixation
11:9:49.9773,514.6,208.0,fixation
11:9:49.9778,515.1,208.3,fixation
11:9:49.97830,515.0,209.2,fixation
11:9:49.9788,514.9,210.1,fixation
11:9:49.9793,514.8,210.7,fixation
11:9:49.97980,514.8,210.7,fixation
11:9:49.9803,514.8,210.6,fixation
11:9:49.9808,515.2,210.8,fixation
11:9:49.98130,515.6,211.1,fixation
11:9:49.9818,515.8,211.4,fixation
11:9:49.9823,515.5,210.4,fixation
11:9:49.98280,515.2,209.2,fixation
11:9:49.9833,515.0,207.9,fixation
11:9:49.9838,514.9,208.9,fixation
11:9:49.98430,514.9,210.1,fixation
11:9:49.9848,515.2,210.8,fixation
11:9:49.9853,516.3,210.1,fixation
11:9:49.98580,517.3,209.4,fixation
11:9:49.9863,517.4,209.3,fixation
11:9:49.9868,516.8,209.2,fixation
11:9:49.98730,516.2,208.9,fixation
11:9:49.9878,516.1,208.8,fixation
11:9:49.9883,516.1,208.8,fixation
11:9:49.98880,516.1,209.1,fixation
11:9:49.9893,516.0,209.4,fixation
11:9:49.9898,515.8,209.1,fixation
11:9:49.99030,515.9,208.3,fixation
11:9:49.9908,516.0,207.6,fixation
11:9:49.9913,515.8,207.3,fixation
11:9:49.99180,515.3,207.3,fixation
11:9:49.9923,514.8,207.3,fixation
11:9:49.9928,514.8,207.0,fixation
11:9:49.99330,514.8,206.8,fixation
11:9:49.9938,514.8,207.2,fixation
11:9:49.9943,514.7,207.8,fixation
11:9:49.99480,514.5,208.2,fixation
11:9:49.9953,515.1,208.0,fixation
11:9:49.9958,515.8,207.9,fixation
11:9:49.99630,516.5,208.3,fixation
11:9:49.9968,516.4,209.3,fixation
11:9:49.9973,516.1,209.9,fixation
11:9:49.99780,515.8,210.3,fixation
11:9:49.9983,515.5,210.2,fixation
11:9:49.9988,515.4,210.2,fixation
11:9:49.99930,515.5,210.3,fixation
11:9:49.9998,515.7,210.5,fixation
11:9:50.0003,516.3,210.7,fixation
11:9:50.00080,516.9,210.7,fixation
11:9:50.0013,517.5,210.0,fixation
11:9:50.0018,517.6,209.1,fixation
11:9:50.00230,517.9,208.4,fixation
11:9:50.0028,518.2,208.8,fixation
11:9:50.0033,518.5,209.3,fixation
11:9:50.00380,518.5,209.6,fixation
11:9:50.0043,518.8,209.4,fixation
11:9:50.0048,518.8,210.0,fixation
11:9:50.00530,518.9,210.9,fixation
11:9:50.0058,518.8,211.5,fixation
11:9:50.0063,518.1,211.2,fixation
11:9:50.00680,517.4,211.3,fixation
11:9:50.0073,516.6,211.6,fixation
11:9:50.0078,516.6,211.6,fixation
11:9:50.00830,516.5,211.4,fixation
11:9:50.0088,516.4,211.3,fixation
11:9:50.0093,516.3,211.1,fixation
11:9:50.00980,516.3,210.7,fixation
11:9:50.0103,516.4,210.3,fixation
11:9:50.0108,516.4,210.3,fixation
11:9:50.01130,516.4,210.3,fixation
11:9:50.0118,516.5,210.3,fixation
11:9:50.0123,516.6,210.3,fixation
11:9:50.01280,516.4,211.3,fixation
11:9:50.0133,516.1,212.2,fixation
11:9:50.0138,516.2,213.2,fixation
11:9:50.01430,517.1,212.8,fixation
11:9:50.0148,518.0,212.5,fixation
11:9:50.0153,518.1,212.1,fixation
11:9:50.01580,517.8,212.1,fixation
11:9:50.0163,517.5,212.0,fixation
11:9:50.0168,517.6,212.4,fixation
11:9:50.01730,517.6,212.8,fixation
11:9:50.0178,516.8,212.3,fixation
11:9:50.0183,516.0,211.5,fixation
11:9:50.01880,515.3,210.9,fixation
11:9:50.0193,515.4,211.2,fixation
11:9:50.01980,515.5,211.5,fixation
11:9:50.0203,515.6,211.4,fixation
11:9:50.0208,515.8,211.3,fixation
11:9:50.02130,516.0,211.4,fixation
11:9:50.0218,516.0,211.7,fixation
11:9:50.0223,516.0,212.0,fixation
11:9:50.02280,516.0,211.7,fixation
11:9:50.0233,516.1,211.1,fixation
11:9:50.0238,515.9,210.6,fixation
11:9:50.02430,515.8,210.5,fixation
11:9:50.0248,515.5,210.4,fixation
11:9:50.0253,515.4,209.7,fixation
11:9:50.02580,514.8,209.0,fixation
11:9:50.0263,514.3,208.4,fixation
11:9:50.0268,513.9,208.4,fixation
11:9:50.02730,514.0,208.4,fixation
11:9:50.0278,514.2,208.5,fixation
11:9:50.0283,514.4,208.5,fixation
11:9:50.02880,514.4,209.1,fixation
11:9:50.0293,514.3,209.8,fixation
11:9:50.0298,514.3,209.9,fixation
11:9:50.03030,514.4,209.1,fixation
11:9:50.0308,514.5,208.2,fixation
11:9:50.0313,513.8,208.7,fixation
11:9:50.03180,512.9,209.4,fixation
11:9:50.0323,512.5,210.4,fixation
11:9:50.0328,512.8,210.9,fixation
11:9:50.03330,513.1,211.4,fixation
11:9:50.0338,513.1,211.8,fixation
11:9:50.0343,513.0,212.2,fixation
11:9:50.03480,513.2,212.6,fixation
11:9:50.0353,513.4,212.4,fixation
11:9:50.0358,513.6,211.3,fixation
11:9:50.03630,513.2,210.2,fixation
11:9:50.0368,512.7,209.3,fixation
11:9:50.0373,512.6,209.2,fixation
11:9:50.03780,513.2,209.3,fixation
11:9:50.0383,513.8,209.7,fixation
11:9:50.0388,513.8,210.2,fixation
11:9:50.03930,513.8,210.4,fixation
11:9:50.0398,514.0,210.3,fixation
11:9:50.0403,514.3,210.1,fixation
11:9:50.04080,514.3,209.9,fixation
11:9:50.0413,514.1,209.9,fixation
11:9:50.0418,513.7,209.9,fixation
11:9:50.04230,513.6,209.8,fixation
11:9:50.0428,513.5,209.8,fixation
11:9:50.0433,513.3,210.7,fixation
11:9:50.04380,513.2,211.7,fixation
11:9:50.0443,513.1,212.7,fixation
11:9:50.0448,513.1,212.6,fixation
11:9:50.04530,513.7,212.6,fixation
11:9:50.0458,514.3,213.0,fixation
11:9:50.0463,514.6,213.5,fixation
11:9:50.04680,514.3,214.0,fixation
11:9:50.0473,514.3,213.9,fixation
11:9:50.0478,514.6,213.9,fixation
11:9:50.04830,514.7,213.7,fixation
11:9:50.0488,514.6,213.4,fixation
11:9:50.0493,514.4,213.3,fixation
11:9:50.04980,514.5,213.3,fixation
11:9:50.0503,514.6,213.4,fixation
11:9:50.0508,514.7,213.4,fixation
11:9:50.05130,515.3,213.7,fixation
11:9:50.0518,515.8,214.0,fixation
11:9:50.0523,516.3,214.4,fixation
11:9:50.05280,516.2,214.4,fixation
11:9:50.0533,516.4,213.8,fixation
11:9:50.0538,516.6,213.3,fixation
11:9:50.05430,516.4,212.9,fixation
11:9:50.0548,516.0,213.2,fixation
11:9:50.0553,515.7,213.2,fixation
11:9:50.05580,515.8,213.2,fixation
11:9:50.0563,515.4,212.1,fixation
11:9:50.0568,515.0,211.2,fixation
11:9:50.05730,514.8,210.1,fixation
11:9:50.0578,515.0,210.1,fixation
11:9:50.0583,515.2,210.5,fixation
11:9:50.05880,515.1,210.9,fixation
11:9:50.0593,515.0,211.4,fixation
11:9:50.0598,515.4,211.6,fixation
11:9:50.06030,515.9,211.8,fixation
11:9:50.0608,516.5,211.5,fixation
11:9:50.0613,516.6,211.2,fixation
11:9:50.06180,516.6,210.7,fixation
11:9:50.0623,516.6,210.6,fixation
11:9:50.0628,516.5,211.7,fixation
11:9:50.06330,516.4,213.0,fixation
11:9:50.0638,516.5,213.8,fixation
11:9:50.0643,517.0,213.2,fixation
11:9:50.06480,517.5,212.7,fixation
11:9:50.0653,517.5,212.9,fixation
11:9:50.0658,517.2,213.2,fixation
11:9:50.06630,516.9,213.4,fixation
11:9:50.0668,516.9,212.6,fixation
11:9:50.0673,517.0,211.9,fixation
11:9:50.06780,517.1,211.8,fixation
11:9:50.0683,517.2,213.1,fixation
11:9:50.0688,517.2,214.5,fixation
