TimeStamp,X,Y,Event
10:16:37.3975,363.5,296.7,fixation
10:16:37.398,363.4,296.8,fixation
10:16:37.3985,363.5,297.3,fixation
10:16:37.399,363.2,297.6,fixation
10:16:37.3995,362.7,298.6,fixation
10:16:37.4000,362.0,298.9,fixation
10:16:37.4005,361.7,299.2,fixation
10:16:37.401,361.8,299.6,fixation
10:16:37.4015,362.4,301.1,fixation
10:16:37.402,362.7,303.0,fixation
10:16:37.4025,362.6,304.0,fixation
10:16:37.4030,362.1,304.1,fixation
10:16:37.4035,361.8,304.1,fixation
10:16:37.404,361.6,304.0,fixation
10:16:37.4045,361.5,304.0,fixation
10:16:37.405,361.1,304.5,fixation
10:16:37.4055,360.6,305.0,fixation
10:16:37.4060,360.1,304.6,fixation
10:16:37.4065,359.2,302.9,fixation
10:16:37.4070,358.5,301.3,fixation
10:16:37.4075,357.8,300.6,fixation
10:16:37.408,358.2,299.6,fixation
10:16:37.4085,358.4,299.3,fixation
10:16:37.409,358.5,299.5,fixation
10:16:37.4095,358.1,300.7,fixation
10:16:37.4100,357.5,302.9,fixation
10:16:37.4105,356.8,304.4,fixation
10:16:37.411,356.2,305.9,fixation
10:16:37.4115,356.0,306.4,fixation
10:16:37.412,356.2,307.0,fixation
10:16:37.4125,356.6,306.2,fixation
10:16:37.4130,357.1,304.2,fixation
10:16:37.4135,357.8,302.3,fixation
10:16:37.414,358.8,302.0,fixation
10:16:37.4145,359.9,301.1,fixation
10:16:37.415,360.8,300.2,fixation
10:16:37.4155,361.7,299.5,fixation
10:16:37.4160,362.4,299.8,fixation
10:16:37.4165,363.2,300.2,fixation
10:16:37.417,364.0,300.6,fixation
10:16:37.4175,364.5,300.8,fixation
10:16:37.418,365.0,301.3,fixation
10:16:37.4185,364.3,301.4,fixation
10:16:37.4190,363.6,301.5,fixation
10:16:37.4195,362.8,302.5,fixation
10:16:37.42,362.8,303.7,fixation
10:16:37.4205,362.9,303.6,fixation
10:16:37.421,363.1,302.3,fixation
10:16:37.4215,363.3,300.9,fixation
10:16:37.4220,363.3,300.5,fixation
10:16:37.4225,363.2,299.5,fixation
10:16:37.423,363.2,298.2,fixation
10:16:37.4235,363.3,296.2,fixation
10:16:37.424,363.4,294.7,fixation
10:16:37.4245,363.4,294.6,fixation
10:16:37.4250,363.2,295.8,fixation
10:16:37.4255,363.0,296.9,fixation
10:16:37.426,362.9,297.1,fixation
10:16:37.4265,362.0,296.9,fixation
10:16:37.427,360.9,296.7,fixation
10:16:37.4275,359.6,297.4,fixation
10:16:37.4280,358.9,297.8,fixation
10:16:37.4285,358.1,298.0,fixation
10:16:37.429,357.5,297.9,fixation
10:16:37.4295,357.2,298.4,fixation
10:16:37.43,357.1,299.3,fixation
10:16:37.4305,357.0,299.6,fixation
10:16:37.4310,356.5,298.8,fixation
10:16:37.4315,356.1,297.7,fixation
10:16:37.432,356.4,296.8,fixation
10:16:37.4325,357.6,297.1,fixation
10:16:37.433,358.7,297.5,fixation
10:16:37.4335,359.1,297.7,fixation
10:16:37.4340,359.1,298.9,fixation
10:16:37.4345,359.0,300.0,fixation
10:16:37.435,358.8,301.2,fixation
10:16:37.4355,358.7,301.4,fixation
10:16:37.436,358.8,301.5,fixation
10:16:37.4365,358.9,300.9,fixation
