TimeStamp,X,Y,Event
14:27:03.7379,408.6,241.1,fixation
14:27:3.7384,408.8,240.9,fixation
14:27:3.7389,409.8,240.9,fixation
14:27:3.73940,410.8,241.1,fixation
14:27:3.7399,411.0,240.9,fixation
14:27:3.7404,410.3,240.6,fixation
14:27:3.74090,409.4,240.5,fixation
14:27:3.7414,409.3,240.7,fixation
14:27:3.74190,409.4,240.0,fixation
14:27:3.7424,410.0,239.3,fixation
14:27:3.7429,410.6,238.6,fixation
14:27:3.74340,411.1,238.6,fixation
14:27:3.7439,410.9,238.5,fixation
14:27:3.7444,410.6,238.5,fixation
14:27:3.74490,410.3,238.6,fixation
14:27:3.7454,410.2,239.0,fixation
14:27:3.74590,410.6,239.4,fixation
14:27:3.7464,411.1,239.8,fixation
14:27:3.7469,411.4,240.1,fixation
14:27:3.74740,410.6,240.2,fixation
14:27:3.7479,409.9,239.5,fixation
14:27:3.7484,409.2,238.7,fixation
14:27:3.74890,409.6,238.6,fixation
14:27:3.7494,409.9,239.7,fixation
14:27:3.74990,410.3,240.5,fixation
14:27:3.7504,410.3,240.7,fixation
14:27:3.7509,410.2,240.5,fixation
14:27:3.75140,410.0,240.6,fixation
14:27:3.7519,410.0,240.8,fixation
14:27:3.7524,410.6,240.9,fixation
14:27:3.75290,411.3,240.8,fixation
14:27:3.7534,411.3,240.4,fixation
14:27:3.75390,410.5,240.9,fixation
14:27:3.7544,410.3,241.8,fixation
14:27:3.7549,410.6,243.4,fixation
14:27:3.75540,411.0,244.1,fixation
14:27:3.7559,410.9,243.9,fixation
14:27:3.7564,410.8,243.1,fixation
14:27:3.75690,410.6,242.9,fixation
14:27:3.7574,410.5,243.5,fixation
14:27:3.75790,410.5,243.4,fixation
14:27:3.7584,410.6,242.7,fixation
14:27:3.7589,410.7,242.0,fixation
14:27:3.75940,410.9,240.7,fixation
14:27:3.7599,411.1,239.3,fixation
14:27:3.7604,411.6,239.3,fixation
14:27:3.76090,412.3,240.7,fixation
14:27:3.7614,413.0,242.2,fixation
14:27:3.76190,413.3,242.0,fixation
14:27:3.7624,413.0,241.6,fixation
14:27:3.7629,412.6,241.2,fixation
14:27:3.76340,411.8,241.1,fixation
14:27:3.7639,411.2,240.8,fixation
14:27:3.7644,410.7,240.9,fixation
14:27:3.76490,410.9,241.2,fixation
14:27:3.7654,411.1,241.6,fixation
14:27:3.76590,411.3,241.5,fixation
14:27:3.7664,411.0,241.4,fixation
14:27:3.7669,410.8,241.4,fixation
14:27:3.76740,410.6,241.6,fixation
14:27:3.7679,411.2,241.9,fixation
14:27:3.7684,411.8,242.0,fixation
14:27:3.76890,411.6,242.3,fixation
14:27:3.7694,410.8,242.7,fixation
14:27:3.76990,410.2,243.1,fixation
14:27:3.7704,410.4,243.2,fixation
14:27:3.7709,410.5,243.6,fixation
14:27:3.77140,410.7,244.4,fixation
14:27:3.7719,411.3,245.1,fixation
14:27:3.7724,412.1,245.1,fixation
14:27:3.77290,412.2,244.7,fixation
14:27:3.7734,411.8,244.4,fixation
14:27:3.77390,411.5,244.4,fixation
14:27:3.7744,411.3,244.5,fixation
14:27:3.7749,411.2,244.3,fixation
14:27:3.77540,410.4,243.6,fixation
14:27:3.7759,409.7,242.8,fixation
14:27:3.7764,410.1,242.5,fixation
14:27:3.77690,411.3,242.7,fixation
14:27:3.7774,411.9,243.0,fixation
14:27:3.77790,411.3,243.0,fixation
14:27:3.7784,410.8,242.9,fixation
14:27:3.7789,410.0,242.8,fixation
14:27:3.77940,409.2,242.7,fixation
14:27:3.7799,408.8,242.8,fixation
14:27:3.7804,410.2,243.3,fixation
14:27:3.78090,411.6,243.5,fixation
14:27:3.7814,412.6,243.4,fixation
14:27:3.78190,412.1,243.0,fixation
14:27:3.7824,411.6,242.8,fixation
14:27:3.7829,411.2,242.7,fixation
14:27:3.78340,411.0,243.3,fixation
14:27:3.7839,410.8,243.8,fixation
14:27:3.7844,410.7,243.6,fixation
14:27:3.78490,410.9,243.0,fixation
14:27:3.7854,411.2,242.5,fixation
14:27:3.78590,411.1,242.7,fixation
14:27:3.7864,410.7,242.8,fixation
14:27:3.7869,410.7,243.0,fixation
14:27:3.78740,411.1,242.8,fixation
14:27:3.7879,411.6,242.5,fixation
14:27:3.7884,411.6,243.2,fixation
14:27:3.78890,411.3,244.2,fixation
14:27:3.7894,410.9,244.6,fixation
14:27:3.78990,410.8,243.9,fixation
14:27:3.7904,410.9,243.8,fixation
14:27:3.7909,410.8,244.5,fixation
14:27:3.79140,410.8,244.1,fixation
14:27:3.7919,411.1,243.2,fixation
