TimeStamp,X,Y,Event
13:32:28.2638,286.8,436.6,fixation
13:32:28.2643,287.2,436.5,fixation
13:32:28.2647,287.5,436.5,fixation
13:32:28.2652,288.2,435.6,fixation
13:32:28.2657,288.2,434.0,fixation
13:32:28.2661,287.5,432.4,fixation
13:32:28.2666,286.9,431.7,fixation
13:32:28.2671,287.2,431.1,fixation
13:32:28.2675,287.5,429.8,fixation
13:32:28.2679,286.4,428.4,fixation
13:32:28.2684,285.2,427.0,fixation
13:32:28.2689,283.7,426.2,fixation
13:32:28.2693,284.4,425.7,fixation
13:32:28.2698,285.1,425.9,fixation
13:32:28.2703,283.3,429.9,fixation
13:32:28.2707,280.4,433.7,fixation
13:32:28.2712,278.0,433.1,fixation
13:32:28.2717,280.3,428.9,fixation
13:32:28.2721,282.9,425.0,fixation
13:32:28.2725,285.2,425.8,fixation
13:32:28.273,285.4,428.6,fixation
13:32:28.2735,285.3,431.2,fixation
13:32:28.2739,284.6,437.0,fixation
13:32:28.2744,284.1,440.7,fixation
13:32:28.2749,283.5,444.3,fixation
13:32:28.2753,282.1,440.0,fixation
13:32:28.2758,280.3,437.1,fixation
13:32:28.2763,278.5,434.3,fixation
13:32:28.2767,278.0,434.3,fixation
13:32:28.2772,277.8,432.8,fixation
13:32:28.2777,279.0,433.1,fixation
13:32:28.2782,280.3,434.8,fixation
13:32:28.2786,281.9,434.4,fixation
13:32:28.2791,282.3,432.3,fixation
13:32:28.2796,282.4,435.8,fixation
13:32:28.2800,282.4,441.4,fixation
13:32:28.2805,283.0,442.9,fixation
13:32:28.281,284.9,438.9,fixation
13:32:28.2814,286.4,438.4,fixation
13:32:28.2819,285.9,441.7,fixation
13:32:28.2824,284.9,440.5,fixation
13:32:28.2828,283.9,435.1,fixation
13:32:28.2833,284.2,429.8,fixation
13:32:28.2838,283.9,429.1,fixation
13:32:28.2842,283.8,429.1,fixation
13:32:28.2846,285.4,429.3,fixation
13:32:28.2851,287.0,429.0,fixation
13:32:28.2856,287.5,428.3,fixation
13:32:28.2860,286.4,427.5,fixation
13:32:28.2865,284.5,428.1,fixation
13:32:28.287,283.8,429.4,fixation
13:32:28.2874,283.4,430.8,fixation
13:32:28.2879,284.0,431.7,fixation
13:32:28.2884,285.2,432.5,fixation
13:32:28.2888,286.1,433.1,fixation
13:32:28.2892,286.7,432.9,fixation
13:32:28.2897,287.1,432.7,fixation
13:32:28.2902,287.3,433.6,fixation
13:32:28.2906,287.8,436.9,fixation
13:32:28.2911,288.0,440.2,fixation
13:32:28.2916,288.7,439.2,fixation
13:32:28.2920,289.2,436.2,fixation
13:32:28.2925,289.7,433.2,fixation
13:32:28.293,288.9,435.7,fixation
13:32:28.2934,288.9,437.8,fixation
13:32:28.2938,288.9,439.5,fixation
13:32:28.2943,290.2,432.2,fixation
13:32:28.2948,290.8,425.1,fixation
13:32:28.2952,291.1,420.2,fixation
13:32:28.2957,290.8,422.0,fixation
13:32:28.2962,290.6,423.9,fixation
13:32:28.2966,291.8,430.5,fixation
13:32:28.2971,292.9,437.1,fixation
13:32:28.2976,294.1,443.8,fixation
13:32:28.2980,294.2,443.2,fixation
13:32:28.2984,294.3,442.6,fixation
13:32:28.2989,294.3,442.0,fixation
13:32:28.2994,292.5,441.7,fixation
13:32:28.2998,290.5,442.9,fixation
13:32:28.3003,291.0,443.8,fixation
13:32:28.3008,293.3,444.9,fixation
13:32:28.3012,296.0,444.6,fixation
13:32:28.3017,296.6,442.3,fixation
13:32:28.3022,295.2,439.9,fixation
13:32:28.3026,293.5,438.3,fixation
13:32:28.3031,291.3,439.1,fixation
13:32:28.3036,291.3,436.6,fixation
13:32:28.3041,291.3,433.2,fixation
13:32:28.3045,291.3,433.5,fixation
13:32:28.305,291.0,437.4,fixation
13:32:28.3055,290.7,441.8,fixation
13:32:28.3059,291.0,442.9,fixation
13:32:28.3064,290.9,447.0,fixation
13:32:28.3069,290.8,450.6,fixation
