TimeStamp,X,Y,Event
10:18:03.7515,475.3,230.7,saccade
10:18:3.75200,476.8,230.3,saccade
10:18:3.7525,477.6,230.0,saccade
10:18:3.753,478.1,231.8,saccade
10:18:3.75350,480.3,233.9,saccade
10:18:3.754,482.3,235.4,saccade
10:18:3.7545,484.6,234.9,saccade
10:18:3.75500,485.3,235.8,saccade
10:18:3.7555,486.6,237.6,saccade
10:18:3.75600,487.7,239.6,saccade
10:18:3.7565,488.6,240.6,saccade
10:18:3.757,488.3,241.7,saccade
10:18:3.75750,488.1,244.1,saccade
10:18:3.758,488.6,246.2,saccade
10:18:3.7585,489.7,247.7,saccade
10:18:3.75900,490.9,247.5,saccade
10:18:3.7595,491.9,246.8,saccade
10:18:3.76000,492.2,245.3,saccade
10:18:3.7605,492.7,244.0,saccade
10:18:3.761,493.8,243.3,saccade
10:18:3.76150,496.1,244.4,saccade
10:18:3.762,498.0,245.6,saccade
10:18:3.7625,499.2,247.1,saccade
10:18:3.76300,500.0,247.8,saccade
10:18:3.7635,501.2,247.5,saccade
10:18:3.76400,502.8,246.7,saccade
10:18:3.7645,503.5,245.7,saccade
10:18:3.765,503.8,245.1,saccade
10:18:3.76550,503.7,244.3,saccade
10:18:3.766,503.9,243.1,saccade
10:18:3.7665,504.1,242.3,saccade
10:18:3.76700,504.2,242.1,saccade
10:18:3.7675,504.6,242.6,saccade
10:18:3.76800,505.4,243.0,saccade
10:18:3.7685,506.1,243.3,saccade
10:18:3.769,506.5,243.2,fixation
10:18:3.76950,506.7,241.7,fixation
10:18:3.77,506.3,240.5,fixation
10:18:3.7705,506.1,239.4,fixation
10:18:3.77100,505.7,239.4,fixation
10:18:3.7715,504.7,239.1,fixation
10:18:3.77200,502.5,239.3,fixation
10:18:3.7725,500.3,239.9,fixation
10:18:3.773,499.4,241.1,fixation
10:18:3.77350,499.4,241.6,fixation
10:18:3.774,499.4,242.1,fixation
10:18:3.7745,498.1,242.6,fixation
10:18:3.77500,496.3,242.8,fixation
10:18:3.7755,494.4,242.8,fixation
10:18:3.77600,493.7,242.7,fixation
10:18:3.7765,493.4,242.9,fixation
10:18:3.777,492.7,243.1,fixation
10:18:3.77750,491.4,243.0,fixation
10:18:3.778,489.7,243.0,fixation
10:18:3.7785,487.7,243.2,fixation
10:18:3.77900,486.2,243.5,fixation
10:18:3.7795,485.1,243.8,fixation
10:18:3.78000,485.0,244.1,fixation
10:18:3.7805,484.9,244.3,fixation
10:18:3.781,484.9,243.9,fixation
10:18:3.78150,485.1,243.5,fixation
10:18:3.782,485.4,242.5,fixation
10:18:3.7825,485.6,242.1,fixation
10:18:3.78300,485.5,242.4,fixation
10:18:3.7835,485.3,243.3,fixation
10:18:3.78400,485.1,244.2,fixation
10:18:3.7845,485.3,244.4,fixation
10:18:3.785,485.7,244.5,fixation
10:18:3.78550,484.6,243.8,fixation
10:18:3.786,483.2,243.0,fixation
10:18:3.7865,482.2,242.1,fixation
10:18:3.78700,482.6,242.0,fixation
10:18:3.7875,482.4,243.7,fixation
10:18:3.78800,482.1,245.2,fixation
