TimeStamp,X,Y,Event
12:56:07.4359,378.6,320.1,fixation
12:56:7.4364,377.8,318.6,fixation
12:56:7.4369,377.0,317.0,fixation
12:56:7.43739,376.2,315.5,fixation
12:56:7.43788,376.9,315.5,fixation
12:56:7.43837,377.5,315.6,fixation
12:56:7.43887,378.2,315.4,fixation
12:56:7.43936,378.1,315.3,fixation
12:56:7.43985,378.2,317.9,fixation
12:56:7.44035,378.3,320.6,fixation
12:56:7.44084,378.6,320.2,fixation
12:56:7.44133,378.7,317.1,fixation
12:56:7.44182,379.0,315.4,fixation
12:56:7.44232,379.2,316.8,fixation
12:56:7.44281,378.6,318.8,fixation
12:56:7.44330,377.3,319.4,fixation
12:56:7.44379,376.1,319.3,fixation
12:56:7.44429,375.8,316.8,fixation
12:56:7.44478,376.0,314.3,fixation
12:56:7.44527,377.2,312.7,fixation
12:56:7.44576,378.3,313.0,fixation
12:56:7.44626,379.2,314.6,fixation
12:56:7.44675,379.2,316.8,fixation
12:56:7.44724,379.8,318.9,fixation
12:56:7.44774,380.4,318.8,fixation
12:56:7.44823,381.2,317.5,fixation
12:56:7.44872,381.3,316.2,fixation
12:56:7.44921,381.2,316.5,fixation
12:56:7.44971,380.8,318.6,fixation
12:56:7.45020,380.2,320.9,fixation
12:56:7.45069,379.6,322.6,fixation
12:56:7.45118,379.1,323.0,fixation
12:56:7.45168,378.6,323.1,fixation
12:56:7.45217,378.1,323.0,fixation
12:56:7.45266,377.5,322.8,fixation
12:56:7.45316,377.8,322.5,fixation
12:56:7.45365,378.0,322.6,fixation
12:56:7.45414,377.9,322.7,fixation
12:56:7.45463,377.2,323.1,fixation
12:56:7.45513,376.9,323.3,fixation
12:56:7.45562,377.2,323.0,fixation
12:56:7.45611,377.9,322.5,fixation
12:56:7.45660,378.5,321.3,fixation
12:56:7.4571,379.0,320.6,fixation
12:56:7.45759,379.2,320.0,fixation
12:56:7.45808,379.3,320.0,fixation
12:56:7.45857,379.3,322.5,fixation
12:56:7.45907,379.3,325.0,fixation
12:56:7.45956,379.4,327.6,fixation
12:56:7.46005,379.5,326.0,fixation
12:56:7.46055,380.0,325.1,fixation
12:56:7.46104,380.7,324.2,fixation
12:56:7.46153,381.3,324.5,fixation
12:56:7.46202,383.3,323.9,fixation
12:56:7.46252,385.0,322.2,fixation
12:56:7.46301,386.6,320.9,fixation
12:56:7.46350,384.1,320.7,fixation
12:56:7.46399,381.6,321.6,fixation
12:56:7.46449,380.3,322.5,fixation
12:56:7.46498,381.6,320.9,fixation
12:56:7.46547,382.9,318.7,fixation
12:56:7.46596,383.3,316.6,fixation
12:56:7.46646,383.8,317.7,fixation
12:56:7.46695,384.2,319.6,fixation
12:56:7.46744,384.4,321.7,fixation
12:56:7.46794,384.5,322.2,fixation
12:56:7.46843,384.5,323.5,fixation
12:56:7.46892,384.9,324.6,fixation
12:56:7.46941,385.1,325.5,fixation
12:56:7.46991,383.5,325.6,fixation
12:56:7.47040,381.5,326.3,fixation
12:56:7.47089,380.1,327.0,fixation
12:56:7.47138,380.7,326.5,fixation
12:56:7.47188,381.3,324.3,fixation
12:56:7.47237,382.5,321.8,fixation
12:56:7.47286,383.6,320.5,fixation
12:56:7.47336,384.5,323.3,fixation
12:56:7.47385,385.4,326.4,fixation
12:56:7.47434,386.3,328.2,fixation
12:56:7.47483,386.5,326.6,fixation
12:56:7.47533,385.3,324.7,fixation
12:56:7.47582,384.1,324.1,fixation
12:56:7.47631,384.1,325.2,fixation
12:56:7.47680,385.0,326.5,fixation
12:56:7.4773,385.9,328.0,fixation
12:56:7.47779,385.6,328.1,fixation
12:56:7.47828,384.8,328.3,fixation
12:56:7.47877,384.0,328.5,fixation
12:56:7.47927,382.3,328.5,fixation
12:56:7.47976,380.5,328.5,fixation
12:56:7.48025,379.9,328.4,fixation
12:56:7.48075,381.0,327.5,fixation
12:56:7.48124,381.9,325.4,fixation
12:56:7.48173,381.8,323.4,fixation
12:56:7.48222,381.8,322.9,fixation
12:56:7.48272,382.0,323.7,fixation
12:56:7.48321,382.6,324.9,fixation
12:56:7.48370,383.5,325.5,fixation
12:56:7.48419,384.3,326.1,fixation
12:56:7.48469,384.6,326.5,fixation
12:56:7.48518,385.0,326.2,fixation
12:56:7.48567,385.3,325.7,fixation
12:56:7.48616,384.9,324.5,fixation
12:56:7.48666,383.1,323.6,fixation
12:56:7.48715,381.0,322.8,fixation
12:56:7.48764,379.7,322.6,fixation
12:56:7.48814,378.9,323.2,fixation
12:56:7.48863,378.5,323.9,fixation
12:56:7.48912,377.9,324.6,fixation
12:56:7.48961,377.9,322.5,fixation
12:56:7.49011,377.9,320.5,fixation
12:56:7.49060,379.3,319.0,fixation
12:56:7.49109,380.7,319.6,fixation
12:56:7.49158,381.0,321.9,fixation
12:56:7.49208,379.8,325.5,fixation
12:56:7.49257,378.6,327.5,fixation
12:56:7.49306,378.6,328.4,fixation
12:56:7.49355,379.0,327.7,fixation
12:56:7.49405,379.8,325.9,fixation
12:56:7.49454,380.7,323.7,fixation
12:56:7.49503,381.1,322.1,fixation
12:56:7.49553,381.1,322.5,fixation
12:56:7.49602,381.1,323.0,fixation
12:56:7.49651,382.8,322.7,fixation
12:56:7.49700,384.5,322.5,fixation
12:56:7.4975,385.0,323.3,fixation
12:56:7.49799,384.6,324.1,fixation
12:56:7.49848,384.3,324.8,fixation
12:56:7.49897,383.4,324.2,fixation
12:56:7.49947,381.6,323.6,fixation
12:56:7.49996,379.6,323.3,fixation
12:56:7.50045,379.4,323.5,fixation
12:56:7.50095,379.1,323.7,fixation
12:56:7.50144,379.2,323.8,fixation
12:56:7.50193,382.2,325.0,fixation
12:56:7.50242,385.3,326.2,fixation
12:56:7.50292,387.6,327.9,fixation
12:56:7.50341,386.9,328.3,fixation
12:56:7.50390,385.7,328.6,fixation
12:56:7.50439,385.3,329.0,fixation
12:56:7.50489,384.4,329.4,fixation
12:56:7.50538,383.7,329.3,fixation
12:56:7.50587,383.2,328.2,fixation
12:56:7.50636,383.2,326.8,fixation
12:56:7.50686,383.4,325.9,fixation
12:56:7.50735,383.6,327.0,fixation
12:56:7.50784,384.3,328.4,fixation
12:56:7.50834,384.7,329.5,fixation
12:56:7.50883,384.4,329.3,fixation
12:56:7.50932,383.8,329.0,fixation
12:56:7.50981,382.6,328.7,fixation
12:56:7.51031,381.7,328.3,fixation
12:56:7.51080,380.9,328.0,fixation
12:56:7.51129,381.1,327.9,fixation
12:56:7.51178,381.8,328.1,fixation
12:56:7.51228,383.3,328.3,fixation
12:56:7.51277,384.8,328.5,fixation
12:56:7.51326,386.3,327.4,fixation
12:56:7.51375,386.7,325.3,fixation
12:56:7.51425,386.5,323.7,fixation
12:56:7.51474,386.3,323.1,fixation
12:56:7.51523,385.7,320.5,fixation
12:56:7.51573,383.5,317.5,fixation
12:56:7.51622,381.2,317.0,fixation
12:56:7.51671,379.7,319.7,fixation
12:56:7.51720,379.8,322.6,fixation
12:56:7.5177,380.2,323.5,fixation
12:56:7.51819,380.5,323.1,fixation
12:56:7.51868,379.8,321.4,fixation
12:56:7.51917,378.9,319.0,fixation
12:56:7.51967,380.0,317.7,fixation
12:56:7.52016,382.1,318.1,fixation
12:56:7.52065,384.2,319.2,fixation
12:56:7.52115,384.2,320.4,fixation
12:56:7.52164,384.2,321.0,fixation
12:56:7.52213,384.1,322.3,fixation
12:56:7.52262,384.1,323.7,fixation
12:56:7.52312,384.1,322.8,fixation
12:56:7.52361,382.7,320.7,fixation
12:56:7.52410,379.2,320.1,fixation
12:56:7.52459,375.7,321.2,fixation
12:56:7.52509,375.5,321.6,fixation
12:56:7.52558,377.5,318.8,fixation
12:56:7.52607,379.7,316.6,fixation
12:56:7.52656,380.0,319.0,fixation
12:56:7.52706,380.1,323.1,fixation
12:56:7.52755,380.2,326.2,fixation
12:56:7.52804,379.5,324.3,fixation
12:56:7.52854,378.8,323.2,fixation
12:56:7.52903,380.3,322.9,fixation
12:56:7.52952,382.6,323.7,fixation
12:56:7.53001,385.0,323.7,fixation
12:56:7.53051,385.1,325.2,fixation
12:56:7.53100,385.1,326.7,fixation
12:56:7.53149,384.7,327.6,fixation
12:56:7.53198,382.6,326.8,fixation
12:56:7.53248,380.7,325.6,fixation
12:56:7.53297,378.9,324.5,fixation
12:56:7.53346,378.9,323.1,fixation
12:56:7.53395,378.6,321.5,fixation
12:56:7.53445,378.2,320.3,fixation
12:56:7.53494,377.8,319.0,fixation
12:56:7.53543,379.3,318.1,fixation
12:56:7.53593,380.8,318.5,fixation
12:56:7.53642,382.2,320.2,fixation
12:56:7.53691,381.8,322.1,fixation
12:56:7.53740,381.4,322.7,fixation
12:56:7.5379,380.4,323.4,fixation
12:56:7.53839,379.6,324.0,fixation
12:56:7.53888,379.3,321.1,fixation
12:56:7.53937,379.5,317.5,fixation
12:56:7.53987,379.7,313.9,fixation
12:56:7.54036,379.4,317.1,fixation
12:56:7.54085,379.0,321.3,fixation
12:56:7.54134,378.3,326.6,fixation
12:56:7.54184,378.0,328.6,fixation
12:56:7.54233,377.8,327.8,fixation
12:56:7.54282,378.7,326.1,fixation
12:56:7.54332,379.5,322.8,fixation
12:56:7.54381,380.3,321.2,fixation
12:56:7.54430,380.3,319.9,fixation
12:56:7.54479,379.8,320.3,fixation
12:56:7.54529,379.2,321.6,fixation
12:56:7.54578,378.6,322.8,fixation
12:56:7.54627,376.9,323.6,fixation
12:56:7.54676,375.3,323.4,fixation
12:56:7.54726,374.2,323.2,fixation
12:56:7.54775,374.4,323.2,fixation
12:56:7.54824,374.7,321.2,fixation
12:56:7.54874,374.6,319.5,fixation
12:56:7.54923,374.9,318.2,fixation
12:56:7.54972,375.1,318.9,fixation
12:56:7.55021,374.1,319.3,fixation
12:56:7.55071,373.1,318.8,fixation
12:56:7.55120,373.8,318.2,fixation
12:56:7.55169,375.5,317.6,fixation
12:56:7.55218,377.4,316.5,fixation
12:56:7.55268,377.6,315.6,fixation
12:56:7.55317,377.0,315.1,fixation
12:56:7.55366,376.1,315.8,fixation
12:56:7.55415,374.3,316.3,fixation
12:56:7.55465,373.1,315.3,fixation
12:56:7.55514,371.9,314.2,fixation
12:56:7.55563,371.6,314.2,fixation
12:56:7.55613,371.4,315.0,fixation
12:56:7.55662,371.3,315.8,fixation
12:56:7.55711,371.1,316.9,fixation
12:56:7.55760,371.8,319.9,fixation
12:56:7.5581,373.3,322.9,fixation
12:56:7.55859,375.2,323.9,fixation
12:56:7.55908,376.7,323.1,fixation
12:56:7.55957,377.4,322.4,fixation
12:56:7.56007,377.0,319.8,fixation
12:56:7.56056,376.3,317.6,fixation
12:56:7.56105,375.4,317.6,fixation
12:56:7.56154,375.6,319.8,fixation
12:56:7.56204,375.7,322.0,fixation
12:56:7.56253,376.0,321.9,fixation
12:56:7.56302,375.9,321.5,fixation
12:56:7.56352,374.8,321.1,fixation
12:56:7.56401,373.5,320.7,fixation
12:56:7.56450,372.2,320.7,fixation
12:56:7.56499,372.4,319.7,fixation
12:56:7.56549,373.1,318.7,fixation
12:56:7.56598,375.0,318.0,fixation
12:56:7.56647,376.6,318.3,fixation
12:56:7.56696,378.6,320.5,fixation
12:56:7.56746,378.8,323.2,fixation
12:56:7.56795,378.6,325.9,fixation
12:56:7.56844,377.1,327.5,fixation
12:56:7.56894,376.1,328.1,fixation
12:56:7.56943,375.7,323.0,fixation
12:56:7.56992,375.5,317.2,fixation
12:56:7.57041,375.1,313.6,fixation
12:56:7.57091,374.5,315.8,fixation
12:56:7.57140,374.8,317.9,fixation
12:56:7.57189,375.5,319.4,fixation
12:56:7.57238,376.2,320.8,fixation
12:56:7.57288,377.3,322.7,fixation
12:56:7.57337,378.0,323.0,fixation
12:56:7.57386,377.8,323.7,fixation
12:56:7.57435,376.9,324.4,fixation
12:56:7.57485,376.0,325.2,fixation
12:56:7.57534,375.5,325.5,fixation
12:56:7.57583,375.1,324.8,fixation
12:56:7.57633,375.1,324.0,fixation
12:56:7.57682,376.0,323.5,fixation
12:56:7.57731,376.7,324.4,fixation
12:56:7.57780,376.7,324.5,fixation
12:56:7.5783,376.3,323.3,fixation
12:56:7.57879,374.7,321.6,fixation
12:56:7.57928,373.3,320.8,fixation
12:56:7.57977,372.4,320.9,fixation
12:56:7.58027,372.9,320.6,fixation
12:56:7.58076,373.5,320.3,fixation
12:56:7.58125,373.4,320.4,fixation
12:56:7.58174,373.3,320.8,fixation
12:56:7.58224,374.2,321.7,fixation
12:56:7.58273,375.2,322.9,fixation
12:56:7.58322,376.0,324.0,fixation
12:56:7.58372,375.9,322.8,fixation
12:56:7.58421,374.5,321.0,fixation
12:56:7.58470,373.4,319.4,fixation
12:56:7.58519,372.5,320.1,fixation
12:56:7.58569,373.0,320.7,fixation
12:56:7.58618,372.8,321.1,fixation
12:56:7.58667,372.4,320.4,fixation
12:56:7.58716,372.1,320.0,fixation
12:56:7.58766,370.5,319.7,fixation
12:56:7.58815,369.0,320.0,fixation
12:56:7.58864,367.8,320.8,fixation
12:56:7.58913,369.3,321.6,fixation
12:56:7.58963,370.7,322.4,fixation
12:56:7.59012,370.6,322.7,fixation
12:56:7.59061,369.5,322.8,fixation
12:56:7.59111,368.3,322.8,fixation
12:56:7.59160,368.4,322.0,fixation
12:56:7.59209,368.0,321.4,fixation
12:56:7.59258,367.5,323.1,fixation
12:56:7.59308,367.1,325.4,fixation
12:56:7.59357,367.1,327.2,fixation
12:56:7.59406,366.0,326.8,fixation
12:56:7.59455,364.7,327.2,fixation
12:56:7.59505,363.6,328.1,fixation
12:56:7.59554,363.7,327.5,fixation
12:56:7.59603,364.0,326.1,fixation
12:56:7.59653,364.1,324.8,fixation
12:56:7.59702,365.1,326.0,fixation
12:56:7.59751,366.0,327.3,fixation
12:56:7.59800,366.9,328.4,fixation
12:56:7.5985,366.8,328.1,fixation
12:56:7.59899,366.9,327.1,fixation
12:56:7.59948,366.9,326.4,fixation
12:56:7.59997,367.1,325.8,fixation
12:56:7.60047,367.3,324.8,fixation
12:56:7.60096,366.9,323.8,fixation
12:56:7.60145,366.5,322.8,fixation
12:56:7.60194,368.0,323.3,fixation
12:56:7.60244,370.1,324.4,fixation
12:56:7.60293,372.1,325.5,fixation
12:56:7.60342,370.3,326.1,fixation
12:56:7.60392,368.6,325.9,fixation
12:56:7.60441,366.1,325.4,fixation
12:56:7.60490,365.5,324.1,fixation
12:56:7.60539,366.0,323.0,fixation
12:56:7.60589,367.8,322.5,fixation
12:56:7.60638,369.7,322.8,fixation
12:56:7.60687,368.3,322.7,fixation
12:56:7.60736,366.2,322.3,fixation
12:56:7.60786,364.2,321.8,fixation
12:56:7.60835,365.0,321.6,fixation
12:56:7.60884,365.9,321.3,fixation
12:56:7.60933,366.7,321.3,fixation
12:56:7.60983,366.5,321.4,fixation
12:56:7.61032,366.0,321.8,fixation
12:56:7.61081,365.5,323.8,fixation
12:56:7.61131,365.1,325.7,fixation
12:56:7.61180,364.8,328.0,fixation
12:56:7.61229,364.7,328.5,fixation
12:56:7.61278,366.6,326.1,fixation
12:56:7.61328,368.6,323.1,fixation
12:56:7.61377,370.2,322.4,fixation
12:56:7.61426,369.9,324.7,fixation
12:56:7.61475,369.2,327.5,fixation
12:56:7.61525,368.9,328.0,fixation
12:56:7.61574,368.7,328.1,fixation
12:56:7.61623,368.8,326.5,fixation
12:56:7.61673,368.6,323.8,fixation
12:56:7.61722,368.5,321.5,fixation
12:56:7.61771,368.3,320.4,fixation
12:56:7.61820,368.5,320.3,fixation
12:56:7.6187,368.7,320.9,fixation
12:56:7.61919,368.5,321.1,fixation
12:56:7.61968,368.7,320.9,fixation
12:56:7.62017,369.6,319.1,fixation
12:56:7.62067,371.0,317.6,fixation
