TimeStamp,X,Y,Event
13:00:10.2204,294.2,326.9,fixation
13:0:10.2209,294.4,329.6,fixation
13:0:10.22140,295.1,332.1,fixation
13:0:10.2219,295.9,333.9,fixation
13:0:10.2224,296.1,332.5,fixation
13:0:10.22290,295.6,331.0,fixation
13:0:10.2234,295.2,330.1,fixation
13:0:10.2239,294.9,329.7,fixation
13:0:10.22440,296.0,329.2,fixation
13:0:10.2249,297.2,329.0,fixation
13:0:10.2254,299.0,330.1,fixation
13:0:10.22590,299.7,331.3,fixation
13:0:10.2264,300.0,331.6,fixation
13:0:10.2269,299.7,329.4,fixation
13:0:10.22740,299.5,327.9,fixation
13:0:10.2279,299.8,327.1,fixation
13:0:10.2284,300.1,325.5,fixation
13:0:10.22890,300.4,323.2,fixation
13:0:10.2294,300.7,321.4,fixation
13:0:10.2299,299.3,322.4,fixation
13:0:10.23040,297.9,323.1,fixation
13:0:10.2309,296.8,323.3,fixation
13:0:10.2314,297.1,324.0,fixation
13:0:10.23190,297.2,325.2,fixation
13:0:10.2324,296.9,326.4,fixation
13:0:10.2329,296.5,326.7,fixation
13:0:10.23340,295.9,326.8,fixation
13:0:10.2339,295.5,326.5,fixation
13:0:10.2344,295.2,326.1,fixation
13:0:10.23490,295.2,328.0,fixation
13:0:10.2354,296.9,330.2,fixation
13:0:10.2359,298.7,330.4,fixation
13:0:10.23640,300.5,328.3,fixation
13:0:10.2369,300.3,326.5,fixation
13:0:10.23740,299.5,327.3,fixation
13:0:10.2379,298.5,328.2,fixation
13:0:10.2384,297.8,326.7,fixation
13:0:10.23890,297.5,324.3,fixation
13:0:10.2394,296.3,322.8,fixation
13:0:10.2399,295.0,324.6,fixation
13:0:10.24040,295.8,325.8,fixation
13:0:10.2409,298.0,326.1,fixation
13:0:10.2414,298.6,326.4,fixation
13:0:10.24190,297.1,326.8,fixation
13:0:10.2424,295.9,326.6,fixation
13:0:10.2429,296.5,325.5,fixation
13:0:10.24340,296.9,324.9,fixation
13:0:10.2439,297.0,324.9,fixation
13:0:10.2444,296.9,324.5,fixation
13:0:10.24490,297.0,324.0,fixation
13:0:10.2454,297.8,324.0,fixation
13:0:10.2459,298.4,324.9,fixation
13:0:10.24640,299.0,326.2,fixation
13:0:10.2469,298.2,326.4,fixation
13:0:10.2474,297.0,325.6,fixation
13:0:10.24790,295.8,323.2,fixation
13:0:10.2484,295.6,321.4,fixation
13:0:10.2489,295.7,322.6,fixation
13:0:10.24940,294.8,325.1,fixation
13:0:10.2499,293.9,327.6,fixation
13:0:10.2504,294.4,328.2,fixation
13:0:10.25090,296.2,328.6,fixation
13:0:10.2514,298.0,327.6,fixation
13:0:10.25190,298.5,326.1,fixation
13:0:10.2524,298.6,325.3,fixation
13:0:10.2529,298.6,326.0,fixation
13:0:10.25340,298.6,325.4,fixation
13:0:10.2539,299.2,323.6,fixation
13:0:10.2544,299.8,321.2,fixation
13:0:10.25490,300.5,319.1,fixation
13:0:10.2554,300.6,317.4,fixation
13:0:10.2559,299.0,316.0,fixation
13:0:10.25640,297.3,315.6,fixation
13:0:10.2569,295.5,315.6,fixation
13:0:10.2574,295.6,315.9,fixation
13:0:10.25790,295.8,316.2,fixation
13:0:10.2584,296.0,316.6,fixation
13:0:10.2589,296.0,319.0,fixation
13:0:10.25940,296.0,321.5,fixation
13:0:10.2599,296.1,323.5,fixation
13:0:10.2604,296.2,323.5,fixation
13:0:10.26090,296.6,324.5,fixation
13:0:10.2614,296.9,325.6,fixation
13:0:10.2619,296.8,326.5,fixation
13:0:10.26240,296.8,326.3,fixation
13:0:10.2629,296.8,326.2,fixation
13:0:10.2634,296.4,326.3,fixation
13:0:10.26390,295.0,326.4,fixation
13:0:10.2644,293.9,326.5,fixation
13:0:10.2649,293.5,325.6,fixation
13:0:10.26540,293.8,324.7,fixation
13:0:10.2659,293.4,322.9,fixation
13:0:10.2664,293.0,322.1,fixation
13:0:10.26690,293.2,322.9,fixation
13:0:10.2674,294.2,324.7,fixation
13:0:10.26790,295.5,326.4,fixation
13:0:10.2684,296.1,326.4,fixation
13:0:10.2689,296.5,326.1,fixation
13:0:10.26940,296.3,326.1,fixation
13:0:10.2699,296.1,326.3,fixation
13:0:10.2704,296.1,326.8,fixation
13:0:10.27090,297.3,326.9,fixation
13:0:10.2714,298.1,328.0,fixation
13:0:10.2719,298.7,329.0,fixation
13:0:10.27240,298.3,328.7,fixation
13:0:10.2729,298.6,328.5,fixation
13:0:10.2734,299.0,328.5,fixation
13:0:10.27390,299.1,329.9,fixation
13:0:10.2744,299.0,330.1,fixation
13:0:10.2749,299.4,330.0,fixation
13:0:10.27540,300.0,329.9,fixation
13:0:10.2759,300.4,327.8,fixation
13:0:10.2764,299.9,325.8,fixation
13:0:10.27690,299.4,323.8,fixation
13:0:10.2774,299.7,323.9,fixation
13:0:10.2779,300.0,327.8,fixation
13:0:10.27840,300.1,331.6,fixation
13:0:10.2789,299.5,334.6,fixation
13:0:10.2794,299.5,330.3,fixation
13:0:10.27990,299.2,327.8,saccade
13:0:10.2804,298.7,333.2,saccade
13:0:10.2809,298.2,338.1,saccade
13:0:10.28140,298.1,335.6,saccade
13:0:10.2819,298.0,333.0,saccade
