TimeStamp,X,Y,Event
11:51:40.1978,265.9,135.9,saccade
11:51:40.1983,274.0,137.8,saccade
11:51:40.1988,283.1,138.8,saccade
11:51:40.1993,290.7,139.3,saccade
11:51:40.1998,299.0,139.4,saccade
11:51:40.2003,304.6,140.1,saccade
11:51:40.2008,312.6,141.7,saccade
11:51:40.2013,318.6,143.3,saccade
11:51:40.2018,326.5,145.0,saccade
11:51:40.2023,333.0,143.8,saccade
11:51:40.2028,337.6,142.4,saccade
11:51:40.2033,342.5,141.2,saccade
11:51:40.2038,344.9,141.7,saccade
11:51:40.2043,347.5,139.5,saccade
11:51:40.2048,349.1,137.0,saccade
11:51:40.2053,350.1,134.5,saccade
11:51:40.2058,350.9,134.4,saccade
11:51:40.2063,350.6,133.7,saccade
11:51:40.2068,351.2,132.8,saccade
11:51:40.2073,354.2,130.6,saccade
11:51:40.2078,356.8,128.7,saccade
11:51:40.2083,359.0,128.1,saccade
11:51:40.2088,358.4,129.2,saccade
11:51:40.2093,356.2,129.3,saccade
11:51:40.2098,353.9,128.1,saccade
11:51:40.2103,350.4,127.4,saccade
11:51:40.2108,348.1,127.6,saccade
11:51:40.2113,344.2,127.4,saccade
11:51:40.2118,340.2,126.9,saccade
11:51:40.2123,335.5,126.2,saccade
11:51:40.2128,332.5,125.9,saccade
11:51:40.2133,329.8,125.0,saccade
11:51:40.2138,327.2,124.4,saccade
11:51:40.2143,323.0,123.7,saccade
11:51:40.2148,319.3,123.3,saccade
11:51:40.2153,316.6,122.8,saccade
11:51:40.2158,314.5,121.6,saccade
11:51:40.2163,310.1,119.7,saccade
11:51:40.2168,305.4,118.3,saccade
11:51:40.2173,302.1,118.8,saccade
11:51:40.2178,301.3,120.0,saccade
11:51:40.2183,300.5,120.5,saccade
11:51:40.2188,299.8,120.3,saccade
11:51:40.2193,298.0,120.3,saccade
11:51:40.2198,296.0,120.4,saccade
11:51:40.2203,294.4,120.7,saccade
11:51:40.2208,294.2,119.2,saccade
11:51:40.2213,294.3,117.8,saccade
11:51:40.2218,294.6,116.1,saccade
11:51:40.2223,295.0,115.5,saccade
11:51:40.2228,295.4,115.0,saccade
11:51:40.2233,295.2,116.6,saccade
11:51:40.2238,295.0,118.7,saccade
11:51:40.2243,295.3,121.0,saccade
