TimeStamp,X,Y,Event
09:18:31.8439,686.8,508.0,fixation
9:18:31.8444,686.8,507.9,fixation
9:18:31.8449,687.0,507.1,fixation
9:18:31.84539,687.1,506.5,fixation
9:18:31.84588,686.6,506.6,fixation
9:18:31.84638,686.0,506.7,fixation
9:18:31.84688,685.3,506.5,fixation
9:18:31.84737,685.3,506.4,fixation
9:18:31.84787,685.4,506.2,fixation
9:18:31.84837,685.4,506.5,fixation
9:18:31.84886,685.3,507.0,fixation
9:18:31.84935,684.5,507.7,fixation
9:18:31.84985,683.8,508.1,fixation
9:18:31.85035,683.2,508.0,fixation
9:18:31.85084,683.6,507.4,fixation
9:18:31.85134,684.1,506.8,fixation
9:18:31.85184,684.6,506.6,fixation
9:18:31.85233,684.6,506.8,fixation
9:18:31.85282,684.4,506.9,fixation
9:18:31.85332,684.2,507.1,fixation
9:18:31.85382,684.7,507.7,fixation
9:18:31.85431,685.4,508.3,fixation
9:18:31.85481,686.2,508.6,fixation
9:18:31.85531,686.2,508.3,fixation
9:18:31.85580,686.3,508.3,fixation
9:18:31.85629,686.6,508.6,fixation
9:18:31.85679,686.8,508.9,fixation
9:18:31.85729,687.0,509.0,fixation
9:18:31.85778,686.8,508.9,fixation
9:18:31.85828,686.5,508.8,fixation
9:18:31.85878,686.2,508.7,fixation
9:18:31.85928,686.7,508.6,fixation
9:18:31.85977,687.4,508.4,fixation
9:18:31.86027,688.3,508.4,fixation
9:18:31.86077,688.6,508.3,fixation
9:18:31.86126,688.9,508.3,fixation
9:18:31.86176,689.0,508.2,fixation
9:18:31.86226,688.8,507.8,fixation
9:18:31.86275,688.5,507.5,fixation
9:18:31.86324,688.4,507.0,fixation
9:18:31.86374,688.1,506.9,fixation
9:18:31.86424,687.9,506.8,fixation
9:18:31.86473,687.6,506.9,fixation
9:18:31.86523,687.3,507.1,fixation
9:18:31.86573,686.5,507.1,fixation
9:18:31.86622,685.6,507.2,fixation
9:18:31.86671,685.4,507.3,fixation
9:18:31.86721,686.0,507.4,fixation
9:18:31.86771,686.5,507.2,fixation
9:18:31.86820,686.7,506.9,fixation
9:18:31.8687,686.7,507.0,fixation
9:18:31.8692,686.7,507.2,fixation
9:18:31.86969,686.6,507.5,fixation
9:18:31.87018,686.3,507.8,fixation
9:18:31.87068,686.1,508.2,fixation
9:18:31.87118,685.9,508.6,fixation
9:18:31.87167,685.9,508.8,fixation
9:18:31.87217,686.0,508.8,fixation
9:18:31.87267,686.1,508.9,fixation
9:18:31.87317,686.2,509.1,fixation
9:18:31.87366,686.2,509.2,fixation
9:18:31.87416,685.8,509.9,fixation
9:18:31.87466,685.3,510.6,fixation
9:18:31.87515,684.8,511.1,fixation
9:18:31.87565,684.7,511.1,fixation
9:18:31.87615,684.6,511.1,fixation
9:18:31.87664,684.5,511.4,fixation
9:18:31.87713,684.5,511.6,fixation
9:18:31.87763,685.2,511.8,fixation
9:18:31.87813,686.0,511.8,fixation
9:18:31.87862,686.7,511.6,fixation
9:18:31.87912,686.9,511.2,fixation
9:18:31.87962,687.0,511.0,fixation
9:18:31.88011,687.3,510.8,fixation
9:18:31.88060,687.7,510.3,fixation
9:18:31.8811,687.9,509.7,fixation
9:18:31.8816,687.8,508.9,fixation
9:18:31.88209,687.5,508.8,fixation
9:18:31.88259,687.3,508.6,fixation
9:18:31.88309,687.2,508.6,fixation
9:18:31.88358,687.1,508.3,fixation
9:18:31.88407,687.1,507.8,fixation
9:18:31.88457,687.3,507.2,fixation
9:18:31.88507,687.3,507.8,fixation
9:18:31.88556,687.1,508.7,fixation
9:18:31.88606,686.7,509.3,fixation
9:18:31.88656,686.7,508.9,fixation
9:18:31.88705,686.9,508.1,fixation
9:18:31.88754,687.3,507.3,fixation
9:18:31.88804,686.6,506.5,fixation
9:18:31.88854,685.7,506.3,fixation
9:18:31.88903,684.7,506.6,fixation
9:18:31.88953,684.6,507.2,fixation
9:18:31.89003,685.2,507.6,fixation
9:18:31.89053,686.1,507.7,fixation
9:18:31.89102,687.1,507.7,fixation
9:18:31.89152,687.5,506.8,fixation
9:18:31.89202,687.8,505.9,fixation
9:18:31.89251,688.4,504.8,fixation
9:18:31.89301,689.0,504.7,fixation
9:18:31.89351,689.2,505.4,fixation
9:18:31.89400,688.7,506.2,fixation
9:18:31.89449,688.0,506.8,fixation
9:18:31.89499,687.4,506.5,fixation
9:18:31.89549,687.7,506.6,fixation
9:18:31.89598,688.5,506.7,fixation
9:18:31.89648,689.3,506.9,fixation
9:18:31.89698,689.7,506.9,fixation
9:18:31.89747,690.0,507.0,fixation
9:18:31.89796,690.6,506.9,fixation
9:18:31.89846,691.1,506.5,fixation
9:18:31.89896,691.4,506.2,fixation
9:18:31.89945,691.3,506.4,fixation
9:18:31.89995,691.1,507.2,fixation
9:18:31.90045,690.6,508.0,fixation
9:18:31.90094,690.2,507.9,fixation
9:18:31.90143,690.0,507.5,fixation
9:18:31.90193,690.2,507.4,fixation
9:18:31.90243,690.1,507.7,fixation
9:18:31.90292,690.0,507.9,fixation
9:18:31.90342,689.9,507.7,fixation
9:18:31.90392,689.7,508.6,fixation
9:18:31.90442,689.5,509.6,fixation
9:18:31.90491,688.9,510.6,fixation
9:18:31.90541,688.4,510.4,fixation
9:18:31.90591,688.1,510.3,fixation
9:18:31.90640,688.1,510.3,fixation
9:18:31.9069,688.3,510.5,fixation
9:18:31.9074,688.9,510.7,fixation
9:18:31.90789,689.6,510.9,fixation
9:18:31.90838,689.1,510.8,fixation
9:18:31.90888,688.2,510.7,fixation
9:18:31.90938,688.0,511.2,fixation
9:18:31.90987,688.7,511.6,fixation
9:18:31.91037,689.4,512.0,fixation
9:18:31.91087,689.4,511.9,fixation
