TimeStamp,X,Y,Event
10:17:18.5915,432.1,72.4,saccade
10:17:18.592,431.0,72.1,saccade
10:17:18.5924,429.8,71.0,saccade
10:17:18.5929,427.0,71.0,saccade
10:17:18.5934,417.5,71.6,saccade
10:17:18.5938,403.5,70.4,saccade
10:17:18.5943,387.2,71.3,saccade
10:17:18.5948,368.1,72.8,saccade
10:17:18.5952,351.9,73.8,saccade
10:17:18.5956,341.1,75.7,saccade
10:17:18.5961,335.3,78.1,saccade
10:17:18.5966,332.9,79.3,saccade
10:17:18.5970,331.7,79.8,saccade
10:17:18.5975,330.8,79.7,fixation
10:17:18.598,331.1,78.1,fixation
10:17:18.5984,332.0,77.1,fixation
10:17:18.5989,333.3,76.1,fixation
10:17:18.5994,335.2,75.5,fixation
10:17:18.5998,337.2,75.1,fixation
10:17:18.6002,339.0,75.8,fixation
10:17:18.6007,338.9,76.4,fixation
10:17:18.6012,337.8,76.4,fixation
10:17:18.6016,336.8,77.0,fixation
10:17:18.6021,336.4,77.8,fixation
10:17:18.6026,336.0,77.9,fixation
10:17:18.6030,334.5,76.9,fixation
10:17:18.6035,334.4,76.7,fixation
10:17:18.604,335.0,77.1,fixation
10:17:18.6044,335.2,77.0,fixation
10:17:18.6048,334.4,76.5,fixation
10:17:18.6053,334.5,76.6,fixation
10:17:18.6058,334.8,76.7,fixation
10:17:18.6062,334.6,76.3,fixation
10:17:18.6067,334.6,75.8,fixation
10:17:18.6072,334.5,75.8,fixation
10:17:18.6076,334.2,75.2,fixation
10:17:18.6081,333.9,75.3,fixation
10:17:18.6086,333.7,76.3,fixation
10:17:18.6090,334.5,76.8,fixation
10:17:18.6095,334.7,77.0,fixation
10:17:18.61,334.7,77.3,fixation
10:17:18.6105,335.5,77.5,fixation
10:17:18.6109,334.6,77.2,fixation
10:17:18.6114,333.7,77.0,fixation
10:17:18.6119,333.1,76.7,fixation
10:17:18.6123,333.6,76.5,fixation
10:17:18.6128,333.7,76.5,fixation
10:17:18.6133,333.7,76.7,fixation
10:17:18.6137,333.9,76.9,fixation
10:17:18.6142,334.0,77.3,fixation
10:17:18.6147,334.3,77.9,fixation
10:17:18.6151,334.3,77.8,fixation
10:17:18.6156,333.3,77.0,fixation
10:17:18.6161,333.2,77.3,fixation
10:17:18.6166,333.4,77.5,fixation
10:17:18.6170,333.2,77.2,fixation
10:17:18.6175,333.2,77.1,fixation
10:17:18.618,332.9,77.1,fixation
10:17:18.6184,332.5,77.4,fixation
10:17:18.6189,332.3,77.4,fixation
10:17:18.6194,332.3,77.5,fixation
10:17:18.6198,332.8,77.8,fixation
10:17:18.6203,333.3,78.1,fixation
10:17:18.6208,332.9,78.5,fixation
10:17:18.6212,332.4,79.5,fixation
10:17:18.6217,331.7,79.5,fixation
10:17:18.6222,331.5,79.3,fixation
10:17:18.6227,332.2,79.4,fixation
10:17:18.6231,332.7,79.6,fixation
10:17:18.6236,333.0,80.0,fixation
10:17:18.6241,333.4,81.3,fixation
10:17:18.6245,334.8,81.5,fixation
10:17:18.625,335.3,81.1,fixation
10:17:18.6255,335.3,81.8,fixation
10:17:18.6259,335.3,82.2,fixation
10:17:18.6264,335.4,81.9,fixation
10:17:18.6269,335.4,82.1,fixation
10:17:18.6273,335.1,82.5,fixation
10:17:18.6278,335.1,82.2,fixation
10:17:18.6283,335.5,81.0,fixation
10:17:18.6288,334.9,80.4,fixation
10:17:18.6292,333.7,79.1,fixation
10:17:18.6297,333.0,78.6,fixation
10:17:18.6302,332.9,78.8,fixation
10:17:18.6306,332.8,79.7,fixation
10:17:18.6311,332.6,79.8,fixation
10:17:18.6316,331.3,78.6,fixation
10:17:18.6320,330.9,77.7,fixation
10:17:18.6325,331.6,77.9,fixation
10:17:18.633,331.5,77.8,fixation
10:17:18.6334,331.2,77.3,fixation
10:17:18.6339,331.4,77.3,fixation
10:17:18.6344,331.7,77.8,fixation
10:17:18.6349,332.3,78.6,fixation
10:17:18.6353,332.9,80.2,fixation
10:17:18.6358,333.3,80.5,fixation
10:17:18.6363,333.9,80.3,fixation
10:17:18.6367,333.2,79.0,fixation
10:17:18.6372,332.9,77.7,fixation
10:17:18.6377,333.4,78.0,fixation
10:17:18.6381,333.5,78.1,fixation
10:17:18.6386,333.3,77.9,fixation
10:17:18.6391,332.4,77.8,fixation
10:17:18.6395,331.7,78.7,fixation
10:17:18.64,331.7,78.8,fixation
10:17:18.6405,332.1,78.9,fixation
10:17:18.641,332.2,79.2,fixation
10:17:18.6414,332.3,79.5,fixation
10:17:18.6419,332.1,79.9,fixation
10:17:18.6424,331.3,80.1,fixation
10:17:18.6428,331.3,80.3,fixation
10:17:18.6433,331.5,79.4,fixation
10:17:18.6438,332.2,78.2,fixation
10:17:18.6442,331.5,79.1,fixation
10:17:18.6447,330.5,79.2,fixation
10:17:18.6452,330.1,77.7,fixation
10:17:18.6456,329.6,77.1,fixation
10:17:18.6461,330.0,77.0,fixation
10:17:18.6466,330.6,77.5,fixation
10:17:18.6471,330.1,78.0,fixation
10:17:18.6475,329.9,78.1,fixation
10:17:18.648,329.7,79.0,fixation
10:17:18.6485,329.7,79.2,fixation
10:17:18.6489,329.9,78.1,fixation
10:17:18.6494,329.9,77.8,fixation
10:17:18.6499,329.7,78.4,fixation
10:17:18.6503,329.7,78.7,fixation
10:17:18.6508,330.0,78.9,fixation
10:17:18.6513,330.7,79.3,fixation
10:17:18.6517,330.4,79.3,fixation
10:17:18.6522,330.0,79.7,fixation
10:17:18.6527,330.5,79.5,fixation
10:17:18.6532,330.6,79.3,fixation
10:17:18.6536,330.8,79.5,fixation
10:17:18.6541,331.0,79.8,fixation
10:17:18.6546,330.7,80.3,fixation
10:17:18.6550,330.3,81.5,fixation
10:17:18.6555,330.4,81.6,fixation
10:17:18.656,331.4,81.3,fixation
10:17:18.6564,332.3,82.0,fixation
10:17:18.6569,332.6,82.8,fixation
10:17:18.6574,333.0,82.9,fixation
