TimeStamp,X,Y,Event
13:32:41.9180,433.0,211.5,saccade
13:32:41.9185,432.9,211.3,saccade
13:32:41.9190,432.3,212.2,saccade
13:32:41.9195,431.9,213.3,saccade
13:32:41.92,431.8,213.5,saccade
13:32:41.9205,432.0,213.0,saccade
13:32:41.921,432.4,212.4,saccade
13:32:41.9215,432.8,211.8,saccade
13:32:41.9220,433.0,212.0,saccade
13:32:41.9225,433.0,212.6,saccade
13:32:41.923,432.7,212.6,saccade
13:32:41.9235,432.6,212.3,saccade
13:32:41.924,432.4,212.7,saccade
13:32:41.9245,431.0,213.5,saccade
13:32:41.9250,428.6,214.4,saccade
13:32:41.9255,425.7,214.3,saccade
13:32:41.926,421.9,214.1,saccade
13:32:41.9265,419.1,214.2,saccade
13:32:41.927,416.7,214.7,saccade
13:32:41.9275,413.4,215.4,saccade
13:32:41.9280,409.7,215.7,saccade
13:32:41.9285,405.9,215.5,saccade
13:32:41.929,405.3,215.7,saccade
13:32:41.9295,400.9,216.0,saccade
13:32:41.93,395.9,216.2,saccade
13:32:41.9305,388.3,216.4,saccade
13:32:41.9310,383.0,216.5,saccade
13:32:41.9315,376.4,217.4,saccade
13:32:41.932,371.3,220.6,saccade
13:32:41.9325,366.6,224.2,saccade
13:32:41.933,360.8,226.8,saccade
13:32:41.9335,356.0,227.0,saccade
13:32:41.9340,350.9,226.9,saccade
13:32:41.9345,344.8,226.7,saccade
13:32:41.935,338.8,226.5,saccade
13:32:41.9355,332.6,226.4,saccade
13:32:41.936,328.4,226.7,saccade
13:32:41.9365,324.3,227.6,saccade
13:32:41.9370,319.7,228.5,saccade
13:32:41.9375,316.7,229.0,saccade
13:32:41.938,310.9,230.5,saccade
13:32:41.9385,306.7,231.7,saccade
13:32:41.939,299.8,232.7,saccade
13:32:41.9395,296.0,233.0,saccade
13:32:41.9400,293.2,233.4,saccade
13:32:41.9405,290.7,233.8,saccade
13:32:41.941,285.7,234.7,saccade
13:32:41.9415,280.7,236.4,saccade
13:32:41.942,277.6,238.1,saccade
13:32:41.9425,276.3,239.6,saccade
13:32:41.9430,272.1,240.5,saccade
13:32:41.9435,268.6,241.4,saccade
13:32:41.944,265.5,243.3,saccade
13:32:41.9445,265.0,245.6,saccade
13:32:41.945,264.6,248.1,saccade
13:32:41.9455,263.2,248.4,saccade
13:32:41.9460,261.9,248.4,saccade
13:32:41.9465,259.5,248.7,saccade
13:32:41.947,258.3,249.3,saccade
13:32:41.9475,257.9,250.0,saccade
13:32:41.948,258.7,250.4,saccade
13:32:41.9485,259.5,252.1,saccade
13:32:41.9490,259.6,253.7,saccade
13:32:41.9495,259.3,255.5,saccade
13:32:41.95,259.1,255.7,saccade
13:32:41.9505,259.2,255.8,saccade
13:32:41.951,260.3,255.8,saccade
13:32:41.9515,261.3,255.8,saccade
13:32:41.9520,262.3,255.7,saccade
13:32:41.9525,263.5,255.5,saccade
13:32:41.953,264.7,255.3,saccade
13:32:41.9535,266.0,254.7,saccade
13:32:41.954,267.2,253.8,saccade
13:32:41.9545,268.4,252.9,saccade
13:32:41.9550,270.0,251.8,saccade
13:32:41.9555,270.6,250.6,saccade
13:32:41.956,271.8,249.5,saccade
13:32:41.9565,272.4,249.0,saccade
13:32:41.957,274.4,249.5,saccade
13:32:41.9575,276.0,250.2,saccade
13:32:41.9580,277.7,250.9,saccade
13:32:41.9585,277.9,251.0,saccade
13:32:41.959,277.7,250.9,saccade
13:32:41.9595,277.1,249.1,saccade
13:32:41.96,276.4,247.3,saccade
13:32:41.9605,276.4,245.0,saccade
13:32:41.9610,277.0,244.3,saccade
13:32:41.9615,277.6,243.8,saccade
13:32:41.962,277.9,243.9,saccade
13:32:41.9625,279.1,241.8,fixation
13:32:41.963,278.9,240.5,fixation
13:32:41.9635,277.4,240.3,fixation
13:32:41.9640,275.9,240.5,fixation
13:32:41.9645,274.9,239.7,fixation
13:32:41.965,274.8,238.9,fixation
13:32:41.9655,274.7,239.3,fixation
13:32:41.966,274.8,240.6,fixation
13:32:41.9665,274.7,241.9,fixation
13:32:41.9670,273.5,241.4,fixation
13:32:41.9675,272.8,240.9,fixation
13:32:41.968,272.1,243.0,fixation
13:32:41.9685,272.5,245.7,fixation
13:32:41.969,272.4,248.5,fixation
13:32:41.9695,270.0,249.3,fixation
13:32:41.97,267.4,249.9,fixation
13:32:41.9705,265.1,249.9,fixation
13:32:41.9710,265.4,249.6,fixation
13:32:41.9715,265.8,249.2,fixation
13:32:41.972,266.0,249.3,fixation
13:32:41.9725,264.9,249.4,fixation
13:32:41.973,263.5,250.0,fixation
13:32:41.9735,263.1,250.3,fixation
13:32:41.9740,264.1,250.6,fixation
13:32:41.9745,264.3,250.4,fixation
13:32:41.975,262.5,250.2,fixation
13:32:41.9755,260.9,250.1,fixation
13:32:41.976,260.1,249.9,fixation
13:32:41.9765,260.7,249.7,fixation
13:32:41.9770,261.5,251.1,fixation
13:32:41.9775,262.1,252.7,fixation
13:32:41.978,262.4,254.1,fixation
13:32:41.9785,262.1,253.9,fixation
13:32:41.979,261.6,253.6,fixation
13:32:41.9795,261.0,253.5,fixation
13:32:41.9800,260.6,253.5,fixation
13:32:41.9805,261.3,253.6,fixation
13:32:41.981,262.2,253.7,fixation
13:32:41.9815,263.6,254.1,fixation
13:32:41.982,264.6,254.4,fixation
13:32:41.9825,265.6,254.8,fixation
13:32:41.9830,265.9,254.7,fixation
13:32:41.9835,265.7,254.6,fixation
13:32:41.984,265.8,254.5,fixation
13:32:41.9845,266.2,254.2,fixation
13:32:41.985,265.7,253.7,fixation
13:32:41.9855,264.7,253.1,fixation
13:32:41.9860,263.7,253.1,fixation
13:32:41.9865,262.9,253.8,fixation
13:32:41.987,262.1,254.6,fixation
13:32:41.9875,261.4,254.5,fixation
13:32:41.988,263.4,254.2,fixation
13:32:41.9885,265.2,253.5,fixation
13:32:41.9890,266.5,252.9,fixation
13:32:41.9895,265.6,252.2,fixation
13:32:41.99,264.8,252.5,fixation
13:32:41.9905,264.3,252.9,fixation
13:32:41.991,264.1,253.3,fixation
13:32:41.9915,263.9,252.7,fixation
13:32:41.9920,263.9,252.3,fixation
13:32:41.9925,263.9,252.1,fixation
13:32:41.993,263.8,252.3,fixation
13:32:41.9935,264.9,252.6,fixation
13:32:41.994,266.0,253.1,fixation
13:32:41.9945,265.9,254.1,fixation
13:32:41.9950,264.7,255.1,fixation
13:32:41.9955,265.0,255.3,fixation
13:32:41.996,266.5,254.1,fixation
13:32:41.9965,267.8,253.0,fixation
13:32:41.997,267.6,252.3,fixation
13:32:41.9975,267.1,252.4,fixation
13:32:41.9980,266.7,253.1,fixation
13:32:41.9985,266.3,253.8,fixation
13:32:41.999,266.1,254.5,fixation
13:32:41.9995,265.7,254.7,fixation
13:32:42.,264.7,255.3,fixation
13:32:42.0005,263.9,255.8,fixation
13:32:42.0010,263.6,256.4,fixation
13:32:42.0015,264.1,254.4,fixation
13:32:42.002,265.3,252.2,fixation
13:32:42.0025,266.1,250.0,fixation
13:32:42.003,267.1,250.1,fixation
13:32:42.0035,267.4,250.1,fixation
13:32:42.0040,267.2,250.1,fixation
13:32:42.0045,266.6,250.1,fixation
13:32:42.005,265.5,250.1,fixation
13:32:42.0055,264.8,250.0,fixation
13:32:42.006,263.8,250.0,fixation
13:32:42.0065,263.4,249.8,fixation
13:32:42.0070,263.5,249.8,fixation
13:32:42.0075,264.7,249.3,fixation
13:32:42.008,265.9,248.9,fixation
13:32:42.0085,265.2,250.4,fixation
13:32:42.009,263.7,252.3,fixation
13:32:42.0095,262.5,254.4,fixation
13:32:42.0100,263.5,254.6,fixation
13:32:42.0105,264.5,253.2,fixation
13:32:42.011,265.1,251.6,fixation
13:32:42.0115,264.9,250.0,fixation
13:32:42.012,265.2,250.1,fixation
13:32:42.0125,265.7,250.2,fixation
13:32:42.0130,265.7,249.9,fixation
13:32:42.0135,264.6,249.5,fixation
13:32:42.014,263.6,249.2,fixation
13:32:42.0145,264.3,249.6,fixation
13:32:42.015,265.4,250.1,fixation
13:32:42.0155,266.1,250.5,fixation
13:32:42.0160,265.5,250.7,fixation
13:32:42.0165,265.0,250.9,fixation
13:32:42.017,266.2,251.0,fixation
13:32:42.0175,267.5,252.0,fixation
13:32:42.018,268.3,253.1,fixation
13:32:42.0185,267.8,253.5,fixation
13:32:42.0190,267.4,252.9,fixation
13:32:42.0195,267.4,252.2,fixation
13:32:42.02,267.2,252.1,fixation
13:32:42.0205,266.8,252.3,fixation
13:32:42.021,266.3,252.4,fixation
13:32:42.0215,266.0,252.5,fixation
13:32:42.0220,265.8,252.2,fixation
13:32:42.0225,266.0,250.8,fixation
13:32:42.023,266.7,249.5,fixation
13:32:42.0235,267.4,248.4,fixation
13:32:42.024,267.7,248.3,fixation
13:32:42.0245,268.6,247.0,fixation
13:32:42.0250,269.5,245.8,fixation
13:32:42.0255,269.5,245.7,fixation
13:32:42.026,266.8,246.7,fixation
13:32:42.0265,264.1,248.0,fixation
13:32:42.027,263.6,248.3,fixation
13:32:42.0275,264.8,247.9,fixation
13:32:42.0280,266.1,247.3,fixation
13:32:42.0285,265.6,248.0,fixation
13:32:42.029,265.2,249.3,fixation
13:32:42.0295,265.4,250.6,fixation
13:32:42.03,266.0,250.5,fixation
13:32:42.0305,265.9,250.4,fixation
13:32:42.0310,265.1,250.2,fixation
13:32:42.0315,264.1,250.1,fixation
13:32:42.0320,263.9,250.0,fixation
13:32:42.0325,263.9,249.9,fixation
13:32:42.033,264.1,249.8,fixation
13:32:42.0335,264.2,250.3,fixation
13:32:42.034,264.2,251.0,fixation
13:32:42.0345,265.0,251.1,fixation
13:32:42.0350,265.5,249.6,fixation
13:32:42.0355,266.1,248.1,fixation
13:32:42.036,265.8,248.1,fixation
13:32:42.0365,266.0,249.1,fixation
13:32:42.037,266.2,250.0,fixation
13:32:42.0375,267.0,248.4,fixation
13:32:42.0380,267.6,246.7,fixation
13:32:42.0385,267.1,245.1,fixation
13:32:42.039,266.0,244.7,fixation
13:32:42.0395,264.7,244.4,fixation
13:32:42.04,264.2,244.6,fixation
13:32:42.0405,263.4,245.4,fixation
13:32:42.0410,262.8,247.1,fixation
13:32:42.0415,263.4,248.0,fixation
13:32:42.042,264.3,248.3,fixation
13:32:42.0425,265.3,247.7,fixation
13:32:42.043,265.3,247.5,fixation
13:32:42.0435,265.3,248.1,fixation
13:32:42.0440,265.3,248.8,fixation
13:32:42.0445,265.2,249.5,fixation
13:32:42.045,265.2,249.5,fixation
13:32:42.0455,265.0,249.4,fixation
13:32:42.046,264.9,249.4,fixation
13:32:42.0465,265.7,249.5,fixation
13:32:42.0470,266.6,250.0,fixation
13:32:42.0475,267.3,250.4,fixation
13:32:42.048,266.8,250.5,fixation
13:32:42.0485,264.7,250.7,fixation
13:32:42.049,263.0,251.2,fixation
13:32:42.0495,261.5,251.7,fixation
13:32:42.0500,263.0,252.4,fixation
13:32:42.0505,264.5,252.7,fixation
13:32:42.051,265.6,252.5,fixation
13:32:42.0515,265.1,252.1,fixation
13:32:42.052,264.7,251.7,fixation
13:32:42.0525,264.8,250.7,fixation
13:32:42.0530,264.8,249.4,fixation
13:32:42.0535,265.1,248.2,fixation
13:32:42.054,265.2,248.8,fixation
13:32:42.0545,264.8,249.4,fixation
13:32:42.055,264.1,250.2,fixation
13:32:42.0555,263.7,250.7,fixation
13:32:42.0560,263.8,251.2,fixation
13:32:42.0565,263.7,251.4,fixation
13:32:42.057,263.4,251.4,fixation
13:32:42.0575,263.1,252.8,fixation
13:32:42.058,263.3,254.1,fixation
13:32:42.0585,263.6,253.6,fixation
13:32:42.0590,263.9,250.9,fixation
13:32:42.0595,264.2,247.8,fixation
13:32:42.06,264.2,246.7,fixation
13:32:42.0605,264.4,246.7,fixation
13:32:42.061,264.5,247.8,fixation
13:32:42.0615,264.4,249.3,fixation
13:32:42.0620,264.2,250.3,fixation
13:32:42.0625,264.3,250.7,fixation
13:32:42.063,264.5,250.4,fixation
13:32:42.0635,263.8,249.9,fixation
13:32:42.064,262.9,249.4,fixation
13:32:42.0645,263.0,249.2,fixation
13:32:42.0650,264.2,249.1,fixation
13:32:42.0655,264.8,248.8,fixation
13:32:42.066,264.4,248.4,fixation
13:32:42.0665,264.2,248.2,fixation
13:32:42.067,264.6,248.5,fixation
13:32:42.0675,264.0,249.2,fixation
13:32:42.0680,263.5,249.9,fixation
13:32:42.0685,262.9,249.8,fixation
13:32:42.069,263.2,249.1,fixation
13:32:42.0695,262.7,248.3,fixation
13:32:42.07,262.3,249.1,fixation
13:32:42.0705,263.1,250.3,fixation
13:32:42.0710,264.4,250.7,fixation
13:32:42.0715,265.8,249.9,fixation
13:32:42.072,265.9,249.1,fixation
13:32:42.0725,265.5,249.3,fixation
13:32:42.073,265.3,249.2,fixation
13:32:42.0735,265.1,248.7,fixation
13:32:42.0740,265.3,247.9,fixation
13:32:42.0745,265.3,247.4,fixation
13:32:42.075,264.3,247.9,fixation
13:32:42.0755,263.4,248.8,fixation
13:32:42.076,262.3,249.6,fixation
13:32:42.0765,262.2,249.6,fixation
13:32:42.0770,262.1,249.6,fixation
13:32:42.0775,261.9,250.9,fixation
13:32:42.078,261.8,252.3,fixation
13:32:42.0785,262.9,252.6,fixation
13:32:42.079,264.1,251.5,fixation
13:32:42.0795,265.6,250.2,fixation
13:32:42.0800,265.9,249.7,fixation
13:32:42.0805,265.9,249.1,fixation
13:32:42.081,265.6,248.7,fixation
13:32:42.0815,265.2,248.5,fixation
13:32:42.082,264.4,249.6,fixation
13:32:42.0825,263.8,250.8,fixation
13:32:42.0830,263.2,252.2,fixation
13:32:42.0835,263.7,252.3,fixation
13:32:42.084,263.9,252.4,fixation
13:32:42.0845,264.2,252.9,fixation
13:32:42.085,264.0,253.6,fixation
13:32:42.0855,264.1,254.4,fixation
13:32:42.0860,264.3,254.7,fixation
13:32:42.0865,264.6,254.7,fixation
13:32:42.087,264.7,254.8,fixation
13:32:42.0875,264.7,254.8,fixation
13:32:42.088,264.4,254.8,fixation
13:32:42.0885,264.0,253.6,fixation
13:32:42.0890,263.7,252.4,fixation
13:32:42.0895,263.6,251.1,fixation
13:32:42.09,262.6,251.1,fixation
13:32:42.0905,262.1,252.0,fixation
13:32:42.091,261.7,252.8,fixation
13:32:42.0915,262.3,253.8,fixation
13:32:42.0920,262.3,253.2,fixation
13:32:42.0925,262.1,252.7,fixation
13:32:42.093,261.8,253.4,fixation
13:32:42.0935,261.5,254.8,fixation
13:32:42.094,262.1,254.7,fixation
13:32:42.0945,262.9,253.3,fixation
13:32:42.095,263.6,252.3,fixation
13:32:42.0955,263.6,253.1,fixation
13:32:42.0960,263.5,254.5,fixation
13:32:42.0965,263.5,255.6,fixation
13:32:42.097,263.7,256.1,fixation
13:32:42.0975,264.0,255.9,fixation
13:32:42.098,263.9,255.8,fixation
13:32:42.0985,263.3,255.9,fixation
13:32:42.0990,262.7,254.8,fixation
13:32:42.0995,262.2,253.8,fixation
13:32:42.1,261.9,252.9,fixation
13:32:42.1005,261.7,253.1,fixation
13:32:42.101,261.8,253.0,fixation
13:32:42.1015,262.3,252.9,fixation
13:32:42.1020,262.6,253.9,fixation
13:32:42.1025,262.8,255.7,fixation
13:32:42.103,262.7,257.5,fixation
13:32:42.1035,262.7,257.8,fixation
13:32:42.104,263.9,258.1,fixation
13:32:42.1045,265.2,258.4,fixation
13:32:42.1050,264.0,258.8,fixation
13:32:42.1055,261.5,258.2,fixation
13:32:42.106,259.0,256.8,fixation
13:32:42.1065,260.3,256.1,fixation
13:32:42.107,261.5,255.8,fixation
13:32:42.1075,263.0,256.4,fixation
13:32:42.1080,263.9,255.1,fixation
13:32:42.1085,264.9,253.6,fixation
13:32:42.109,263.9,252.0,fixation
13:32:42.1095,262.0,251.9,fixation
13:32:42.11,261.9,251.8,fixation
13:32:42.1105,263.6,251.5,fixation
13:32:42.1110,265.1,251.3,fixation
13:32:42.1115,264.4,251.1,fixation
13:32:42.112,263.5,251.1,fixation
13:32:42.1125,262.5,251.8,fixation
13:32:42.113,262.3,253.7,fixation
13:32:42.1135,262.2,255.6,fixation
13:32:42.1140,262.2,255.6,fixation
13:32:42.1145,262.3,254.4,fixation
13:32:42.115,262.3,253.2,fixation
13:32:42.1155,262.3,253.1,fixation
13:32:42.116,262.1,253.0,fixation
13:32:42.1165,261.9,252.9,fixation
13:32:42.1170,261.8,253.0,fixation
13:32:42.1175,261.9,253.1,fixation
13:32:42.118,262.0,253.2,fixation
13:32:42.1185,262.3,253.3,fixation
13:32:42.119,262.4,253.2,fixation
13:32:42.1195,262.6,253.1,fixation
13:32:42.1200,263.6,252.9,fixation
13:32:42.1205,264.7,252.5,fixation
13:32:42.121,265.5,252.2,fixation
13:32:42.1215,265.2,251.9,fixation
13:32:42.122,264.8,251.8,fixation
13:32:42.1225,264.5,251.9,fixation
13:32:42.1230,263.5,252.2,fixation
13:32:42.1235,262.5,252.5,fixation
13:32:42.124,261.5,252.7,fixation
13:32:42.1245,262.1,250.6,fixation
13:32:42.125,262.8,248.7,fixation
13:32:42.1255,263.3,246.9,fixation
13:32:42.1260,263.2,247.5,fixation
13:32:42.1265,263.5,249.1,fixation
13:32:42.127,264.0,250.6,fixation
13:32:42.1275,264.6,250.9,fixation
13:32:42.128,264.8,249.8,fixation
13:32:42.1285,264.9,248.9,fixation
13:32:42.1290,264.9,249.0,fixation
13:32:42.1295,264.6,249.8,fixation
13:32:42.13,264.4,250.6,fixation
13:32:42.1305,264.0,250.8,fixation
13:32:42.131,263.7,250.2,fixation
13:32:42.1315,263.5,249.7,fixation
13:32:42.1320,262.8,249.1,fixation
13:32:42.1325,262.5,248.5,fixation
13:32:42.133,262.3,248.7,fixation
13:32:42.1335,262.3,249.4,fixation
13:32:42.134,262.0,250.1,fixation
13:32:42.1345,263.4,250.2,fixation
13:32:42.1350,265.2,250.4,fixation
13:32:42.1355,266.1,250.6,fixation
13:32:42.136,265.4,250.6,fixation
13:32:42.1365,264.7,249.3,fixation
13:32:42.137,264.8,248.0,fixation
13:32:42.1375,265.1,247.1,fixation
13:32:42.1380,265.1,247.7,fixation
13:32:42.1385,265.0,248.7,fixation
13:32:42.139,264.7,249.4,fixation
13:32:42.1395,264.7,250.3,fixation
13:32:42.14,264.7,250.8,fixation
13:32:42.1405,264.6,251.3,fixation
13:32:42.1410,264.4,251.2,fixation
13:32:42.1415,263.9,250.7,fixation
13:32:42.142,263.4,250.0,fixation
13:32:42.1425,262.8,248.9,fixation
13:32:42.143,262.9,248.3,fixation
13:32:42.1435,262.9,248.9,fixation
13:32:42.1440,263.4,249.8,fixation
