TimeStamp,X,Y,Event
11:39:03.9801,610.6,491.3,saccade
11:39:3.98060,611.0,490.9,saccade
11:39:3.9811,611.3,490.1,saccade
11:39:3.98160,611.3,489.8,saccade
11:39:3.9821,611.0,491.4,saccade
11:39:3.9826,610.8,493.0,saccade
11:39:3.98310,610.8,492.8,saccade
11:39:3.9836,611.0,491.6,saccade
11:39:3.9841,610.1,492.0,saccade
11:39:3.98460,609.1,493.5,saccade
11:39:3.9851,608.1,495.1,saccade
11:39:3.98560,607.6,495.3,saccade
11:39:3.9861,607.4,493.5,saccade
11:39:3.9866,606.9,491.6,saccade
11:39:3.98710,606.6,486.1,saccade
11:39:3.9876,606.0,482.5,saccade
11:39:3.9881,605.6,478.9,saccade
11:39:3.98860,605.8,476.2,saccade
11:39:3.9891,605.8,473.0,saccade
11:39:3.98960,606.1,466.1,saccade
11:39:3.9901,606.5,458.6,saccade
11:39:3.9906,607.3,451.6,saccade
11:39:3.99110,607.8,448.1,saccade
11:39:3.9916,607.8,443.0,saccade
11:39:3.9921,608.0,435.7,saccade
11:39:3.99260,608.5,427.2,saccade
11:39:3.9931,608.9,423.7,saccade
11:39:3.99360,609.0,418.2,saccade
11:39:3.9941,609.1,411.6,saccade
11:39:3.9946,609.5,401.6,saccade
11:39:3.99510,610.0,395.8,saccade
11:39:3.9956,610.7,387.7,saccade
11:39:3.9961,611.0,381.8,saccade
11:39:3.99660,611.6,373.0,saccade
11:39:3.9971,611.9,365.3,saccade
11:39:3.99760,612.5,358.1,saccade
11:39:3.9981,612.9,352.5,saccade
11:39:3.9986,613.3,349.9,saccade
11:39:3.99910,613.5,342.7,saccade
11:39:3.9996,612.8,336.1,saccade
11:39:4.0001,612.2,328.5,saccade
11:39:4.00059,612.1,322.7,saccade
11:39:4.00109,612.8,316.7,saccade
11:39:4.00158,612.7,308.7,saccade
11:39:4.00207,612.5,302.7,saccade
11:39:4.00256,612.3,296.2,saccade
11:39:4.00306,613.0,290.1,saccade
11:39:4.00355,613.5,285.0,saccade
11:39:4.00404,614.0,280.8,saccade
11:39:4.00453,614.5,279.5,saccade
11:39:4.00503,615.0,278.1,saccade
11:39:4.00552,615.7,276.2,saccade
11:39:4.00601,616.0,274.4,saccade
11:39:4.00651,616.8,270.4,saccade
11:39:4.00700,617.5,266.3,saccade
11:39:4.00749,618.5,260.4,saccade
11:39:4.00798,619.1,256.8,saccade
11:39:4.00848,619.9,251.0,saccade
11:39:4.00897,620.4,247.1,saccade
11:39:4.00946,620.5,241.8,saccade
11:39:4.00995,620.6,238.1,saccade
