TimeStamp,X,Y,Event
12:52:00.3907,393.5,327.3,saccade
12:52:0.3912,393.6,330.7,saccade
12:52:0.3917,392.7,333.8,saccade
12:52:0.3922,392.1,337.6,saccade
12:52:0.3927,391.8,338.7,saccade
12:52:0.3932,392.0,337.2,saccade
12:52:0.3937,390.1,333.3,saccade
12:52:0.3942,388.1,329.4,saccade
12:52:0.3947,386.1,328.2,saccade
12:52:0.3952,383.5,326.0,saccade
12:52:0.3957,379.0,323.8,saccade
12:52:0.3962,374.6,321.6,saccade
12:52:0.3967,372.7,322.4,saccade
12:52:0.3972,372.4,323.2,saccade
12:52:0.3977,371.5,324.0,saccade
12:52:0.3982,370.6,320.4,saccade
12:52:0.3987,367.4,316.9,saccade
12:52:0.3992,364.7,313.4,saccade
12:52:0.3997,361.0,313.7,saccade
12:52:0.4002,359.5,314.3,saccade
12:52:0.4007,357.7,315.3,saccade
12:52:0.4012,353.6,316.4,saccade
12:52:0.4017,349.3,315.2,saccade
12:52:0.4022,345.3,313.6,saccade
12:52:0.4027,343.7,312.6,saccade
12:52:0.4032,342.3,313.5,saccade
12:52:0.4037,340.5,311.1,saccade
12:52:0.4042,339.0,308.0,saccade
12:52:0.4047,335.6,304.9,saccade
12:52:0.4052,332.5,305.0,saccade
12:52:0.4057,330.9,305.2,saccade
12:52:0.4062,331.2,305.3,saccade
12:52:0.4067,331.1,305.5,saccade
12:52:0.4072,330.4,304.4,saccade
12:52:0.4077,326.5,302.4,saccade
12:52:0.4082,322.9,300.9,saccade
12:52:0.4087,319.6,300.4,saccade
12:52:0.4092,318.7,300.2,saccade
12:52:0.4097,315.7,299.6,saccade
12:52:0.4102,312.6,299.0,saccade
12:52:0.4107,310.6,299.1,saccade
12:52:0.4112,310.9,299.0,saccade
12:52:0.4117,309.2,295.9,saccade
12:52:0.4122,307.2,292.8,saccade
12:52:0.4127,305.2,291.1,saccade
12:52:0.4132,306.6,296.5,saccade
12:52:0.4137,308.2,300.6,saccade
12:52:0.4142,308.8,302.0,saccade
12:52:0.4147,308.6,299.2,saccade
12:52:0.4152,308.2,299.0,saccade
12:52:0.4157,307.6,300.1,saccade
12:52:0.4162,305.0,301.0,fixation
12:52:0.4167,304.6,300.6,fixation
12:52:0.4172,302.6,299.6,fixation
12:52:0.4177,300.9,298.4,fixation
12:52:0.4182,299.3,297.4,fixation
12:52:0.4187,299.2,297.2,fixation
12:52:0.4192,299.2,297.5,fixation
12:52:0.4197,300.6,299.7,fixation
12:52:0.4202,302.0,301.9,fixation
12:52:0.4207,302.9,304.1,fixation
12:52:0.4212,302.4,304.9,fixation
12:52:0.4217,302.8,305.6,fixation
12:52:0.4222,303.9,302.5,fixation
12:52:0.4227,305.4,299.3,fixation
12:52:0.4232,306.0,296.4,fixation
12:52:0.4237,305.0,296.9,fixation
12:52:0.4242,303.6,297.9,fixation
12:52:0.4247,303.1,298.5,fixation
12:52:0.4252,304.2,299.0,fixation
12:52:0.4257,305.4,298.9,fixation
12:52:0.4262,305.4,297.1,fixation
12:52:0.4267,305.1,295.9,fixation
12:52:0.4272,304.9,295.2,fixation
12:52:0.4277,304.9,296.4,fixation
12:52:0.4282,304.2,294.9,fixation
12:52:0.4287,303.4,292.7,fixation
12:52:0.4292,303.5,290.5,fixation
12:52:0.4297,304.0,292.7,fixation
12:52:0.4302,304.4,294.7,fixation
12:52:0.4307,304.9,296.6,fixation
12:52:0.4312,305.8,295.8,fixation
12:52:0.43170,305.6,295.2,fixation
12:52:0.4322,304.5,295.0,fixation
12:52:0.4327,303.8,294.2,fixation
12:52:0.4332,304.1,293.3,fixation
12:52:0.4337,304.3,295.1,fixation
12:52:0.4342,303.9,296.9,fixation
12:52:0.4347,303.6,298.7,fixation
12:52:0.4352,304.5,298.1,fixation
12:52:0.4357,305.5,298.5,fixation
12:52:0.4362,306.4,298.9,fixation
12:52:0.4367,306.2,299.1,fixation
12:52:0.4372,305.5,300.2,fixation
12:52:0.4377,304.9,301.3,fixation
12:52:0.4382,303.2,302.7,fixation
12:52:0.4387,301.8,303.1,fixation
12:52:0.4392,300.4,301.4,fixation
12:52:0.4397,299.7,299.3,fixation
12:52:0.4402,299.1,297.2,fixation
12:52:0.4407,298.8,298.6,fixation
12:52:0.4412,299.1,299.9,fixation
12:52:0.4417,299.4,301.6,fixation
12:52:0.4422,299.5,301.9,fixation
12:52:0.4427,299.3,302.3,fixation
12:52:0.4432,299.1,302.3,fixation
12:52:0.4437,299.1,298.9,fixation
12:52:0.4442,299.2,295.6,fixation
12:52:0.4447,299.3,292.6,fixation
12:52:0.4452,299.6,293.2,fixation
12:52:0.4457,300.2,295.3,fixation
12:52:0.4462,300.6,296.1,fixation
12:52:0.4467,300.7,296.8,fixation
12:52:0.4472,301.9,295.9,fixation
12:52:0.4477,303.9,295.9,fixation
12:52:0.4482,305.9,294.9,fixation
12:52:0.4487,305.0,294.1,fixation
12:52:0.4492,303.3,296.5,fixation
12:52:0.4497,301.2,299.8,fixation
12:52:0.4502,300.8,302.5,fixation
12:52:0.4507,300.2,302.0,fixation
12:52:0.4512,300.0,301.5,fixation
12:52:0.4517,300.0,301.6,fixation
12:52:0.4522,299.9,301.6,fixation
12:52:0.4527,299.6,299.4,fixation
12:52:0.4532,298.9,297.1,fixation
12:52:0.4537,298.7,294.7,fixation
12:52:0.4542,298.8,293.9,fixation
12:52:0.4547,298.9,293.1,fixation
12:52:0.4552,299.9,294.5,fixation
12:52:0.4557,301.3,297.1,fixation
12:52:0.4562,302.9,299.6,fixation
12:52:0.4567,303.7,297.9,fixation
12:52:0.4572,303.8,295.8,fixation
12:52:0.4577,303.4,293.8,fixation
12:52:0.4582,302.9,293.7,fixation
12:52:0.4587,302.4,294.2,fixation
12:52:0.4592,302.3,294.8,fixation
12:52:0.4597,302.2,295.8,fixation
12:52:0.4602,302.1,296.4,fixation
12:52:0.4607,301.9,299.4,fixation
12:52:0.4612,301.8,302.2,fixation
12:52:0.4617,301.0,304.8,fixation
12:52:0.4622,300.4,305.0,fixation
12:52:0.4627,300.2,304.9,fixation
12:52:0.4632,300.8,304.5,fixation
12:52:0.4637,302.0,302.2,fixation
12:52:0.4642,303.2,300.2,fixation
12:52:0.4647,304.1,301.1,fixation
12:52:0.4652,304.5,302.7,fixation
12:52:0.4657,304.8,303.5,fixation
12:52:0.4662,305.1,301.2,fixation
12:52:0.4667,304.9,299.9,fixation
12:52:0.4672,304.1,300.5,fixation
12:52:0.4677,303.2,302.2,fixation
12:52:0.4682,303.3,303.8,fixation
12:52:0.4687,303.8,304.5,fixation
12:52:0.4692,304.5,304.6,fixation
12:52:0.4697,304.7,303.2,fixation
12:52:0.4702,305.1,301.7,fixation
12:52:0.4707,305.4,300.1,fixation
12:52:0.4712,304.5,300.5,fixation
12:52:0.4717,303.4,301.0,fixation
12:52:0.4722,302.4,301.3,fixation
12:52:0.4727,302.9,300.9,fixation
12:52:0.4732,303.4,300.6,fixation
12:52:0.4737,303.8,300.4,fixation
12:52:0.4742,303.5,300.2,fixation
12:52:0.4747,303.3,299.9,fixation
12:52:0.4752,303.2,299.5,fixation
12:52:0.4757,301.9,298.9,fixation
12:52:0.4762,300.6,298.5,fixation
12:52:0.4767,299.2,298.2,fixation
12:52:0.4772,299.2,298.4,fixation
12:52:0.4777,299.2,298.6,fixation
12:52:0.4782,299.3,298.6,fixation
12:52:0.4787,299.6,298.5,fixation
12:52:0.4792,300.8,298.1,fixation
12:52:0.4797,302.0,297.4,fixation
12:52:0.4802,303.3,297.4,fixation
12:52:0.4807,303.4,297.8,fixation
12:52:0.4812,303.6,297.0,fixation
12:52:0.4817,303.6,295.6,fixation
12:52:0.4822,303.3,294.0,fixation
12:52:0.4827,303.0,293.8,fixation
12:52:0.4832,302.8,294.4,fixation
12:52:0.4837,303.0,295.1,fixation
12:52:0.4842,303.3,295.9,fixation
12:52:0.4847,304.6,295.6,fixation
12:52:0.4852,306.9,294.7,fixation
12:52:0.4857,309.0,293.5,fixation
12:52:0.4862,309.1,294.4,fixation
12:52:0.4867,307.9,295.2,fixation
12:52:0.4872,306.7,295.5,fixation
12:52:0.4877,307.0,294.3,fixation
12:52:0.4882,307.8,296.6,fixation
12:52:0.4887,308.1,299.5,fixation
12:52:0.4892,307.6,301.7,fixation
12:52:0.4897,306.8,301.1,fixation
12:52:0.4902,306.5,300.5,fixation
12:52:0.4907,306.3,300.2,fixation
12:52:0.4912,305.7,299.9,fixation
12:52:0.4917,305.2,299.6,fixation
12:52:0.4922,305.1,295.5,fixation
