TimeStamp,X,Y,Event
09:26:02.2915,571.0,251.5,fixation
9:26:2.292000,571.1,251.9,fixation
9:26:2.2925,571.4,252.9,fixation
9:26:2.293,572.1,253.5,fixation
9:26:2.293500,572.7,254.0,fixation
9:26:2.294,573.6,254.0,fixation
9:26:2.2945,574.0,254.2,fixation
9:26:2.295000,574.3,254.5,fixation
9:26:2.2955,574.2,254.8,fixation
9:26:2.296000,574.5,255.0,fixation
9:26:2.2965,575.0,254.2,fixation
9:26:2.297,574.7,253.4,fixation
9:26:2.297500,574.0,252.8,fixation
9:26:2.298,573.1,253.3,fixation
9:26:2.2985,572.6,253.9,fixation
9:26:2.299000,571.9,254.4,fixation
9:26:2.2995,571.2,255.1,fixation
9:26:2.300000,571.0,255.5,fixation
9:26:2.3005,571.0,255.7,fixation
9:26:2.301,570.8,255.6,fixation
9:26:2.301500,570.5,255.7,fixation
9:26:2.302,570.2,255.9,fixation
9:26:2.3025,570.5,256.2,fixation
9:26:2.303000,571.0,256.7,fixation
9:26:2.3035,571.3,257.3,fixation
9:26:2.304000,571.1,257.7,fixation
9:26:2.3045,570.9,256.6,fixation
9:26:2.305,570.9,255.4,fixation
9:26:2.305500,570.6,254.3,fixation
9:26:2.306,570.2,254.7,fixation
9:26:2.3065,570.5,256.2,fixation
9:26:2.307000,571.2,257.7,fixation
9:26:2.3075,571.5,258.5,fixation
9:26:2.308000,571.1,258.0,fixation
9:26:2.3085,571.0,257.3,fixation
9:26:2.309,571.4,256.8,fixation
9:26:2.309500,571.8,257.4,fixation
9:26:2.31,572.1,258.3,fixation
9:26:2.3105,572.4,258.9,fixation
9:26:2.311000,572.3,258.4,fixation
9:26:2.3115,571.6,257.8,fixation
9:26:2.312000,570.9,257.2,fixation
9:26:2.3125,570.5,256.9,fixation
9:26:2.313,570.5,256.7,fixation
9:26:2.313500,570.9,256.8,fixation
9:26:2.314,571.3,257.6,fixation
9:26:2.314500,571.7,258.3,fixation
9:26:2.315,571.5,259.0,fixation
9:26:2.3155,571.1,259.1,fixation
9:26:2.316000,570.9,258.8,fixation
9:26:2.3165,571.0,257.3,fixation
9:26:2.317,571.2,255.8,fixation
9:26:2.317500,571.3,255.3,fixation
9:26:2.318,571.0,256.3,fixation
9:26:2.318500,570.6,257.2,fixation
9:26:2.319,570.2,257.5,fixation
9:26:2.3195,570.2,258.1,fixation
9:26:2.320000,570.2,258.7,fixation
9:26:2.3205,570.2,259.3,fixation
9:26:2.321,570.1,259.3,fixation
9:26:2.321500,570.0,259.3,fixation
9:26:2.322,569.9,259.3,fixation
9:26:2.322500,570.0,259.6,fixation
9:26:2.323,569.5,259.7,fixation
9:26:2.3235,569.1,258.6,fixation
9:26:2.324000,568.8,257.3,fixation
9:26:2.3245,568.9,256.5,fixation
9:26:2.325,568.8,257.1,fixation
9:26:2.325500,568.7,257.8,fixation
9:26:2.326,568.7,258.0,fixation
9:26:2.326500,568.8,257.9,fixation
9:26:2.327,568.9,257.3,fixation
9:26:2.3275,569.0,256.6,fixation
9:26:2.328000,568.8,256.2,fixation
9:26:2.3285,568.4,256.1,fixation
9:26:2.329,568.0,256.0,fixation
9:26:2.329500,567.9,256.0,fixation
9:26:2.33,568.1,255.9,fixation
9:26:2.330500,568.4,255.7,fixation
9:26:2.331,568.6,255.6,fixation
9:26:2.3315,568.5,255.7,fixation
9:26:2.332000,568.0,256.0,fixation
9:26:2.3325,567.4,256.3,fixation
9:26:2.333,566.9,256.5,fixation
9:26:2.333500,566.8,256.7,fixation
9:26:2.334,566.8,256.8,fixation
9:26:2.334500,567.7,256.5,fixation
9:26:2.335,568.6,256.1,fixation
9:26:2.3355,569.4,255.5,fixation
9:26:2.336000,569.2,255.4,fixation
9:26:2.3365,568.7,255.2,fixation
9:26:2.337,567.9,255.1,fixation
9:26:2.337500,567.0,255.2,fixation
9:26:2.338,566.4,255.4,fixation
9:26:2.338500,566.6,255.7,fixation
9:26:2.339,566.7,256.5,fixation
9:26:2.3395,566.8,257.4,fixation
9:26:2.340000,566.5,258.0,fixation
9:26:2.3405,566.5,257.9,fixation
9:26:2.341,566.3,258.7,fixation
9:26:2.341500,566.1,259.7,fixation
9:26:2.342,566.1,259.9,fixation
9:26:2.342500,565.7,259.1,fixation
9:26:2.343,565.3,258.3,fixation
9:26:2.3435,564.7,258.1,fixation
9:26:2.344000,564.5,257.9,fixation
9:26:2.3445,564.4,257.5,fixation
9:26:2.345,564.3,257.3,fixation
9:26:2.345500,564.2,257.2,fixation
9:26:2.346,564.1,257.5,fixation
9:26:2.346500,564.3,258.1,fixation
9:26:2.347,564.4,258.5,fixation
9:26:2.3475,564.7,258.4,fixation
9:26:2.348000,564.7,257.7,fixation
9:26:2.3485,565.2,257.0,fixation
9:26:2.349,565.8,256.3,fixation
9:26:2.349500,566.2,255.8,fixation
9:26:2.35,566.2,256.1,fixation
9:26:2.350500,565.9,256.5,fixation
9:26:2.351,565.8,256.6,fixation
9:26:2.3515,565.8,255.9,fixation
9:26:2.352000,565.7,255.7,fixation
9:26:2.3525,565.3,255.6,fixation
9:26:2.353,564.9,255.6,fixation
9:26:2.353500,564.6,255.6,fixation
9:26:2.354,564.5,256.1,fixation
9:26:2.354500,564.4,256.6,fixation
9:26:2.355,564.2,257.3,fixation
9:26:2.3555,564.1,257.9,fixation
9:26:2.356000,563.8,258.4,fixation
9:26:2.3565,563.5,258.3,fixation
9:26:2.357,563.2,258.1,fixation
9:26:2.357500,563.2,258.0,fixation
9:26:2.358,563.1,258.2,fixation
9:26:2.358500,563.0,258.3,fixation
9:26:2.359,563.0,257.9,fixation
9:26:2.3595,563.0,257.4,fixation
9:26:2.360000,563.4,257.0,fixation
9:26:2.3605,563.6,258.0,fixation
9:26:2.361,563.8,259.1,fixation
9:26:2.361500,563.6,260.4,fixation
9:26:2.362,563.4,260.6,fixation
9:26:2.362500,563.7,258.4,fixation
9:26:2.363,564.1,255.9,fixation
9:26:2.3635,564.6,254.1,fixation
9:26:2.364000,564.7,254.6,fixation
9:26:2.3645,564.7,255.1,fixation
9:26:2.365,564.7,255.5,fixation
9:26:2.365500,564.5,256.0,fixation
9:26:2.366,564.3,256.2,fixation
9:26:2.366500,564.2,256.0,fixation
9:26:2.367,563.8,256.3,fixation
9:26:2.3675,563.5,256.9,fixation
9:26:2.368000,563.2,257.7,fixation
9:26:2.3685,563.2,257.8,fixation
9:26:2.369,563.1,257.8,fixation
9:26:2.369500,562.7,257.8,fixation
9:26:2.37,562.2,258.1,fixation
9:26:2.370500,561.5,258.6,fixation
9:26:2.371,561.4,258.6,fixation
9:26:2.3715,561.1,257.8,fixation
9:26:2.372000,561.1,257.0,fixation
9:26:2.3725,561.4,257.0,fixation
