TimeStamp,X,Y,Event
11:50:45.0250,.,.,blink
11:50:45.0255,.,.,blink
11:50:45.026,.,.,blink
11:50:45.0265,.,.,blink
11:50:45.027,.,.,blink
11:50:45.0275,.,.,blink
11:50:45.0280,.,.,blink
11:50:45.0285,.,.,blink
11:50:45.029,.,.,blink
11:50:45.0295,.,.,blink
11:50:45.03,.,.,blink
11:50:45.0305,.,.,blink
11:50:45.0310,.,.,blink
11:50:45.0315,.,.,blink
11:50:45.0320,.,.,blink
11:50:45.0325,.,.,blink
11:50:45.033,.,.,blink
11:50:45.0335,.,.,blink
11:50:45.034,.,.,blink
11:50:45.0345,.,.,blink
11:50:45.0350,.,.,blink
11:50:45.0355,.,.,blink
11:50:45.036,.,.,blink
11:50:45.0365,.,.,blink
11:50:45.037,.,.,blink
11:50:45.0375,.,.,blink
11:50:45.0380,.,.,blink
11:50:45.0385,.,.,blink
11:50:45.039,.,.,blink
11:50:45.0395,.,.,blink
11:50:45.04,.,.,blink
11:50:45.0405,.,.,blink
11:50:45.0410,.,.,blink
11:50:45.0415,.,.,blink
11:50:45.042,.,.,blink
11:50:45.0425,.,.,blink
11:50:45.043,.,.,blink
11:50:45.0435,.,.,blink
11:50:45.0440,.,.,blink
11:50:45.0445,.,.,blink
11:50:45.045,.,.,blink
11:50:45.0455,.,.,blink
11:50:45.046,.,.,blink
11:50:45.0465,.,.,blink
11:50:45.0470,.,.,blink
11:50:45.0475,.,.,blink
11:50:45.048,.,.,blink
11:50:45.0485,.,.,blink
11:50:45.049,.,.,blink
11:50:45.0495,.,.,blink
11:50:45.0500,.,.,blink
11:50:45.0505,.,.,blink
11:50:45.051,.,.,blink
11:50:45.0515,.,.,blink
11:50:45.052,.,.,blink
11:50:45.0525,.,.,blink
11:50:45.0530,.,.,blink
11:50:45.0535,.,.,blink
11:50:45.054,.,.,blink
11:50:45.0545,.,.,blink
11:50:45.055,.,.,blink
11:50:45.0555,.,.,blink
11:50:45.0560,.,.,blink
11:50:45.0565,.,.,blink
11:50:45.057,.,.,blink
11:50:45.0575,.,.,blink
11:50:45.058,.,.,blink
11:50:45.0585,.,.,blink
11:50:45.0590,.,.,blink
11:50:45.0595,.,.,blink
11:50:45.06,.,.,blink
11:50:45.0605,.,.,blink
11:50:45.061,.,.,blink
11:50:45.0615,.,.,blink
11:50:45.0620,.,.,blink
11:50:45.0625,.,.,blink
11:50:45.063,.,.,blink
11:50:45.0635,.,.,blink
11:50:45.064,.,.,blink
11:50:45.0645,.,.,blink
11:50:45.0650,.,.,blink
11:50:45.0655,.,.,blink
11:50:45.066,.,.,blink
11:50:45.0665,.,.,blink
11:50:45.067,.,.,blink
11:50:45.0675,.,.,blink
11:50:45.0680,.,.,blink
11:50:45.0685,.,.,blink
11:50:45.069,.,.,blink
11:50:45.0695,.,.,blink
11:50:45.07,.,.,blink
11:50:45.0705,.,.,blink
11:50:45.0710,.,.,blink
11:50:45.0715,.,.,blink
11:50:45.072,.,.,blink
11:50:45.0725,.,.,blink
11:50:45.073,.,.,blink
11:50:45.0735,.,.,blink
11:50:45.0740,.,.,blink
11:50:45.0745,.,.,blink
11:50:45.075,.,.,blink
11:50:45.0755,.,.,blink
11:50:45.076,.,.,blink
11:50:45.0765,.,.,blink
11:50:45.0770,.,.,blink
11:50:45.0775,.,.,blink
11:50:45.078,.,.,blink
11:50:45.0785,.,.,blink
11:50:45.079,.,.,blink
11:50:45.0795,.,.,blink
11:50:45.0800,.,.,blink
11:50:45.0805,.,.,blink
11:50:45.081,.,.,blink
11:50:45.0815,.,.,blink
11:50:45.082,.,.,blink
11:50:45.0825,.,.,blink
11:50:45.0830,.,.,blink
11:50:45.0835,.,.,blink
11:50:45.084,.,.,blink
11:50:45.0845,.,.,blink
11:50:45.085,.,.,blink
11:50:45.0855,.,.,blink
11:50:45.0860,.,.,blink
11:50:45.0865,.,.,blink
11:50:45.087,.,.,blink
11:50:45.0875,.,.,blink
11:50:45.088,.,.,blink
11:50:45.0885,.,.,blink
11:50:45.0890,.,.,blink
11:50:45.0895,.,.,blink
11:50:45.09,.,.,blink
11:50:45.0905,.,.,blink
11:50:45.091,.,.,blink
11:50:45.0915,.,.,blink
11:50:45.0920,.,.,blink
11:50:45.0925,.,.,blink
11:50:45.093,.,.,blink
11:50:45.0935,.,.,blink
11:50:45.094,.,.,blink
11:50:45.0945,.,.,blink
11:50:45.095,.,.,blink
11:50:45.0955,.,.,blink
11:50:45.0960,.,.,blink
11:50:45.0965,.,.,blink
11:50:45.097,.,.,blink
11:50:45.0975,.,.,blink
11:50:45.098,.,.,blink
11:50:45.0985,.,.,blink
11:50:45.0990,.,.,blink
11:50:45.0995,.,.,blink
11:50:45.1,.,.,blink
11:50:45.1005,.,.,blink
11:50:45.101,.,.,blink
11:50:45.1015,.,.,blink
11:50:45.1020,.,.,blink
11:50:45.1025,.,.,blink
11:50:45.103,.,.,blink
11:50:45.1035,.,.,blink
11:50:45.104,.,.,blink
11:50:45.1045,.,.,blink
11:50:45.1050,.,.,blink
11:50:45.1055,.,.,blink
11:50:45.106,.,.,blink
11:50:45.1065,.,.,blink
11:50:45.107,.,.,blink
11:50:45.1075,.,.,blink
11:50:45.1080,.,.,blink
11:50:45.1085,.,.,blink
11:50:45.109,.,.,blink
11:50:45.1095,.,.,blink
11:50:45.11,.,.,blink
11:50:45.1105,.,.,blink
11:50:45.1110,.,.,blink
11:50:45.1115,.,.,blink
11:50:45.112,.,.,blink
11:50:45.1125,.,.,blink
11:50:45.113,.,.,blink
11:50:45.1135,.,.,blink
11:50:45.1140,.,.,blink
11:50:45.1145,.,.,blink
11:50:45.115,.,.,blink
11:50:45.1155,.,.,blink
11:50:45.116,.,.,blink
11:50:45.1165,.,.,blink
11:50:45.1170,.,.,blink
11:50:45.1175,.,.,blink
11:50:45.118,.,.,blink
11:50:45.1185,.,.,blink
11:50:45.119,.,.,blink
11:50:45.1195,.,.,blink
11:50:45.1200,.,.,blink
11:50:45.1205,.,.,blink
11:50:45.121,.,.,blink
11:50:45.1215,.,.,blink
11:50:45.122,.,.,blink
11:50:45.1225,.,.,blink
11:50:45.1230,.,.,blink
11:50:45.1235,.,.,blink
11:50:45.124,.,.,blink
11:50:45.1245,.,.,blink
11:50:45.125,.,.,blink
11:50:45.1255,.,.,blink
11:50:45.1260,.,.,blink
11:50:45.1265,.,.,blink
11:50:45.127,.,.,blink
11:50:45.1275,.,.,blink
11:50:45.128,.,.,blink
11:50:45.1285,.,.,blink
11:50:45.1290,.,.,blink
11:50:45.1295,.,.,blink
11:50:45.13,.,.,blink
11:50:45.1305,.,.,blink
11:50:45.131,.,.,blink
11:50:45.1315,.,.,blink
11:50:45.1320,.,.,blink
11:50:45.1325,.,.,blink
11:50:45.133,.,.,blink
11:50:45.1335,.,.,blink
11:50:45.134,.,.,blink
11:50:45.1345,.,.,blink
11:50:45.1350,.,.,blink
11:50:45.1355,.,.,blink
11:50:45.136,.,.,blink
11:50:45.1365,.,.,blink
11:50:45.137,.,.,blink
11:50:45.1375,.,.,blink
11:50:45.1380,.,.,blink
11:50:45.1385,.,.,blink
11:50:45.139,.,.,blink
11:50:45.1395,.,.,blink
11:50:45.14,.,.,blink
11:50:45.1405,.,.,blink
11:50:45.1410,.,.,blink
11:50:45.1415,.,.,blink
11:50:45.142,.,.,blink
11:50:45.1425,.,.,blink
11:50:45.143,.,.,blink
11:50:45.1435,.,.,blink
11:50:45.1440,.,.,blink
11:50:45.1445,.,.,blink
11:50:45.145,.,.,blink
11:50:45.1455,.,.,blink
11:50:45.146,.,.,blink
11:50:45.1465,.,.,blink
11:50:45.1470,.,.,blink
11:50:45.1475,.,.,blink
11:50:45.148,.,.,blink
11:50:45.1485,.,.,blink
11:50:45.149,.,.,blink
11:50:45.1495,.,.,blink
11:50:45.1500,.,.,blink
11:50:45.1505,.,.,blink
11:50:45.151,.,.,blink
11:50:45.1515,.,.,blink
11:50:45.152,.,.,blink
11:50:45.1525,.,.,blink
11:50:45.1530,.,.,blink
11:50:45.1535,.,.,blink
11:50:45.154,.,.,blink
11:50:45.1545,.,.,blink
11:50:45.155,.,.,blink
11:50:45.1555,.,.,blink
11:50:45.1560,.,.,blink
11:50:45.1565,.,.,blink
11:50:45.1570,.,.,blink
11:50:45.1575,.,.,blink
11:50:45.158,.,.,blink
11:50:45.1585,.,.,blink
11:50:45.159,.,.,blink
11:50:45.1595,.,.,blink
11:50:45.1600,.,.,blink
11:50:45.1605,.,.,blink
11:50:45.161,.,.,blink
11:50:45.1615,.,.,blink
11:50:45.162,.,.,blink
11:50:45.1625,.,.,blink
11:50:45.1630,.,.,blink
11:50:45.1635,.,.,blink
11:50:45.164,.,.,blink
11:50:45.1645,.,.,blink
11:50:45.165,.,.,blink
11:50:45.1655,.,.,blink
11:50:45.1660,.,.,blink
11:50:45.1665,.,.,blink
11:50:45.167,.,.,blink
11:50:45.1675,.,.,blink
11:50:45.168,.,.,blink
11:50:45.1685,.,.,blink
11:50:45.1690,.,.,blink
11:50:45.1695,.,.,blink
11:50:45.17,.,.,blink
11:50:45.1705,.,.,blink
11:50:45.171,.,.,blink
11:50:45.1715,.,.,blink
11:50:45.1720,.,.,blink
11:50:45.1725,.,.,blink
11:50:45.173,.,.,blink
11:50:45.1735,.,.,blink
11:50:45.174,.,.,blink
11:50:45.1745,.,.,blink
11:50:45.1750,.,.,blink
11:50:45.1755,.,.,blink
11:50:45.176,.,.,blink
11:50:45.1765,.,.,blink
11:50:45.177,.,.,blink
11:50:45.1775,.,.,blink
11:50:45.1780,.,.,blink
11:50:45.1785,.,.,blink
11:50:45.179,.,.,blink
11:50:45.1795,.,.,blink
11:50:45.18,.,.,blink
11:50:45.1805,.,.,blink
11:50:45.1810,.,.,blink
11:50:45.1815,.,.,blink
11:50:45.182,.,.,blink
11:50:45.1825,.,.,blink
11:50:45.183,.,.,blink
11:50:45.1835,.,.,blink
11:50:45.1840,.,.,blink
11:50:45.1845,.,.,blink
11:50:45.185,.,.,blink
11:50:45.1855,.,.,blink
11:50:45.186,.,.,blink
11:50:45.1865,.,.,blink
11:50:45.1870,.,.,blink
11:50:45.1875,.,.,blink
11:50:45.188,.,.,blink
11:50:45.1885,.,.,blink
11:50:45.189,.,.,blink
11:50:45.1895,.,.,blink
11:50:45.1900,.,.,blink
11:50:45.1905,.,.,blink
11:50:45.191,.,.,blink
11:50:45.1915,.,.,blink
11:50:45.192,.,.,blink
11:50:45.1925,.,.,blink
11:50:45.1930,.,.,blink
11:50:45.1935,.,.,blink
11:50:45.194,.,.,blink
11:50:45.1945,.,.,blink
11:50:45.195,.,.,blink
11:50:45.1955,.,.,blink
11:50:45.1960,.,.,blink
11:50:45.1965,.,.,blink
11:50:45.197,.,.,blink
11:50:45.1975,.,.,blink
11:50:45.198,.,.,blink
11:50:45.1985,.,.,blink
11:50:45.1990,.,.,blink
11:50:45.1995,.,.,blink
11:50:45.2,.,.,blink
11:50:45.2005,.,.,blink
11:50:45.201,.,.,blink
11:50:45.2015,.,.,blink
11:50:45.2020,.,.,blink
11:50:45.2025,.,.,blink
11:50:45.203,.,.,blink
11:50:45.2035,.,.,blink
11:50:45.204,.,.,blink
11:50:45.2045,.,.,blink
11:50:45.2050,.,.,blink
11:50:45.2055,.,.,blink
11:50:45.206,.,.,blink
11:50:45.2065,.,.,blink
11:50:45.207,.,.,blink
11:50:45.2075,.,.,blink
11:50:45.2080,.,.,blink
11:50:45.2085,.,.,blink
11:50:45.209,.,.,blink
11:50:45.2095,.,.,blink
11:50:45.21,.,.,blink
11:50:45.2105,.,.,blink
11:50:45.2110,.,.,blink
11:50:45.2115,.,.,blink
11:50:45.212,.,.,blink
11:50:45.2125,.,.,blink
11:50:45.213,.,.,blink
11:50:45.2135,.,.,blink
11:50:45.2140,.,.,blink
11:50:45.2145,.,.,blink
11:50:45.215,.,.,blink
11:50:45.2155,.,.,blink
11:50:45.216,.,.,blink
11:50:45.2165,.,.,blink
11:50:45.2170,.,.,blink
11:50:45.2175,.,.,blink
11:50:45.218,.,.,blink
11:50:45.2185,.,.,blink
11:50:45.219,.,.,blink
11:50:45.2195,.,.,blink
11:50:45.22,.,.,blink
11:50:45.2205,.,.,blink
11:50:45.2210,.,.,blink
11:50:45.2215,.,.,blink
11:50:45.222,.,.,blink
11:50:45.2225,.,.,blink
11:50:45.223,.,.,blink
11:50:45.2235,.,.,blink
11:50:45.2240,.,.,blink
11:50:45.2245,.,.,blink
11:50:45.225,.,.,blink
11:50:45.2255,.,.,blink
11:50:45.226,.,.,blink
11:50:45.2265,.,.,blink
11:50:45.2270,.,.,blink
11:50:45.2275,.,.,blink
11:50:45.228,.,.,blink
11:50:45.2285,.,.,blink
11:50:45.229,.,.,blink
11:50:45.2295,.,.,blink
11:50:45.2300,.,.,blink
11:50:45.2305,.,.,blink
11:50:45.231,.,.,blink
11:50:45.2315,.,.,blink
11:50:45.232,.,.,blink
11:50:45.2325,.,.,blink
11:50:45.2330,.,.,blink
11:50:45.2335,.,.,blink
11:50:45.234,.,.,blink
11:50:45.2345,.,.,blink
11:50:45.235,.,.,blink
11:50:45.2355,.,.,blink
11:50:45.2360,.,.,blink
11:50:45.2365,.,.,blink
11:50:45.237,.,.,blink
11:50:45.2375,.,.,blink
11:50:45.238,.,.,blink
11:50:45.2385,.,.,blink
11:50:45.2390,.,.,blink
11:50:45.2395,.,.,blink
11:50:45.24,.,.,blink
11:50:45.2405,.,.,blink
11:50:45.241,.,.,blink
