TimeStamp,X,Y,Event
14:28:08.3229,525.4,626.7,saccade
14:28:8.32340,527.3,625.3,saccade
14:28:8.3239,529.5,622.7,fixation
14:28:8.3244,529.5,622.4,fixation
14:28:8.32490,528.8,619.9,fixation
14:28:8.3254,527.3,612.4,fixation
14:28:8.3259,529.8,607.7,fixation
14:28:8.32640,531.6,607.0,fixation
14:28:8.3269,531.5,611.3,fixation
14:28:8.3274,531.1,613.3,fixation
14:28:8.32790,529.9,616.9,fixation
14:28:8.3284,528.9,620.4,fixation
14:28:8.3289,528.6,620.7,fixation
14:28:8.32940,530.9,617.4,fixation
14:28:8.3299,529.9,617.7,fixation
14:28:8.33040,529.7,618.2,fixation
14:28:8.3309,527.1,617.2,fixation
14:28:8.3314,524.0,621.3,fixation
14:28:8.33190,524.2,624.2,fixation
14:28:8.3324,524.7,623.8,fixation
14:28:8.3329,524.1,620.5,fixation
14:28:8.33340,523.9,613.0,fixation
14:28:8.3339,527.0,613.1,fixation
14:28:8.3344,527.8,615.6,fixation
14:28:8.33490,528.0,615.2,fixation
14:28:8.3354,528.7,614.8,fixation
14:28:8.3359,531.4,614.9,fixation
14:28:8.33640,526.4,615.2,fixation
14:28:8.3369,526.6,615.4,fixation
14:28:8.3374,530.9,615.1,fixation
14:28:8.33790,530.5,617.3,fixation
14:28:8.3384,529.8,625.2,fixation
14:28:8.3389,528.6,620.4,fixation
14:28:8.33940,528.5,615.2,fixation
14:28:8.3399,531.0,615.1,fixation
14:28:8.3404,528.2,619.6,fixation
14:28:8.34090,526.5,622.6,fixation
14:28:8.3414,525.7,621.1,fixation
14:28:8.3419,526.4,619.3,fixation
14:28:8.34240,525.2,622.9,fixation
14:28:8.3429,524.2,626.5,fixation
14:28:8.3434,525.2,624.9,fixation
14:28:8.34390,525.4,621.5,fixation
14:28:8.3444,527.6,621.5,fixation
14:28:8.3449,528.7,622.9,fixation
14:28:8.34540,529.2,621.8,fixation
14:28:8.3459,529.6,623.6,fixation
14:28:8.34640,528.6,622.0,fixation
14:28:8.3469,526.7,617.7,fixation
14:28:8.3474,526.3,618.8,fixation
14:28:8.34790,527.6,624.4,fixation
14:28:8.3484,530.3,629.4,fixation
14:28:8.3489,530.5,626.2,fixation
14:28:8.34940,529.2,629.6,fixation
14:28:8.3499,527.7,629.1,fixation
14:28:8.3504,527.0,627.2,fixation
14:28:8.35090,526.6,626.0,fixation
14:28:8.3514,526.5,625.5,fixation
14:28:8.3519,528.1,628.4,fixation
14:28:8.35240,528.6,631.4,fixation
14:28:8.3529,528.2,629.7,fixation
14:28:8.3534,528.3,622.6,fixation
14:28:8.35390,527.6,626.3,fixation
14:28:8.3544,526.9,631.2,fixation
14:28:8.3549,526.5,629.0,fixation
14:28:8.35540,527.3,622.4,fixation
14:28:8.3559,527.2,625.2,fixation
14:28:8.3564,526.0,628.9,fixation
14:28:8.35690,524.6,631.7,fixation
14:28:8.3574,530.7,635.6,fixation
14:28:8.3579,532.9,639.6,fixation
14:28:8.35840,530.6,636.4,fixation
14:28:8.3589,529.8,634.3,fixation
14:28:8.3594,532.1,636.9,fixation
14:28:8.35990,530.4,638.4,fixation
14:28:8.3604,528.2,637.0,fixation
14:28:8.3609,528.5,636.7,fixation
14:28:8.36140,528.8,634.9,fixation
14:28:8.3619,529.3,634.4,fixation
14:28:8.36240,529.8,635.0,fixation
14:28:8.3629,531.4,635.8,fixation
14:28:8.3634,531.4,635.8,fixation
14:28:8.36390,531.6,633.8,fixation
14:28:8.3644,532.7,631.8,fixation
14:28:8.3649,533.0,633.4,fixation
14:28:8.36540,532.2,637.2,fixation
14:28:8.3659,530.0,633.5,fixation
14:28:8.3664,529.0,627.7,fixation
14:28:8.36690,530.1,629.0,fixation
14:28:8.3674,531.4,633.5,fixation
14:28:8.3679,533.0,635.6,fixation
14:28:8.36840,530.2,637.4,fixation
14:28:8.3689,529.1,637.9,fixation
14:28:8.3694,526.0,629.7,fixation
14:28:8.36990,534.9,628.7,fixation
14:28:8.3704,537.2,630.4,fixation
14:28:8.3709,535.7,634.0,fixation
14:28:8.37140,532.0,633.9,fixation
14:28:8.3719,531.0,633.7,saccade
14:28:8.3724,529.4,629.2,saccade
14:28:8.37290,524.8,627.2,saccade
14:28:8.3734,525.8,635.4,saccade
14:28:8.3739,533.9,643.8,saccade
14:28:8.37440,543.9,664.5,saccade
