TimeStamp,X,Y,Event
10:31:05.2040,740.1,715.5,fixation
10:31:5.20449,739.2,714.6,fixation
10:31:5.20499,737.9,714.8,fixation
10:31:5.20548,736.4,715.5,fixation
10:31:5.20597,736.1,715.8,fixation
10:31:5.20646,735.6,715.3,fixation
10:31:5.20696,735.2,714.8,fixation
10:31:5.20745,735.1,714.5,fixation
10:31:5.20794,735.4,714.7,fixation
10:31:5.20843,737.0,715.3,fixation
10:31:5.20893,738.4,716.3,fixation
10:31:5.20942,740.0,714.6,fixation
10:31:5.20991,739.3,712.5,fixation
10:31:5.21040,738.5,710.3,fixation
10:31:5.2109,737.2,712.7,fixation
10:31:5.21139,736.9,715.2,fixation
10:31:5.21188,736.7,717.3,fixation
10:31:5.21238,736.6,716.6,fixation
10:31:5.21287,736.6,715.9,fixation
10:31:5.21336,736.8,715.0,fixation
10:31:5.21385,737.7,714.5,fixation
10:31:5.21435,739.0,713.0,fixation
10:31:5.21484,740.1,711.1,fixation
10:31:5.21533,740.9,709.1,fixation
10:31:5.21582,741.3,708.0,fixation
10:31:5.21632,741.7,707.8,fixation
10:31:5.21681,741.8,707.2,fixation
10:31:5.21730,742.3,706.7,fixation
10:31:5.21779,742.5,708.3,fixation
10:31:5.21829,742.7,710.3,fixation
10:31:5.21878,742.1,712.0,fixation
10:31:5.21927,741.3,711.2,fixation
10:31:5.21977,740.9,710.5,fixation
10:31:5.22026,740.9,712.3,fixation
10:31:5.22075,741.4,714.4,fixation
10:31:5.22124,741.1,716.6,fixation
10:31:5.22174,740.4,716.6,fixation
10:31:5.22223,739.8,715.5,fixation
10:31:5.22272,739.6,714.4,fixation
10:31:5.22321,739.2,714.1,fixation
10:31:5.22371,738.7,714.9,fixation
10:31:5.22420,738.2,715.7,fixation
10:31:5.22469,738.1,715.5,fixation
10:31:5.22519,737.8,715.3,fixation
10:31:5.22568,737.5,714.4,fixation
10:31:5.22617,736.8,713.8,fixation
10:31:5.22666,736.5,713.3,fixation
10:31:5.22716,736.3,713.6,fixation
10:31:5.22765,736.6,713.9,fixation
10:31:5.22814,736.9,714.7,fixation
10:31:5.22863,738.4,715.5,fixation
10:31:5.22913,740.0,714.1,fixation
10:31:5.22962,741.2,712.4,fixation
10:31:5.23011,740.5,712.4,fixation
10:31:5.23060,739.2,713.7,fixation
10:31:5.2311,737.4,714.5,fixation
10:31:5.23159,736.2,713.5,fixation
10:31:5.23208,735.3,715.1,fixation
10:31:5.23258,735.5,717.0,fixation
10:31:5.23307,736.0,718.8,fixation
