TimeStamp,X,Y,Event
14:29:00.5126,490.5,270.9,fixation
14:29:0.51309,490.6,269.7,fixation
14:29:0.51359,490.7,268.4,fixation
14:29:0.51408,490.7,268.4,fixation
14:29:0.51457,490.7,268.8,fixation
14:29:0.51506,490.6,270.2,fixation
14:29:0.51555,490.5,271.6,fixation
14:29:0.51604,490.6,272.9,fixation
14:29:0.51654,490.6,273.1,fixation
14:29:0.51703,490.6,270.5,fixation
14:29:0.51752,490.4,267.6,fixation
14:29:0.51801,490.5,264.8,fixation
14:29:0.51850,490.4,264.9,fixation
14:29:0.51899,491.6,264.7,fixation
14:29:0.51948,492.9,264.4,fixation
14:29:0.51998,493.6,265.0,fixation
14:29:0.52047,493.2,266.8,fixation
14:29:0.52096,492.8,268.7,fixation
14:29:0.52145,491.4,269.8,fixation
14:29:0.52194,489.0,270.3,fixation
14:29:0.52243,486.6,270.7,fixation
14:29:0.52292,486.6,268.3,fixation
14:29:0.52342,487.6,265.5,fixation
14:29:0.52391,488.4,264.2,fixation
14:29:0.52440,489.0,265.7,fixation
14:29:0.52489,490.3,267.3,fixation
14:29:0.52538,491.8,267.5,fixation
14:29:0.52587,490.8,269.5,fixation
14:29:0.52636,489.1,271.3,fixation
14:29:0.52686,487.6,272.1,fixation
14:29:0.52735,487.9,271.7,fixation
14:29:0.52784,488.2,271.2,fixation
14:29:0.52833,488.7,271.7,fixation
14:29:0.52882,489.2,271.4,fixation
14:29:0.52931,489.8,269.8,fixation
14:29:0.52980,490.0,268.5,fixation
14:29:0.5303,489.8,267.4,fixation
14:29:0.53079,489.2,267.4,fixation
14:29:0.53128,488.6,267.2,fixation
14:29:0.53177,489.2,266.9,fixation
14:29:0.53226,490.1,266.8,fixation
14:29:0.53275,491.0,267.3,fixation
14:29:0.53324,490.5,268.4,fixation
14:29:0.53374,490.1,269.5,fixation
14:29:0.53423,489.8,269.3,fixation
14:29:0.53472,490.0,268.0,fixation
14:29:0.53521,490.3,265.5,fixation
14:29:0.53570,490.7,263.7,fixation
14:29:0.53619,491.0,263.5,fixation
14:29:0.53669,491.1,264.5,fixation
14:29:0.53719,490.4,266.0,fixation
14:29:0.53768,490.0,266.5,fixation
14:29:0.53818,489.7,266.9,fixation
14:29:0.53867,489.7,266.4,fixation
14:29:0.53916,489.4,266.0,fixation
14:29:0.53965,488.6,266.0,fixation
14:29:0.54014,488.1,266.6,fixation
14:29:0.54063,487.7,267.2,fixation
14:29:0.54113,487.7,267.5,fixation
14:29:0.54163,487.9,267.1,fixation
14:29:0.54212,488.2,266.4,fixation
14:29:0.54262,489.0,265.8,fixation
14:29:0.54311,489.5,266.2,fixation
14:29:0.54360,489.8,267.8,fixation
14:29:0.54409,489.3,269.3,fixation
14:29:0.54458,488.2,267.6,fixation
14:29:0.54507,486.8,265.1,fixation
14:29:0.54557,485.8,262.7,fixation
14:29:0.54606,486.0,262.7,fixation
14:29:0.54655,486.2,265.6,fixation
14:29:0.54704,486.0,268.4,fixation
14:29:0.54753,485.2,270.9,fixation
14:29:0.54802,485.1,271.0,fixation
14:29:0.54851,485.9,271.4,fixation
14:29:0.54901,486.8,270.0,fixation
14:29:0.54950,487.2,268.5,fixation
14:29:0.54999,487.2,267.2,fixation
14:29:0.55048,486.9,268.1,fixation
14:29:0.55097,486.9,268.8,fixation
14:29:0.55146,486.8,268.9,fixation
14:29:0.55195,486.8,268.5,fixation
14:29:0.55245,486.7,268.1,fixation
14:29:0.55294,486.7,267.8,fixation
14:29:0.55343,488.0,267.3,fixation
14:29:0.55392,489.5,266.8,fixation
14:29:0.55441,490.6,266.7,fixation
