TimeStamp,X,Y,Event
13:20:46.0163,704.7,205.5,fixation
13:20:46.0168,704.4,205.2,fixation
13:20:46.0173,704.3,205.3,fixation
13:20:46.0178,705.0,205.8,fixation
13:20:46.0183,705.1,206.2,fixation
13:20:46.0188,704.6,206.3,fixation
13:20:46.0193,704.5,206.2,fixation
13:20:46.0198,705.5,206.8,fixation
13:20:46.0203,705.8,206.6,fixation
13:20:46.0208,706.1,207.5,fixation
13:20:46.0213,706.4,207.7,fixation
13:20:46.0218,706.2,207.7,fixation
13:20:46.0223,705.2,207.6,fixation
13:20:46.0228,704.3,207.7,fixation
13:20:46.0233,703.8,208.7,fixation
13:20:46.0238,704.4,208.1,fixation
13:20:46.0243,704.9,208.0,fixation
13:20:46.0248,704.4,208.9,fixation
13:20:46.0253,703.5,209.2,fixation
13:20:46.0258,703.2,209.9,fixation
13:20:46.0263,703.2,209.5,fixation
13:20:46.0268,703.2,208.5,fixation
13:20:46.0273,703.2,208.6,fixation
13:20:46.0278,703.1,208.6,fixation
13:20:46.0283,702.5,207.9,fixation
13:20:46.0288,702.6,208.0,fixation
13:20:46.0293,703.1,207.5,fixation
13:20:46.0298,703.5,206.7,fixation
13:20:46.0303,703.8,208.4,fixation
13:20:46.0308,703.4,209.1,fixation
13:20:46.0313,703.0,208.7,fixation
13:20:46.0318,703.7,207.6,fixation
13:20:46.0323,703.5,207.5,fixation
13:20:46.0328,703.6,207.6,fixation
13:20:46.0333,704.1,208.3,fixation
13:20:46.0338,704.1,207.9,fixation
13:20:46.0343,703.5,207.3,fixation
13:20:46.0348,702.6,208.1,fixation
13:20:46.0353,704.0,208.4,fixation
13:20:46.0358,706.0,208.7,fixation
13:20:46.0363,705.8,208.8,fixation
13:20:46.0368,705.4,208.8,fixation
13:20:46.0373,705.3,208.9,fixation
13:20:46.0378,705.1,209.4,fixation
13:20:46.0383,704.5,209.8,fixation
13:20:46.0388,703.8,209.8,fixation
13:20:46.0393,704.0,209.6,fixation
13:20:46.0398,703.5,209.6,fixation
13:20:46.0403,703.1,208.1,fixation
13:20:46.0408,703.3,208.1,fixation
13:20:46.0413,703.4,208.1,fixation
13:20:46.0418,702.9,208.0,fixation
13:20:46.0423,702.7,207.8,fixation
13:20:46.0428,702.9,207.7,fixation
13:20:46.0433,702.8,208.3,fixation
13:20:46.0438,702.6,208.6,fixation
13:20:46.0443,702.7,208.2,fixation
13:20:46.0448,702.7,207.9,fixation
13:20:46.0453,702.7,207.6,fixation
13:20:46.0458,702.8,207.0,fixation
13:20:46.0463,702.7,206.1,fixation
13:20:46.0468,702.8,205.9,fixation
13:20:46.0473,702.6,206.1,saccade
13:20:46.0478,702.4,207.5,saccade
13:20:46.0483,702.2,209.1,saccade
13:20:46.0488,700.5,208.8,saccade
13:20:46.0493,694.1,211.0,saccade
13:20:46.0498,677.0,213.3,saccade
13:20:46.0503,649.3,215.2,saccade
13:20:46.0508,612.6,218.1,saccade
13:20:46.0513,574.2,222.1,saccade
13:20:46.0518,540.1,227.2,saccade
13:20:46.0523,515.5,233.4,saccade
13:20:46.0528,505.2,239.5,saccade
13:20:46.0533,507.8,245.9,saccade
13:20:46.0538,521.5,249.7,saccade
13:20:46.0543,542.6,249.0,saccade
13:20:46.0548,562.1,246.6,saccade
13:20:46.0553,576.5,239.7,saccade
13:20:46.0558,583.5,234.8,saccade
13:20:46.0563,581.2,232.4,saccade
13:20:46.0568,573.8,232.1,saccade
13:20:46.0573,565.4,232.8,saccade
13:20:46.0578,556.4,234.1,saccade
13:20:46.0583,549.4,236.5,saccade
13:20:46.0588,544.5,239.9,saccade
13:20:46.0593,542.4,241.5,fixation
13:20:46.0598,542.3,241.6,fixation
13:20:46.0603,542.3,241.5,fixation
13:20:46.0608,542.2,242.6,fixation
13:20:46.0613,542.4,242.6,fixation
13:20:46.0618,542.7,242.5,fixation
13:20:46.0623,543.2,242.9,fixation
13:20:46.0628,543.6,243.3,fixation
13:20:46.0633,544.9,243.2,fixation
13:20:46.0638,546.6,243.3,fixation
13:20:46.0643,547.3,242.6,fixation
13:20:46.0648,547.1,242.4,fixation
13:20:46.0653,547.1,242.2,fixation
13:20:46.0658,547.2,242.3,fixation
13:20:46.0663,547.7,242.4,fixation
13:20:46.0668,548.0,242.8,fixation
13:20:46.0673,547.1,243.6,fixation
13:20:46.0678,547.4,243.9,fixation
13:20:46.0683,547.4,243.8,fixation
13:20:46.0688,547.1,243.7,fixation
13:20:46.0693,546.9,242.9,fixation
13:20:46.0698,546.2,242.2,fixation
13:20:46.0703,545.0,242.1,fixation
13:20:46.0708,544.7,242.1,fixation
13:20:46.0713,544.9,241.5,fixation
13:20:46.0718,545.7,240.8,fixation
13:20:46.0723,546.0,241.2,fixation
13:20:46.0728,545.7,241.4,fixation
13:20:46.0733,545.4,241.8,fixation
13:20:46.0738,545.3,242.4,fixation
13:20:46.0743,545.5,243.1,fixation
13:20:46.0748,546.0,243.9,fixation
13:20:46.0753,546.1,242.8,fixation
13:20:46.0758,545.8,241.0,fixation
13:20:46.0763,546.2,239.1,fixation
13:20:46.0768,546.9,237.4,fixation
13:20:46.0773,547.1,237.8,fixation
13:20:46.0778,546.7,239.0,fixation
13:20:46.0783,546.5,239.9,fixation
13:20:46.0788,546.5,240.0,fixation
13:20:46.0793,546.6,239.6,fixation
13:20:46.0798,547.0,239.0,fixation
13:20:46.0803,546.5,238.7,fixation
13:20:46.0808,545.6,239.4,fixation
13:20:46.0813,544.7,239.3,fixation
13:20:46.0818,544.5,239.3,fixation
13:20:46.0823,544.7,239.8,fixation
13:20:46.0828,544.6,241.5,fixation
13:20:46.0833,544.3,241.6,fixation
13:20:46.0838,544.5,240.1,fixation
13:20:46.0843,544.4,239.8,fixation
13:20:46.0848,544.1,240.2,fixation
13:20:46.0853,544.1,240.5,fixation
13:20:46.0858,544.2,240.4,fixation
13:20:46.0863,543.9,240.6,fixation
13:20:46.0868,544.0,240.8,fixation
13:20:46.0873,544.4,240.9,fixation
13:20:46.0878,544.0,241.6,fixation
13:20:46.0883,542.6,240.6,fixation
13:20:46.0888,542.6,240.5,fixation
13:20:46.0893,543.9,239.8,fixation
13:20:46.0898,544.3,239.0,fixation
13:20:46.0903,544.4,239.0,fixation
13:20:46.0908,544.8,239.4,fixation
13:20:46.0913,544.6,239.9,fixation
13:20:46.0918,544.6,239.8,fixation
13:20:46.0923,544.4,239.5,fixation
13:20:46.0928,543.9,239.4,fixation
13:20:46.0933,543.8,240.0,fixation
13:20:46.0938,544.0,239.9,fixation
13:20:46.0943,544.2,239.5,fixation
13:20:46.0948,544.3,238.8,fixation
13:20:46.0953,544.2,239.1,fixation
13:20:46.0958,544.3,239.3,fixation
13:20:46.0963,544.6,239.5,fixation
13:20:46.0968,543.9,240.1,fixation
13:20:46.0973,543.2,240.4,fixation
13:20:46.0978,543.6,240.2,fixation
13:20:46.0983,544.0,240.5,fixation
13:20:46.0988,544.2,239.8,fixation
13:20:46.0993,544.4,238.7,fixation
13:20:46.0998,544.6,238.5,fixation
13:20:46.1003,544.5,238.2,fixation
13:20:46.1008,544.1,237.8,fixation
13:20:46.1013,543.9,237.1,fixation
13:20:46.1018,543.9,237.1,fixation
13:20:46.1023,544.3,237.5,fixation
13:20:46.1028,544.6,237.8,fixation
13:20:46.1033,544.1,237.9,fixation
13:20:46.1038,543.7,238.1,fixation
13:20:46.1043,544.4,237.9,fixation
13:20:46.1048,544.7,238.9,fixation
13:20:46.1053,544.3,240.0,fixation
13:20:46.1058,544.4,238.2,fixation
