TimeStamp,X,Y,Event
11:35:10.0762,362.2,250.3,fixation
11:35:10.0767,362.5,249.5,fixation
11:35:10.0772,363.3,248.2,fixation
11:35:10.0777,363.9,247.4,fixation
11:35:10.0782,364.2,246.6,fixation
11:35:10.0787,364.0,246.4,fixation
11:35:10.0792,363.8,246.9,fixation
11:35:10.0797,363.2,247.7,fixation
11:35:10.0802,362.5,248.3,fixation
11:35:10.0807,362.0,248.7,fixation
11:35:10.0812,362.1,248.6,fixation
11:35:10.0817,362.3,248.5,fixation
11:35:10.0822,362.3,248.6,fixation
11:35:10.0827,362.6,248.7,fixation
11:35:10.0832,363.2,248.8,fixation
11:35:10.0837,363.8,248.8,fixation
11:35:10.0842,363.8,249.3,fixation
11:35:10.0847,363.6,249.8,fixation
11:35:10.0852,363.3,249.8,fixation
11:35:10.0857,363.2,249.2,fixation
11:35:10.0862,362.9,248.7,fixation
11:35:10.0867,362.7,248.8,fixation
11:35:10.0872,362.4,249.0,fixation
11:35:10.0877,362.2,249.3,fixation
11:35:10.0882,362.1,249.6,fixation
11:35:10.0887,361.7,249.9,fixation
11:35:10.0892,361.1,250.1,fixation
11:35:10.0897,360.5,250.3,fixation
11:35:10.0902,360.4,250.1,fixation
11:35:10.0907,360.5,249.9,fixation
11:35:10.0912,359.8,249.8,fixation
11:35:10.0917,359.0,249.0,fixation
11:35:10.0922,358.6,248.3,fixation
11:35:10.0927,359.1,247.6,fixation
11:35:10.0932,359.7,248.1,fixation
11:35:10.0937,359.7,248.1,fixation
11:35:10.0942,359.8,247.7,fixation
11:35:10.0947,359.7,247.2,fixation
11:35:10.0952,359.6,248.1,fixation
11:35:10.0957,359.1,249.4,fixation
11:35:10.0962,358.3,250.1,fixation
11:35:10.0967,357.6,249.5,fixation
11:35:10.0972,358.4,248.9,fixation
11:35:10.0977,359.4,248.8,fixation
11:35:10.0982,360.2,248.8,fixation
11:35:10.0987,360.0,247.9,fixation
11:35:10.0992,359.3,247.0,fixation
11:35:10.0997,358.7,247.4,fixation
11:35:10.1002,358.2,248.8,fixation
11:35:10.1007,358.2,249.8,fixation
11:35:10.1012,358.4,249.6,fixation
11:35:10.1017,358.8,249.3,fixation
11:35:10.1022,359.2,249.2,fixation
11:35:10.1027,359.6,249.6,fixation
11:35:10.1032,359.5,249.8,fixation
11:35:10.1037,359.5,250.0,fixation
11:35:10.1042,359.5,249.6,fixation
11:35:10.1047,360.1,249.2,fixation
11:35:10.1052,360.8,248.8,fixation
11:35:10.1057,362.0,249.4,fixation
11:35:10.1062,362.7,250.0,fixation
11:35:10.1067,363.4,249.7,fixation
11:35:10.1072,363.4,248.8,fixation
11:35:10.1077,363.5,248.3,fixation
11:35:10.1082,363.5,249.2,fixation
11:35:10.1087,363.4,250.4,fixation
11:35:10.1092,363.4,251.5,fixation
11:35:10.1097,363.0,252.1,fixation
11:35:10.1102,362.5,252.2,fixation
11:35:10.1107,363.1,251.8,fixation
11:35:10.1112,364.1,251.3,fixation
11:35:10.1117,365.0,251.8,fixation
11:35:10.1122,364.8,252.6,fixation
11:35:10.1127,364.7,253.4,fixation
11:35:10.1132,363.9,251.9,fixation
11:35:10.1137,363.1,250.4,fixation
11:35:10.1142,362.3,248.8,fixation
11:35:10.1147,361.6,248.7,fixation
11:35:10.1152,360.9,248.7,fixation
11:35:10.1157,361.1,247.9,fixation
11:35:10.1162,362.1,247.1,fixation
11:35:10.1167,362.8,248.7,fixation
11:35:10.1172,362.6,251.2,fixation
11:35:10.1177,362.4,253.1,fixation
11:35:10.1182,362.2,252.0,fixation
11:35:10.1187,362.1,250.9,fixation
11:35:10.1192,362.3,250.1,fixation
11:35:10.1197,362.5,249.6,fixation
11:35:10.1202,362.3,249.1,fixation
11:35:10.1207,361.3,249.0,fixation
11:35:10.1212,360.2,249.2,fixation
11:35:10.1217,359.9,249.7,fixation
11:35:10.1222,360.3,250.1,fixation
11:35:10.1227,360.1,250.5,fixation
11:35:10.1232,359.6,250.5,fixation
11:35:10.1237,359.5,250.5,fixation
11:35:10.1242,359.9,251.4,fixation
11:35:10.1247,359.6,252.4,fixation
11:35:10.1252,358.5,253.3,fixation
11:35:10.1257,357.5,253.2,fixation
11:35:10.1262,357.2,253.0,fixation
11:35:10.1267,357.7,252.2,fixation
11:35:10.1272,358.1,251.5,fixation
11:35:10.1277,358.5,250.8,fixation
11:35:10.1282,358.6,250.0,fixation
11:35:10.1287,358.9,249.2,fixation
11:35:10.1292,358.8,248.9,fixation
11:35:10.1297,358.3,249.7,fixation
11:35:10.1302,357.8,250.6,fixation
11:35:10.1307,357.8,251.0,fixation
11:35:10.1312,357.7,251.6,fixation
11:35:10.1317,357.5,252.3,fixation
11:35:10.1322,357.4,251.9,fixation
11:35:10.1327,357.6,250.9,fixation
11:35:10.1332,358.1,250.4,fixation
11:35:10.1337,358.7,251.1,fixation
11:35:10.1342,358.9,252.0,fixation
11:35:10.1347,358.9,252.4,fixation
11:35:10.1352,358.8,252.5,fixation
11:35:10.1357,358.7,252.2,saccade
11:35:10.1362,358.7,251.8,saccade
11:35:10.1367,358.8,251.3,saccade
11:35:10.1372,358.7,250.9,saccade
11:35:10.1377,358.5,251.5,saccade
11:35:10.1382,358.4,251.9,saccade
11:35:10.1387,358.5,252.2,saccade
11:35:10.1392,358.7,251.9,saccade
11:35:10.1397,358.8,251.9,saccade
11:35:10.1402,359.2,252.8,saccade
11:35:10.1407,360.0,253.7,saccade
11:35:10.1412,360.8,255.0,saccade
11:35:10.1417,362.2,255.5,saccade
11:35:10.1422,363.1,256.3,saccade
11:35:10.1427,365.5,256.8,saccade
11:35:10.1432,366.9,258.2,saccade
11:35:10.1437,369.2,261.3,saccade
11:35:10.1442,372.1,264.1,saccade
11:35:10.1447,376.5,265.8,saccade
11:35:10.1452,382.7,266.8,saccade
