TimeStamp,X,Y,Event
14:26:54.9952,206.1,273.4,fixation
14:26:54.9957,205.8,273.1,fixation
14:26:54.9962,205.5,272.7,fixation
14:26:54.9967,205.6,272.2,fixation
14:26:54.9972,205.8,271.8,fixation
14:26:54.9977,206.0,271.5,fixation
14:26:54.9982,206.3,271.4,fixation
14:26:54.9987,206.7,271.5,fixation
14:26:54.9992,207.0,271.6,fixation
14:26:54.9997,206.4,271.5,fixation
14:26:55.0002,205.8,270.7,fixation
14:26:55.0007,205.2,269.9,fixation
14:26:55.0012,205.2,268.8,fixation
14:26:55.0017,205.2,268.4,fixation
14:26:55.0022,205.5,268.5,fixation
14:26:55.0027,205.8,269.1,fixation
14:26:55.0032,206.0,269.7,fixation
14:26:55.0037,205.7,269.8,fixation
14:26:55.0042,205.3,269.8,fixation
14:26:55.0047,205.0,269.8,fixation
14:26:55.0052,204.8,270.4,fixation
14:26:55.0057,204.3,271.0,fixation
14:26:55.0062,203.7,271.5,fixation
14:26:55.0067,203.2,271.3,fixation
14:26:55.0072,203.0,271.2,fixation
14:26:55.0077,202.9,271.4,fixation
14:26:55.0082,202.8,271.7,fixation
14:26:55.0087,202.8,272.3,fixation
14:26:55.0092,202.9,272.7,fixation
14:26:55.0097,203.0,272.2,fixation
14:26:55.0102,203.2,271.5,fixation
14:26:55.0107,203.3,270.9,fixation
14:26:55.0112,203.2,271.2,fixation
14:26:55.0117,203.6,271.4,fixation
14:26:55.0122,204.0,271.5,fixation
14:26:55.0127,204.2,271.7,fixation
14:26:55.0132,204.0,272.2,fixation
14:26:55.0137,203.9,272.7,fixation
14:26:55.0142,203.8,272.8,fixation
14:26:55.0147,203.8,272.4,fixation
14:26:55.0152,203.9,271.7,fixation
14:26:55.0157,204.0,271.4,fixation
14:26:55.0162,204.1,271.4,fixation
14:26:55.0167,204.1,271.6,fixation
14:26:55.0172,204.1,271.7,fixation
14:26:55.0177,204.3,271.3,fixation
14:26:55.0182,203.9,270.8,fixation
14:26:55.0187,203.5,270.3,fixation
14:26:55.0192,203.0,270.1,fixation
14:26:55.0197,203.0,270.2,fixation
14:26:55.0202,202.8,270.4,fixation
14:26:55.0207,202.6,270.7,fixation
14:26:55.0212,202.2,271.3,fixation
14:26:55.0217,201.9,272.0,fixation
14:26:55.0222,202.0,271.5,fixation
14:26:55.0227,202.2,270.3,fixation
14:26:55.0232,202.4,269.3,fixation
14:26:55.0237,202.8,269.8,fixation
14:26:55.0242,203.0,270.8,fixation
14:26:55.0247,203.2,271.7,fixation
14:26:55.0252,202.9,271.7,fixation
14:26:55.0257,202.7,270.9,fixation
14:26:55.0262,202.3,270.1,fixation
14:26:55.0267,202.2,269.8,fixation
14:26:55.0272,202.1,269.8,fixation
14:26:55.0277,202.3,270.1,fixation
14:26:55.0282,202.4,270.4,fixation
14:26:55.0287,202.3,270.6,fixation
14:26:55.0292,202.5,270.1,fixation
14:26:55.0297,202.8,269.5,fixation
14:26:55.0302,203.1,268.9,fixation
14:26:55.0307,203.3,268.8,fixation
14:26:55.0312,202.9,268.4,fixation
14:26:55.0317,202.6,267.7,fixation
14:26:55.0322,202.3,267.0,fixation
14:26:55.0327,202.4,267.0,fixation
14:26:55.0332,202.3,267.4,fixation
14:26:55.0337,202.4,267.1,fixation
14:26:55.0342,202.5,266.3,fixation
14:26:55.0347,202.7,265.5,fixation
14:26:55.0352,202.9,264.6,fixation
14:26:55.0357,203.3,263.9,fixation
14:26:55.0362,203.7,263.3,fixation
14:26:55.0367,203.9,263.3,fixation
14:26:55.0372,203.9,263.2,fixation
14:26:55.0377,203.8,263.2,fixation
14:26:55.0382,204.0,263.1,fixation
14:26:55.0387,204.3,263.2,fixation
14:26:55.0392,204.8,263.1,fixation
14:26:55.0397,205.2,262.9,fixation
14:26:55.0402,205.5,263.9,fixation
14:26:55.0407,205.6,264.8,fixation
14:26:55.0412,205.7,265.8,fixation
14:26:55.0417,205.8,265.8,fixation
14:26:55.0422,205.8,265.9,fixation
14:26:55.0427,206.0,266.8,fixation
14:26:55.0432,206.0,268.2,fixation
14:26:55.0437,205.9,269.6,fixation
14:26:55.0442,205.7,270.1,fixation
14:26:55.0447,205.9,270.0,fixation
14:26:55.0452,206.1,269.9,fixation
14:26:55.0457,206.2,269.8,fixation
14:26:55.0462,206.3,270.6,fixation
14:26:55.0467,206.5,271.3,fixation
14:26:55.0472,206.8,271.9,fixation
14:26:55.0477,206.9,271.8,fixation
14:26:55.0482,206.6,271.8,fixation
14:26:55.0487,206.0,271.1,fixation
14:26:55.0492,205.6,270.3,fixation
14:26:55.0497,205.4,269.6,fixation
14:26:55.0502,205.4,269.7,fixation
14:26:55.0507,205.2,269.6,fixation
14:26:55.0512,205.1,269.5,fixation
14:26:55.0517,204.9,269.5,fixation
14:26:55.0522,204.9,269.3,fixation
14:26:55.0527,205.1,269.1,fixation
14:26:55.0532,205.4,268.7,fixation
14:26:55.0537,205.5,268.2,fixation
14:26:55.0542,205.5,267.9,fixation
14:26:55.0547,205.3,268.0,fixation
14:26:55.0552,205.1,268.3,fixation
14:26:55.0557,205.1,268.7,fixation
14:26:55.0562,205.4,268.9,fixation
14:26:55.0567,205.6,269.0,fixation
14:26:55.0572,205.7,269.0,fixation
14:26:55.0577,205.8,268.9,fixation
14:26:55.0582,206.0,268.8,fixation
14:26:55.0587,206.4,268.7,fixation
14:26:55.0592,206.6,268.8,fixation
14:26:55.0597,205.8,268.5,fixation
14:26:55.0602,204.9,268.3,fixation
14:26:55.0607,204.5,267.5,fixation
14:26:55.0612,205.1,266.7,fixation
14:26:55.0617,205.6,265.7,fixation
14:26:55.0622,205.7,265.2,fixation
14:26:55.0627,205.4,265.1,fixation
14:26:55.0632,204.8,265.1,fixation
14:26:55.0637,203.8,265.6,fixation
14:26:55.0642,203.0,266.1,fixation
14:26:55.0647,202.7,266.2,fixation
14:26:55.0652,202.8,265.6,fixation
14:26:55.0657,202.9,265.5,fixation
14:26:55.0662,202.7,266.0,fixation
14:26:55.0667,202.5,265.8,fixation
14:26:55.0672,202.5,265.2,fixation
14:26:55.0677,202.6,265.6,fixation
14:26:55.0682,202.7,266.6,fixation
14:26:55.0687,202.7,267.3,fixation
14:26:55.0692,202.8,266.7,fixation
14:26:55.0697,202.1,266.1,fixation
