TimeStamp,X,Y,Event
14:35:54.0266,612.9,297.1,fixation
14:35:54.0271,612.6,297.5,fixation
14:35:54.0276,611.9,298.7,fixation
14:35:54.0281,611.3,300.0,fixation
14:35:54.0286,611.5,302.9,fixation
14:35:54.0291,614.7,304.7,fixation
14:35:54.0296,615.5,305.6,fixation
14:35:54.0301,614.9,305.5,fixation
14:35:54.0306,612.6,304.8,fixation
14:35:54.0311,612.1,305.3,fixation
14:35:54.0316,614.0,302.5,fixation
14:35:54.0321,614.2,298.0,fixation
14:35:54.0326,614.9,301.6,fixation
14:35:54.0331,618.1,310.0,fixation
14:35:54.0336,618.2,313.0,fixation
14:35:54.0341,617.1,311.7,fixation
14:35:54.0346,615.8,310.6,fixation
14:35:54.0351,616.7,308.3,fixation
14:35:54.0356,616.8,306.4,fixation
14:35:54.0361,617.4,304.2,fixation
14:35:54.0366,617.6,301.7,fixation
14:35:54.0371,617.5,301.6,fixation
14:35:54.0376,616.3,302.5,fixation
14:35:54.0381,614.8,305.7,fixation
14:35:54.0386,614.4,309.0,fixation
14:35:54.0391,614.3,309.6,fixation
14:35:54.0396,613.8,308.5,fixation
14:35:54.0401,615.8,307.8,fixation
14:35:54.0406,618.3,307.5,fixation
14:35:54.0411,619.1,305.8,fixation
14:35:54.0416,618.9,306.6,fixation
14:35:54.0421,619.1,309.3,fixation
14:35:54.0426,619.8,309.5,fixation
14:35:54.0431,620.7,307.0,fixation
14:35:54.0436,620.7,305.8,fixation
14:35:54.0441,620.0,305.1,fixation
14:35:54.0446,617.1,301.5,fixation
14:35:54.0451,617.0,301.5,fixation
14:35:54.0456,618.1,300.8,fixation
14:35:54.0461,617.6,305.2,fixation
14:35:54.0466,618.4,311.7,fixation
14:35:54.0471,618.7,313.4,fixation
14:35:54.0476,615.9,310.5,fixation
14:35:54.0481,616.2,309.8,fixation
14:35:54.0486,617.5,308.4,fixation
14:35:54.0491,617.6,302.4,fixation
14:35:54.0496,615.5,300.4,fixation
14:35:54.0501,613.1,301.7,fixation
14:35:54.0506,613.1,301.9,fixation
14:35:54.0511,614.4,300.7,fixation
14:35:54.0516,615.0,299.0,fixation
14:35:54.0521,614.2,308.2,fixation
14:35:54.0526,615.7,309.6,fixation
14:35:54.0531,622.4,309.1,fixation
14:35:54.0536,620.3,311.3,fixation
14:35:54.0541,619.6,312.9,fixation
14:35:54.0546,619.3,312.1,fixation
14:35:54.0551,620.2,304.4,fixation
14:35:54.0556,619.5,302.0,fixation
14:35:54.0561,618.7,307.3,fixation
14:35:54.0566,619.6,308.3,fixation
14:35:54.0571,619.6,308.5,fixation
14:35:54.0576,615.3,306.4,fixation
14:35:54.0581,613.0,304.3,fixation
14:35:54.0586,615.2,304.2,fixation
14:35:54.0591,617.5,304.3,fixation
14:35:54.0596,618.1,305.9,fixation
14:35:54.0601,619.3,301.9,fixation
14:35:54.0606,619.6,301.3,fixation
14:35:54.0611,617.4,307.9,fixation
14:35:54.0616,616.7,309.8,fixation
14:35:54.0621,620.8,310.1,fixation
14:35:54.0626,622.1,309.6,fixation
14:35:54.0631,619.1,307.1,fixation
14:35:54.0636,619.4,306.8,fixation
14:35:54.0641,621.1,307.7,fixation
14:35:54.0646,620.6,308.7,fixation
14:35:54.0651,619.4,311.8,fixation
14:35:54.0656,617.0,310.0,fixation
14:35:54.0661,616.8,303.7,fixation
14:35:54.0666,619.4,296.4,fixation
14:35:54.0671,620.6,298.4,fixation
14:35:54.0676,621.7,313.1,fixation
14:35:54.0681,623.6,315.2,fixation
14:35:54.0686,621.7,307.7,fixation
14:35:54.0691,620.5,305.7,fixation
14:35:54.0696,621.5,303.2,fixation
14:35:54.0701,621.5,305.2,fixation
14:35:54.0706,621.1,308.3,fixation
14:35:54.0711,619.4,305.3,fixation
14:35:54.0716,617.8,304.3,fixation
14:35:54.0721,617.2,306.8,fixation
14:35:54.0726,616.9,306.5,fixation
14:35:54.0731,616.9,307.0,fixation
14:35:54.0736,616.9,308.4,fixation
14:35:54.0741,617.6,309.2,fixation
14:35:54.0746,620.2,308.1,fixation
14:35:54.0751,619.6,306.1,fixation
14:35:54.0756,618.2,306.7,fixation
14:35:54.0761,616.9,308.9,fixation
14:35:54.0766,616.8,309.4,fixation
14:35:54.0771,617.4,309.7,fixation
14:35:54.0776,618.9,309.3,fixation
14:35:54.0781,619.4,308.7,fixation
14:35:54.0786,617.6,308.1,fixation
14:35:54.0791,615.1,307.4,fixation
14:35:54.0796,616.4,310.5,fixation
14:35:54.0801,615.9,306.0,fixation
14:35:54.0806,613.6,304.1,fixation
14:35:54.0811,612.4,302.9,fixation
14:35:54.0816,613.4,295.3,saccade
14:35:54.0821,616.4,293.9,saccade
14:35:54.0826,610.6,295.3,saccade
14:35:54.0831,609.8,298.7,saccade
14:35:54.0836,606.1,311.0,saccade
14:35:54.0841,592.2,313.4,saccade
14:35:54.0846,572.8,306.3,saccade
14:35:54.0851,548.7,305.1,saccade
14:35:54.0856,524.7,301.0,saccade
14:35:54.0861,509.0,292.9,saccade
14:35:54.0866,491.1,288.1,saccade
