TimeStamp,X,Y,Event
14:42:55.1215,501.2,285.0,fixation
14:42:55.122,503.4,288.4,fixation
14:42:55.1225,503.1,285.1,fixation
14:42:55.1230,501.3,282.7,fixation
14:42:55.1235,503.2,285.4,fixation
14:42:55.124,503.4,287.4,fixation
14:42:55.1245,504.3,285.5,fixation
14:42:55.125,504.5,285.3,fixation
14:42:55.1255,503.8,285.5,fixation
14:42:55.1260,503.3,286.0,fixation
14:42:55.1265,503.4,288.4,fixation
14:42:55.127,502.7,282.6,fixation
14:42:55.1275,500.3,275.0,fixation
14:42:55.128,502.2,277.5,fixation
14:42:55.1285,502.8,280.0,fixation
14:42:55.1290,498.5,279.9,fixation
14:42:55.1295,498.8,280.0,fixation
14:42:55.13,498.7,281.1,fixation
14:42:55.1305,497.8,282.2,fixation
14:42:55.131,497.8,282.0,fixation
14:42:55.1315,498.8,284.6,fixation
14:42:55.1320,500.1,288.1,fixation
14:42:55.1325,499.7,288.7,fixation
14:42:55.133,498.9,286.4,fixation
14:42:55.1335,498.7,282.0,fixation
14:42:55.134,498.9,281.4,fixation
14:42:55.1345,501.2,285.3,fixation
14:42:55.1350,501.3,288.9,fixation
14:42:55.1355,499.1,286.6,fixation
14:42:55.136,496.6,279.2,fixation
14:42:55.1365,495.5,281.0,fixation
14:42:55.137,497.5,281.8,fixation
14:42:55.1375,498.7,281.2,fixation
14:42:55.1380,499.8,282.0,fixation
14:42:55.1385,501.6,284.2,fixation
14:42:55.139,498.8,279.1,fixation
14:42:55.1395,496.1,277.6,fixation
14:42:55.14,495.4,277.2,fixation
14:42:55.1405,495.5,278.4,fixation
14:42:55.1410,499.0,282.9,fixation
14:42:55.1415,502.0,283.4,fixation
14:42:55.142,502.2,279.9,fixation
14:42:55.1425,501.7,281.3,fixation
14:42:55.143,501.3,281.4,fixation
14:42:55.1435,502.0,280.9,fixation
14:42:55.1440,502.6,282.2,fixation
14:42:55.1445,501.4,285.8,fixation
14:42:55.145,500.4,288.3,fixation
14:42:55.1455,500.0,284.7,fixation
14:42:55.146,497.7,282.0,fixation
14:42:55.1465,497.3,276.4,fixation
14:42:55.1470,496.0,281.0,fixation
14:42:55.1475,499.1,281.7,fixation
14:42:55.148,500.7,282.4,fixation
