TimeStamp,X,Y,Event
13:21:32.0447,823.7,252.3,fixation
13:21:32.0452,823.7,251.4,fixation
13:21:32.0457,824.3,251.2,fixation
13:21:32.0462,824.9,251.0,fixation
13:21:32.0467,824.7,250.8,fixation
13:21:32.0472,824.0,250.3,fixation
13:21:32.0477,823.2,249.8,fixation
13:21:32.0482,823.1,249.6,fixation
13:21:32.0487,822.7,250.1,fixation
13:21:32.0492,822.3,250.6,fixation
13:21:32.0497,821.9,250.4,fixation
13:21:32.0502,821.9,249.7,fixation
13:21:32.0507,822.2,248.2,fixation
13:21:32.0512,822.4,247.0,fixation
13:21:32.0517,822.1,246.6,fixation
13:21:32.0522,821.5,247.5,fixation
13:21:32.0527,821.4,249.9,fixation
13:21:32.0532,821.8,251.8,fixation
13:21:32.0537,822.3,253.2,fixation
13:21:32.0542,819.5,252.9,fixation
13:21:32.0547,817.2,252.7,fixation
13:21:32.0552,815.6,250.3,fixation
13:21:32.0557,821.1,248.1,fixation
13:21:32.0562,825.9,246.3,fixation
13:21:32.0567,827.7,247.8,fixation
13:21:32.0572,825.4,249.7,fixation
13:21:32.0577,822.9,251.1,fixation
13:21:32.0582,822.7,252.6,fixation
13:21:32.0587,822.4,254.6,fixation
13:21:32.0592,821.8,256.6,fixation
13:21:32.0597,821.5,256.1,fixation
13:21:32.0602,821.1,255.3,fixation
13:21:32.0607,822.1,254.6,fixation
13:21:32.0612,822.9,255.0,fixation
13:21:32.0617,823.8,254.2,fixation
13:21:32.0622,821.7,253.7,fixation
13:21:32.0627,819.6,254.2,fixation
13:21:32.0632,819.4,255.3,fixation
13:21:32.0637,821.5,256.1,fixation
13:21:32.0642,822.9,256.4,fixation
13:21:32.0647,822.7,255.7,fixation
13:21:32.0652,822.9,254.8,fixation
13:21:32.0657,823.8,254.5,fixation
13:21:32.0662,824.2,254.8,fixation
13:21:32.0667,823.7,255.3,fixation
13:21:32.0672,823.3,255.3,fixation
13:21:32.0677,822.3,256.3,fixation
13:21:32.0682,821.5,257.3,fixation
13:21:32.0687,820.8,257.8,fixation
13:21:32.0692,821.4,256.2,fixation
13:21:32.0697,822.2,254.3,fixation
13:21:32.0702,823.0,252.8,fixation
13:21:32.0707,823.2,252.6,fixation
13:21:32.0712,823.4,252.8,fixation
13:21:32.0717,823.5,253.2,fixation
13:21:32.0722,823.2,253.6,fixation
13:21:32.0727,822.9,253.4,fixation
13:21:32.0732,822.1,253.3,fixation
13:21:32.0737,821.6,253.4,fixation
13:21:32.0742,822.2,253.9,fixation
13:21:32.0747,823.3,254.7,fixation
13:21:32.0752,824.5,255.2,fixation
13:21:32.0757,824.6,255.4,fixation
13:21:32.0762,822.5,254.8,fixation
13:21:32.0767,820.3,254.2,fixation
13:21:32.0772,818.9,254.5,fixation
