TimeStamp,X,Y,Event
12:28:42.8965,.,.,blink
12:28:42.8970,.,.,blink
12:28:42.8975,.,.,blink
12:28:42.898,.,.,blink
12:28:42.8985,.,.,blink
12:28:42.899,.,.,blink
12:28:42.8995,.,.,blink
12:28:42.9000,.,.,blink
12:28:42.9005,.,.,blink
12:28:42.901,.,.,blink
12:28:42.9015,.,.,blink
12:28:42.902,.,.,blink
12:28:42.9025,.,.,blink
12:28:42.9030,.,.,blink
12:28:42.9035,.,.,blink
12:28:42.904,.,.,blink
12:28:42.9045,.,.,blink
12:28:42.905,.,.,blink
12:28:42.9055,.,.,blink
12:28:42.9060,.,.,blink
12:28:42.9065,.,.,blink
12:28:42.9070,.,.,blink
12:28:42.9075,.,.,blink
12:28:42.908,.,.,blink
12:28:42.9085,.,.,blink
12:28:42.909,.,.,blink
12:28:42.9095,.,.,blink
12:28:42.9100,.,.,blink
12:28:42.9105,.,.,blink
12:28:42.911,.,.,blink
12:28:42.9115,.,.,blink
12:28:42.912,.,.,blink
12:28:42.9125,.,.,blink
12:28:42.9130,.,.,blink
12:28:42.9135,.,.,blink
12:28:42.914,.,.,blink
12:28:42.9145,.,.,blink
12:28:42.915,.,.,blink
12:28:42.9155,.,.,blink
12:28:42.9160,.,.,blink
12:28:42.9165,.,.,blink
12:28:42.917,.,.,blink
12:28:42.9175,.,.,blink
12:28:42.918,.,.,blink
12:28:42.9185,.,.,blink
12:28:42.9190,.,.,blink
12:28:42.9195,.,.,blink
12:28:42.92,.,.,blink
12:28:42.9205,.,.,blink
12:28:42.921,.,.,blink
12:28:42.9215,.,.,blink
12:28:42.9220,.,.,blink
12:28:42.9225,.,.,blink
12:28:42.923,.,.,blink
12:28:42.9235,.,.,blink
12:28:42.924,.,.,blink
12:28:42.9245,.,.,blink
12:28:42.9250,.,.,blink
12:28:42.9255,.,.,blink
12:28:42.926,.,.,blink
12:28:42.9265,.,.,blink
12:28:42.927,.,.,blink
12:28:42.9275,.,.,blink
12:28:42.9280,.,.,blink
12:28:42.9285,.,.,blink
12:28:42.929,.,.,blink
12:28:42.9295,.,.,blink
12:28:42.93,.,.,blink
12:28:42.9305,.,.,blink
12:28:42.9310,.,.,blink
12:28:42.9315,.,.,blink
12:28:42.932,.,.,blink
12:28:42.9325,.,.,blink
12:28:42.933,.,.,blink
12:28:42.9335,.,.,blink
12:28:42.9340,.,.,blink
12:28:42.9345,.,.,blink
12:28:42.935,.,.,blink
12:28:42.9355,.,.,blink
12:28:42.936,.,.,blink
12:28:42.9365,.,.,blink
12:28:42.9370,.,.,blink
12:28:42.9375,.,.,blink
12:28:42.938,.,.,blink
12:28:42.9385,.,.,blink
12:28:42.939,.,.,blink
12:28:42.9395,.,.,blink
12:28:42.9400,.,.,blink
12:28:42.9405,.,.,blink
12:28:42.941,.,.,blink
12:28:42.9415,.,.,blink
12:28:42.942,.,.,blink
12:28:42.9425,.,.,blink
12:28:42.9430,.,.,blink
12:28:42.9435,.,.,blink
12:28:42.944,.,.,blink
12:28:42.9445,.,.,blink
12:28:42.945,.,.,blink
12:28:42.9455,.,.,blink
12:28:42.9460,.,.,blink
12:28:42.9465,.,.,blink
12:28:42.947,.,.,blink
12:28:42.9475,.,.,blink
12:28:42.948,.,.,blink
12:28:42.9485,.,.,blink
12:28:42.9490,.,.,blink
12:28:42.9495,.,.,blink
12:28:42.95,.,.,blink
12:28:42.9505,.,.,blink
12:28:42.951,.,.,blink
12:28:42.9515,.,.,blink
12:28:42.9520,.,.,blink
12:28:42.9525,.,.,blink
12:28:42.953,.,.,blink
12:28:42.9535,.,.,blink
12:28:42.954,.,.,blink
12:28:42.9545,.,.,blink
12:28:42.9550,.,.,blink
12:28:42.9555,.,.,blink
12:28:42.956,.,.,blink
12:28:42.9565,.,.,blink
12:28:42.957,.,.,blink
12:28:42.9575,.,.,blink
12:28:42.9580,.,.,blink
12:28:42.9585,.,.,blink
12:28:42.959,.,.,blink
12:28:42.9595,.,.,blink
12:28:42.96,.,.,blink
12:28:42.9605,.,.,blink
12:28:42.9610,.,.,blink
12:28:42.9615,.,.,blink
12:28:42.962,.,.,blink
12:28:42.9625,.,.,blink
12:28:42.963,.,.,blink
12:28:42.9635,.,.,blink
12:28:42.9640,.,.,blink
12:28:42.9645,.,.,blink
12:28:42.965,.,.,blink
12:28:42.9655,.,.,blink
12:28:42.966,.,.,blink
12:28:42.9665,.,.,blink
12:28:42.9670,.,.,blink
12:28:42.9675,.,.,blink
12:28:42.968,.,.,blink
12:28:42.9685,.,.,blink
12:28:42.969,.,.,blink
12:28:42.9695,.,.,blink
12:28:42.97,.,.,blink
12:28:42.9705,.,.,blink
12:28:42.9710,.,.,blink
12:28:42.9715,.,.,blink
12:28:42.972,.,.,blink
12:28:42.9725,.,.,blink
12:28:42.973,.,.,blink
12:28:42.9735,.,.,blink
12:28:42.9740,.,.,blink
12:28:42.9745,.,.,blink
12:28:42.975,.,.,blink
12:28:42.9755,.,.,blink
12:28:42.976,.,.,blink
12:28:42.9765,.,.,blink
12:28:42.9770,.,.,blink
12:28:42.9775,.,.,blink
12:28:42.978,.,.,blink
12:28:42.9785,.,.,blink
12:28:42.979,.,.,blink
12:28:42.9795,.,.,blink
12:28:42.9800,.,.,blink
12:28:42.9805,.,.,blink
12:28:42.981,.,.,blink
12:28:42.9815,.,.,blink
12:28:42.982,.,.,blink
12:28:42.9825,.,.,blink
12:28:42.9830,.,.,blink
12:28:42.9835,.,.,blink
12:28:42.984,.,.,blink
12:28:42.9845,.,.,blink
12:28:42.985,.,.,blink
12:28:42.9855,.,.,blink
12:28:42.9860,.,.,blink
12:28:42.9865,.,.,blink
12:28:42.987,.,.,blink
12:28:42.9875,.,.,blink
12:28:42.988,.,.,blink
12:28:42.9885,.,.,blink
12:28:42.9890,.,.,blink
12:28:42.9895,.,.,blink
12:28:42.99,.,.,blink
12:28:42.9905,.,.,blink
12:28:42.991,.,.,blink
12:28:42.9915,.,.,blink
12:28:42.9920,.,.,blink
12:28:42.9925,.,.,blink
12:28:42.993,.,.,blink
12:28:42.9935,.,.,blink
12:28:42.994,.,.,blink
12:28:42.9945,.,.,blink
12:28:42.9950,.,.,blink
12:28:42.9955,.,.,blink
12:28:42.996,.,.,blink
12:28:42.9965,.,.,blink
12:28:42.997,.,.,blink
12:28:42.9975,.,.,blink
12:28:42.9980,.,.,blink
12:28:42.9985,.,.,blink
12:28:42.999,.,.,blink
12:28:42.9995,.,.,blink
12:28:43.,.,.,blink
12:28:43.0005,.,.,blink
12:28:43.0010,.,.,blink
12:28:43.0015,.,.,blink
12:28:43.002,.,.,blink
12:28:43.0025,.,.,blink
12:28:43.003,.,.,blink
12:28:43.0035,.,.,blink
12:28:43.0040,.,.,blink
12:28:43.0045,.,.,blink
12:28:43.005,.,.,blink
12:28:43.0055,.,.,blink
12:28:43.006,.,.,blink
12:28:43.0065,.,.,blink
12:28:43.0070,.,.,blink
12:28:43.0075,.,.,blink
12:28:43.008,.,.,blink
12:28:43.0085,.,.,blink
12:28:43.009,.,.,blink
12:28:43.0095,.,.,blink
12:28:43.0100,.,.,blink
12:28:43.0105,.,.,blink
12:28:43.011,.,.,blink
12:28:43.0115,.,.,blink
12:28:43.012,.,.,blink
12:28:43.0125,.,.,blink
12:28:43.0130,.,.,blink
12:28:43.0135,.,.,blink
12:28:43.014,.,.,blink
12:28:43.0145,.,.,blink
12:28:43.015,.,.,blink
12:28:43.0155,.,.,blink
12:28:43.0160,.,.,blink
12:28:43.0165,.,.,blink
12:28:43.017,.,.,blink
12:28:43.0175,.,.,blink
12:28:43.018,.,.,blink
12:28:43.0185,.,.,blink
12:28:43.0190,.,.,blink
12:28:43.0195,.,.,blink
12:28:43.02,.,.,blink
12:28:43.0205,.,.,blink
12:28:43.021,.,.,blink
12:28:43.0215,.,.,blink
12:28:43.0220,.,.,blink
12:28:43.0225,.,.,blink
12:28:43.023,.,.,blink
12:28:43.0235,.,.,blink
12:28:43.024,.,.,blink
12:28:43.0245,.,.,blink
12:28:43.0250,.,.,blink
12:28:43.0255,.,.,blink
12:28:43.026,.,.,blink
12:28:43.0265,.,.,blink
12:28:43.027,.,.,blink
12:28:43.0275,.,.,blink
12:28:43.0280,.,.,blink
12:28:43.0285,.,.,blink
12:28:43.029,.,.,blink
12:28:43.0295,.,.,blink
12:28:43.03,.,.,blink
12:28:43.0305,.,.,blink
12:28:43.0310,.,.,blink
12:28:43.0315,.,.,blink
12:28:43.0320,.,.,blink
12:28:43.0325,.,.,blink
12:28:43.033,.,.,blink
12:28:43.0335,.,.,blink
12:28:43.034,.,.,blink
12:28:43.0345,.,.,blink
12:28:43.0350,.,.,blink
12:28:43.0355,.,.,blink
12:28:43.036,.,.,blink
12:28:43.0365,.,.,blink
12:28:43.037,.,.,blink
12:28:43.0375,.,.,blink
12:28:43.0380,.,.,blink
12:28:43.0385,.,.,blink
12:28:43.039,.,.,blink
12:28:43.0395,.,.,blink
12:28:43.04,.,.,blink
12:28:43.0405,.,.,blink
12:28:43.0410,.,.,blink
12:28:43.0415,.,.,blink
12:28:43.042,.,.,blink
12:28:43.0425,.,.,blink
12:28:43.043,.,.,blink
12:28:43.0435,.,.,blink
12:28:43.0440,.,.,blink
12:28:43.0445,.,.,blink
12:28:43.045,.,.,blink
12:28:43.0455,.,.,blink
12:28:43.046,.,.,blink
12:28:43.0465,.,.,blink
12:28:43.0470,.,.,blink
12:28:43.0475,.,.,blink
12:28:43.048,.,.,blink
12:28:43.0485,.,.,blink
12:28:43.049,.,.,blink
12:28:43.0495,.,.,blink
12:28:43.0500,.,.,blink
12:28:43.0505,.,.,blink
12:28:43.051,.,.,blink
12:28:43.0515,.,.,blink
12:28:43.052,.,.,blink
12:28:43.0525,.,.,blink
12:28:43.0530,.,.,blink
12:28:43.0535,.,.,blink
12:28:43.054,.,.,blink
12:28:43.0545,.,.,blink
12:28:43.055,.,.,blink
12:28:43.0555,.,.,blink
12:28:43.0560,.,.,blink
12:28:43.0565,.,.,blink
12:28:43.057,.,.,blink
12:28:43.0575,.,.,blink
12:28:43.058,.,.,blink
12:28:43.0585,.,.,blink
12:28:43.0590,.,.,blink
12:28:43.0595,.,.,blink
12:28:43.06,.,.,blink
12:28:43.0605,.,.,blink
12:28:43.061,.,.,blink
12:28:43.0615,.,.,blink
12:28:43.0620,.,.,blink
12:28:43.0625,.,.,blink
12:28:43.063,.,.,blink
12:28:43.0635,.,.,blink
12:28:43.064,.,.,blink
12:28:43.0645,.,.,blink
12:28:43.0650,.,.,blink
12:28:43.0655,.,.,blink
12:28:43.066,.,.,blink
12:28:43.0665,.,.,blink
12:28:43.067,.,.,blink
12:28:43.0675,.,.,blink
12:28:43.0680,.,.,blink
12:28:43.0685,.,.,blink
12:28:43.069,.,.,blink
12:28:43.0695,.,.,blink
12:28:43.07,.,.,blink
12:28:43.0705,.,.,blink
12:28:43.0710,.,.,blink
12:28:43.0715,.,.,blink
12:28:43.072,.,.,blink
12:28:43.0725,.,.,blink
12:28:43.073,.,.,blink
12:28:43.0735,.,.,blink
12:28:43.0740,.,.,blink
12:28:43.0745,.,.,blink
12:28:43.075,.,.,blink
12:28:43.0755,.,.,blink
12:28:43.076,.,.,blink
12:28:43.0765,.,.,blink
12:28:43.0770,.,.,blink
12:28:43.0775,.,.,blink
12:28:43.078,.,.,blink
12:28:43.0785,.,.,blink
12:28:43.079,.,.,blink
12:28:43.0795,.,.,blink
12:28:43.0800,.,.,blink
12:28:43.0805,.,.,blink
12:28:43.081,.,.,blink
12:28:43.0815,.,.,blink
12:28:43.082,.,.,blink
12:28:43.0825,.,.,blink
12:28:43.0830,.,.,blink
12:28:43.0835,.,.,blink
12:28:43.084,.,.,blink
12:28:43.0845,.,.,blink
12:28:43.085,.,.,blink
12:28:43.0855,.,.,blink
12:28:43.0860,.,.,blink
12:28:43.0865,.,.,blink
12:28:43.087,.,.,blink
12:28:43.0875,.,.,blink
12:28:43.088,.,.,blink
12:28:43.0885,.,.,blink
12:28:43.0890,.,.,blink
12:28:43.0895,.,.,blink
12:28:43.09,.,.,blink
12:28:43.0905,.,.,blink
12:28:43.091,.,.,blink
12:28:43.0915,.,.,blink
12:28:43.0920,.,.,blink
12:28:43.0925,.,.,blink
12:28:43.093,.,.,blink
12:28:43.0935,.,.,blink
12:28:43.094,.,.,blink
12:28:43.0945,.,.,blink
12:28:43.095,.,.,blink
12:28:43.0955,.,.,blink
12:28:43.0960,.,.,blink
12:28:43.0965,.,.,blink
12:28:43.097,.,.,blink
12:28:43.0975,.,.,blink
12:28:43.098,.,.,blink
12:28:43.0985,.,.,blink
12:28:43.0990,.,.,blink
12:28:43.0995,.,.,blink
12:28:43.1,.,.,blink
12:28:43.1005,.,.,blink
12:28:43.101,.,.,blink
12:28:43.1015,.,.,blink
12:28:43.1020,.,.,blink
12:28:43.1025,.,.,blink
12:28:43.103,.,.,blink
12:28:43.1035,.,.,blink
12:28:43.104,.,.,blink
12:28:43.1045,.,.,blink
12:28:43.1050,.,.,blink
12:28:43.1055,.,.,blink
12:28:43.106,.,.,blink
12:28:43.1065,.,.,blink
12:28:43.107,.,.,blink
12:28:43.1075,.,.,blink
12:28:43.1080,.,.,blink
12:28:43.1085,.,.,blink
12:28:43.109,.,.,blink
12:28:43.1095,.,.,blink
12:28:43.11,.,.,blink
12:28:43.1105,.,.,blink
12:28:43.1110,.,.,blink
12:28:43.1115,.,.,blink
12:28:43.112,.,.,blink
12:28:43.1125,.,.,blink
12:28:43.113,.,.,blink
12:28:43.1135,.,.,blink
12:28:43.1140,.,.,blink
12:28:43.1145,.,.,blink
12:28:43.115,.,.,blink
12:28:43.1155,.,.,blink
12:28:43.116,.,.,blink
12:28:43.1165,.,.,blink
12:28:43.1170,.,.,blink
12:28:43.1175,.,.,blink
12:28:43.118,.,.,blink
12:28:43.1185,.,.,blink
12:28:43.119,.,.,blink
12:28:43.1195,.,.,blink
12:28:43.1200,.,.,blink
12:28:43.1205,.,.,blink
12:28:43.121,.,.,blink
12:28:43.1215,.,.,blink
12:28:43.122,.,.,blink
12:28:43.1225,.,.,blink
12:28:43.1230,.,.,blink
12:28:43.1235,.,.,blink
12:28:43.124,.,.,blink
12:28:43.1245,.,.,blink
12:28:43.125,.,.,blink
12:28:43.1255,.,.,blink
12:28:43.1260,.,.,blink
12:28:43.1265,.,.,blink
12:28:43.127,.,.,blink
12:28:43.1275,.,.,blink
12:28:43.128,.,.,blink
12:28:43.1285,.,.,blink
12:28:43.1290,.,.,blink
12:28:43.1295,.,.,blink
12:28:43.13,.,.,blink
12:28:43.1305,.,.,blink
12:28:43.131,.,.,blink
12:28:43.1315,.,.,blink
12:28:43.1320,.,.,blink
12:28:43.1325,.,.,blink
12:28:43.133,.,.,blink
12:28:43.1335,.,.,blink
12:28:43.134,.,.,blink
12:28:43.1345,.,.,blink
12:28:43.1350,.,.,blink
12:28:43.1355,.,.,blink
12:28:43.136,.,.,blink
12:28:43.1365,.,.,blink
12:28:43.137,.,.,blink
12:28:43.1375,.,.,blink
12:28:43.1380,.,.,blink
12:28:43.1385,.,.,blink
12:28:43.139,.,.,blink
12:28:43.1395,.,.,blink
12:28:43.14,.,.,blink
12:28:43.1405,.,.,blink
12:28:43.1410,.,.,blink
12:28:43.1415,.,.,blink
12:28:43.142,.,.,blink
12:28:43.1425,.,.,blink
12:28:43.143,.,.,blink
12:28:43.1435,.,.,blink
12:28:43.1440,.,.,blink
12:28:43.1445,.,.,blink
12:28:43.145,.,.,blink
12:28:43.1455,.,.,blink
12:28:43.146,.,.,blink
12:28:43.1465,.,.,blink
12:28:43.1470,.,.,blink
12:28:43.1475,.,.,blink
12:28:43.148,.,.,blink
12:28:43.1485,.,.,blink
12:28:43.149,.,.,blink
12:28:43.1495,.,.,blink
12:28:43.1500,.,.,blink
12:28:43.1505,.,.,blink
12:28:43.151,.,.,blink
12:28:43.1515,.,.,blink
12:28:43.152,.,.,blink
12:28:43.1525,.,.,blink
12:28:43.1530,.,.,blink
12:28:43.1535,.,.,blink
12:28:43.154,.,.,blink
12:28:43.1545,.,.,blink
12:28:43.155,.,.,blink
12:28:43.1555,.,.,blink
12:28:43.1560,.,.,blink
12:28:43.1565,.,.,blink
12:28:43.1570,.,.,blink
12:28:43.1575,.,.,blink
12:28:43.158,.,.,blink
12:28:43.1585,.,.,blink
12:28:43.159,.,.,blink
12:28:43.1595,.,.,blink
12:28:43.1600,.,.,blink
12:28:43.1605,.,.,blink
12:28:43.161,.,.,blink
12:28:43.1615,.,.,blink
12:28:43.162,.,.,blink
12:28:43.1625,.,.,blink
12:28:43.1630,.,.,blink
12:28:43.1635,.,.,blink
12:28:43.164,.,.,blink
12:28:43.1645,.,.,blink
12:28:43.165,.,.,blink
12:28:43.1655,.,.,blink
12:28:43.1660,.,.,blink
12:28:43.1665,.,.,blink
12:28:43.167,.,.,blink
12:28:43.1675,.,.,blink
12:28:43.168,.,.,blink
12:28:43.1685,.,.,blink
12:28:43.1690,.,.,blink
12:28:43.1695,.,.,blink
12:28:43.17,.,.,blink
12:28:43.1705,.,.,blink
12:28:43.171,.,.,blink
12:28:43.1715,.,.,blink
12:28:43.1720,.,.,blink
12:28:43.1725,.,.,blink
12:28:43.173,.,.,blink
12:28:43.1735,.,.,blink
12:28:43.174,.,.,blink
12:28:43.1745,.,.,blink
12:28:43.1750,.,.,blink
12:28:43.1755,.,.,blink
12:28:43.176,.,.,blink
12:28:43.1765,.,.,blink
12:28:43.177,.,.,blink
12:28:43.1775,.,.,blink
12:28:43.1780,.,.,blink
12:28:43.1785,.,.,blink
12:28:43.179,.,.,blink
12:28:43.1795,.,.,blink
12:28:43.18,.,.,blink
12:28:43.1805,.,.,blink
12:28:43.1810,.,.,blink
12:28:43.1815,.,.,blink
12:28:43.182,.,.,blink
12:28:43.1825,.,.,blink
12:28:43.183,.,.,blink
12:28:43.1835,.,.,blink
12:28:43.1840,.,.,blink
12:28:43.1845,.,.,blink
12:28:43.185,.,.,blink
12:28:43.1855,.,.,blink
12:28:43.186,.,.,blink
12:28:43.1865,.,.,blink
12:28:43.1870,.,.,blink
12:28:43.1875,.,.,blink
12:28:43.188,.,.,blink
12:28:43.1885,.,.,blink
12:28:43.189,.,.,blink
12:28:43.1895,.,.,blink
12:28:43.1900,.,.,blink
12:28:43.1905,.,.,blink
12:28:43.191,.,.,blink
12:28:43.1915,.,.,blink
12:28:43.192,.,.,blink
12:28:43.1925,.,.,blink
12:28:43.1930,.,.,blink
12:28:43.1935,.,.,blink
12:28:43.194,.,.,blink
12:28:43.1945,.,.,blink
12:28:43.195,.,.,blink
12:28:43.1955,.,.,blink
12:28:43.1960,.,.,blink
12:28:43.1965,.,.,blink
12:28:43.197,.,.,blink
12:28:43.1975,.,.,blink
12:28:43.198,.,.,blink
12:28:43.1985,.,.,blink
12:28:43.1990,.,.,blink
12:28:43.1995,.,.,blink
12:28:43.2,.,.,blink
12:28:43.2005,.,.,blink
12:28:43.201,.,.,blink
12:28:43.2015,.,.,blink
12:28:43.2020,.,.,blink
12:28:43.2025,.,.,blink
12:28:43.203,.,.,blink
12:28:43.2035,.,.,blink
12:28:43.204,.,.,blink
12:28:43.2045,.,.,blink
12:28:43.2050,.,.,blink
12:28:43.2055,.,.,blink
12:28:43.206,.,.,blink
12:28:43.2065,.,.,blink
12:28:43.207,.,.,blink
12:28:43.2075,.,.,blink
12:28:43.2080,.,.,blink
12:28:43.2085,.,.,blink
12:28:43.209,.,.,blink
12:28:43.2095,.,.,blink
12:28:43.21,.,.,blink
12:28:43.2105,.,.,blink
12:28:43.2110,.,.,blink
12:28:43.2115,.,.,blink
12:28:43.212,.,.,blink
12:28:43.2125,.,.,blink
12:28:43.213,.,.,blink
12:28:43.2135,.,.,blink
12:28:43.2140,.,.,blink
12:28:43.2145,.,.,blink
12:28:43.215,.,.,blink
12:28:43.2155,.,.,blink
12:28:43.216,.,.,blink
12:28:43.2165,.,.,blink
12:28:43.2170,.,.,blink
12:28:43.2175,.,.,blink
12:28:43.218,.,.,blink
12:28:43.2185,.,.,blink
12:28:43.219,.,.,blink
12:28:43.2195,.,.,blink
12:28:43.22,.,.,blink
12:28:43.2205,.,.,blink
12:28:43.2210,.,.,blink
12:28:43.2215,.,.,blink
12:28:43.222,.,.,blink
12:28:43.2225,.,.,blink
12:28:43.223,.,.,blink
12:28:43.2235,.,.,blink
12:28:43.2240,.,.,blink
12:28:43.2245,.,.,blink
12:28:43.225,.,.,blink
12:28:43.2255,.,.,blink
12:28:43.226,.,.,blink
12:28:43.2265,.,.,blink
12:28:43.2270,.,.,blink
12:28:43.2275,.,.,blink
12:28:43.228,.,.,blink
12:28:43.2285,.,.,blink
12:28:43.229,.,.,blink
12:28:43.2295,.,.,blink
12:28:43.2300,.,.,blink
12:28:43.2305,.,.,blink
12:28:43.231,.,.,blink
12:28:43.2315,.,.,blink
12:28:43.232,.,.,blink
12:28:43.2325,.,.,blink
12:28:43.2330,.,.,blink
12:28:43.2335,.,.,blink
12:28:43.234,.,.,blink
12:28:43.2345,.,.,blink
12:28:43.235,.,.,blink
12:28:43.2355,.,.,blink
12:28:43.2360,.,.,blink
12:28:43.2365,.,.,blink
12:28:43.237,.,.,blink
