TimeStamp,X,Y,Event
13:27:26.8451,20.0,239.3,fixation
13:27:26.8455,20.9,239.7,fixation
13:27:26.846,21.2,239.9,fixation
13:27:26.8465,20.7,240.1,fixation
13:27:26.8469,20.1,240.6,fixation
13:27:26.8474,21.0,241.1,fixation
13:27:26.8479,21.8,240.0,fixation
13:27:26.8483,21.9,238.6,fixation
13:27:26.8487,21.2,237.4,fixation
13:27:26.8492,19.5,238.9,fixation
13:27:26.8497,18.6,240.3,fixation
13:27:26.8501,17.7,241.5,fixation
13:27:26.8506,17.7,241.0,fixation
13:27:26.8511,19.0,240.2,fixation
13:27:26.8515,20.3,240.3,fixation
13:27:26.852,21.4,240.7,fixation
13:27:26.8525,21.0,241.9,fixation
13:27:26.8529,20.6,242.4,fixation
13:27:26.8534,20.4,242.4,fixation
13:27:26.8539,20.5,241.5,fixation
13:27:26.8544,20.6,240.4,fixation
13:27:26.8548,21.0,239.8,fixation
13:27:26.8553,21.2,239.7,fixation
13:27:26.8558,21.3,239.9,fixation
13:27:26.8562,20.8,240.2,fixation
13:27:26.8567,20.4,240.7,fixation
13:27:26.8572,20.2,241.3,fixation
13:27:26.8576,20.4,241.8,fixation
13:27:26.8581,19.9,242.1,fixation
13:27:26.8586,19.3,242.0,fixation
13:27:26.8590,18.8,242.2,fixation
13:27:26.8595,18.9,242.6,fixation
13:27:26.86,18.7,243.0,fixation
13:27:26.8605,18.3,243.0,fixation
13:27:26.8609,19.3,242.8,fixation
13:27:26.8614,20.8,242.6,fixation
13:27:26.8619,21.9,240.7,fixation
13:27:26.8623,21.5,238.8,fixation
13:27:26.8628,20.6,236.8,fixation
13:27:26.8633,19.8,236.7,fixation
13:27:26.8637,19.1,236.5,fixation
13:27:26.8642,19.1,236.5,fixation
13:27:26.8647,19.3,236.5,fixation
13:27:26.8651,19.5,236.5,fixation
13:27:26.8656,19.7,236.5,fixation
13:27:26.8661,19.8,236.8,fixation
13:27:26.8666,18.9,237.3,fixation
13:27:26.8670,17.9,238.4,fixation
13:27:26.8675,18.6,239.2,fixation
13:27:26.868,20.3,239.7,fixation
13:27:26.8684,22.0,239.6,fixation
13:27:26.8689,21.9,239.5,fixation
13:27:26.8694,21.7,239.6,fixation
13:27:26.8698,21.6,239.5,fixation
13:27:26.8703,21.7,239.5,fixation
13:27:26.8708,21.7,239.4,fixation
13:27:26.8712,20.6,239.0,fixation
13:27:26.8717,19.7,238.6,fixation
13:27:26.8722,19.1,237.7,fixation
13:27:26.8727,19.6,237.2,fixation
13:27:26.8731,19.8,237.3,fixation
13:27:26.8736,19.7,237.9,fixation
13:27:26.8741,19.5,238.0,fixation
13:27:26.8745,19.5,237.5,fixation
13:27:26.875,19.3,236.9,fixation
13:27:26.8755,19.2,236.8,fixation
13:27:26.8759,19.2,236.0,fixation
13:27:26.8764,19.4,235.4,fixation
