TimeStamp,X,Y,Event
12:20:46.1826,518.6,167.8,fixation
12:20:46.1831,519.3,167.6,fixation
12:20:46.1836,520.1,167.4,fixation
12:20:46.1841,520.4,165.6,fixation
12:20:46.1846,520.7,163.8,fixation
12:20:46.1851,520.9,162.6,fixation
12:20:46.1856,520.8,162.9,fixation
12:20:46.1861,520.8,162.9,fixation
12:20:46.1866,520.5,162.3,fixation
12:20:46.1871,520.0,163.0,fixation
12:20:46.1876,519.5,163.8,fixation
12:20:46.1881,519.5,164.6,fixation
12:20:46.1886,520.7,165.5,fixation
12:20:46.1891,522.2,166.6,fixation
12:20:46.1896,523.7,167.7,fixation
12:20:46.1901,524.2,167.7,fixation
12:20:46.1906,524.1,167.4,fixation
12:20:46.1911,524.0,166.7,fixation
12:20:46.1916,524.1,166.1,fixation
12:20:46.1921,524.3,165.8,fixation
12:20:46.1926,524.1,165.8,fixation
12:20:46.1931,523.7,165.8,fixation
12:20:46.1936,523.2,165.7,fixation
12:20:46.1941,523.1,165.6,fixation
12:20:46.1946,523.0,165.5,fixation
12:20:46.1951,521.7,165.4,fixation
12:20:46.1956,520.4,165.6,fixation
12:20:46.1961,519.4,165.8,fixation
12:20:46.1966,519.8,165.5,fixation
12:20:46.1971,520.2,165.0,fixation
12:20:46.1976,520.0,166.3,fixation
12:20:46.1981,519.9,168.0,fixation
12:20:46.1986,520.0,168.5,fixation
12:20:46.1991,520.5,165.9,fixation
12:20:46.1996,520.9,163.3,fixation
12:20:46.2001,521.0,161.9,fixation
12:20:46.2006,520.6,165.3,fixation
12:20:46.2011,520.2,168.7,fixation
12:20:46.2016,520.0,170.8,fixation
12:20:46.2021,520.1,169.0,fixation
12:20:46.2026,520.5,165.9,fixation
12:20:46.2031,520.9,164.0,fixation
12:20:46.2036,521.4,162.8,fixation
12:20:46.2041,521.6,164.4,fixation
12:20:46.2046,521.8,166.0,fixation
12:20:46.2051,521.9,167.1,fixation
12:20:46.2056,521.9,166.9,fixation
12:20:46.2061,521.8,166.8,fixation
12:20:46.2066,521.7,167.2,fixation
12:20:46.2071,521.7,167.2,fixation
12:20:46.2076,521.7,166.8,fixation
12:20:46.2081,521.7,166.2,fixation
12:20:46.2086,521.4,165.7,fixation
12:20:46.2091,521.0,166.7,fixation
12:20:46.2096,520.6,168.0,fixation
12:20:46.2101,520.4,169.3,fixation
12:20:46.2106,520.7,169.6,fixation
12:20:46.2111,521.4,170.3,fixation
12:20:46.2116,522.1,170.4,fixation
12:20:46.2121,522.6,169.5,fixation
12:20:46.2126,522.6,168.1,fixation
12:20:46.2131,522.5,167.0,fixation
12:20:46.2136,522.7,166.6,fixation
12:20:46.2141,523.1,167.7,fixation
12:20:46.2146,523.5,169.1,fixation
12:20:46.2151,522.9,170.6,fixation
12:20:46.2156,521.6,170.5,fixation
12:20:46.2161,520.4,170.9,fixation
12:20:46.2166,520.0,171.4,fixation
12:20:46.2171,520.1,170.6,fixation
12:20:46.2176,520.1,170.2,fixation
12:20:46.2181,520.2,170.4,fixation
12:20:46.2186,520.1,171.9,fixation
12:20:46.2191,519.6,172.3,fixation
12:20:46.2196,519.1,172.2,fixation
12:20:46.2201,519.1,172.7,fixation
12:20:46.2206,519.7,173.1,fixation
12:20:46.2211,520.3,173.2,fixation
12:20:46.2216,520.8,171.9,fixation
12:20:46.2221,521.1,170.9,fixation
12:20:46.2226,519.9,170.1,fixation
12:20:46.2231,518.6,169.8,fixation
12:20:46.2236,517.4,169.0,fixation
12:20:46.2241,518.3,168.4,fixation
12:20:46.2246,519.1,169.9,fixation
12:20:46.2251,519.8,171.8,fixation
12:20:46.2256,519.8,173.5,fixation
12:20:46.2261,519.8,173.1,fixation
12:20:46.2266,519.9,172.9,fixation
12:20:46.2271,519.7,172.8,fixation
12:20:46.2276,519.6,172.0,fixation
12:20:46.2281,520.2,171.0,fixation
12:20:46.2286,520.9,171.2,fixation
12:20:46.2291,521.0,172.3,fixation
12:20:46.2296,520.5,172.8,fixation
12:20:46.2301,520.2,172.2,fixation
12:20:46.2306,520.4,171.1,fixation
12:20:46.2311,521.2,170.7,fixation
12:20:46.2316,521.9,170.7,fixation
12:20:46.2321,522.7,171.8,fixation
12:20:46.2326,522.8,173.1,fixation
12:20:46.2331,522.8,174.3,fixation
12:20:46.2336,522.9,174.4,fixation
12:20:46.2341,523.2,173.6,fixation
12:20:46.2346,523.6,172.4,fixation
12:20:46.2351,524.0,171.8,fixation
12:20:46.2356,524.1,171.9,fixation
12:20:46.2361,524.1,173.0,fixation
12:20:46.2366,524.1,174.0,fixation
12:20:46.2371,524.0,175.4,fixation
12:20:46.2376,522.7,175.6,fixation
12:20:46.2381,521.5,175.6,fixation
12:20:46.2386,520.3,175.1,fixation
12:20:46.2391,520.2,174.7,fixation
12:20:46.2396,520.7,175.2,fixation
12:20:46.2401,521.4,176.0,fixation
12:20:46.2406,522.3,176.9,fixation
12:20:46.2411,522.6,176.9,fixation
12:20:46.2416,522.4,177.0,fixation
12:20:46.2421,522.1,176.0,fixation
12:20:46.2426,521.9,175.1,fixation
12:20:46.2431,522.8,175.0,fixation
12:20:46.2436,523.8,175.9,fixation
12:20:46.2441,525.1,175.3,fixation
12:20:46.2446,525.5,173.9,fixation
12:20:46.2451,526.0,173.3,fixation
12:20:46.2456,526.3,174.3,fixation
12:20:46.2461,525.8,175.4,fixation
12:20:46.2466,525.1,175.5,fixation
12:20:46.2471,525.2,175.4,fixation
12:20:46.2476,525.9,175.3,fixation
12:20:46.2481,526.4,175.1,fixation
12:20:46.2486,526.0,174.9,fixation
12:20:46.2491,525.7,174.8,fixation
12:20:46.2496,525.0,174.6,fixation
12:20:46.2501,524.0,174.4,fixation
12:20:46.2506,522.9,174.3,fixation
12:20:46.2511,522.9,174.5,fixation
12:20:46.2516,523.2,174.6,fixation
12:20:46.2521,523.3,177.4,fixation
12:20:46.2526,522.9,180.1,fixation
12:20:46.2531,522.5,182.3,fixation
12:20:46.2536,522.1,180.0,fixation
12:20:46.2541,521.6,177.7,fixation
12:20:46.2546,521.1,175.8,fixation
12:20:46.2551,521.5,175.9,fixation
12:20:46.2556,522.4,177.4,fixation
12:20:46.2561,523.3,178.9,fixation
12:20:46.2566,523.5,180.8,fixation
12:20:46.2571,523.5,181.2,fixation
12:20:46.2576,523.2,180.9,fixation
12:20:46.2581,523.0,179.7,fixation
12:20:46.2586,522.8,178.6,fixation
12:20:46.2591,522.9,177.3,fixation
12:20:46.2596,522.2,177.3,fixation
